,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Registration_Status_En,Number_of_Practitioners
31754,2017,Female,Palestine,Medicine and Surgery,Expired Outdated,33
31755,2016,Male,Tunisia,Nursing and Midwifery,Expired Outdated,33
32092,2016,Female,India,Pharmacists and Pharmacy Technicians,Expired Outdated,32
32135,2020,Male,Tunisia,Medicine and Surgery,Expired Outdated,32
32148,2016,Female,Lebanon,Dentistry and Related Specialties,Expired Outdated,32
32167,2021,Female,India,Pharmacists and Pharmacy Technicians,Valid,32
32299,2016,Female,South Africa,Laboratories and Medical Technology,Expired Outdated,32
32431,2021,Male,Sudan,Laboratories and Medical Technology,Expired Outdated,32
32465,2021,Male,Palestine,Dentistry and Related Specialties,Expired,32
32916,2020,Female,Jordan,Pharmacists and Pharmacy Technicians,Expired,32
32934,2020,Female,Canada,Nursing and Midwifery,Expired Outdated,32
32951,2017,Female,India,Pharmacists and Pharmacy Technicians,Expired Outdated,32
32987,2020,Female,Sudan,Pharmacists and Pharmacy Technicians,Expired Outdated,32
33065,2019,Male,Cuba,Medicine and Surgery,Expired Outdated,32
33124,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Valid,32
33136,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,32
33264,2022,Male,Azerbaijan,Medicine and Surgery,Valid,32
33493,2022,Male,Sudan,Nursing and Midwifery,Expired,32
33828,2018,Male,Greece,Medicine and Surgery,Expired Outdated,31
33845,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Non Active,31
33864,2019,Male,Philippines,Dentistry and Related Specialties,Expired,31
33872,2018,Male,Jordan,Technicians and Health Assistants,Expired Outdated,31
33914,2019,Male,United States,Therapy and Rehabilitation,Expired Outdated,31
34223,2019,Male,Greece,Medicine and Surgery,Expired Outdated,31
34235,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,31
34378,2022,Female,Yemen,Dentistry and Related Specialties,Expired,31
34397,2022,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Valid,31
34419,2021,Male,Philippines,Dentistry and Related Specialties,Expired Outdated,31
34498,2022,Female,Eritrea,Medicine and Surgery,Valid,31
34564,2022,Female,Jordan,Therapy and Rehabilitation,Expired,31
34566,2022,Female,Jordan,Medicine and Surgery,Expired,31
34599,2020,Female,Sudan,Pharmacists and Pharmacy Technicians,Valid,31
34628,2020,Female,Yemen,Dentistry and Related Specialties,Expired,31
34709,2020,Female,Egypt,Therapy and Rehabilitation,Valid,31
34785,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Non Active,31
34827,2022,Male,Jordan,Therapy and Rehabilitation,Expired,31
34939,2016,Male,Pakistan,Technicians and Health Assistants,Expired Outdated,31
34944,2016,Male,Kuwait,Medicine and Surgery,Expired Outdated,31
35109,2017,Female,Lebanon,Therapy and Rehabilitation,Expired Outdated,31
35184,2016,Male,United States,Nursing and Midwifery,Expired Outdated,31
35425,2016,Female,Czech Republic,Therapy and Rehabilitation,Expired Outdated,31
35570,2018,Female,Lebanon,Dentistry and Related Specialties,Expired Outdated,31
35645,2017,Male,Malaysia,Nursing and Midwifery,Expired Outdated,31
35714,2017,Male,Philippines,Nursing and Midwifery,Valid,31
35725,2017,Male,Syria,Laboratories and Medical Technology,Expired Outdated,31
35876,2017,Male,Cuba,Medicine and Surgery,Expired Outdated,31
35877,2022,Male,Iraq,Medicine and Surgery,Valid,30
35880,2016,Female,Yemen,Pharmacists and Pharmacy Technicians,Expired Outdated,30
35881,2022,Male,Sudan,Dentistry and Related Specialties,Expired,30
35882,2022,Male,Palestine,Dentistry and Related Specialties,Expired,30
35883,2021,Female,Eritrea,Nursing and Midwifery,Valid,30
35884,2019,Female,Syria,Therapy and Rehabilitation,Expired Outdated,30
35885,2016,Male,Ireland,Medicine and Surgery,Expired Outdated,30
35886,2020,Male,Philippines,Dentistry and Related Specialties,Valid,30
35888,2017,Male,Syria,Therapy and Rehabilitation,Expired Outdated,30
35889,2016,Male,Philippines,Laboratories and Medical Technology,Expired,30
35890,2021,Female,Czech Republic,Nursing and Midwifery,Expired,30
35892,2020,Female,Sudan,Pharmacists and Pharmacy Technicians,Expired,30
35895,2021,Female,Immigrant Tribes,Nursing and Midwifery,Valid,30
35896,2020,Male,Tunisia,Medicine and Surgery,Valid,30
35897,2018,Male,Syria,Laboratories and Medical Technology,Expired Outdated,30
35899,2019,Female,Egypt,Laboratories and Medical Technology,Expired,30
35902,2020,Male,Palestine,Dentistry and Related Specialties,Expired,30
35903,2018,Female,Czech Republic,Therapy and Rehabilitation,Expired Outdated,30
35905,2018,Female,United States,Therapy and Rehabilitation,Expired Outdated,30
35909,2021,Female,Sudan,Pharmacists and Pharmacy Technicians,Expired,30
35912,2022,Male,United States,Dentistry and Related Specialties,Valid,30
35913,2017,Female,Eritrea,Laboratories and Medical Technology,Expired Outdated,30
35914,2017,Female,Nigeria,Nursing and Midwifery,Expired Outdated,30
35915,2020,Female,India,Dentistry and Related Specialties,Valid,30
35917,2018,Male,Cuba,Medicine and Surgery,Expired Outdated,30
35918,2020,Female,India,Laboratories and Medical Technology,Valid,30
35919,2017,Female,Czech Republic,Therapy and Rehabilitation,Expired Outdated,30
35920,2017,Female,Pakistan,Therapy and Rehabilitation,Expired Outdated,30
35921,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,Expired Outdated,30
35922,2019,Male,Sudan,Pharmacists and Pharmacy Technicians,Expired,30
35923,2019,Male,Sudan,Therapy and Rehabilitation,Expired Outdated,30
35924,2017,Female,Portugal,Nursing and Midwifery,Expired Outdated,30
35926,2017,Male,Greece,Medicine and Surgery,Expired Outdated,30
35930,2019,Female,Tunisia,Medicine and Surgery,Expired Outdated,30
35980,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Non Active,29
36192,2021,Male,United Kingdom,Nursing and Midwifery,Valid,29
36263,2022,Female,Cuba,Nursing and Midwifery,Valid,29
36274,2021,Male,Syria,Nursing and Midwifery,Valid,29
36420,2022,Male,Tunisia,Medicine and Surgery,Expired,29
36756,2022,Male,Immigrant Tribes,Therapy and Rehabilitation,Valid,29
36874,2019,Male,Yemen,Laboratories and Medical Technology,Expired Outdated,29
36973,2017,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Expired Outdated,29
36981,2020,Female,Nigeria,Medicine and Surgery,Expired Outdated,29
36997,2020,Female,New Zealand,Nursing and Midwifery,Expired Outdated,29
37068,2020,Female,Czech Republic,Nursing and Midwifery,Expired,29
37169,2018,Female,Pakistan,Laboratories and Medical Technology,Expired Outdated,29
37190,2018,Female,India,Pharmacists and Pharmacy Technicians,Expired Outdated,29
37204,2018,Male,Syria,Nursing and Midwifery,Expired Outdated,29
37277,2018,Male,Nigeria,Therapy and Rehabilitation,Expired Outdated,29
37278,2018,Male,Kuwait,Medicine and Surgery,Expired Outdated,29
37284,2018,Female,Sudan,Medicine and Surgery,Valid,29
37338,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Valid,29
37364,2019,Female,Sudan,Medicine and Surgery,Valid,29
37400,2019,Female,Egypt,Medicine and Surgery,Valid,29
37753,2021,Male,India,Pharmacists and Pharmacy Technicians,Expired Outdated,29
37828,2016,Male,Palestine,Laboratories and Medical Technology,Expired Outdated,29
37885,2016,Female,Palestine,Medicine and Surgery,Expired Outdated,29
37887,2016,Female,Philippines,Dentistry and Related Specialties,Expired,29
37893,2016,Female,Philippines,Pharmacists and Pharmacy Technicians,Expired,29
37933,2016,Female,Nigeria,Medicine and Surgery,Expired Outdated,29
38000,2018,Female,Tunisia,Medicine and Surgery,Expired Outdated,28
38002,2021,Female,Somalia,Medicine and Surgery,Valid,28
38004,2018,Female,Egypt,Medicine and Surgery,Valid,28
38007,2021,Male,Bangladesh,Medicine and Surgery,Expired Outdated,28
38008,2021,Male,Germany,Medicine and Surgery,Valid,28
38011,2021,Male,Scotland,Medicine and Surgery,Valid,28
38014,2021,Male,India,Therapy and Rehabilitation,Expired Outdated,28
38015,2016,Male,United States,Laboratories and Medical Technology,Expired Outdated,28
38016,2020,Male,Yemen,Dentistry and Related Specialties,Expired Outdated,28
38017,2017,Female,South Africa,Laboratories and Medical Technology,Expired Outdated,28
38018,2019,Female,Palestine,Pharmacists and Pharmacy Technicians,Expired Outdated,28
38019,2022,Female,Eritrea,Therapy and Rehabilitation,Valid,28
38021,2022,Female,Finland,Nursing and Midwifery,Valid,28
38032,2017,Male,Nigeria,Therapy and Rehabilitation,Expired Outdated,28
38037,2021,Female,Australia,Nursing and Midwifery,Expired,28
38041,2021,Female,China,Nursing and Midwifery,Valid,28
38045,2017,Female,Bangladesh,Nursing and Midwifery,Expired Outdated,28
38046,2019,Female,India,Therapy and Rehabilitation,Expired,28
38049,2019,Female,Ireland,Nursing and Midwifery,Expired,28
38050,2020,Female,Egypt,Technicians and Health Assistants,Expired Outdated,28
38051,2019,Female,Nigeria,Nursing and Midwifery,Expired Outdated,28
38052,2018,Female,Bangladesh,Medicine and Surgery,Expired Outdated,28
38053,2022,Male,United States,Therapy and Rehabilitation,Valid,27
38055,2019,Male,Malaysia,Nursing and Midwifery,Expired Outdated,27
38056,2017,Female,Yemen,Health Administration and Community Health,Expired Outdated,27
38057,2018,Male,Palestine,Laboratories and Medical Technology,Expired Outdated,27
38059,2022,Male,Syria,Technicians and Health Assistants,Valid,27
38060,2018,Male,Palestine,Pharmacists and Pharmacy Technicians,Expired,27
38063,2020,Female,Tunisia,Nursing and Midwifery,Expired Outdated,27
38064,2019,Male,Nigeria,Therapy and Rehabilitation,Expired Outdated,27
38066,2016,Female,Eritrea,Laboratories and Medical Technology,Expired Outdated,27
38067,2019,Male,India,Therapy and Rehabilitation,Expired,27
38069,2016,Male,South Africa,Nursing and Midwifery,Expired Outdated,27
38073,2021,Male,South Africa,Nursing and Midwifery,Valid,27
38074,2019,Male,Jordan,Therapy and Rehabilitation,Expired,27
38079,2016,Female,Syria,Nursing and Midwifery,Expired Outdated,27
38080,2021,Male,Pakistan,Nursing and Midwifery,Expired,27
38082,2020,Female,Australia,Nursing and Midwifery,Expired,27
38083,2020,Male,Pakistan,Nursing and Midwifery,Expired,27
38084,2020,Male,Pakistan,Therapy and Rehabilitation,Expired Outdated,27
38085,2016,Female,Slovakia,Nursing and Midwifery,Expired Outdated,27
38093,2017,Female,Cuba,Medicine and Surgery,Expired Outdated,27
38094,2022,Female,United States,Nursing and Midwifery,Expired,27
38095,2019,Male,Sudan,Nursing and Midwifery,Expired,27
38096,2020,Male,Sudan,Dentistry and Related Specialties,Valid,27
38097,2018,Male,Malaysia,Nursing and Midwifery,Expired Outdated,27
38098,2020,Male,Sudan,Therapy and Rehabilitation,Valid,27
38099,2021,Male,Indonesia,Nursing and Midwifery,Valid,27
38100,2020,Male,Philippines,Technicians and Health Assistants,Expired Outdated,27
38104,2017,Male,Philippines,Technicians and Health Assistants,Expired Outdated,27
38107,2019,Female,Philippines,Laboratories and Medical Technology,Valid,27
38108,2017,Male,Palestine,Pharmacists and Pharmacy Technicians,Expired,27
38116,2017,Male,Kuwait,Medicine and Surgery,Expired Outdated,27
38122,2017,Male,Ireland,Medicine and Surgery,Expired Outdated,27
38124,2018,Male,Ireland,Medicine and Surgery,Expired Outdated,26
38125,2016,Male,Philippines,Technicians and Health Assistants,Expired Outdated,26
38127,2017,Female,Indonesia,Nursing and Midwifery,Expired,26
38130,2020,Male,Palestine,Pharmacists and Pharmacy Technicians,Valid,26
38132,2020,Female,Syria,Pharmacists and Pharmacy Technicians,Expired Outdated,26
38133,2019,Female,Saudi Arabia,Health Administration and Community Health,Valid,26
38134,2017,Female,Pakistan,Laboratories and Medical Technology,Expired Outdated,26
38136,2022,Male,Eritrea,Medicine and Surgery,Valid,26
38137,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,26
38138,2019,Female,Saudi Arabia,Technicians and Health Assistants,Valid,26
38139,2020,Male,Palestine,Dentistry and Related Specialties,Expired Outdated,26
38141,2021,Female,Somalia,Laboratories and Medical Technology,Valid,26
38143,2021,Male,Nigeria,Therapy and Rehabilitation,Expired,26
38144,2021,Male,India,Dentistry and Related Specialties,Expired Outdated,26
38145,2022,Male,Tunisia,Therapy and Rehabilitation,Valid,26
38146,2020,Female,Yemen,Medicine and Surgery,Expired Outdated,26
38150,2022,Male,Italy,Medicine and Surgery,Valid,26
38152,2020,Female,Jordan,Dentistry and Related Specialties,Expired,26
38165,2018,Female,Saudi Arabia,Technicians and Health Assistants,Valid,26
38166,2017,Male,Palestine,Laboratories and Medical Technology,Expired Outdated,26
38167,2021,Female,Indonesia,Nursing and Midwifery,Expired Outdated,26
38171,2018,Female,Philippines,Laboratories and Medical Technology,Valid,26
38172,2018,Female,Palestine,Medicine and Surgery,Expired Outdated,26
38173,2022,Female,Jordan,Pharmacists and Pharmacy Technicians,Expired,26
38175,2019,Male,Jordan,Technicians and Health Assistants,Expired Outdated,26
38179,2018,Female,Lebanon,Medicine and Surgery,Expired Outdated,26
38181,2021,Female,Australia,Nursing and Midwifery,Valid,26
38186,2017,Male,Pakistan,Technicians and Health Assistants,Expired Outdated,26
38188,2021,Female,Tunisia,Therapy and Rehabilitation,Valid,26
38190,2016,Female,Philippines,Therapy and Rehabilitation,Expired,26
38191,2019,Male,Syria,Laboratories and Medical Technology,Expired Outdated,26
38194,2021,Female,Jordan,Dentistry and Related Specialties,Expired,26
38195,2022,Female,Sudan,Health Administration and Community Health,Valid,26
38197,2018,Female,Indonesia,Nursing and Midwifery,Expired,26
38200,2021,Female,Ireland,Nursing and Midwifery,Expired Outdated,26
38201,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,26
38204,2022,Female,Sudan,Therapy and Rehabilitation,Expired,26
38206,2019,Male,Philippines,Medicine and Surgery,Expired Outdated,26
38969,2021,Male,Egypt,Therapy and Rehabilitation,Expired Outdated,25
39013,2016,Female,Nigeria,Nursing and Midwifery,Expired Outdated,25
39215,2017,Male,Pakistan,Pharmacists and Pharmacy Technicians,Expired,25
39219,2017,Male,Philippines,Dentistry and Related Specialties,Expired,25
39266,2021,Female,Bahrain,Medicine and Surgery,Expired,25
39285,2017,Male,United States,Nursing and Midwifery,Expired Outdated,25
39293,2017,Male,South Africa,Nursing and Midwifery,Expired Outdated,25
39314,2017,Female,Yemen,Pharmacists and Pharmacy Technicians,Expired Outdated,25
39323,2017,Female,Egypt,Medicine and Surgery,Valid,25
39359,2021,Female,Syria,Pharmacists and Pharmacy Technicians,Expired,25
39390,2017,Female,Tunisia,Medicine and Surgery,Expired Outdated,25
39425,2017,Female,Philippines,Laboratories and Medical Technology,Valid,25
39621,2022,Male,Somalia,Medicine and Surgery,Valid,25
39719,2022,Female,Ireland,Nursing and Midwifery,Expired,25
39818,2022,Female,Tunisia,Laboratories and Medical Technology,Valid,25
39915,2020,Female,Bahrain,Medicine and Surgery,Expired,25
39936,2018,Male,Pakistan,Pharmacists and Pharmacy Technicians,Expired,25
39937,2018,Female,Sudan,Health Administration and Community Health,Expired Outdated,25
39947,2018,Male,Philippines,Dentistry and Related Specialties,Expired,25
39949,2020,Female,Philippines,Medicine and Surgery,Expired Outdated,25
39957,2018,Male,South Africa,Nursing and Midwifery,Expired Outdated,25
39958,2018,Female,Saudi Arabia,Health Administration and Community Health,Valid,25
39966,2019,Male,Ireland,Medicine and Surgery,Expired Outdated,25
39979,2018,Male,Syria,Therapy and Rehabilitation,Expired Outdated,25
40010,2020,Male,Philippines,Pharmacists and Pharmacy Technicians,Expired Outdated,25
40098,2018,Male,Indonesia,Nursing and Midwifery,Expired Outdated,25
40112,2019,Female,United States,Therapy and Rehabilitation,Expired Outdated,25
40128,2020,Female,Indonesia,Nursing and Midwifery,Valid,25
40138,2020,Female,Syria,Pharmacists and Pharmacy Technicians,Expired,25
40204,2019,Female,India,Medicine and Surgery,Expired,25
40268,2019,Female,Egypt,Therapy and Rehabilitation,Expired,25
40275,2019,Female,Czech Republic,Therapy and Rehabilitation,Expired Outdated,25
40284,2021,Male,Jordan,Therapy and Rehabilitation,Expired Outdated,24
40293,2016,Female,Tunisia,Medicine and Surgery,Expired Outdated,24
40298,2021,Male,Pakistan,Laboratories and Medical Technology,Expired,24
40301,2020,Male,Nigeria,Therapy and Rehabilitation,Expired,24
40302,2021,Female,Tunisia,Technicians and Health Assistants,Valid,24
40303,2020,Male,Pakistan,Laboratories and Medical Technology,Expired,24
40304,2021,Male,Yemen,Medicine and Surgery,Expired Outdated,24
40307,2021,Male,Immigrant Tribes,Nursing and Midwifery,Valid,24
40310,2019,Female,Yemen,Health Administration and Community Health,Expired Outdated,24
40312,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Expired,24
40313,2019,Female,Lebanon,Dentistry and Related Specialties,Expired Outdated,24
40314,2018,Male,Egypt,Therapy and Rehabilitation,Expired,24
40315,2019,Female,Palestine,Therapy and Rehabilitation,Expired Outdated,24
40319,2016,Female,Cuba,Medicine and Surgery,Expired Outdated,24
40320,2019,Female,Portugal,Nursing and Midwifery,Expired Outdated,24
40321,2018,Male,Egypt,Dentistry and Related Specialties,Expired,24
40325,2021,Female,Egypt,Laboratories and Medical Technology,Expired Outdated,24
40326,2017,Male,Egypt,Therapy and Rehabilitation,Expired,24
40327,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Valid,24
40329,2017,Female,Saudi Arabia,Technicians and Health Assistants,Valid,24
40330,2021,Female,Eritrea,Dentistry and Related Specialties,Valid,24
40331,2018,Female,Pakistan,Therapy and Rehabilitation,Expired Outdated,24
40332,2017,Male,Egypt,Dentistry and Related Specialties,Expired,24
40336,2016,Female,United States,Laboratories and Medical Technology,Expired Outdated,23
40337,2019,Male,United Kingdom,Nursing and Midwifery,Expired Outdated,23
40341,2018,Female,Portugal,Nursing and Midwifery,Expired Outdated,23
40342,2022,Male,Argentina,Medicine and Surgery,Valid,23
40345,2020,Female,China,Nursing and Midwifery,Expired,23
40346,2020,Female,Jordan,Laboratories and Medical Technology,Expired,23
40347,2017,Female,Sudan,Health Administration and Community Health,Expired Outdated,23
40348,2020,Male,Philippines,Technicians and Health Assistants,Valid,23
40353,2021,Male,Sudan,Health Administration and Community Health,Valid,23
40354,2017,Male,Indonesia,Nursing and Midwifery,Expired Outdated,23
40356,2016,Female,Egypt,Medicine and Surgery,Expired,23
40357,2017,Female,Saudi Arabia,Health Administration and Community Health,Valid,23
40358,2021,Female,Tunisia,Nursing and Midwifery,Expired,23
40360,2017,Female,Sudan,Medicine and Surgery,Valid,23
40361,2017,Female,Syria,Nursing and Midwifery,Expired Outdated,23
40362,2017,Female,Tunisia,Dentistry and Related Specialties,Expired Outdated,23
40363,2018,Male,Jordan,Medicine and Surgery,Expired,23
40365,2021,Female,Yemen,Nursing and Midwifery,Expired,23
40366,2021,Female,Syria,Dentistry and Related Specialties,Expired Outdated,23
40368,2016,Male,Greece,Medicine and Surgery,Expired Outdated,23
40369,2016,Male,Egypt,Medicine and Surgery,Not Classified Not Registered,23
40370,2019,Male,Palestine,Medicine and Surgery,Expired,23
40373,2022,Male,Immigrant Tribes,Dentistry and Related Specialties,Valid,23
40374,2020,Female,Lebanon,Nursing and Midwifery,Expired Outdated,23
40375,2020,Male,Jordan,Therapy and Rehabilitation,Valid,23
40377,2021,Female,Jordan,Laboratories and Medical Technology,Expired,23
40378,2022,Male,United States,Laboratories and Medical Technology,Valid,23
40381,2018,Female,Yemen,Health Administration and Community Health,Expired Outdated,23
40387,2021,Male,Yemen,Technicians and Health Assistants,Valid,23
40389,2020,Female,Finland,Nursing and Midwifery,Expired Outdated,23
40390,2020,Female,Tunisia,Nursing and Midwifery,Expired,23
40392,2022,Female,Palestine,Health Administration and Community Health,Valid,23
40396,2020,Female,India,Therapy and Rehabilitation,Valid,23
40398,2020,Female,Yemen,Nursing and Midwifery,Expired,23
40401,2022,Female,Greece,Medicine and Surgery,Valid,23
40403,2019,Male,United Kingdom,Medicine and Surgery,Expired,23
40404,2022,Female,Jordan,Dentistry and Related Specialties,Expired,23
40408,2021,Female,Portugal,Nursing and Midwifery,Valid,23
40410,2020,Male,Canada,Medicine and Surgery,Expired Outdated,23
40411,2017,Male,Tunisia,Nursing and Midwifery,Expired Outdated,23
40412,2021,Male,Syria,Pharmacists and Pharmacy Technicians,Expired Outdated,23
40413,2017,Female,India,Nursing and Midwifery,Not Classified Not Registered,23
40415,2022,Female,Slovakia,Nursing and Midwifery,Valid,23
40416,2021,Female,China,Nursing and Midwifery,Expired,23
40417,2020,Female,Tunisia,Medicine and Surgery,Expired Outdated,23
40418,2018,Male,Pakistan,Technicians and Health Assistants,Expired Outdated,22
40420,2016,Male,Australia,Nursing and Midwifery,Expired Outdated,22
40421,2019,Male,Palestine,Laboratories and Medical Technology,Expired Outdated,22
40424,2022,Female,Sudan,Pharmacists and Pharmacy Technicians,Expired,22
40425,2021,Female,Lebanon,Nursing and Midwifery,Expired,22
40426,2018,Female,Nigeria,Nursing and Midwifery,Expired Outdated,22
40429,2017,Female,United Kingdom,Medicine and Surgery,Expired Outdated,22
40430,2018,Female,India,Therapy and Rehabilitation,Expired,22
40433,2022,Female,Iraq,Medicine and Surgery,Valid,22
40435,2020,Male,Yemen,Laboratories and Medical Technology,Valid,22
40436,2022,Male,Lebanon,Therapy and Rehabilitation,Valid,22
40442,2020,Female,Palestine,Dentistry and Related Specialties,Expired Outdated,22
40443,2018,Female,Eritrea,Laboratories and Medical Technology,Expired Outdated,22
40446,2018,Female,Egypt,Laboratories and Medical Technology,Expired,22
40447,2021,Female,Yemen,Therapy and Rehabilitation,Expired,22
40449,2022,Female,Syria,Pharmacists and Pharmacy Technicians,Expired,22
40450,2016,Female,United States,Dentistry and Related Specialties,Expired Outdated,22
40452,2017,Male,United States,Laboratories and Medical Technology,Expired Outdated,22
40454,2020,Female,Tunisia,Medicine and Surgery,Valid,22
40455,2020,Male,Greece,Medicine and Surgery,Expired Outdated,22
40456,2017,Male,Jordan,Medicine and Surgery,Expired,22
40457,2021,Male,Nigeria,Medicine and Surgery,Expired Outdated,22
40459,2018,Female,Lebanon,Therapy and Rehabilitation,Expired Outdated,22
40463,2021,Male,Philippines,Medicine and Surgery,Valid,22
40464,2021,Male,Jordan,Dentistry and Related Specialties,Expired Outdated,22
40466,2018,Male,Sudan,Pharmacists and Pharmacy Technicians,Expired,22
40469,2016,Female,Pakistan,Nursing and Midwifery,Expired,22
40471,2016,Female,Pakistan,Therapy and Rehabilitation,Expired Outdated,22
40475,2021,Male,Egypt,Nursing and Midwifery,Expired Outdated,22
40476,2020,Female,Yemen,Therapy and Rehabilitation,Expired,22
40477,2020,Female,Lebanon,Nursing and Midwifery,Expired,22
40478,2020,Female,South Korea,Nursing and Midwifery,Expired Outdated,22
40480,2022,Male,United Kingdom,Laboratories and Medical Technology,Valid,22
40483,2019,Male,Indonesia,Nursing and Midwifery,Expired Outdated,22
40484,2017,Female,Egypt,Laboratories and Medical Technology,Expired,22
40485,2021,Female,Pakistan,Laboratories and Medical Technology,Valid,22
40486,2017,Female,India,Therapy and Rehabilitation,Expired,22
40487,2021,Female,Sudan,Technicians and Health Assistants,Valid,22
40490,2017,Female,Slovakia,Nursing and Midwifery,Expired Outdated,22
40491,2021,Female,South Korea,Nursing and Midwifery,Expired,22
40495,2017,Male,Jordan,Therapy and Rehabilitation,Expired,21
40498,2021,Female,Palestine,Dentistry and Related Specialties,Expired,21
40500,2022,Male,Turkey,Medicine and Surgery,Valid,21
40502,2022,Female,Russia,Medicine and Surgery,Valid,21
40503,2018,Male,United States,Nursing and Midwifery,Expired Outdated,21
40504,2018,Female,Syria,Nursing and Midwifery,Expired Outdated,21
40505,2022,Male,Pakistan,Nursing and Midwifery,Expired,21
40506,2018,Male,Jordan,Therapy and Rehabilitation,Expired,21
40507,2019,Female,Saudi Arabia,Medicine and Surgery,Valid,21
40508,2018,Female,India,Technicians and Health Assistants,Expired Outdated,21
40511,2019,Male,India,Technicians and Health Assistants,Expired,21
40514,2017,Male,Sudan,Pharmacists and Pharmacy Technicians,Expired,21
40519,2020,Male,Philippines,Medicine and Surgery,Expired Outdated,21
40522,2021,Female,Pakistan,Pharmacists and Pharmacy Technicians,Valid,21
40526,2017,Female,United States,Laboratories and Medical Technology,Expired Outdated,21
40528,2018,Female,Saudi Arabia,Medicine and Surgery,Valid,21
40529,2019,Female,Syria,Nursing and Midwifery,Expired Outdated,21
40531,2016,Female,Pakistan,Laboratories and Medical Technology,Expired Outdated,21
40532,2017,Female,United States,Dentistry and Related Specialties,Expired Outdated,21
40533,2021,Male,Jordan,Laboratories and Medical Technology,Expired Outdated,21
40534,2016,Male,Germany,Medicine and Surgery,Expired Outdated,21
40536,2019,Male,Jordan,Dentistry and Related Specialties,Expired,21
40537,2022,Female,Poland,Nursing and Midwifery,Valid,21
40538,2021,Male,United States,Medicine and Surgery,Expired Outdated,21
40539,2020,Female,Tunisia,Nursing and Midwifery,Valid,21
40540,2021,Female,Lebanon,Therapy and Rehabilitation,Valid,21
40541,2016,Male,Canada,Therapy and Rehabilitation,Expired Outdated,21
40553,2019,Female,Bangladesh,Medicine and Surgery,Expired Outdated,21
40554,2020,Female,South Korea,Nursing and Midwifery,Expired,21
40559,2016,Female,Sudan,Laboratories and Medical Technology,Expired,21
40560,2017,Male,Australia,Nursing and Midwifery,Expired Outdated,21
40562,2022,Male,Palestine,Technicians and Health Assistants,Valid,21
40564,2019,Male,South Africa,Nursing and Midwifery,Expired Outdated,21
40570,2022,Female,Morocco,Nursing and Midwifery,Valid,21
40573,2016,Female,South Africa,Nursing and Midwifery,Expired,21
40576,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Expired,21
40577,2020,Female,Palestine,Dentistry and Related Specialties,Expired,21
40580,2019,Female,Pakistan,Laboratories and Medical Technology,Expired Outdated,21
40582,2020,Male,Lebanon,Medicine and Surgery,Valid,21
40585,2017,Male,France,Medicine and Surgery,Expired Outdated,21
40589,2016,Male,Philippines,Therapy and Rehabilitation,Expired,21
40591,2017,Male,Egypt,Nursing and Midwifery,Expired,20
40592,2022,Male,United States,Pharmacists and Pharmacy Technicians,Valid,20
40596,2017,Male,Egypt,Medicine and Surgery,Not Classified Not Registered,20
40597,2020,Male,Algeria,Medicine and Surgery,Valid,20
40599,2019,Female,United Kingdom,Medicine and Surgery,Expired Outdated,20
40604,2022,Male,Nigeria,Therapy and Rehabilitation,Expired,20
40606,2018,Male,Egypt,Nursing and Midwifery,Expired,20
40608,2019,Female,Pakistan,Therapy and Rehabilitation,Expired Outdated,20
40610,2018,Female,Slovakia,Nursing and Midwifery,Expired Outdated,20
40611,2022,Female,Azerbaijan,Medicine and Surgery,Valid,20
40613,2019,Male,United States,Medicine and Surgery,Expired,20
40614,2018,Female,Yemen,Pharmacists and Pharmacy Technicians,Expired Outdated,20
40615,2021,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Valid,20
40616,2021,Female,Chad,Nursing and Midwifery,Valid,20
40618,2022,Female,Somalia,Dentistry and Related Specialties,Valid,20
40620,2021,Male,Sudan,Therapy and Rehabilitation,Expired,20
40622,2021,Male,Palestine,Nursing and Midwifery,Valid,20
40623,2020,Female,Nigeria,Nursing and Midwifery,Expired Outdated,20
40625,2021,Female,Eritrea,Laboratories and Medical Technology,Valid,20
40626,2021,Male,Philippines,Pharmacists and Pharmacy Technicians,Expired,20
40627,2022,Female,South Africa,Laboratories and Medical Technology,Valid,20
40628,2020,Male,Tunisia,Nursing and Midwifery,Expired,20
40634,2019,Male,Syria,Nursing and Midwifery,Expired Outdated,20
40637,2017,Male,Sudan,Nursing and Midwifery,Expired,20
40638,2020,Male,Philippines,Pharmacists and Pharmacy Technicians,Expired,20
