,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Current_Speciality_Name_En,Number_of_Practitioners
10367,2016,Male,Egypt,Medicine and Surgery,Cardiovascular Medicine,141
10368,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Cardiovascular Technology,141
10369,2021,Male,India,Medicine and Surgery,Internal Medicine,141
10371,2018,Male,Sudan,Medicine and Surgery,Internal Medicine,141
10373,2021,Female,Sudan,Laboratories and Medical Technology,Laboratory - Microbiology,140
10374,2020,Female,India,Laboratories and Medical Technology,Laboratory,140
10376,2020,Male,Syria,Medicine and Surgery,General Practice,140
10378,2022,Male,Saudi Arabia,Medicine and Surgery,Anatomic Pathology,140
10381,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Cardiovascular Technology,140
10384,2017,Female,India,Therapy and Rehabilitation,Physiotherapy,140
10385,2016,Male,Jordan,Dentistry and Related Specialties,General Dentistry,140
10391,2021,Male,Pakistan,Nursing and Midwifery,Nursing,139
10392,2018,Male,Egypt,Medicine and Surgery,Cardiovascular Medicine,139
10395,2022,Male,Saudi Arabia,Health Administration and Community Health,Public Health - Environment Health,139
10403,2017,Female,United States,Nursing and Midwifery,Nursing,139
10404,2019,Male,Philippines,Therapy and Rehabilitation,Respiratory Therapy,138
10409,2017,Female,Saudi Arabia,Health Administration and Community Health,Health Informatics,138
10410,2019,Male,India,Laboratories and Medical Technology,Laboratory,138
10415,2022,Female,Saudi Arabia,Medicine and Surgery,Pediatric Neurology,138
10416,2022,Female,Syria,Medicine and Surgery,Pediatrics,138
10417,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,138
10421,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Biomedical Technology,137
10423,2021,Female,Saudi Arabia,Health Administration and Community Health,Infection Control,137
10424,2017,Male,Jordan,Dentistry and Related Specialties,General Dentistry,137
10425,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology - Counseling Psychology,137
10426,2018,Female,China,Nursing and Midwifery,Nursing,137
10429,2021,Male,Saudi Arabia,Technicians and Health Assistants,Health Administration,137
10433,2020,Male,Egypt,Medicine and Surgery,Dermatology,136
10435,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Pharmaceutical Sciences,136
10436,2022,Female,Saudi Arabia,Medicine and Surgery,Orthopedic Surgery,136
10438,2016,Male,Saudi Arabia,Technicians and Health Assistants,Medical Secretary,136
10439,2016,Male,Saudi Arabia,Technicians and Health Assistants,Operation Rooms,136
10440,2022,Male,Syria,Medicine and Surgery,Urology,136
10443,2021,Male,India,Medicine and Surgery,Anesthesia,135
10444,2022,Male,India,Medicine and Surgery,General Surgery,135
10445,2020,Female,Indonesia,Nursing and Midwifery,Nursing,135
10446,2019,Male,Egypt,Medicine and Surgery,Ophthalmology,135
10447,2022,Male,Sudan,Medicine and Surgery,Emergency Medicine,135
10449,2022,Female,India,Therapy and Rehabilitation,Physiotherapy,135
10451,2021,Male,India,Therapy and Rehabilitation,Physiotherapy,135
10459,2020,Male,Egypt,Medicine and Surgery,Family Medicine,134
10462,2020,Female,Sudan,Medicine and Surgery,Obstetrics And Gynecology,134
10464,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Medical Sterilization,134
10466,2018,Male,Philippines,Therapy and Rehabilitation,Physiotherapy,134
10469,2016,Male,Philippines,Therapy and Rehabilitation,Physiotherapy,133
10470,2018,Male,Saudi Arabia,Technicians and Health Assistants,Food Science And Technology (Food Safety),133
10478,2017,Male,Philippines,Therapy and Rehabilitation,Physiotherapy,133
10481,2019,Female,Sudan,Laboratories and Medical Technology,Radiological Technology,133
10483,2021,Female,Yemen,Nursing and Midwifery,Nursing,133
10488,2022,Female,Nepal,Nursing and Midwifery,Nursing,132
10489,2018,Male,Sudan,Dentistry and Related Specialties,General Dentistry,132
10490,2022,Female,Nigeria,Nursing and Midwifery,Nursing,132
10493,2019,Male,Sudan,Laboratories and Medical Technology,Laboratory,132
10494,2016,Female,Saudi Arabia,Health Administration and Community Health,Health Informatics,132
10495,2022,Female,Saudi Arabia,Technicians and Health Assistants,Operation Rooms,132
10496,2017,Female,Saudi Arabia,Laboratories and Medical Technology,Medical Physics,132
10498,2021,Male,Sudan,Dentistry and Related Specialties,General Dentistry,131
10503,2018,Female,India,Medicine and Surgery,General Practice,131
10504,2021,Male,Sudan,Medicine and Surgery,Obstetrics And Gynecology,131
10507,2017,Female,Egypt,Medicine and Surgery,Clinical Pathology,131
10508,2022,Female,Egypt,Medicine and Surgery,Psychiatry,131
10509,2018,Male,Philippines,Therapy and Rehabilitation,Respiratory Therapy,131
10512,2022,Female,Saudi Arabia,Nursing and Midwifery,Cardiovascular Nursing,131
10513,2016,Female,Egypt,Medicine and Surgery,Clinical Pathology,131
10514,2018,Male,Pakistan,Medicine and Surgery,Internal Medicine,130
10515,2017,Male,Egypt,Therapy and Rehabilitation,Physiotherapy,130
10517,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Medical Physics,130
10519,2018,Male,Jordan,Dentistry and Related Specialties,General Dentistry,130
10528,2016,Female,Canada,Nursing and Midwifery,Nursing,129
10532,2016,Male,Saudi Arabia,Dentistry and Related Specialties,General Dentistry,129
10533,2021,Male,Egypt,Dentistry and Related Specialties,Dental Technology,129
10538,2022,Female,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,128
10539,2018,Female,Jordan,Pharmacists and Pharmacy Technicians,Pharmacy,128
10540,2021,Male,Jordan,Medicine and Surgery,General Practice,128
10541,2022,Female,India,Laboratories and Medical Technology,Radiological Technology,128
10542,2020,Male,Egypt,Laboratories and Medical Technology,Radiological Technology,128
10543,2021,Male,Egypt,Medicine and Surgery,Neurosurgery,128
10544,2022,Male,Syria,Medicine and Surgery,Diagnostic Radiology,128
10545,2016,Female,Egypt,Medicine and Surgery,Dermatology,128
10549,2019,Male,Pakistan,Medicine and Surgery,Internal Medicine,127
10550,2020,Male,Saudi Arabia,Nursing and Midwifery,Emergency Medical Services,127
10551,2020,Male,Saudi Arabia,Medicine and Surgery,Obstetrics And Gynecology,127
10552,2022,Male,Pakistan,Medicine and Surgery,Ophthalmology,127
10555,2017,Female,Egypt,Laboratories and Medical Technology,Laboratory,127
10557,2019,Female,Indonesia,Nursing and Midwifery,Nursing,127
10560,2019,Male,Philippines,Therapy and Rehabilitation,Physiotherapy,127
10561,2022,Male,Tunisia,Nursing and Midwifery,Nursing,126
10562,2022,Female,Nigeria,Medicine and Surgery,General Practice,126
10563,2019,Male,Egypt,Nursing and Midwifery,Nursing,126
10565,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Orthodontics,126
10567,2022,Female,Palestine,Laboratories and Medical Technology,Laboratory,126
10568,2022,Female,Egypt,Medicine and Surgery,Cardiovascular Medicine,126
10570,2022,Male,Sudan,Medicine and Surgery,Orthopedic Surgery,126
10571,2020,Male,Saudi Arabia,Medicine and Surgery,Otorhinolaryngology ( Ent ),126
10572,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Audiology,126
10575,2019,Male,Syria,Pharmacists and Pharmacy Technicians,Pharmacy,125
10576,2020,Female,Sudan,Medicine and Surgery,Internal Medicine,125
10584,2020,Male,Saudi Arabia,Medicine and Surgery,Urology,125
10586,2021,Male,India,Laboratories and Medical Technology,Radiological Technology,125
10588,2019,Male,Egypt,Therapy and Rehabilitation,Physiotherapy,125
10589,2022,Male,Egypt,Medicine and Surgery,Neurology,124
10591,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Endodontics,124
10592,2019,Female,Sudan,Medicine and Surgery,Pediatrics,124
10593,2016,Female,India,Therapy and Rehabilitation,Physiotherapy,124
10594,2022,Male,Syria,Medicine and Surgery,Otorhinolaryngology ( Ent ),124
10596,2022,Female,Malaysia,Nursing and Midwifery,Midwifery,124
10597,2019,Male,Egypt,Medicine and Surgery,Urology,124
10598,2022,Male,Pakistan,Medicine and Surgery,Orthopedic Surgery,124
10600,2016,Male,Sudan,Nursing and Midwifery,Nursing,124
10603,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Laboratory - Microbiology,124
10608,2017,Female,Sudan,Medicine and Surgery,Pediatrics,123
10609,2017,Female,Czech Republic,Nursing and Midwifery,Nursing,123
10610,2017,Female,Pakistan,Dentistry and Related Specialties,General Dentistry,123
10611,2020,Male,Egypt,Medicine and Surgery,Emergency Medicine,123
10612,2022,Male,Sudan,Laboratories and Medical Technology,Laboratory - Hematology,123
10613,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Health Care security,123
10614,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Medical Physics,123
10619,2020,Female,Saudi Arabia,Medicine and Surgery,Diagnostic Radiology,123
10623,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,123
10626,2016,Male,Sudan,Dentistry and Related Specialties,General Dentistry,122
10627,2022,Female,Egypt,Medicine and Surgery,Pulmonology,122
10628,2022,Male,Pakistan,Medicine and Surgery,Cardiovascular Medicine,122
10630,2017,Male,Sudan,Medicine and Surgery,Internal Medicine,122
10633,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Speech and Hearing Therapy,122
10637,2017,Male,India,Dentistry and Related Specialties,General Dentistry,121
10640,2020,Male,Saudi Arabia,Medicine and Surgery,Ophthalmology,121
10641,2018,Male,Egypt,Therapy and Rehabilitation,Physiotherapy,121
10646,2020,Male,Saudi Arabia,Medicine and Surgery,Emergency Medicine,121
10647,2017,Male,Palestine,Medicine and Surgery,General Practice,121
10648,2018,Female,Sudan,Medicine and Surgery,Pediatrics,120
10649,2016,Female,Czech Republic,Nursing and Midwifery,Nursing,120
10651,2017,Male,Yemen,Medicine and Surgery,General Practice,120
10652,2022,Male,Sudan,Laboratories and Medical Technology,Laboratory - Clinical Biochemistry,120
10653,2021,Male,Saudi Arabia,Health Administration and Community Health,Public Health - Environment Health,120
10655,2016,Male,Egypt,Medicine and Surgery,Urology,120
10656,2016,Male,Palestine,Medicine and Surgery,General Practice,120
10659,2017,Female,Ireland,Nursing and Midwifery,Nursing,120
10660,2020,Male,Philippines,Therapy and Rehabilitation,Physiotherapy,120
10662,2020,Male,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,120
10663,2018,Female,Egypt,Laboratories and Medical Technology,Laboratory,120
10664,2022,Female,Sudan,Therapy and Rehabilitation,Physiotherapy,120
10666,2019,Female,Egypt,Medicine and Surgery,Clinical Pathology,120
10668,2017,Male,Egypt,Medicine and Surgery,Urology,120
10672,2021,Female,Ireland,Nursing and Midwifery,Nursing,119
10679,2022,Male,Malaysia,Nursing and Midwifery,Nursing,119
10682,2022,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology - Clinical Psychology,119
10684,2021,Female,Saudi Arabia,Medicine and Surgery,Anatomic Pathology,119
10690,2021,Female,Yemen,Medicine and Surgery,Obstetrics And Gynecology,118
10691,2022,Male,Saudi Arabia,Medicine and Surgery,Forensic Medicine,118
10696,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,118
10697,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Laboratory - Hematology,118
10698,2017,Male,Egypt,Nursing and Midwifery,Nursing,118
10702,2022,Female,Saudi Arabia,Therapy and Rehabilitation,Health Care security,118
10704,2019,Female,Jordan,Dentistry and Related Specialties,General Dentistry,118
10706,2017,Male,Pakistan,Medicine and Surgery,General Surgery,118
10708,2021,Female,Yemen,Laboratories and Medical Technology,Laboratory,118
10709,2017,Male,Jordan,Medicine and Surgery,General Practice,118
10711,2016,Female,Sudan,Nursing and Midwifery,Nursing,118
10713,2021,Female,Saudi Arabia,Nursing and Midwifery,Adult Critical Care Nursing,117
10714,2016,Male,Jordan,Medicine and Surgery,General Practice,117
10721,2020,Male,Sudan,Nursing and Midwifery,Nursing,117
10722,2021,Male,Egypt,Medicine and Surgery,Nephrology,117
10727,2021,Male,India,Medicine and Surgery,Pediatrics,117
10729,2019,Male,Egypt,Medicine and Surgery,Critical Care Medicine,117
10732,2018,Female,Egypt,Medicine and Surgery,Clinical Pathology,116
10733,2017,Male,Sudan,Nursing and Midwifery,Nursing,116
10735,2022,Female,Jordan,Laboratories and Medical Technology,Laboratory,116
10736,2018,Female,Indonesia,Nursing and Midwifery,Nursing,116
10738,2021,Male,Saudi Arabia,Medicine and Surgery,Plastic Surgery,116
10740,2016,Male,Sudan,Medicine and Surgery,Internal Medicine,116
10743,2017,Male,Philippines,Therapy and Rehabilitation,Respiratory Therapy,116
10745,2022,Male,India,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,116
10749,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,115
10753,2022,Male,Syria,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,115
10754,2016,Male,Pakistan,Medicine and Surgery,General Surgery,115
10760,2021,Male,India,Dentistry and Related Specialties,General Dentistry,115
10761,2022,Male,Philippines,Pharmacists and Pharmacy Technicians,Pharmacy,115
10762,2022,Female,Ireland,Nursing and Midwifery,Nursing,115
10769,2016,Female,Australia,Nursing and Midwifery,Nursing,115
10771,2021,Male,Syria,Medicine and Surgery,Orthopedic Surgery,114
10773,2021,Male,Jordan,Medicine and Surgery,Anesthesia,114
10781,2018,Male,Saudi Arabia,Technicians and Health Assistants,Health Insurance,114
10783,2019,Male,Jordan,Dentistry and Related Specialties,General Dentistry,114
10786,2016,Male,Egypt,Therapy and Rehabilitation,Physiotherapy,114
10788,2016,Male,Pakistan,Medicine and Surgery,Pediatrics,113
10791,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology - Clinical Psychology,113
10792,2016,Male,Yemen,Medicine and Surgery,General Practice,113
10796,2016,Male,India,Dentistry and Related Specialties,General Dentistry,113
10797,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Prosthodontics,113
10798,2021,Male,Nigeria,Therapy and Rehabilitation,Optometry,113
10799,2021,Male,Saudi Arabia,Technicians and Health Assistants,Laboratory ( Microbiology),113
10801,2020,Male,Yemen,Medicine and Surgery,General Practice,113
10805,2022,Male,Philippines,Dentistry and Related Specialties,Dental Assistant,113
10806,2019,Male,Syria,Medicine and Surgery,General Practice,113
10809,2018,Male,India,Dentistry and Related Specialties,General Dentistry,113
10810,2019,Female,Saudi Arabia,Medicine and Surgery,Internal Medicine,112
10811,2022,Male,Syria,Medicine and Surgery,Obstetrics And Gynecology,112
10814,2018,Male,Saudi Arabia,Medicine and Surgery,Internal Medicine,112
10817,2020,Female,Egypt,Medicine and Surgery,Family Medicine,112
10818,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,112
10819,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,112
10820,2016,Male,India,Laboratories and Medical Technology,Radiological Technology,112
10822,2020,Male,Jordan,Dentistry and Related Specialties,General Dentistry,112
10823,2022,Male,Saudi Arabia,Health Administration and Community Health,Health Care security,112
10825,2016,Female,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,112
10826,2017,Female,Canada,Nursing and Midwifery,Nursing,112
10829,2022,Male,Egypt,Medicine and Surgery,Gastroenterology,111
10831,2017,Male,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,111
10835,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,111
10844,2016,Male,Philippines,Therapy and Rehabilitation,Respiratory Therapy,110
10846,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Medical Physics,110
10853,2020,Male,Saudi Arabia,Technicians and Health Assistants,Optics,110
10858,2016,Female,Sudan,Medicine and Surgery,Pediatrics,110
10865,2022,Female,Saudi Arabia,Technicians and Health Assistants,Medical Sterilization,109
10866,2017,Male,Pakistan,Medicine and Surgery,Pediatrics,109
10869,2022,Female,Saudi Arabia,Medicine and Surgery,Critical Care Medicine,109
10870,2022,Male,Yemen,Medicine and Surgery,Diagnostic Radiology,109
10873,2022,Female,Egypt,Laboratories and Medical Technology,Radiological Technology,109
10876,2018,Male,Egypt,Medicine and Surgery,Ophthalmology,109
10877,2016,Male,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,109
10878,2021,Male,Jordan,Medicine and Surgery,Internal Medicine,109
10879,2021,Female,South Africa,Nursing and Midwifery,Midwifery,109
10880,2022,Male,India,Medicine and Surgery,Orthopedic Surgery,108
10882,2019,Female,India,Medicine and Surgery,General Practice,108
10883,2018,Male,Egypt,Nursing and Midwifery,Nursing,108
10884,2020,Female,Egypt,Medicine and Surgery,Diagnostic Radiology,108
10885,2021,Male,Yemen,Medicine and Surgery,Internal Medicine,108
10887,2022,Male,Philippines,Therapy and Rehabilitation,Optometry,108
10893,2019,Male,Nigeria,Medicine and Surgery,General Practice,108
10894,2022,Male,Syria,Medicine and Surgery,Ophthalmology,108
10899,2016,Male,Egypt,Medicine and Surgery,Ophthalmology,107
10900,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Medical Physics,107
10901,2021,Male,Jordan,Medicine and Surgery,Pediatrics,107
10902,2021,Male,Syria,Medicine and Surgery,Emergency Medicine,107
10907,2021,Male,Syria,Medicine and Surgery,Anesthesia,107
10908,2022,Female,South Korea,Nursing and Midwifery,Nursing,107
10911,2018,Female,Czech Republic,Nursing and Midwifery,Nursing,107
10912,2019,Female,Ireland,Nursing and Midwifery,Nursing,107
10913,2021,Female,Syria,Medicine and Surgery,General Practice,107
10914,2017,Male,Egypt,Medicine and Surgery,Ophthalmology,107
10916,2020,Female,India,Dentistry and Related Specialties,General Dentistry,107
10918,2021,Male,Bangladesh,Medicine and Surgery,General Practice,107
10920,2021,Male,Philippines,Dentistry and Related Specialties,Dental Technology,106
10921,2016,Male,Egypt,Nursing and Midwifery,Nursing,106
10922,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Emergency Medical Services,106
10924,2020,Male,Sudan,Medicine and Surgery,Pediatrics,106
10927,2020,Female,Yemen,Dentistry and Related Specialties,General Dentistry,106
10928,2022,Female,Sudan,Dentistry and Related Specialties,Dental Assistant,106
10929,2022,Female,Philippines,Therapy and Rehabilitation,Food And Nutrition Services,106
10931,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,106
10939,2017,Male,Yemen,Pharmacists and Pharmacy Technicians,Pharmacy,106
10940,2016,Male,Egypt,Medicine and Surgery,Emergency Medicine,106
10941,2022,Male,Saudi Arabia,Nursing and Midwifery,Emergency Care Nursing,106
10943,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Biomedical Technology,105
10944,2022,Male,Saudi Arabia,Nursing and Midwifery,Psychological And Mental Health Nursing,105
10948,2021,Female,Saudi Arabia,Therapy and Rehabilitation,Psychology - Counseling Psychology,105
10949,2018,Male,Pakistan,Medicine and Surgery,General Surgery,105
10950,2020,Male,Syria,Dentistry and Related Specialties,Dental Technology,105
10953,2018,Female,Ireland,Nursing and Midwifery,Nursing,105
10955,2019,Female,Saudi Arabia,Medicine and Surgery,Pediatrics,105
10959,2020,Male,Egypt,Medicine and Surgery,Psychiatry,105
10960,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Periodontics,105
10961,2018,Male,Egypt,Medicine and Surgery,Urology,105
10963,2018,Male,Egypt,Medicine and Surgery,Critical Care Medicine,105
10964,2018,Female,India,Laboratories and Medical Technology,Radiological Technology,105
10969,2019,Female,Sudan,Pharmacists and Pharmacy Technicians,Pharmacy,104
10975,2019,Male,Saudi Arabia,Medicine and Surgery,Pediatrics,104
10979,2020,Female,Jordan,Dentistry and Related Specialties,General Dentistry,104
10982,2017,Male,India,Laboratories and Medical Technology,Radiological Technology,104
10984,2021,Female,Sudan,Laboratories and Medical Technology,Laboratory - Hematology,104
10985,2021,Male,Egypt,Medicine and Surgery,Plastic Surgery,104
10986,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Dental Hygiene,104
10990,2018,Female,Pakistan,Dentistry and Related Specialties,General Dentistry,103
10992,2022,Female,Somalia,Nursing and Midwifery,Nursing,103
10993,2018,Male,Palestine,Medicine and Surgery,General Practice,103
10994,2016,Female,Egypt,Medicine and Surgery,Diagnostic Radiology,103
10995,2021,Male,Saudi Arabia,Therapy and Rehabilitation,Psychology - Clinical Psychology,103
10998,2016,Female,Pakistan,Dentistry and Related Specialties,General Dentistry,103
11000,2019,Male,Sudan,Dentistry and Related Specialties,General Dentistry,103
11001,2016,Female,Lebanon,Nursing and Midwifery,Nursing,103
11003,2020,Male,Saudi Arabia,Medicine and Surgery,Anesthesia,103
11010,2016,Female,India,Medicine and Surgery,Obstetrics And Gynecology,103
11013,2016,Male,Saudi Arabia,Technicians and Health Assistants,Health Insurance,102
11017,2017,Female,Philippines,Therapy and Rehabilitation,Food And Nutrition Services,102
11018,2021,Male,Tunisia,Nursing and Midwifery,Nursing,102
11019,2022,Male,Jordan,Laboratories and Medical Technology,Radiological Technology,102
11021,2020,Male,Egypt,Medicine and Surgery,Pulmonology,102
11026,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Radiological Technology,101
11032,2022,Male,Philippines,Technicians and Health Assistants,Emergency Medical Services,101
11033,2018,Female,United States,Nursing and Midwifery,Nursing,101
11034,2022,Male,Saudi Arabia,Technicians and Health Assistants,Preventive Health,101
11036,2022,Male,India,Medicine and Surgery,Emergency Medicine,101
11038,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Optometry,101
11041,2020,Female,Ireland,Nursing and Midwifery,Nursing,101
11045,2021,Female,Saudi Arabia,Technicians and Health Assistants,Patient Care,100
11046,2020,Male,Egypt,Medicine and Surgery,Clinical Pathology,100
11047,2016,Male,Egypt,Laboratories and Medical Technology,Radiological Technology,100
11048,2022,Male,Egypt,Medicine and Surgery,Thoracic And Cardiac Surgery,100
11052,2021,Female,India,Laboratories and Medical Technology,Radiological Technology,100
11054,2021,Male,Jordan,Medicine and Surgery,General Surgery,100
11055,2021,Female,Saudi Arabia,Technicians and Health Assistants,Health Care security,100
11058,2022,Female,Saudi Arabia,Nursing and Midwifery,Health Administration,100
11060,2016,Male,Egypt,Medicine and Surgery,Critical Care Medicine,100
11061,2020,Male,Sudan,Laboratories and Medical Technology,Radiological Technology,100
11064,2017,Female,Egypt,Medicine and Surgery,Diagnostic Radiology,100
11065,2020,Female,Saudi Arabia,Technicians and Health Assistants,Health Care security,100
11066,2016,Male,Egypt,Medicine and Surgery,Dermatology,99
11068,2021,Female,India,Therapy and Rehabilitation,Physiotherapy,99
11069,2021,Female,Saudi Arabia,Technicians and Health Assistants,Operation Rooms,99
11072,2017,Female,Sudan,Laboratories and Medical Technology,Laboratory - Microbiology,99
11076,2016,Male,Yemen,Pharmacists and Pharmacy Technicians,Pharmacy,99
11077,2016,Male,India,Medicine and Surgery,Internal Medicine,99
11078,2016,Female,Egypt,Laboratories and Medical Technology,Laboratory,99
11085,2017,Male,Egypt,Medicine and Surgery,Critical Care Medicine,99
11088,2019,Female,India,Laboratories and Medical Technology,Radiological Technology,99
11093,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Orthodontics,99
11094,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Optometry,99
11096,2022,Male,Saudi Arabia,Technicians and Health Assistants,Medical Coding,98
11102,2016,Male,India,Medicine and Surgery,Anesthesia,98
11103,2018,Female,Philippines,Therapy and Rehabilitation,Food And Nutrition Services,98
11104,2017,Male,Egypt,Laboratories and Medical Technology,Radiological Technology,98
11107,2022,Male,Jordan,Therapy and Rehabilitation,Anesthesia Technology,98
11109,2022,Female,Palestine,Medicine and Surgery,General Practice,98
11110,2020,Male,India,Medicine and Surgery,Internal Medicine,98
11111,2019,Male,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,98
11113,2021,Female,Sudan,Therapy and Rehabilitation,Optometry,98
11114,2022,Male,Syria,Dentistry and Related Specialties,Prosthodontics,98
11117,2022,Male,Pakistan,Medicine and Surgery,Diagnostic Radiology,98
11120,2022,Male,Jordan,Laboratories and Medical Technology,Laboratory,97
11123,2022,Female,Syria,Medicine and Surgery,Dermatology,97
11125,2018,Male,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,97
11127,2016,Male,Egypt,Medicine and Surgery,Psychiatry,97
11129,2021,Female,Sudan,Medicine and Surgery,Dermatology,97
11130,2021,Female,Saudi Arabia,Health Administration and Community Health,Epidemiology,97
11132,2021,Male,Sudan,Laboratories and Medical Technology,Laboratory - Microbiology,97
11133,2018,Male,Sudan,Nursing and Midwifery,Nursing,97
11136,2017,Female,Jordan,Laboratories and Medical Technology,Laboratory,96
11138,2022,Male,Sudan,Technicians and Health Assistants,Optics,96
11139,2022,Female,Egypt,Medicine and Surgery,Medical Microbiology,96
11141,2019,Male,Pakistan,Medicine and Surgery,General Surgery,96
11143,2018,Male,Yemen,Pharmacists and Pharmacy Technicians,Pharmacy,96
11145,2021,Male,India,Medicine and Surgery,General Surgery,96
11148,2022,Male,Saudi Arabia,Technicians and Health Assistants,Patient Care,96
11149,2021,Male,Egypt,Dentistry and Related Specialties,Oral And Maxillofacial Surgery,96
11150,2022,Male,Pakistan,Medicine and Surgery,Family Medicine,96
11151,2018,Male,Jordan,Medicine and Surgery,General Practice,96
11152,2017,Male,Egypt,Medicine and Surgery,Dermatology,96
11157,2018,Male,Yemen,Medicine and Surgery,General Practice,95
11159,2016,Male,Pakistan,Nursing and Midwifery,Nursing,95
11163,2017,Female,Yemen,Dentistry and Related Specialties,General Dentistry,95
11166,2022,Male,Saudi Arabia,Laboratories and Medical Technology,Nuclear Medicine,95
11171,2017,Male,Saudi Arabia,Medicine and Surgery,Internal Medicine,95
11172,2022,Male,Pakistan,Laboratories and Medical Technology,Laboratory,95
11175,2017,Female,Yemen,Laboratories and Medical Technology,Laboratory,95
11177,2019,Female,Egypt,Medicine and Surgery,Family Medicine,95
11178,2019,Female,Egypt,Laboratories and Medical Technology,Laboratory,95
11183,2022,Male,Egypt,Dentistry and Related Specialties,Endodontics,95
11186,2020,Female,India,Medicine and Surgery,General Practice,94
11188,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Dental Technology,94
11189,2017,Male,India,Medicine and Surgery,Internal Medicine,94
11190,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Cardiovascular Technology,94
11192,2020,Male,Yemen,Dentistry and Related Specialties,General Dentistry,94
11194,2019,Male,Egypt,Medicine and Surgery,Dermatology,94
11195,2021,Male,Sudan,Medicine and Surgery,Emergency Medicine,94
11196,2022,Male,Egypt,Technicians and Health Assistants,Emergency Medical Services,94
11198,2022,Female,Saudi Arabia,Nursing and Midwifery,Oncology and Palliative Care Nursing,94
11202,2020,Male,Sudan,Medicine and Surgery,General Surgery,93
11204,2021,Female,Malaysia,Nursing and Midwifery,Midwifery,93
11207,2017,Male,Saudi Arabia,Technicians and Health Assistants,Health Insurance,93
11209,2017,Female,Egypt,Medicine and Surgery,Family Medicine,93
11212,2022,Male,Jordan,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopdics,93
11214,2021,Female,Palestine,Pharmacists and Pharmacy Technicians,Pharmacy,93
11218,2022,Male,Saudi Arabia,Technicians and Health Assistants,Laboratory-Biochemistry,93
11219,2017,Male,Pakistan,Nursing and Midwifery,Nursing,92
11220,2019,Male,Sudan,Nursing and Midwifery,Nursing,92
11224,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Family Dentistry,92
11227,2018,Female,India,Therapy and Rehabilitation,Physiotherapy,92
11231,2022,Male,Egypt,Medicine and Surgery,Vascular Surgery,92
11233,2016,Male,Lebanon,Nursing and Midwifery,Nursing,92
11234,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Clinical Nutrition,92
11236,2020,Male,Pakistan,Medicine and Surgery,Pediatrics,92
11237,2018,Female,Egypt,Medicine and Surgery,Family Medicine,91
