,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
28752,2017,Male,Tunisia,Medicine and Surgery,43
28753,2020,Female,Yemen,Nursing and Midwifery,42
28757,2020,Female,Nigeria,Nursing and Midwifery,42
28758,2016,Male,Sudan,Therapy and Rehabilitation,42
28759,2018,Male,Lebanon,Dentistry and Related Specialties,42
28761,2016,Female,Portugal,Nursing and Midwifery,42
28762,2017,Female,Palestine,Laboratories and Medical Technology,42
28763,2020,Male,Greece,Medicine and Surgery,42
28764,2022,Female,India,Technicians and Health Assistants,42
28769,2021,Female,Tunisia,Dentistry and Related Specialties,42
28770,2017,Male,Bahrain,Medicine and Surgery,42
28772,2019,Female,Palestine,Dentistry and Related Specialties,42
28776,2016,Female,Palestine,Therapy and Rehabilitation,42
28780,2019,Male,Jordan,Technicians and Health Assistants,41
28781,2022,Male,Russia,Medicine and Surgery,41
28783,2021,Female,Canada,Medicine and Surgery,41
28784,2017,Male,Pakistan,Therapy and Rehabilitation,41
28789,2020,Male,Ireland,Medicine and Surgery,41
28797,2016,Female,Palestine,Laboratories and Medical Technology,41
28800,2022,Female,Eritrea,Laboratories and Medical Technology,41
28802,2018,Female,United States,Medicine and Surgery,41
28803,2020,Male,Lebanon,Nursing and Midwifery,41
28804,2020,Female,Philippines,Medicine and Surgery,41
28813,2019,Female,Palestine,Pharmacists and Pharmacy Technicians,40
28816,2018,Male,Syria,Nursing and Midwifery,40
28818,2019,Male,Canada,Medicine and Surgery,40
28820,2020,Female,Palestine,Pharmacists and Pharmacy Technicians,40
28821,2020,Female,Yemen,Laboratories and Medical Technology,40
28824,2018,Female,Palestine,Laboratories and Medical Technology,40
28827,2019,Female,Syria,Therapy and Rehabilitation,40
28829,2017,Male,Syria,Laboratories and Medical Technology,40
28833,2021,Male,Philippines,Medicine and Surgery,40
28837,2020,Male,Cuba,Medicine and Surgery,39
28842,2022,Female,Portugal,Nursing and Midwifery,39
28846,2020,Female,Egypt,Technicians and Health Assistants,39
28847,2019,Female,United States,Medicine and Surgery,39
28849,2016,Male,Syria,Laboratories and Medical Technology,39
28850,2017,Female,India,Pharmacists and Pharmacy Technicians,39
28853,2019,Female,Cuba,Medicine and Surgery,39
28855,2016,Female,United States,Therapy and Rehabilitation,39
28856,2021,Female,Portugal,Nursing and Midwifery,39
28858,2016,Male,Sudan,Health Administration and Community Health,39
28862,2016,Female,Syria,Laboratories and Medical Technology,39
28863,2019,Male,Sudan,Therapy and Rehabilitation,39
28866,2018,Female,Syria,Laboratories and Medical Technology,39
28870,2020,Female,Finland,Nursing and Midwifery,38
28876,2022,Female,Eritrea,Dentistry and Related Specialties,38
28882,2019,Male,Greece,Medicine and Surgery,38
28884,2018,Female,Pakistan,Pharmacists and Pharmacy Technicians,38
28888,2022,Male,Yemen,Technicians and Health Assistants,38
28890,2022,Female,Lebanon,Therapy and Rehabilitation,38
28893,2017,Male,Pakistan,Technicians and Health Assistants,38
28894,2018,Male,Syria,Laboratories and Medical Technology,38
28897,2020,Male,Jordan,Technicians and Health Assistants,38
28898,2022,Male,Tunisia,Dentistry and Related Specialties,37
28903,2019,Male,Lebanon,Dentistry and Related Specialties,37
28907,2018,Male,Philippines,Medicine and Surgery,37
28911,2016,Female,South Korea,Nursing and Midwifery,37
28913,2020,Female,United States,Medicine and Surgery,37
28917,2019,Male,Yemen,Laboratories and Medical Technology,37
28924,2017,Male,Bangladesh,Pharmacists and Pharmacy Technicians,37
28926,2021,Male,Sudan,Health Administration and Community Health,37
28927,2016,Male,Bangladesh,Pharmacists and Pharmacy Technicians,37
28929,2018,Female,Tunisia,Nursing and Midwifery,37
28932,2022,Male,Kuwait,Medicine and Surgery,37
28933,2021,Female,Eritrea,Nursing and Midwifery,37
28937,2016,Male,Tunisia,Medicine and Surgery,36
28942,2017,Female,Palestine,Medicine and Surgery,36
28944,2017,Male,Syria,Therapy and Rehabilitation,36
28945,2019,Male,Bahrain,Medicine and Surgery,36
28953,2018,Female,India,Pharmacists and Pharmacy Technicians,36
28958,2016,Male,Pakistan,Therapy and Rehabilitation,36
28959,2017,Female,Lebanon,Medicine and Surgery,36
28960,2016,Male,Tunisia,Nursing and Midwifery,36
28961,2016,Male,Syria,Therapy and Rehabilitation,36
28965,2020,Male,Algeria,Medicine and Surgery,36
28968,2017,Female,United States,Therapy and Rehabilitation,36
28975,2019,Male,United States,Therapy and Rehabilitation,35
28978,2016,Male,Philippines,Technicians and Health Assistants,35
28982,2022,Male,Palestine,Nursing and Midwifery,35
28983,2019,Male,Cuba,Medicine and Surgery,35
28984,2016,Female,India,Pharmacists and Pharmacy Technicians,35
28985,2022,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,35
28987,2021,Female,Immigrant Tribes,Nursing and Midwifery,35
28989,2020,Male,Syria,Laboratories and Medical Technology,35
28991,2022,Male,United States,Therapy and Rehabilitation,35
28996,2016,Male,Pakistan,Technicians and Health Assistants,35
28997,2022,Male,Bangladesh,Pharmacists and Pharmacy Technicians,35
28999,2021,Male,Germany,Medicine and Surgery,35
29000,2017,Female,Lebanon,Dentistry and Related Specialties,35
29004,2022,Male,Azerbaijan,Medicine and Surgery,35
29104,2021,Male,United States,Therapy and Rehabilitation,34
29287,2017,Female,Portugal,Nursing and Midwifery,34
29562,2019,Male,Nigeria,Therapy and Rehabilitation,34
29581,2019,Male,Syria,Laboratories and Medical Technology,34
29605,2017,Female,Bangladesh,Medicine and Surgery,34
29620,2018,Male,Pakistan,Technicians and Health Assistants,34
29774,2018,Male,Greece,Medicine and Surgery,34
29884,2018,Female,Cuba,Medicine and Surgery,34
30127,2021,Female,Tunisia,Therapy and Rehabilitation,34
30136,2022,Male,Afghanistan,Medicine and Surgery,34
30354,2016,Female,South Africa,Laboratories and Medical Technology,34
30405,2020,Female,Palestine,Therapy and Rehabilitation,34
30417,2016,Male,Bahrain,Medicine and Surgery,34
30459,2020,Male,Philippines,Medicine and Surgery,34
30471,2016,Female,Bahrain,Medicine and Surgery,34
30530,2016,Female,Lebanon,Therapy and Rehabilitation,34
30534,2016,Female,Lebanon,Medicine and Surgery,34
31234,2022,Male,United States,Dentistry and Related Specialties,34
33048,2020,Female,Syria,Therapy and Rehabilitation,33
33049,2018,Male,Indonesia,Nursing and Midwifery,33
33053,2018,Male,Palestine,Laboratories and Medical Technology,33
33054,2021,Female,Finland,Nursing and Midwifery,33
33057,2020,Male,Indonesia,Nursing and Midwifery,33
33061,2017,Female,Eritrea,Laboratories and Medical Technology,33
33063,2017,Female,Bangladesh,Nursing and Midwifery,33
33067,2019,Female,Tunisia,Medicine and Surgery,33
33069,2016,Male,Malaysia,Nursing and Midwifery,33
33074,2019,Male,Ireland,Medicine and Surgery,33
33077,2016,Female,Bangladesh,Medicine and Surgery,33
33078,2017,Male,Greece,Medicine and Surgery,33
33081,2019,Male,Malaysia,Nursing and Midwifery,32
33082,2018,Male,Nigeria,Therapy and Rehabilitation,32
33083,2017,Male,Cuba,Medicine and Surgery,32
33084,2022,Female,Eritrea,Medicine and Surgery,32
33086,2017,Female,Czech Republic,Therapy and Rehabilitation,32
33091,2016,Male,United States,Nursing and Midwifery,32
33094,2021,Female,Somalia,Medicine and Surgery,32
33096,2018,Female,Czech Republic,Therapy and Rehabilitation,32
33097,2016,Female,Lebanon,Dentistry and Related Specialties,32
33099,2022,Male,Immigrant Tribes,Therapy and Rehabilitation,32
33100,2022,Female,Finland,Nursing and Midwifery,32
33102,2017,Female,Lebanon,Therapy and Rehabilitation,32
33103,2017,Male,Palestine,Laboratories and Medical Technology,32
33105,2017,Female,Nigeria,Nursing and Midwifery,32
33109,2020,Male,Pakistan,Technicians and Health Assistants,32
33111,2018,Female,Pakistan,Laboratories and Medical Technology,32
33113,2022,Male,Iraq,Medicine and Surgery,32
33116,2021,Female,Somalia,Laboratories and Medical Technology,32
33117,2019,Male,Philippines,Medicine and Surgery,32
33181,2018,Male,Cuba,Medicine and Surgery,31
33309,2018,Female,United States,Therapy and Rehabilitation,31
33408,2017,Male,Malaysia,Nursing and Midwifery,31
33510,2017,Male,South Africa,Nursing and Midwifery,31
33587,2017,Male,Nigeria,Therapy and Rehabilitation,31
33646,2018,Male,South Africa,Nursing and Midwifery,31
33652,2018,Male,Syria,Therapy and Rehabilitation,31
33709,2017,Female,South Africa,Laboratories and Medical Technology,31
33745,2019,Male,Syria,Nursing and Midwifery,31
33786,2017,Female,Pakistan,Therapy and Rehabilitation,31
33790,2019,Male,Indonesia,Nursing and Midwifery,31
33855,2018,Female,Lebanon,Dentistry and Related Specialties,31
34018,2021,Female,Pakistan,Laboratories and Medical Technology,31
34222,2020,Male,United States,Therapy and Rehabilitation,31
34777,2016,Male,Kuwait,Medicine and Surgery,31
34787,2020,Female,Palestine,Laboratories and Medical Technology,31
34885,2020,Female,Scotland,Nursing and Midwifery,31
34912,2016,Male,Ireland,Medicine and Surgery,31
35028,2016,Female,Yemen,Pharmacists and Pharmacy Technicians,31
35155,2016,Female,Czech Republic,Therapy and Rehabilitation,31
35166,2016,Male,United States,Laboratories and Medical Technology,30
35169,2016,Male,South Africa,Nursing and Midwifery,30
35174,2016,Female,Palestine,Medicine and Surgery,30
35175,2017,Male,Indonesia,Nursing and Midwifery,30
35176,2016,Male,Palestine,Laboratories and Medical Technology,30
35178,2019,Female,Palestine,Therapy and Rehabilitation,30
35186,2019,Male,United Kingdom,Nursing and Midwifery,30
35190,2022,Female,Cuba,Nursing and Midwifery,30
35192,2020,Male,Palestine,Laboratories and Medical Technology,30
35193,2022,Male,Somalia,Medicine and Surgery,30
35194,2019,Female,Nigeria,Nursing and Midwifery,30
35203,2019,Male,Palestine,Laboratories and Medical Technology,30
35207,2020,Male,Malaysia,Nursing and Midwifery,30
35349,2022,Male,Syria,Technicians and Health Assistants,29
35392,2020,Female,India,Pharmacists and Pharmacy Technicians,29
35429,2018,Male,Kuwait,Medicine and Surgery,29
35525,2021,Male,Spain,Medicine and Surgery,29
35621,2021,Female,Eritrea,Dentistry and Related Specialties,29
35645,2019,Male,Pakistan,Technicians and Health Assistants,29
35661,2021,Female,Lebanon,Therapy and Rehabilitation,29
35775,2020,Male,United Kingdom,Nursing and Midwifery,29
35991,2019,Female,Portugal,Nursing and Midwifery,29
36171,2022,Female,Slovakia,Nursing and Midwifery,29
36231,2017,Female,Pakistan,Laboratories and Medical Technology,29
36381,2017,Male,Tunisia,Nursing and Midwifery,29
36570,2016,Female,Eritrea,Laboratories and Medical Technology,29
36594,2016,Female,Nigeria,Medicine and Surgery,29
36761,2022,Male,Italy,Medicine and Surgery,29
36890,2018,Female,Palestine,Medicine and Surgery,29
37086,2018,Female,Tunisia,Medicine and Surgery,29
37256,2021,Female,Pakistan,Pharmacists and Pharmacy Technicians,28
37260,2017,Male,United States,Nursing and Midwifery,28
37262,2016,Female,Syria,Nursing and Midwifery,28
37264,2022,Female,Sudan,Health Administration and Community Health,28
37267,2019,Female,Czech Republic,Therapy and Rehabilitation,28
37268,2018,Female,Lebanon,Medicine and Surgery,28
37269,2022,Male,Tunisia,Therapy and Rehabilitation,28
37272,2017,Female,Cuba,Medicine and Surgery,28
37276,2017,Female,Syria,Nursing and Midwifery,28
37277,2020,Female,Bangladesh,Nursing and Midwifery,28
37280,2018,Male,Ireland,Medicine and Surgery,28
37286,2018,Female,Yemen,Nursing and Midwifery,28
37287,2016,Female,India,Technicians and Health Assistants,28
37288,2019,Female,Yemen,Nursing and Midwifery,28
37289,2016,Female,Slovakia,Nursing and Midwifery,28
37290,2022,Female,Eritrea,Therapy and Rehabilitation,28
37295,2021,Female,Tunisia,Technicians and Health Assistants,28
37299,2022,Female,Tunisia,Laboratories and Medical Technology,28
37302,2020,Female,Syria,Nursing and Midwifery,28
37303,2021,Female,South Africa,Laboratories and Medical Technology,28
37308,2019,Female,United States,Therapy and Rehabilitation,28
37309,2018,Female,Bangladesh,Medicine and Surgery,28
37310,2017,Male,Ireland,Medicine and Surgery,28
37315,2022,Male,United States,Laboratories and Medical Technology,28
38001,2021,Female,United States,Therapy and Rehabilitation,27
38260,2022,Male,Eritrea,Medicine and Surgery,27
38341,2022,Female,Serbia,Nursing and Midwifery,27
38456,2018,Female,Portugal,Nursing and Midwifery,27
38459,2017,Female,Yemen,Pharmacists and Pharmacy Technicians,27
38465,2017,Female,Yemen,Nursing and Midwifery,27
38467,2017,Female,Yemen,Health Administration and Community Health,27
38599,2017,Female,Slovakia,Nursing and Midwifery,27
38613,2019,Male,South Africa,Nursing and Midwifery,27
38807,2017,Male,Kuwait,Medicine and Surgery,27
38956,2020,Female,Pakistan,Therapy and Rehabilitation,27
38961,2020,Female,Palestine,Medicine and Surgery,27
38998,2018,Male,Malaysia,Nursing and Midwifery,27
39281,2020,Female,Cuba,Medicine and Surgery,27
39361,2018,Female,Syria,Nursing and Midwifery,26
39364,2019,Female,Syria,Laboratories and Medical Technology,26
39369,2021,Female,India,Technicians and Health Assistants,26
39373,2022,Female,South Africa,Laboratories and Medical Technology,26
39376,2021,Female,Slovakia,Nursing and Midwifery,26
39377,2016,Female,Nigeria,Nursing and Midwifery,26
39380,2019,Male,Tunisia,Nursing and Midwifery,26
39381,2021,Male,Bangladesh,Pharmacists and Pharmacy Technicians,26
39384,2019,Female,Syria,Nursing and Midwifery,26
39389,2021,Male,Immigrant Tribes,Nursing and Midwifery,26
39390,2020,Male,Sudan,Technicians and Health Assistants,26
39391,2021,Female,Palestine,Nursing and Midwifery,26
39393,2020,Female,United Kingdom,Medicine and Surgery,26
39394,2021,Male,Kuwait,Medicine and Surgery,26
39403,2019,Female,India,Pharmacists and Pharmacy Technicians,26
39405,2020,Male,South Africa,Nursing and Midwifery,26
39410,2017,Female,Tunisia,Medicine and Surgery,26
39411,2017,Male,United States,Laboratories and Medical Technology,26
39412,2020,Male,Syria,Nursing and Midwifery,26
39417,2018,Female,Sudan,Health Administration and Community Health,25
39427,2022,Male,Turkey,Medicine and Surgery,25
39432,2019,Female,Yemen,Health Administration and Community Health,25
39434,2018,Female,Eritrea,Laboratories and Medical Technology,25
39437,2021,Female,Eritrea,Laboratories and Medical Technology,25
39438,2018,Female,Slovakia,Nursing and Midwifery,25
39439,2018,Female,Pakistan,Therapy and Rehabilitation,25
39451,2022,Female,Azerbaijan,Medicine and Surgery,24
39452,2017,Female,United States,Dentistry and Related Specialties,24
39453,2019,Female,Lebanon,Dentistry and Related Specialties,24
39455,2016,Female,Philippines,Technicians and Health Assistants,24
39457,2022,Female,Poland,Nursing and Midwifery,24
39460,2020,Male,Syria,Therapy and Rehabilitation,24
39466,2019,Female,Palestine,Laboratories and Medical Technology,24
39469,2016,Female,Cuba,Medicine and Surgery,24
39474,2021,Female,Sudan,Technicians and Health Assistants,24
39475,2016,Male,Greece,Medicine and Surgery,24
39476,2022,Female,Iraq,Medicine and Surgery,24
39477,2020,Female,Portugal,Nursing and Midwifery,24
39479,2019,Female,Pakistan,Laboratories and Medical Technology,24
39483,2021,Male,Tunisia,Dentistry and Related Specialties,24
39489,2020,Female,Pakistan,Laboratories and Medical Technology,24
39493,2021,Male,Yemen,Technicians and Health Assistants,24
39494,2018,Female,Nigeria,Nursing and Midwifery,24
39495,2022,Female,Palestine,Health Administration and Community Health,24
39496,2021,Male,Azerbaijan,Medicine and Surgery,24
39500,2020,Female,South Africa,Laboratories and Medical Technology,24
39501,2016,Female,Tunisia,Medicine and Surgery,24
39503,2020,Female,Czech Republic,Therapy and Rehabilitation,24
39512,2021,Male,United States,Dentistry and Related Specialties,24
39514,2018,Male,United States,Nursing and Midwifery,24
39517,2017,Male,France,Medicine and Surgery,24
39518,2019,Female,Palestine,Medicine and Surgery,24
39519,2022,Female,Greece,Medicine and Surgery,24
39521,2022,Male,United Kingdom,Laboratories and Medical Technology,24
39525,2022,Male,Argentina,Medicine and Surgery,23
39526,2016,Female,United States,Laboratories and Medical Technology,23
39527,2022,Male,Australia,Nursing and Midwifery,23
39528,2019,Female,United Kingdom,Medicine and Surgery,23
39529,2016,Female,United States,Dentistry and Related Specialties,23
39532,2022,Male,Immigrant Tribes,Dentistry and Related Specialties,23
39537,2022,Male,Canada,Laboratories and Medical Technology,23
39539,2017,Female,India,Technicians and Health Assistants,23
39546,2019,Female,Bangladesh,Nursing and Midwifery,23
39547,2020,Male,France,Medicine and Surgery,23
39551,2018,Female,Lebanon,Therapy and Rehabilitation,23
39552,2020,Female,Bangladesh,Medicine and Surgery,23
39553,2020,Female,United States,Therapy and Rehabilitation,23
39555,2020,Female,Syria,Laboratories and Medical Technology,23
39558,2017,Female,United Kingdom,Medicine and Surgery,23
39563,2018,Male,Bangladesh,Pharmacists and Pharmacy Technicians,23
39564,2017,Female,Sudan,Health Administration and Community Health,23
39567,2021,Male,United States,Laboratories and Medical Technology,23
39568,2021,Male,Palestine,Nursing and Midwifery,23
39574,2017,Female,Tunisia,Dentistry and Related Specialties,23
39575,2018,Female,Yemen,Health Administration and Community Health,23
39576,2022,Female,Somalia,Dentistry and Related Specialties,23
39577,2022,Female,Ethiopia,Nursing and Midwifery,23
39586,2016,Male,Canada,Therapy and Rehabilitation,22
39588,2020,Female,Somalia,Nursing and Midwifery,22
39589,2022,Male,United Kingdom,Dentistry and Related Specialties,22
39591,2020,Female,Slovakia,Nursing and Midwifery,22
39593,2019,Male,United States,Nursing and Midwifery,22
39595,2018,Female,Canada,Medicine and Surgery,22
39596,2017,Female,Philippines,Technicians and Health Assistants,22
39599,2018,Female,India,Technicians and Health Assistants,22
39607,2018,Female,South Africa,Laboratories and Medical Technology,22
39608,2016,Female,Pakistan,Therapy and Rehabilitation,22
39611,2019,Male,Syria,Therapy and Rehabilitation,22
39612,2022,Male,United States,Pharmacists and Pharmacy Technicians,22
39613,2018,Female,United Kingdom,Medicine and Surgery,22
39617,2016,Female,Pakistan,Laboratories and Medical Technology,22
39620,2017,Female,United States,Laboratories and Medical Technology,22
39622,2021,Female,Chad,Nursing and Midwifery,22
39623,2021,Male,Yemen,Nursing and Midwifery,22
39626,2022,Female,Morocco,Nursing and Midwifery,22
39627,2019,Male,France,Medicine and Surgery,22
39633,2018,Male,France,Medicine and Surgery,22
39635,2016,Male,Australia,Nursing and Midwifery,22
39637,2018,Female,Yemen,Pharmacists and Pharmacy Technicians,22
39639,2021,Male,Russia,Medicine and Surgery,22
39640,2017,Male,Australia,Nursing and Midwifery,22
39641,2022,Male,Lebanon,Therapy and Rehabilitation,22
39642,2019,Female,Bangladesh,Medicine and Surgery,22
39644,2020,Female,Lebanon,Medicine and Surgery,22
39648,2018,Male,United States,Laboratories and Medical Technology,21
39658,2021,Male,Italy,Medicine and Surgery,21
39661,2022,Male,Palestine,Technicians and Health Assistants,21
39663,2021,Female,Czech Republic,Therapy and Rehabilitation,21
39666,2022,Female,Palestine,Technicians and Health Assistants,21
39669,2016,Male,Indonesia,Nursing and Midwifery,21
39674,2019,Female,Lebanon,Medicine and Surgery,21
39678,2016,Male,Germany,Medicine and Surgery,21
39684,2018,Female,Yemen,Technicians and Health Assistants,21
39690,2022,Female,Russia,Medicine and Surgery,21
39691,2018,Female,Bangladesh,Nursing and Midwifery,21
39697,2019,Female,Pakistan,Therapy and Rehabilitation,21
39700,2016,Male,Nigeria,Therapy and Rehabilitation,21
39703,2021,Female,Greece,Medicine and Surgery,21
39706,2016,Male,France,Medicine and Surgery,21
39707,2020,Male,Spain,Medicine and Surgery,21
39708,2021,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,21
39709,2021,Male,Turkey,Medicine and Surgery,21
39711,2020,Female,Tunisia,Therapy and Rehabilitation,21
39720,2016,Female,Yemen,Nursing and Midwifery,20
39721,2017,Female,United States,Pharmacists and Pharmacy Technicians,20
39723,2016,Female,Somalia,Nursing and Midwifery,20
39724,2020,Female,Tunisia,Dentistry and Related Specialties,20
39731,2020,Male,Yemen,Therapy and Rehabilitation,20
39737,2022,Male,United States,Nursing and Midwifery,20
39739,2022,Male,Canada,Dentistry and Related Specialties,20
39740,2017,Male,Germany,Medicine and Surgery,20
39744,2016,Female,Sudan,Technicians and Health Assistants,20
39745,2017,Male,Palestine,Therapy and Rehabilitation,20
39746,2021,Female,Eritrea,Medicine and Surgery,20
39748,2021,Male,Afghanistan,Medicine and Surgery,20
39750,2021,Male,United Kingdom,Laboratories and Medical Technology,20
39754,2021,Male,United Kingdom,Dentistry and Related Specialties,20
39759,2022,Female,United States,Dentistry and Related Specialties,20
39761,2016,Male,United States,Dentistry and Related Specialties,20
39763,2019,Female,South Africa,Laboratories and Medical Technology,20
39765,2018,Female,Philippines,Technicians and Health Assistants,20
39768,2022,Male,Immigrant Tribes,Medicine and Surgery,20
39772,2020,Female,Lebanon,Dentistry and Related Specialties,20
39774,2018,Male,Tunisia,Nursing and Midwifery,20
39775,2018,Female,Tunisia,Dentistry and Related Specialties,20
39778,2022,Male,Bangladesh,Laboratories and Medical Technology,20
40507,2016,Male,Cuba,Medicine and Surgery,19
40526,2016,Female,United States,Pharmacists and Pharmacy Technicians,19
40543,2017,Female,Somalia,Medicine and Surgery,19
40555,2017,Female,Yemen,Technicians and Health Assistants,19
40571,2017,Female,Canada,Medicine and Surgery,19
40656,2016,Female,Canada,Medicine and Surgery,19
40717,2019,Male,Bangladesh,Pharmacists and Pharmacy Technicians,19
40758,2019,Female,Slovakia,Nursing and Midwifery,19
40764,2019,Male,Palestine,Therapy and Rehabilitation,19
40816,2020,Female,Algeria,Medicine and Surgery,19
40880,2019,Female,Canada,Medicine and Surgery,19
40884,2018,Male,Palestine,Therapy and Rehabilitation,19
40896,2018,Male,Sudan,Technicians and Health Assistants,19
41441,2022,Female,Iraq,Dentistry and Related Specialties,19
41553,2021,Male,Iraq,Medicine and Surgery,19
41568,2022,Male,Portugal,Nursing and Midwifery,19
41644,2022,Female,Syria,Health Administration and Community Health,19
41676,2022,Female,United States,Therapy and Rehabilitation,19
41820,2020,Female,Yemen,Health Administration and Community Health,19
41852,2018,Male,United States,Pharmacists and Pharmacy Technicians,18
41853,2016,Female,United Kingdom,Medicine and Surgery,18
41856,2022,Male,Nigeria,Nursing and Midwifery,18
41857,2020,Male,Germany,Medicine and Surgery,18
41861,2019,Male,United States,Laboratories and Medical Technology,18
41868,2019,Female,Pakistan,Pharmacists and Pharmacy Technicians,18
41870,2020,Female,Canada,Medicine and Surgery,18
41876,2019,Female,Lebanon,Therapy and Rehabilitation,18
41878,2021,Female,Eritrea,Therapy and Rehabilitation,18
41879,2021,Male,Syria,Technicians and Health Assistants,18
41880,2020,Male,Palestine,Therapy and Rehabilitation,18
41882,2022,Male,Immigrant Tribes,Laboratories and Medical Technology,18
41885,2021,Female,Azerbaijan,Medicine and Surgery,18
41887,2016,Male,Spain,Medicine and Surgery,18
41890,2022,Female,Canada,Dentistry and Related Specialties,18
41891,2022,Male,Canada,Nursing and Midwifery,18
41894,2022,Female,Egypt,Health Administration and Community Health,18
41896,2021,Female,Serbia,Nursing and Midwifery,18
41897,2020,Female,India,Technicians and Health Assistants,18
41898,2017,Male,United States,Dentistry and Related Specialties,18
41900,2018,Male,Germany,Medicine and Surgery,18
41902,2017,Male,United States,Technicians and Health Assistants,18
41903,2017,Male,United States,Pharmacists and Pharmacy Technicians,18
41905,2016,Female,Canada,Therapy and Rehabilitation,18
41908,2019,Female,Yemen,Technicians and Health Assistants,18
41910,2017,Male,Sudan,Technicians and Health Assistants,18
41919,2018,Female,United States,Laboratories and Medical Technology,18
41921,2018,Female,Tunisia,Therapy and Rehabilitation,18
41923,2018,Male,Australia,Nursing and Midwifery,18
41925,2019,Male,Germany,Medicine and Surgery,18
41933,2021,Female,United States,Dentistry and Related Specialties,18
41939,2017,Male,Canada,Therapy and Rehabilitation,18
41941,2022,Male,Algeria,Dentistry and Related Specialties,18
41942,2019,Female,Sudan,Health Administration and Community Health,18
41944,2019,Female,Tunisia,Dentistry and Related Specialties,18
41945,2019,Female,Tunisia,Therapy and Rehabilitation,18
43287,2016,Female,Yemen,Health Administration and Community Health,17
43297,2020,Female,Lebanon,Therapy and Rehabilitation,17
43300,2016,Female,Yemen,Technicians and Health Assistants,17
43309,2020,Male,Bangladesh,Pharmacists and Pharmacy Technicians,17
43328,2022,Male,Canada,Therapy and Rehabilitation,17
43329,2022,Male,Bangladesh,Dentistry and Related Specialties,17
43336,2020,Female,Yemen,Technicians and Health Assistants,17
43359,2022,Male,Lebanon,Laboratories and Medical Technology,17
43364,2020,Female,United Kingdom,Laboratories and Medical Technology,17
43387,2017,Female,Canada,Dentistry and Related Specialties,17
43406,2017,Female,Lebanon,Pharmacists and Pharmacy Technicians,17
43443,2016,Male,Palestine,Nursing and Midwifery,17
43473,2016,Male,United States,Technicians and Health Assistants,17
43482,2019,Male,Sudan,Technicians and Health Assistants,17
43553,2021,Male,United States,Pharmacists and Pharmacy Technicians,17
43588,2021,Female,Tunisia,Laboratories and Medical Technology,17
43590,2021,Male,Australia,Nursing and Midwifery,17
43600,2021,Male,Nigeria,Nursing and Midwifery,17
43608,2021,Female,Palestine,Health Administration and Community Health,17
43649,2022,Female,Philippines,Technicians and Health Assistants,17
43658,2020,Male,Scotland,Medicine and Surgery,17
43680,2020,Male,Kuwait,Medicine and Surgery,17
43725,2020,Male,United States,Nursing and Midwifery,17
43726,2020,Male,United States,Laboratories and Medical Technology,17
43727,2022,Female,Malaysia,Therapy and Rehabilitation,17
43744,2022,Female,Lebanon,Pharmacists and Pharmacy Technicians,17
43877,2017,Male,Yemen,Therapy and Rehabilitation,17
43886,2017,Male,United Kingdom,Laboratories and Medical Technology,17
43918,2019,Female,India,Technicians and Health Assistants,17
43929,2019,Female,Eritrea,Laboratories and Medical Technology,17
43936,2018,Male,Spain,Medicine and Surgery,17
43951,2017,Female,Tunisia,Therapy and Rehabilitation,17
43966,2018,Female,United States,Dentistry and Related Specialties,17
43991,2018,Female,United Kingdom,Laboratories and Medical Technology,17
43995,2019,Female,United Kingdom,Laboratories and Medical Technology,17
44006,2018,Female,United States,Pharmacists and Pharmacy Technicians,17
44044,2020,Male,United Kingdom,Laboratories and Medical Technology,16
44131,2020,Male,Tunisia,Dentistry and Related Specialties,16
44144,2021,Female,Syria,Health Administration and Community Health,16
44317,2021,Female,Philippines,Technicians and Health Assistants,16
44329,2019,Male,United States,Pharmacists and Pharmacy Technicians,16
44378,2020,Female,Eritrea,Nursing and Midwifery,16
44461,2019,Male,Canada,Therapy and Rehabilitation,16
45263,2021,Male,Tunisia,Therapy and Rehabilitation,16
45267,2021,Male,United States,Nursing and Midwifery,16
45350,2022,Female,Ireland,Medicine and Surgery,16
45380,2021,Male,Ghana,Therapy and Rehabilitation,16
45410,2021,Male,Canada,Laboratories and Medical Technology,16
45411,2021,Male,Canada,Nursing and Midwifery,16
45596,2022,Male,United States,Technicians and Health Assistants,16
45599,2022,Male,Venezuela,Medicine and Surgery,16
45600,2022,Male,Yemen,Health Administration and Community Health,16
45680,2022,Male,Immigrant Tribes,Technicians and Health Assistants,16
45689,2022,Male,Kenya,Therapy and Rehabilitation,16
46799,2016,Male,Somalia,Medicine and Surgery,16
46816,2017,Female,Eritrea,Nursing and Midwifery,16
46845,2017,Female,Somalia,Nursing and Midwifery,16
46919,2016,Female,Singapore,Nursing and Midwifery,16
46933,2016,Female,South Africa,Therapy and Rehabilitation,16
46937,2016,Female,Sudan,Health Administration and Community Health,16
46940,2016,Female,Tunisia,Dentistry and Related Specialties,16
47133,2018,Female,Somalia,Medicine and Surgery,16
47622,2016,Female,Eritrea,Nursing and Midwifery,16
50132,2016,Male,United States,Pharmacists and Pharmacy Technicians,15
50133,2017,Male,Spain,Medicine and Surgery,15
50136,2022,Male,Ghana,Therapy and Rehabilitation,15
50138,2022,Male,Ireland,Nursing and Midwifery,15
