,Active_Years,City_Name_En,Longitude,Latitude,Gender_Name_En,Nationality_En,Medical_Field_En,Number_of_Practitioners
15102,2018,Khobar,50.080072,26.182911,Female,Philippines,Laboratories and Medical Technology,74
15177,2018,Jeddah,39.192505,21.485811,Male,Sudan,Medicine and Surgery,74
15190,2018,Jeddah,39.192505,21.485811,Male,Syria,Dentistry and Related Specialties,74
15201,2022,Khamis Mushait,42.766233,18.309339,Male,Egypt,Pharmacists and Pharmacy Technicians,73
15204,2016,Jazan,42.570567,16.889359,Female,Saudi Arabia,Nursing and Midwifery,73
15208,2021,Dhahran,50.039302,26.236125,Female,Saudi Arabia,Dentistry and Related Specialties,73
15209,2018,Taif,40.424819,21.284078,Female,Egypt,Nursing and Midwifery,73
15211,2017,Riyadh,46.675296,24.713552,Male,Jordan,Therapy and Rehabilitation,73
15213,2018,Taif,40.424819,21.284078,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,73
15214,2021,Yanbu,38.155484,24.056528,Male,Saudi Arabia,Technicians and Health Assistants,73
15215,2022,Riyadh,46.675296,24.713552,Male,Lebanon,Nursing and Midwifery,73
15216,2022,Riyadh,46.675296,24.713552,Male,Pakistan,Laboratories and Medical Technology,73
15217,2020,Al-Ahsa,49.449963,25.141626,Female,Egypt,Medicine and Surgery,73
15218,2022,Khamis Mushait,42.766233,18.309339,Male,Philippines,Nursing and Midwifery,73
15221,2017,Dhahran,50.039302,26.236125,Female,South Africa,Nursing and Midwifery,73
15222,2020,Khamis Mushait,42.766233,18.309339,Male,Saudi Arabia,Technicians and Health Assistants,73
15223,2020,Riyadh,46.675296,24.713552,Male,Philippines,Technicians and Health Assistants,73
15224,2022,Qunfudah,41.078739,19.12814,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,73
15228,2022,Jeddah,39.192505,21.485811,Female,Yemen,Laboratories and Medical Technology,73
15230,2020,Jeddah,39.192505,21.485811,Female,Egypt,Dentistry and Related Specialties,73
15233,2016,Jeddah,39.192505,21.485811,Female,Sudan,Laboratories and Medical Technology,73
15235,2016,Khobar,50.080072,26.182911,Female,Philippines,Laboratories and Medical Technology,73
15237,2018,Riyadh,46.675296,24.713552,Female,Jordan,Dentistry and Related Specialties,73
15240,2020,Najran,44.228944,17.565604,Male,Sudan,Medicine and Surgery,73
15243,2020,Jazan,42.570567,16.889359,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,73
15245,2022,Buraidah,43.981812,26.359231,Female,Egypt,Medicine and Surgery,73
15246,2018,Najran,44.228944,17.565604,Male,Egypt,Medicine and Surgery,73
15247,2021,Arar,41.059564,30.959945,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,73
15250,2017,Madinah,39.569184,24.524654,Male,Sudan,Medicine and Surgery,73
15254,2022,Sakaka,40.104306,29.878003,Male,Saudi Arabia,Dentistry and Related Specialties,73
15261,2021,Abha,42.511724,18.246468,Male,Philippines,Nursing and Midwifery,73
15263,2021,Madinah,39.569184,24.524654,Female,Pakistan,Nursing and Midwifery,73
15265,2020,Riyadh,46.675296,24.713552,Male,India,Technicians and Health Assistants,72
15268,2018,Riyadh,46.675296,24.713552,Male,United States,Medicine and Surgery,72
15273,2019,Albahah,41.471273,20.021741,Male,Egypt,Medicine and Surgery,72
15274,2021,Jeddah,39.192505,21.485811,Male,Palestine,Medicine and Surgery,72
15276,2019,Jeddah,39.192505,21.485811,Male,Sudan,Medicine and Surgery,72
15278,2022,Qassim,43.483738,26.207826,Male,Syria,Dentistry and Related Specialties,72
15280,2019,Riyadh,46.675296,24.713552,Male,Syria,Pharmacists and Pharmacy Technicians,72
15282,2022,Taif,40.424819,21.284078,Male,Syria,Dentistry and Related Specialties,72
15283,2017,Taif,40.424819,21.284078,Male,Philippines,Nursing and Midwifery,72
15285,2017,Khobar,50.080072,26.182911,Female,Saudi Arabia,Therapy and Rehabilitation,72
15286,2016,Riyadh,46.675296,24.713552,Female,Egypt,Therapy and Rehabilitation,72
15288,2018,Jeddah,39.192505,21.485811,Male,Syria,Medicine and Surgery,72
15291,2022,Jeddah,39.192505,21.485811,Male,India,Dentistry and Related Specialties,72
15293,2019,Madinah,39.569184,24.524654,Female,Malaysia,Nursing and Midwifery,72
15295,2021,Alqatif  ,49.998236,26.576492,Female,India,Nursing and Midwifery,72
15296,2022,Dhahran,50.039302,26.236125,Female,Philippines,Dentistry and Related Specialties,72
15297,2019,Taif,40.424819,21.284078,Male,Sudan,Medicine and Surgery,72
15298,2017,Jeddah,39.192505,21.485811,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,72
15300,2017,Makkah,39.857912,21.389082,Male,Philippines,Nursing and Midwifery,72
15301,2021,Alkharj  ,47.324788,24.157604,Male,Saudi Arabia,Nursing and Midwifery,72
15303,2020,Qassim,43.483738,26.207826,Female,Sudan,Medicine and Surgery,72
15305,2016,Riyadh,46.675296,24.713552,Female,Jordan,Dentistry and Related Specialties,72
15308,2022,Tabuk,36.566191,28.383508,Male,Pakistan,Medicine and Surgery,72
15309,2018,Jazan,42.570567,16.889359,Male,Saudi Arabia,Laboratories and Medical Technology,72
15313,2021,Albahah,41.471273,20.021741,Female,Egypt,Medicine and Surgery,72
15315,2022,Riyadh,46.675296,24.713552,Female,Jordan,Laboratories and Medical Technology,72
15317,2017,Alquriyat,37.361353,31.329635,Female,India,Nursing and Midwifery,72
15318,2021,Madinah,39.569184,24.524654,Male,Pakistan,Medicine and Surgery,72
15320,2022,Jubail,49.568742,26.959771,Male,Egypt,Pharmacists and Pharmacy Technicians,72
15323,2022,Riyadh,46.675296,24.713552,Male,India,Technicians and Health Assistants,71
15326,2017,Jazan,42.570567,16.889359,Male,Saudi Arabia,Laboratories and Medical Technology,71
15327,2022,Unaizah,43.987546,26.090731,Female,Philippines,Nursing and Midwifery,71
15329,2021,Khamis Mushait,42.766233,18.309339,Male,Saudi Arabia,Therapy and Rehabilitation,71
15330,2021,Al-Ahsa,49.449963,25.141626,Male,Sudan,Medicine and Surgery,71
15331,2017,Riyadh,46.675296,24.713552,Female,Ireland,Nursing and Midwifery,71
15333,2019,Tabuk,36.566191,28.383508,Male,Saudi Arabia,Laboratories and Medical Technology,71
15334,2022,Jazan,42.570567,16.889359,Male,India,Medicine and Surgery,71
15338,2021,Alqatif  ,49.998236,26.576492,Female,Saudi Arabia,Technicians and Health Assistants,71
15341,2022,Jubail,49.568742,26.959771,Female,Saudi Arabia,Therapy and Rehabilitation,71
15342,2022,Tabuk,36.566191,28.383508,Female,Egypt,Nursing and Midwifery,71
15343,2017,Riyadh,46.675296,24.713552,Male,Pakistan,Pharmacists and Pharmacy Technicians,71
15348,2020,Riyadh,46.675296,24.713552,Male,Yemen,Medicine and Surgery,71
15350,2021,Taif,40.424819,21.284078,Male,Syria,Medicine and Surgery,71
15353,2021,Makkah,39.857912,21.389082,Male,Egypt,Technicians and Health Assistants,71
15354,2017,Madinah,39.569184,24.524654,Female,Malaysia,Nursing and Midwifery,71
15356,2022,Hail,41.720824,27.51141,Female,Saudi Arabia,Dentistry and Related Specialties,71
15358,2016,Riyadh,46.675296,24.713552,Male,United Kingdom,Medicine and Surgery,71
15359,2020,Taif,40.424819,21.284078,Female,Philippines,Laboratories and Medical Technology,71
15365,2022,Dammam,50.088794,26.420683,Male,Egypt,Nursing and Midwifery,71
15366,2018,Riyadh,46.675296,24.713552,Male,Pakistan,Pharmacists and Pharmacy Technicians,71
15367,2020,Riyadh,46.675296,24.713552,Male,Jordan,Therapy and Rehabilitation,71
15369,2017,Makkah,39.857912,21.389082,Female,Saudi Arabia,Health Administration and Community Health,71
15371,2021,Makkah,39.857912,21.389082,Male,India,Medicine and Surgery,71
15374,2017,Khobar,50.080072,26.182911,Female,Egypt,Medicine and Surgery,71
15376,2018,Hafr Albatin,45.962711,28.378415,Male,Egypt,Medicine and Surgery,71
15378,2018,Madinah,39.569184,24.524654,Male,Sudan,Medicine and Surgery,71
15379,2022,Dammam,50.088794,26.420683,Male,Jordan,Nursing and Midwifery,71
15380,2017,Hail,41.720824,27.51141,Female,Saudi Arabia,Nursing and Midwifery,71
15382,2021,Bisha,42.590167,19.976352,Male,Saudi Arabia,Health Administration and Community Health,70
15386,2021,Riyadh,46.675296,24.713552,Female,Palestine,Dentistry and Related Specialties,70
15389,2017,Jazan,42.570567,16.889359,Male,Sudan,Medicine and Surgery,70
15390,2022,Jeddah,39.192505,21.485811,Female,Sudan,Dentistry and Related Specialties,70
15394,2019,Madinah,39.569184,24.524654,Female,Egypt,Nursing and Midwifery,70
15395,2019,Madinah,39.569184,24.524654,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,70
15397,2017,Riyadh,46.675296,24.713552,Female,Sudan,Therapy and Rehabilitation,70
15400,2022,Jeddah,39.192505,21.485811,Male,Syria,Pharmacists and Pharmacy Technicians,70
15402,2016,Jazan,42.570567,16.889359,Male,Egypt,Pharmacists and Pharmacy Technicians,70
15403,2019,Tabuk,36.566191,28.383508,Male,Saudi Arabia,Technicians and Health Assistants,70
15405,2022,Albahah,41.471273,20.021741,Male,Egypt,Pharmacists and Pharmacy Technicians,70
15406,2017,Riyadh,46.675296,24.713552,Male,India,Pharmacists and Pharmacy Technicians,70
15407,2021,Bisha,42.590167,19.976352,Male,Saudi Arabia,Nursing and Midwifery,70
15410,2016,Jeddah,39.192505,21.485811,Male,Syria,Dentistry and Related Specialties,70
15411,2018,Riyadh,46.675296,24.713552,Female,Egypt,Therapy and Rehabilitation,70
15413,2021,Jubail,49.568742,26.959771,Female,Saudi Arabia,Nursing and Midwifery,70
15414,2021,Alquriyat,37.361353,31.329635,Male,Saudi Arabia,Technicians and Health Assistants,70
15416,2021,Jeddah,39.192505,21.485811,Male,Pakistan,Pharmacists and Pharmacy Technicians,70
15417,2021,Khobar,50.080072,26.182911,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,70
15422,2018,Madinah,39.569184,24.524654,Female,Saudi Arabia,Laboratories and Medical Technology,70
15423,2022,Alkharj  ,47.324788,24.157604,Female,Saudi Arabia,Laboratories and Medical Technology,70
15424,2019,Alqatif  ,49.998236,26.576492,Female,Saudi Arabia,Laboratories and Medical Technology,70
15426,2016,Dammam,50.088794,26.420683,Male,India,Nursing and Midwifery,70
15429,2019,Najran,44.228944,17.565604,Male,Egypt,Medicine and Surgery,70
15431,2018,Makkah,39.857912,21.389082,Male,India,Nursing and Midwifery,70
15432,2016,Yanbu,38.155484,24.056528,Female,India,Nursing and Midwifery,70
15433,2018,Riyadh,46.675296,24.713552,Male,Jordan,Therapy and Rehabilitation,70
15435,2020,Alqatif  ,49.998236,26.576492,Female,Saudi Arabia,Dentistry and Related Specialties,69
15442,2022,Hail,41.720824,27.51141,Male,Pakistan,Medicine and Surgery,69
15443,2020,Jeddah,39.192505,21.485811,Female,Egypt,Pharmacists and Pharmacy Technicians,69
15447,2020,Albahah,41.471273,20.021741,Male,Saudi Arabia,Therapy and Rehabilitation,69
15450,2017,Jazan,42.570567,16.889359,Male,Saudi Arabia,Nursing and Midwifery,69
15451,2018,Riyadh,46.675296,24.713552,Male,India,Pharmacists and Pharmacy Technicians,69
15454,2022,Jazan,42.570567,16.889359,Male,Philippines,Nursing and Midwifery,69
15462,2017,Tabuk,36.566191,28.383508,Male,Saudi Arabia,Health Administration and Community Health,69
15465,2019,Al-Ahsa,49.449963,25.141626,Female,Egypt,Medicine and Surgery,69
15472,2022,Khamis Mushait,42.766233,18.309339,Male,Sudan,Medicine and Surgery,69
15473,2016,Dhahran,50.039302,26.236125,Female,South Africa,Nursing and Midwifery,69
15474,2019,Riyadh,46.675296,24.713552,Male,Jordan,Therapy and Rehabilitation,69
15477,2019,Khafji,48.460487,28.336004,Female,Philippines,Nursing and Midwifery,69
15478,2020,Makkah,39.857912,21.389082,Male,Pakistan,Medicine and Surgery,69
15480,2019,Arar,41.059564,30.959945,Female,Philippines,Nursing and Midwifery,69
15481,2022,Al-Ahsa,49.449963,25.141626,Male,Egypt,Technicians and Health Assistants,69
15482,2021,Almajma,45.373069,25.875887,Male,Saudi Arabia,Laboratories and Medical Technology,69
15484,2016,Madinah,39.569184,24.524654,Male,Sudan,Medicine and Surgery,69
15487,2019,Makkah,39.857912,21.389082,Male,India,Nursing and Midwifery,69
15489,2019,Makkah,39.857912,21.389082,Female,Saudi Arabia,Medicine and Surgery,69
15491,2016,Khobar,50.080072,26.182911,Female,Egypt,Medicine and Surgery,69
15492,2016,Jazan,42.570567,16.889359,Male,Sudan,Medicine and Surgery,69
15493,2020,Makkah,39.857912,21.389082,Male,Philippines,Nursing and Midwifery,69
15494,2022,Makkah,39.857912,21.389082,Male,Jordan,Nursing and Midwifery,69
15501,2021,Makkah,39.857912,21.389082,Female,Philippines,Laboratories and Medical Technology,68
15503,2018,Jazan,42.570567,16.889359,Female,Saudi Arabia,Technicians and Health Assistants,68
15505,2022,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Therapy and Rehabilitation,68
15506,2019,Khobar,50.080072,26.182911,Female,Philippines,Laboratories and Medical Technology,68
15507,2022,Hafr Albatin,45.962711,28.378415,Male,Egypt,Pharmacists and Pharmacy Technicians,68
15508,2019,Abha,42.511724,18.246468,Male,Saudi Arabia,Nursing and Midwifery,68
15510,2022,Hail,41.720824,27.51141,Female,Saudi Arabia,Technicians and Health Assistants,68
15512,2017,Jeddah,39.192505,21.485811,Female,India,Medicine and Surgery,68
15513,2020,Riyadh,46.675296,24.713552,Female,Syria,Medicine and Surgery,68
15514,2022,Alrass,43.522231,25.851747,Male,Saudi Arabia,Laboratories and Medical Technology,68
15515,2020,Hail,41.720824,27.51141,Female,Egypt,Medicine and Surgery,68
15517,2020,Riyadh,46.675296,24.713552,Female,Sudan,Dentistry and Related Specialties,68
15519,2019,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Nursing and Midwifery,68
15520,2022,Makkah,39.857912,21.389082,Male,Egypt,Nursing and Midwifery,68
15525,2021,Riyadh,46.675296,24.713552,Male,India,Technicians and Health Assistants,68
15526,2016,Jubail,49.568742,26.959771,Male,Egypt,Medicine and Surgery,68
15530,2019,Albahah,41.471273,20.021741,Male,Saudi Arabia,Health Administration and Community Health,68
15534,2021,Riyadh,46.675296,24.713552,Male,Yemen,Dentistry and Related Specialties,68
15536,2022,Khobar,50.080072,26.182911,Female,Saudi Arabia,Technicians and Health Assistants,68
15537,2021,Arar,41.059564,30.959945,Female,Saudi Arabia,Laboratories and Medical Technology,68
15538,2018,Riyadh,46.675296,24.713552,Female,India,Dentistry and Related Specialties,68
15539,2017,Taif,40.424819,21.284078,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,68
15543,2022,Abha,42.511724,18.246468,Female,Philippines,Laboratories and Medical Technology,68
15544,2018,Riyadh,46.675296,24.713552,Male,United Kingdom,Medicine and Surgery,68
15545,2019,Qassim,43.483738,26.207826,Female,Saudi Arabia,Therapy and Rehabilitation,68
15547,2022,Dammam,50.088794,26.420683,Male,Philippines,Laboratories and Medical Technology,68
15549,2022,Riyadh,46.675296,24.713552,Female,Palestine,Laboratories and Medical Technology,68
15552,2019,Tabuk,36.566191,28.383508,Female,Saudi Arabia,Laboratories and Medical Technology,68
15553,2017,Jeddah,39.192505,21.485811,Female,China,Nursing and Midwifery,68
15556,2021,Yanbu,38.155484,24.056528,Female,India,Nursing and Midwifery,68
15559,2020,Arar,41.059564,30.959945,Male,Saudi Arabia,Nursing and Midwifery,67
15562,2020,Jeddah,39.192505,21.485811,Male,India,Nursing and Midwifery,67
15563,2018,Riyadh,46.675296,24.713552,Female,Jordan,Pharmacists and Pharmacy Technicians,67
15564,2017,Albahah,41.471273,20.021741,Male,Egypt,Medicine and Surgery,67
15565,2022,Albahah,41.471273,20.021741,Female,Philippines,Laboratories and Medical Technology,67
15567,2022,Dhahran,50.039302,26.236125,Female,Malaysia,Nursing and Midwifery,67
15569,2016,Taif,40.424819,21.284078,Female,Philippines,Laboratories and Medical Technology,67
15572,2016,Makkah,39.857912,21.389082,Male,Saudi Arabia,Nursing and Midwifery,67
15579,2021,Jeddah,39.192505,21.485811,Male,Palestine,Dentistry and Related Specialties,67
15582,2019,Jazan,42.570567,16.889359,Male,Sudan,Medicine and Surgery,67
15583,2022,Alkharj  ,47.324788,24.157604,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,67
15584,2016,Taif,40.424819,21.284078,Female,Egypt,Nursing and Midwifery,67
15585,2022,Alkharj  ,47.324788,24.157604,Male,Saudi Arabia,Therapy and Rehabilitation,67
15591,2022,Alquriyat,37.361353,31.329635,Male,Saudi Arabia,Therapy and Rehabilitation,67
15593,2016,Alqatif  ,49.998236,26.576492,Female,India,Nursing and Midwifery,67
15594,2019,Taif,40.424819,21.284078,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,67
15595,2022,Alrass,43.522231,25.851747,Female,Philippines,Nursing and Midwifery,67
15596,2021,Riyadh,46.675296,24.713552,Female,Jordan,Dentistry and Related Specialties,67
15597,2016,Taif,40.424819,21.284078,Male,Pakistan,Medicine and Surgery,67
15598,2022,Al-Ahsa,49.449963,25.141626,Female,Malaysia,Nursing and Midwifery,67
15601,2020,Khobar,50.080072,26.182911,Female,Philippines,Laboratories and Medical Technology,67
15602,2021,Bisha,42.590167,19.976352,Male,Saudi Arabia,Laboratories and Medical Technology,67
15603,2021,Riyadh,46.675296,24.713552,Female,Egypt,Laboratories and Medical Technology,67
15604,2022,Dammam,50.088794,26.420683,Female,Sudan,Laboratories and Medical Technology,67
15606,2017,Taif,40.424819,21.284078,Male,Sudan,Medicine and Surgery,67
15607,2019,Najran,44.228944,17.565604,Male,Saudi Arabia,Nursing and Midwifery,67
15608,2017,Taif,40.424819,21.284078,Male,Saudi Arabia,Technicians and Health Assistants,67
15610,2021,Riyadh,46.675296,24.713552,Female,Lebanon,Nursing and Midwifery,67
15611,2020,Jazan,42.570567,16.889359,Female,Egypt,Medicine and Surgery,67
15612,2016,Qassim,43.483738,26.207826,Female,Saudi Arabia,Technicians and Health Assistants,67
15614,2022,Hafr Albatin,45.962711,28.378415,Male,Saudi Arabia,Medicine and Surgery,67
15616,2019,Madinah,39.569184,24.524654,Male,Sudan,Medicine and Surgery,67
15617,2022,Alquriyat,37.361353,31.329635,Male,Saudi Arabia,Health Administration and Community Health,67
15619,2022,Arar,41.059564,30.959945,Male,Syria,Medicine and Surgery,66
15621,2020,Buraidah,43.981812,26.359231,Male,Saudi Arabia,Nursing and Midwifery,66
15627,2017,Riyadh,46.675296,24.713552,Female,Jordan,Therapy and Rehabilitation,66
15628,2019,Jeddah,39.192505,21.485811,Female,Philippines,Dentistry and Related Specialties,66
15630,2018,Taif,40.424819,21.284078,Male,Philippines,Nursing and Midwifery,66
15631,2017,Albahah,41.471273,20.021741,Male,Saudi Arabia,Therapy and Rehabilitation,66
15633,2022,Makkah,39.857912,21.389082,Female,Malaysia,Nursing and Midwifery,66
15634,2021,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Technicians and Health Assistants,66
15638,2021,Unaizah,43.987546,26.090731,Female,Philippines,Nursing and Midwifery,66
15640,2021,Riyadh,46.675296,24.713552,Female,Jordan,Pharmacists and Pharmacy Technicians,66
15642,2022,Jubail,49.568742,26.959771,Female,Egypt,Medicine and Surgery,66
15643,2022,Makkah,39.857912,21.389082,Male,Sudan,Laboratories and Medical Technology,66
15644,2022,Tabuk,36.566191,28.383508,Male,Philippines,Nursing and Midwifery,66
15645,2017,Jeddah,39.192505,21.485811,Male,Sudan,Medicine and Surgery,66
15648,2020,Hafr Albatin,45.962711,28.378415,Male,Saudi Arabia,Laboratories and Medical Technology,66
15649,2019,Qassim,43.483738,26.207826,Female,Egypt,Medicine and Surgery,66
15651,2017,Madinah,39.569184,24.524654,Male,Philippines,Nursing and Midwifery,66
15654,2016,Jeddah,39.192505,21.485811,Male,India,Pharmacists and Pharmacy Technicians,66
15657,2019,Riyadh,46.675296,24.713552,Female,India,Laboratories and Medical Technology,66
15660,2022,Qassim,43.483738,26.207826,Female,Saudi Arabia,Health Administration and Community Health,66
15665,2017,Yanbu,38.155484,24.056528,Male,Egypt,Medicine and Surgery,66
15669,2021,Najran,44.228944,17.565604,Male,Saudi Arabia,Medicine and Surgery,66
15673,2020,Abha,42.511724,18.246468,Male,Sudan,Medicine and Surgery,66
15674,2016,Najran,44.228944,17.565604,Male,Egypt,Medicine and Surgery,66
15676,2018,Jeddah,39.192505,21.485811,Male,Jordan,Pharmacists and Pharmacy Technicians,66
15677,2018,Taif,40.424819,21.284078,Male,Sudan,Medicine and Surgery,66
15678,2017,Najran,44.228944,17.565604,Male,Egypt,Medicine and Surgery,66
15680,2020,Riyadh,46.675296,24.713552,Male,India,Pharmacists and Pharmacy Technicians,66
15681,2016,Abha,42.511724,18.246468,Male,Saudi Arabia,Laboratories and Medical Technology,66
15683,2016,Alquriyat,37.361353,31.329635,Female,India,Nursing and Midwifery,65
15684,2020,Taif,40.424819,21.284078,Male,Philippines,Nursing and Midwifery,65
15686,2021,Taif,40.424819,21.284078,Male,Saudi Arabia,Dentistry and Related Specialties,65
15687,2016,Madinah,39.569184,24.524654,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,65
15691,2019,Qassim,43.483738,26.207826,Female,Saudi Arabia,Technicians and Health Assistants,65
15692,2022,Arar,41.059564,30.959945,Male,Pakistan,Medicine and Surgery,65
15693,2020,Qassim,43.483738,26.207826,Male,Sudan,Medicine and Surgery,65
15695,2018,Yanbu,38.155484,24.056528,Female,India,Nursing and Midwifery,65
15697,2021,Alquriyat,37.361353,31.329635,Female,Philippines,Nursing and Midwifery,65
15698,2021,Khobar,50.080072,26.182911,Male,Philippines,Laboratories and Medical Technology,65
15699,2020,Hafr Albatin,45.962711,28.378415,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,65
15702,2021,Khobar,50.080072,26.182911,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,65
15704,2019,Riyadh,46.675296,24.713552,Female,Syria,Medicine and Surgery,65
15705,2018,Madinah,39.569184,24.524654,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,65
15707,2019,Riyadh,46.675296,24.713552,Male,United Kingdom,Medicine and Surgery,65
15709,2019,Jeddah,39.192505,21.485811,Male,Syria,Dentistry and Related Specialties,65
15712,2021,Khamis Mushait,42.766233,18.309339,Female,Egypt,Medicine and Surgery,65
15714,2019,Riyadh,46.675296,24.713552,Female,United States,Nursing and Midwifery,65
15717,2020,Jeddah,39.192505,21.485811,Male,Syria,Medicine and Surgery,65
15719,2021,Bisha,42.590167,19.976352,Male,Egypt,Medicine and Surgery,65
15720,2019,Riyadh,46.675296,24.713552,Female,Sudan,Nursing and Midwifery,65
15722,2016,Khobar,50.080072,26.182911,Female,Saudi Arabia,Therapy and Rehabilitation,65
15723,2016,Taif,40.424819,21.284078,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,65
15724,2016,Khobar,50.080072,26.182911,Male,India,Nursing and Midwifery,65
15725,2019,Al-Ahsa,49.449963,25.141626,Female,Philippines,Laboratories and Medical Technology,65
15728,2018,Dammam,50.088794,26.420683,Male,India,Nursing and Midwifery,65
15729,2022,Alquriyat,37.361353,31.329635,Female,India,Nursing and Midwifery,65
15733,2018,Abha,42.511724,18.246468,Male,Philippines,Nursing and Midwifery,65
15749,2022,Abha,42.511724,18.246468,Male,Syria,Medicine and Surgery,64
15751,2022,Najran,44.228944,17.565604,Female,Saudi Arabia,Laboratories and Medical Technology,64
15753,2021,Qassim,43.483738,26.207826,Female,Saudi Arabia,Medicine and Surgery,64
15757,2016,Taif,40.424819,21.284078,Male,Sudan,Medicine and Surgery,64
15759,2022,Albahah,41.471273,20.021741,Male,Syria,Medicine and Surgery,64
15760,2020,Al-Ahsa,49.449963,25.141626,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,64
15761,2017,Hafr Albatin,45.962711,28.378415,Female,Saudi Arabia,Nursing and Midwifery,64
15762,2018,Arar,41.059564,30.959945,Female,Saudi Arabia,Nursing and Midwifery,64
15766,2016,Yanbu,38.155484,24.056528,Male,Egypt,Medicine and Surgery,64
15770,2021,Jeddah,39.192505,21.485811,Male,Jordan,Pharmacists and Pharmacy Technicians,64
15776,2022,Al-Ahsa,49.449963,25.141626,Female,Philippines,Therapy and Rehabilitation,64
15778,2021,Najran,44.228944,17.565604,Female,Egypt,Medicine and Surgery,64
15779,2018,Al-Ahsa,49.449963,25.141626,Female,Egypt,Medicine and Surgery,64
15782,2019,Hail,41.720824,27.51141,Male,Saudi Arabia,Nursing and Midwifery,64
15783,2018,Riyadh,46.675296,24.713552,Female,Sudan,Therapy and Rehabilitation,64
15785,2018,Riyadh,46.675296,24.713552,Female,Sudan,Nursing and Midwifery,64
15786,2019,Arar,41.059564,30.959945,Female,Saudi Arabia,Nursing and Midwifery,64
15787,2019,Riyadh,46.675296,24.713552,Male,India,Pharmacists and Pharmacy Technicians,64
15788,2021,Riyadh,46.675296,24.713552,Female,Syria,Pharmacists and Pharmacy Technicians,64
15790,2017,Khobar,50.080072,26.182911,Male,India,Nursing and Midwifery,64
15791,2016,Riyadh,46.675296,24.713552,Male,Jordan,Dentistry and Related Specialties,64
15792,2022,Tabuk,36.566191,28.383508,Male,Syria,Dentistry and Related Specialties,64
15794,2016,Riyadh,46.675296,24.713552,Female,New Zealand,Nursing and Midwifery,64
15795,2022,Khamis Mushait,42.766233,18.309339,Male,Saudi Arabia,Dentistry and Related Specialties,64
15798,2017,Riyadh,46.675296,24.713552,Male,Jordan,Dentistry and Related Specialties,64
15800,2021,Riyadh,46.675296,24.713552,Female,Jordan,Therapy and Rehabilitation,64
15802,2017,Riyadh,46.675296,24.713552,Female,Egypt,Laboratories and Medical Technology,63
15804,2018,Albahah,41.471273,20.021741,Male,Egypt,Medicine and Surgery,63
15807,2018,Riyadh,46.675296,24.713552,Female,Egypt,Laboratories and Medical Technology,63
15808,2017,Jeddah,39.192505,21.485811,Male,India,Pharmacists and Pharmacy Technicians,63
15809,2016,Jeddah,39.192505,21.485811,Female,India,Medicine and Surgery,63
15812,2021,Qassim,43.483738,26.207826,Female,Saudi Arabia,Laboratories and Medical Technology,63
15815,2021,Hail,41.720824,27.51141,Female,Saudi Arabia,Health Administration and Community Health,63
15816,2019,Sakaka,40.104306,29.878003,Male,Saudi Arabia,Laboratories and Medical Technology,63
15819,2021,Jeddah,39.192505,21.485811,Male,India,Laboratories and Medical Technology,63
15820,2016,Riyadh,46.675296,24.713552,Female,Finland,Nursing and Midwifery,63
15822,2016,Madinah,39.569184,24.524654,Male,Philippines,Nursing and Midwifery,63
15826,2020,Abha,42.511724,18.246468,Male,Philippines,Nursing and Midwifery,63
15835,2016,Riyadh,46.675296,24.713552,Female,Jordan,Therapy and Rehabilitation,63
15837,2017,Taif,40.424819,21.284078,Female,Philippines,Laboratories and Medical Technology,63
15838,2017,Abha,42.511724,18.246468,Female,Egypt,Medicine and Surgery,63
15839,2018,Riyadh,46.675296,24.713552,Male,Jordan,Dentistry and Related Specialties,63
15841,2022,Safwa,49.926055,26.660006,Female,Saudi Arabia,Laboratories and Medical Technology,63
15843,2016,Makkah,39.857912,21.389082,Female,Indonesia,Nursing and Midwifery,63
15844,2021,Dammam,50.088794,26.420683,Male,Sudan,Medicine and Surgery,63
15845,2017,Madinah,39.569184,24.524654,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,63
15846,2020,Dammam,50.088794,26.420683,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,63
15848,2021,Dawadmi,44.418179,24.5167,Male,Saudi Arabia,Health Administration and Community Health,63
15850,2022,Khobar,50.080072,26.182911,Male,Saudi Arabia,Health Administration and Community Health,63
