,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Age_Group_En,Number_of_Practitioners
15372,2019,Female,India,Laboratories and Medical Technology,From 40 to 49,89
15374,2017,Male,India,Dentistry and Related Specialties,From 30 to 39,89
15375,2019,Male,Jordan,Dentistry and Related Specialties,From 30 to 39,89
15378,2017,Female,Saudi Arabia,Health Administration and Community Health,From 40 to 49,89
15379,2020,Male,Yemen,Dentistry and Related Specialties,From 30 to 39,89
15380,2022,Female,Yemen,Nursing and Midwifery,From 20 to 29,89
15382,2020,Female,Yemen,Dentistry and Related Specialties,From 30 to 39,89
15384,2016,Female,Pakistan,Medicine and Surgery,From 50 to 59,89
15387,2018,Female,Saudi Arabia,Medicine and Surgery,From 50 to 59,89
15389,2019,Female,India,Medicine and Surgery,From 40 to 49,89
15391,2022,Female,Philippines,Therapy and Rehabilitation,From 50 to 59,89
15393,2022,Male,Malaysia,Nursing and Midwifery,From 30 to 39,89
15400,2019,Male,India,Laboratories and Medical Technology,From 30 to 39,88
15403,2021,Female,Palestine,Dentistry and Related Specialties,From 20 to 29,88
15404,2020,Female,Pakistan,Medicine and Surgery,From 50 to 59,88
15408,2017,Female,Pakistan,Medicine and Surgery,From 50 to 59,88
15409,2022,Male,Philippines,Technicians and Health Assistants,From 30 to 39,88
15411,2021,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,88
15412,2017,Female,Pakistan,Dentistry and Related Specialties,From 30 to 39,88
15417,2017,Male,Philippines,Therapy and Rehabilitation,From 30 to 39,88
15544,2020,Male,Jordan,Pharmacists and Pharmacy Technicians,From 40 to 49,87
15552,2018,Male,Syria,Medicine and Surgery,From 30 to 39,87
15721,2020,Female,India,Medicine and Surgery,From 40 to 49,87
15838,2020,Female,Saudi Arabia,Laboratories and Medical Technology,From 50 to 59,87
16019,2017,Male,Jordan,Medicine and Surgery,From 30 to 39,87
16030,2017,Male,Egypt,Therapy and Rehabilitation,From 30 to 39,87
16043,2018,Male,Egypt,Therapy and Rehabilitation,From 30 to 39,87
16109,2018,Male,India,Laboratories and Medical Technology,From 30 to 39,87
16305,2016,Female,Saudi Arabia,Health Administration and Community Health,From 40 to 49,87
16494,2016,Female,Sudan,Therapy and Rehabilitation,From 30 to 39,87
16770,2021,Male,India,Pharmacists and Pharmacy Technicians,From 40 to 49,87
16869,2017,Female,India,Laboratories and Medical Technology,From 50 to 59,87
17452,2020,Male,Yemen,Medicine and Surgery,From 30 to 39,86
17454,2022,Male,Sudan,Nursing and Midwifery,From 40 to 49,86
17456,2022,Male,India,Laboratories and Medical Technology,From 50 to 59,86
17458,2021,Female,India,Dentistry and Related Specialties,From 40 to 49,86
17459,2016,Female,India,Nursing and Midwifery,From 20 to 29,86
17464,2021,Female,Jordan,Dentistry and Related Specialties,From 30 to 39,86
17466,2022,Male,Palestine,Medicine and Surgery,From 20 to 29,86
17467,2022,Female,Egypt,Laboratories and Medical Technology,From 20 to 29,86
17468,2022,Male,Jordan,Therapy and Rehabilitation,From 40 to 49,86
17470,2020,Female,Philippines,Therapy and Rehabilitation,From 20 to 29,86
17474,2018,Female,Philippines,Dentistry and Related Specialties,From 30 to 39,85
17479,2020,Female,Malaysia,Nursing and Midwifery,From 20 to 29,85
17480,2021,Female,Philippines,Laboratories and Medical Technology,From 60 to 69,85
17481,2022,Female,India,Laboratories and Medical Technology,From 20 to 29,85
17489,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,From 50 to 59,85
17493,2021,Male,Palestine,Pharmacists and Pharmacy Technicians,From 40 to 49,85
17496,2022,Female,Jordan,Dentistry and Related Specialties,From 20 to 29,85
17499,2018,Male,Egypt,Dentistry and Related Specialties,From 60 to 69,85
17500,2022,Female,Egypt,Therapy and Rehabilitation,From 40 to 49,85
17503,2022,Female,Sudan,Therapy and Rehabilitation,From 40 to 49,84
17505,2021,Female,Lebanon,Nursing and Midwifery,From 20 to 29,84
17506,2022,Male,Jordan,Laboratories and Medical Technology,From 40 to 49,84
17516,2018,Male,Nigeria,Medicine and Surgery,From 30 to 39,84
17517,2019,Male,India,Dentistry and Related Specialties,From 40 to 49,84
17518,2017,Female,Yemen,Dentistry and Related Specialties,From 30 to 39,84
17523,2017,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,84
17524,2018,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,84
17525,2021,Female,Yemen,Therapy and Rehabilitation,From 20 to 29,84
17528,2020,Female,India,Therapy and Rehabilitation,From 30 to 39,83
17530,2017,Female,Jordan,Therapy and Rehabilitation,From 30 to 39,83
17531,2017,Male,Nigeria,Medicine and Surgery,From 30 to 39,83
17534,2022,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,83
17537,2016,Female,Syria,Medicine and Surgery,From 40 to 49,83
17539,2019,Female,Sudan,Pharmacists and Pharmacy Technicians,From 30 to 39,83
17545,2020,Female,Sudan,Therapy and Rehabilitation,From 30 to 39,83
17548,2016,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,83
17549,2021,Male,Saudi Arabia,Medicine and Surgery,From 70 to 79,83
17551,2016,Female,Jordan,Therapy and Rehabilitation,From 30 to 39,83
17552,2016,Male,Saudi Arabia,Nursing and Midwifery,From 60 to 69,83
17553,2022,Male,Syria,Medicine and Surgery,From 70 to 79,83
17554,2022,Male,Lebanon,Nursing and Midwifery,From 40 to 49,83
17555,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 60 to 69,83
17557,2018,Female,Yemen,Dentistry and Related Specialties,From 30 to 39,82
17562,2022,Female,Tunisia,Medicine and Surgery,From 30 to 39,82
17567,2018,Female,Sudan,Nursing and Midwifery,From 30 to 39,82
17569,2022,Male,Syria,Pharmacists and Pharmacy Technicians,From 20 to 29,82
17570,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,82
17572,2017,Male,Jordan,Dentistry and Related Specialties,From 40 to 49,82
17576,2022,Female,South Africa,Nursing and Midwifery,From 60 to 69,82
17578,2016,Female,South Africa,Nursing and Midwifery,From 30 to 39,82
17579,2020,Female,Egypt,Laboratories and Medical Technology,From 30 to 39,82
17583,2021,Female,Egypt,Medicine and Surgery,From 20 to 29,81
17596,2020,Female,India,Laboratories and Medical Technology,From 40 to 49,81
17597,2020,Female,India,Medicine and Surgery,From 30 to 39,81
17598,2017,Female,United Kingdom,Nursing and Midwifery,From 30 to 39,81
17599,2017,Female,China,Nursing and Midwifery,From 20 to 29,81
17605,2020,Male,Syria,Pharmacists and Pharmacy Technicians,From 30 to 39,81
17608,2020,Female,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,80
17611,2016,Male,Jordan,Dentistry and Related Specialties,From 40 to 49,80
17613,2020,Female,Jordan,Dentistry and Related Specialties,From 30 to 39,80
17617,2022,Male,Sudan,Therapy and Rehabilitation,From 20 to 29,80
17619,2016,Male,India,Medicine and Surgery,From 70 to 79,80
17620,2017,Female,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,80
17621,2022,Male,Lebanon,Medicine and Surgery,From 50 to 59,80
17623,2022,Female,Algeria,Medicine and Surgery,From 30 to 39,80
17624,2022,Male,Sudan,Therapy and Rehabilitation,From 40 to 49,80
17626,2017,Male,Philippines,Laboratories and Medical Technology,From 60 to 69,80
17629,2019,Male,Philippines,Laboratories and Medical Technology,From 50 to 59,80
17631,2017,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,80
17633,2021,Female,United Kingdom,Nursing and Midwifery,From 50 to 59,80
17636,2018,Female,Pakistan,Medicine and Surgery,From 50 to 59,80
17638,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,79
17639,2017,Female,Philippines,Pharmacists and Pharmacy Technicians,From 50 to 59,79
17640,2021,Female,Nigeria,Medicine and Surgery,From 30 to 39,79
17641,2016,Female,Saudi Arabia,Medicine and Surgery,From 50 to 59,79
17643,2020,Male,India,Laboratories and Medical Technology,From 40 to 49,79
17644,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 20 to 29,79
17646,2018,Male,Yemen,Medicine and Surgery,From 30 to 39,79
17650,2020,Female,India,Dentistry and Related Specialties,From 30 to 39,79
17651,2020,Female,India,Laboratories and Medical Technology,From 30 to 39,79
17652,2016,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,79
17654,2018,Female,United Kingdom,Nursing and Midwifery,From 50 to 59,79
17656,2018,Female,Yemen,Therapy and Rehabilitation,From 30 to 39,79
17657,2022,Female,Syria,Medicine and Surgery,From 60 to 69,79
17659,2019,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,79
17660,2022,Female,Philippines,Laboratories and Medical Technology,From 60 to 69,79
17663,2022,Male,India,Therapy and Rehabilitation,From 20 to 29,79
17664,2022,Female,Sudan,Dentistry and Related Specialties,From 40 to 49,79
17666,2019,Female,India,Medicine and Surgery,From 30 to 39,79
17667,2021,Male,United Kingdom,Medicine and Surgery,From 50 to 59,79
17670,2018,Male,India,Laboratories and Medical Technology,From 40 to 49,78
17673,2021,Female,Syria,Pharmacists and Pharmacy Technicians,From 20 to 29,78
17674,2022,Female,Jordan,Nursing and Midwifery,From 50 to 59,78
17675,2020,Male,Jordan,Medicine and Surgery,From 50 to 59,78
17676,2016,Female,India,Medicine and Surgery,From 50 to 59,78
17680,2017,Female,Syria,Medicine and Surgery,From 30 to 39,78
17681,2018,Male,India,Dentistry and Related Specialties,From 30 to 39,78
17682,2016,Female,United Kingdom,Nursing and Midwifery,From 60 to 69,78
17683,2016,Male,Philippines,Nursing and Midwifery,From 20 to 29,78
17685,2017,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,78
17689,2017,Male,Sudan,Dentistry and Related Specialties,From 30 to 39,78
17691,2022,Female,Nigeria,Nursing and Midwifery,From 30 to 39,77
17692,2019,Male,Egypt,Technicians and Health Assistants,From 20 to 29,77
17697,2021,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,77
17700,2021,Female,Saudi Arabia,Health Administration and Community Health,From 50 to 59,77
17702,2017,Female,Indonesia,Nursing and Midwifery,From 30 to 39,77
17703,2022,Female,Tunisia,Nursing and Midwifery,From 30 to 39,77
17704,2019,Male,Egypt,Dentistry and Related Specialties,From 60 to 69,77
17706,2018,Male,Philippines,Laboratories and Medical Technology,From 50 to 59,77
17708,2021,Female,Yemen,Dentistry and Related Specialties,From 20 to 29,77
17709,2022,Female,Nigeria,Medicine and Surgery,From 40 to 49,77
17710,2017,Female,United Kingdom,Nursing and Midwifery,From 40 to 49,77
17711,2022,Female,United Kingdom,Nursing and Midwifery,From 40 to 49,77
17716,2021,Male,Tunisia,Medicine and Surgery,From 50 to 59,77
17717,2017,Female,Sudan,Laboratories and Medical Technology,From 20 to 29,77
17734,2019,Female,Philippines,Dentistry and Related Specialties,From 30 to 39,76
17807,2022,Female,Yemen,Medicine and Surgery,From 50 to 59,76
18280,2020,Female,Syria,Dentistry and Related Specialties,From 40 to 49,76
18405,2021,Female,Tunisia,Medicine and Surgery,From 40 to 49,76
18543,2018,Female,Sudan,Laboratories and Medical Technology,From 20 to 29,76
18810,2021,Male,Sudan,Laboratories and Medical Technology,From 50 to 59,76
18846,2019,Male,Sudan,Laboratories and Medical Technology,From 40 to 49,76
18916,2016,Male,Philippines,Laboratories and Medical Technology,From 60 to 69,76
19108,2016,Male,India,Therapy and Rehabilitation,From 30 to 39,76
19176,2019,Female,Syria,Dentistry and Related Specialties,From 40 to 49,76
19184,2022,Male,Egypt,Laboratories and Medical Technology,From 20 to 29,76
19230,2018,Female,Jordan,Therapy and Rehabilitation,From 30 to 39,76
19407,2021,Male,India,Therapy and Rehabilitation,From 40 to 49,76
19439,2017,Female,Syria,Medicine and Surgery,From 40 to 49,76
19751,2022,Male,Jordan,Nursing and Midwifery,From 50 to 59,75
19752,2019,Female,India,Therapy and Rehabilitation,From 30 to 39,75
19753,2016,Female,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,75
19755,2022,Male,Philippines,Therapy and Rehabilitation,From 20 to 29,75
19756,2022,Male,Philippines,Therapy and Rehabilitation,From 50 to 59,75
19764,2021,Male,Jordan,Laboratories and Medical Technology,From 30 to 39,75
19765,2016,Female,Syria,Dentistry and Related Specialties,From 50 to 59,75
19768,2016,Female,Pakistan,Dentistry and Related Specialties,From 30 to 39,75
19770,2022,Female,Yemen,Dentistry and Related Specialties,From 40 to 49,75
19771,2016,Male,Saudi Arabia,Medicine and Surgery,From 50 to 59,75
19772,2020,Male,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,75
19775,2017,Male,Jordan,Therapy and Rehabilitation,From 30 to 39,75
19777,2020,Male,Nigeria,Medicine and Surgery,From 40 to 49,75
19778,2017,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,74
19782,2016,Female,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,74
19783,2017,Female,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,74
19785,2020,Female,Sudan,Medicine and Surgery,From 50 to 59,74
19788,2017,Female,Syria,Dentistry and Related Specialties,From 50 to 59,74
19790,2022,Female,Jordan,Laboratories and Medical Technology,From 30 to 39,74
19793,2018,Male,Jordan,Medicine and Surgery,From 30 to 39,74
19796,2022,Female,Egypt,Therapy and Rehabilitation,From 20 to 29,74
19799,2016,Male,India,Dentistry and Related Specialties,From 30 to 39,74
19800,2022,Female,Palestine,Laboratories and Medical Technology,From 30 to 39,74
19804,2016,Male,Bangladesh,Medicine and Surgery,From 60 to 69,74
19805,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 50 to 59,74
19808,2020,Male,Jordan,Therapy and Rehabilitation,From 30 to 39,74
19812,2019,Male,Jordan,Therapy and Rehabilitation,From 30 to 39,73
19813,2021,Male,Tunisia,Medicine and Surgery,From 40 to 49,73
19816,2019,Male,Saudi Arabia,Health Administration and Community Health,From 60 to 69,73
19820,2021,Female,Jordan,Pharmacists and Pharmacy Technicians,From 30 to 39,73
19822,2018,Male,Sudan,Dentistry and Related Specialties,From 30 to 39,73
19823,2018,Male,Jordan,Therapy and Rehabilitation,From 30 to 39,73
19826,2020,Male,Syria,Medicine and Surgery,From 30 to 39,73
19827,2021,Male,Philippines,Technicians and Health Assistants,From 30 to 39,73
19833,2018,Female,Syria,Medicine and Surgery,From 30 to 39,73
19834,2022,Male,Palestine,Medicine and Surgery,From 60 to 69,72
19837,2018,Female,Pakistan,Dentistry and Related Specialties,From 30 to 39,72
19838,2021,Male,Egypt,Technicians and Health Assistants,From 50 to 59,72
19842,2017,Female,India,Dentistry and Related Specialties,From 40 to 49,72
19843,2017,Female,Sudan,Nursing and Midwifery,From 30 to 39,72
19845,2021,Female,Lebanon,Medicine and Surgery,From 30 to 39,72
19851,2021,Male,Yemen,Medicine and Surgery,From 20 to 29,72
19853,2019,Female,Pakistan,Medicine and Surgery,From 50 to 59,72
19855,2020,Female,Philippines,Pharmacists and Pharmacy Technicians,From 50 to 59,72
19856,2020,Male,Jordan,Medicine and Surgery,From 30 to 39,72
19857,2021,Female,Syria,Pharmacists and Pharmacy Technicians,From 30 to 39,72
19858,2021,Male,Lebanon,Medicine and Surgery,From 30 to 39,72
19860,2016,Male,Egypt,Laboratories and Medical Technology,From 50 to 59,72
19861,2022,Male,Jordan,Dentistry and Related Specialties,From 50 to 59,72
19862,2019,Female,Egypt,Nursing and Midwifery,From 20 to 29,72
19863,2022,Male,Bangladesh,Medicine and Surgery,From 40 to 49,72
19865,2017,Female,Indonesia,Nursing and Midwifery,From 40 to 49,72
19868,2021,Male,India,Pharmacists and Pharmacy Technicians,From 50 to 59,71
19870,2018,Female,United Kingdom,Nursing and Midwifery,From 30 to 39,71
19872,2021,Female,Egypt,Therapy and Rehabilitation,From 40 to 49,71
19873,2016,Male,India,Laboratories and Medical Technology,From 50 to 59,71
19874,2021,Male,Philippines,Laboratories and Medical Technology,From 20 to 29,71
19878,2019,Female,Sudan,Therapy and Rehabilitation,From 30 to 39,71
19884,2016,Male,Egypt,Therapy and Rehabilitation,From 30 to 39,71
19885,2019,Female,Philippines,Pharmacists and Pharmacy Technicians,From 50 to 59,71
19888,2021,Female,Yemen,Laboratories and Medical Technology,From 30 to 39,71
19891,2017,Female,India,Medicine and Surgery,From 50 to 59,71
19892,2021,Male,Syria,Dentistry and Related Specialties,From 60 to 69,71
19893,2018,Female,Syria,Dentistry and Related Specialties,From 50 to 59,71
19894,2021,Male,Sudan,Therapy and Rehabilitation,From 30 to 39,71
19895,2021,Male,Lebanon,Medicine and Surgery,From 40 to 49,71
19902,2018,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,70
19903,2018,Female,India,Laboratories and Medical Technology,From 50 to 59,70
19905,2016,Male,Philippines,Therapy and Rehabilitation,From 30 to 39,70
19908,2017,Male,Bangladesh,Medicine and Surgery,From 60 to 69,70
19909,2022,Female,Sudan,Medicine and Surgery,From 60 to 69,70
19910,2022,Male,Sudan,Dentistry and Related Specialties,From 40 to 49,70
19911,2021,Male,Yemen,Laboratories and Medical Technology,From 30 to 39,70
19912,2019,Male,India,Laboratories and Medical Technology,From 40 to 49,70
19913,2017,Male,India,Laboratories and Medical Technology,From 50 to 59,70
19914,2022,Female,Palestine,Laboratories and Medical Technology,From 20 to 29,70
19916,2016,Female,Syria,Medicine and Surgery,From 30 to 39,70
19917,2019,Female,Malaysia,Nursing and Midwifery,From 60 to 69,70
19918,2018,Female,Jordan,Pharmacists and Pharmacy Technicians,From 30 to 39,70
19922,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,From 40 to 49,70
19923,2018,Female,Jordan,Nursing and Midwifery,From 40 to 49,70
19924,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,From 20 to 29,70
19925,2021,Female,Yemen,Laboratories and Medical Technology,From 20 to 29,70
19926,2021,Female,Philippines,Therapy and Rehabilitation,From 50 to 59,70
19937,2017,Male,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,70
19939,2016,Female,Yemen,Dentistry and Related Specialties,From 30 to 39,70
19944,2022,Male,Pakistan,Laboratories and Medical Technology,From 30 to 39,69
19947,2016,Female,Pakistan,Nursing and Midwifery,From 50 to 59,69
19949,2020,Male,Saudi Arabia,Medicine and Surgery,From 70 to 79,69
19950,2018,Female,China,Nursing and Midwifery,From 20 to 29,69
19955,2016,Female,India,Dentistry and Related Specialties,From 40 to 49,69
19967,2022,Male,Philippines,Dentistry and Related Specialties,From 30 to 39,69
19968,2022,Female,India,Laboratories and Medical Technology,From 50 to 59,69
19970,2021,Female,Jordan,Medicine and Surgery,From 30 to 39,69
19971,2020,Male,Palestine,Dentistry and Related Specialties,From 30 to 39,69
19974,2021,Male,Syria,Pharmacists and Pharmacy Technicians,From 40 to 49,69
19977,2020,Female,Jordan,Therapy and Rehabilitation,From 30 to 39,68
19979,2018,Female,Philippines,Pharmacists and Pharmacy Technicians,From 50 to 59,68
19985,2017,Female,Saudi Arabia,Therapy and Rehabilitation,From 60 to 69,68
19988,2018,Male,Philippines,Laboratories and Medical Technology,From 60 to 69,68
19989,2016,Male,Sudan,Nursing and Midwifery,From 60 to 69,68
19991,2022,Female,Lebanon,Nursing and Midwifery,From 40 to 49,68
19995,2022,Male,United States,Medicine and Surgery,From 40 to 49,68
20003,2017,Female,Yemen,Medicine and Surgery,From 30 to 39,68
20004,2021,Female,Egypt,Laboratories and Medical Technology,From 20 to 29,68
20007,2021,Female,Bahrain,Medicine and Surgery,From 20 to 29,68
20009,2021,Male,Egypt,Dentistry and Related Specialties,From 20 to 29,68
20010,2020,Male,Jordan,Dentistry and Related Specialties,From 40 to 49,67
20011,2021,Male,Malaysia,Nursing and Midwifery,From 30 to 39,67
20012,2022,Male,Egypt,Nursing and Midwifery,From 50 to 59,67
20014,2016,Male,Jordan,Medicine and Surgery,From 30 to 39,67
20017,2022,Female,Pakistan,Medicine and Surgery,From 20 to 29,67
20018,2019,Female,United Kingdom,Nursing and Midwifery,From 50 to 59,67
20019,2021,Female,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,67
20024,2022,Male,Bangladesh,Medicine and Surgery,From 60 to 69,67
20027,2021,Male,Egypt,Medicine and Surgery,From 20 to 29,67
20030,2020,Male,Bangladesh,Medicine and Surgery,From 60 to 69,67
20031,2019,Female,Saudi Arabia,Dentistry and Related Specialties,From 40 to 49,67
20034,2019,Male,Syria,Pharmacists and Pharmacy Technicians,From 30 to 39,67
20042,2019,Female,Syria,Dentistry and Related Specialties,From 30 to 39,67
20045,2019,Female,Syria,Dentistry and Related Specialties,From 50 to 59,66
20046,2019,Female,India,Laboratories and Medical Technology,From 50 to 59,66
20047,2017,Male,Egypt,Laboratories and Medical Technology,From 50 to 59,66
20048,2017,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,66
20052,2018,Male,Jordan,Dentistry and Related Specialties,From 40 to 49,66
20053,2018,Male,Philippines,Dentistry and Related Specialties,From 50 to 59,66
20055,2019,Male,India,Dentistry and Related Specialties,From 30 to 39,66
20056,2019,Male,Bangladesh,Medicine and Surgery,From 60 to 69,66
20057,2018,Female,Philippines,Dentistry and Related Specialties,From 60 to 69,66
20061,2018,Female,Egypt,Pharmacists and Pharmacy Technicians,From 20 to 29,66
20062,2020,Female,Philippines,Dentistry and Related Specialties,From 30 to 39,66
20064,2021,Male,Bangladesh,Medicine and Surgery,From 60 to 69,66
20066,2019,Female,Jordan,Therapy and Rehabilitation,From 30 to 39,66
20069,2022,Female,Jordan,Pharmacists and Pharmacy Technicians,From 20 to 29,66
20070,2020,Female,Syria,Dentistry and Related Specialties,From 50 to 59,66
20074,2022,Male,Sudan,Nursing and Midwifery,From 60 to 69,66
20078,2021,Female,Sudan,Nursing and Midwifery,From 50 to 59,65
20080,2022,Male,Ireland,Medicine and Surgery,From 50 to 59,65
20090,2022,Male,Pakistan,Therapy and Rehabilitation,From 30 to 39,65
20091,2022,Male,Pakistan,Nursing and Midwifery,From 40 to 49,65
20096,2017,Female,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,65
20101,2022,Female,Egypt,Laboratories and Medical Technology,From 50 to 59,65
20102,2021,Female,Yemen,Medicine and Surgery,From 20 to 29,65
20105,2022,Male,Egypt,Therapy and Rehabilitation,From 20 to 29,65
20106,2018,Male,Egypt,Technicians and Health Assistants,From 20 to 29,65
20109,2018,Female,Saudi Arabia,Technicians and Health Assistants,From 40 to 49,65
20112,2022,Male,Yemen,Laboratories and Medical Technology,From 40 to 49,64
20113,2019,Female,Malaysia,Nursing and Midwifery,From 20 to 29,64
20116,2020,Female,India,Medicine and Surgery,From 50 to 59,64
20119,2016,Male,India,Pharmacists and Pharmacy Technicians,From 50 to 59,64
20121,2018,Male,Saudi Arabia,Laboratories and Medical Technology,From 60 to 69,64
20122,2016,Female,Jordan,Laboratories and Medical Technology,From 30 to 39,64
20131,2016,Female,Egypt,Dentistry and Related Specialties,From 50 to 59,64
20132,2016,Male,Sudan,Dentistry and Related Specialties,From 30 to 39,64
20133,2022,Female,Somalia,Nursing and Midwifery,From 30 to 39,64
20135,2017,Male,India,Pharmacists and Pharmacy Technicians,From 50 to 59,64
20136,2019,Male,Philippines,Laboratories and Medical Technology,From 60 to 69,64
20141,2017,Female,Jordan,Laboratories and Medical Technology,From 30 to 39,64
20142,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 60 to 69,63
20143,2020,Female,Jordan,Nursing and Midwifery,From 40 to 49,63
20144,2017,Male,India,Medicine and Surgery,From 70 to 79,63
20145,2020,Male,Egypt,Laboratories and Medical Technology,From 50 to 59,63
20149,2016,Male,Palestine,Medicine and Surgery,From 30 to 39,63
20151,2018,Male,Saudi Arabia,Dentistry and Related Specialties,From 20 to 29,63
20156,2022,Female,Jordan,Medicine and Surgery,From 40 to 49,63
20159,2018,Male,Bangladesh,Medicine and Surgery,From 60 to 69,63
20160,2017,Female,Czech Republic,Nursing and Midwifery,From 30 to 39,63
20163,2018,Male,Saudi Arabia,Nursing and Midwifery,From 20 to 29,63
20166,2017,Male,Saudi Arabia,Dentistry and Related Specialties,From 50 to 59,63
20168,2016,Female,Palestine,Dentistry and Related Specialties,From 30 to 39,63
20175,2022,Male,India,Laboratories and Medical Technology,From 20 to 29,62
20176,2016,Female,Czech Republic,Nursing and Midwifery,From 30 to 39,62
20178,2018,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,62
20179,2017,Female,Pakistan,Nursing and Midwifery,From 50 to 59,62
20180,2021,Female,United Kingdom,Nursing and Midwifery,From 40 to 49,62
20181,2016,Male,United States,Medicine and Surgery,From 50 to 59,62
20182,2019,Female,Yemen,Dentistry and Related Specialties,From 30 to 39,62
20186,2020,Male,India,Medicine and Surgery,From 70 to 79,62
20187,2021,Female,Saudi Arabia,Nursing and Midwifery,From 60 to 69,62
20189,2021,Female,Yemen,Nursing and Midwifery,From 30 to 39,62
20192,2019,Male,Yemen,Medicine and Surgery,From 30 to 39,62
20195,2021,Female,Jordan,Laboratories and Medical Technology,From 30 to 39,62
20196,2021,Male,Palestine,Medicine and Surgery,From 60 to 69,62
20198,2021,Female,Jordan,Therapy and Rehabilitation,From 20 to 29,62
20206,2021,Female,Syria,Medicine and Surgery,From 20 to 29,62
20212,2017,Female,Yemen,Laboratories and Medical Technology,From 30 to 39,62
20215,2017,Female,Saudi Arabia,Medicine and Surgery,From 20 to 29,62
20217,2016,Male,Jordan,Medicine and Surgery,From 50 to 59,62
20234,2016,Male,Saudi Arabia,Medicine and Surgery,From 40 to 49,61
20236,2019,Male,Jordan,Dentistry and Related Specialties,From 40 to 49,61
20237,2022,Male,Saudi Arabia,Dentistry and Related Specialties,From 60 to 69,61
20238,2016,Male,Jordan,Therapy and Rehabilitation,From 30 to 39,61
20239,2020,Male,Philippines,Dentistry and Related Specialties,From 40 to 49,61
20240,2022,Male,India,Technicians and Health Assistants,From 20 to 29,61
20241,2019,Male,Jordan,Medicine and Surgery,From 30 to 39,61
20242,2020,Male,Philippines,Technicians and Health Assistants,From 30 to 39,61
20244,2016,Female,Philippines,Pharmacists and Pharmacy Technicians,From 50 to 59,61
20246,2017,Female,United Kingdom,Nursing and Midwifery,From 60 to 69,61
20247,2019,Male,Yemen,Pharmacists and Pharmacy Technicians,From 30 to 39,61
20249,2022,Male,Pakistan,Dentistry and Related Specialties,From 30 to 39,61
20250,2017,Female,Egypt,Dentistry and Related Specialties,From 50 to 59,61
20251,2022,Male,Palestine,Dentistry and Related Specialties,From 20 to 29,61
20252,2020,Male,Egypt,Therapy and Rehabilitation,From 40 to 49,61
20253,2021,Male,Philippines,Therapy and Rehabilitation,From 50 to 59,61
20255,2020,Female,Sudan,Pharmacists and Pharmacy Technicians,From 30 to 39,61
20256,2021,Male,Jordan,Laboratories and Medical Technology,From 40 to 49,61
20257,2021,Male,Lebanon,Nursing and Midwifery,From 40 to 49,61
20259,2021,Male,Sudan,Pharmacists and Pharmacy Technicians,From 50 to 59,61
20261,2019,Female,India,Medicine and Surgery,From 50 to 59,61
20263,2021,Male,Sudan,Nursing and Midwifery,From 60 to 69,61
20265,2017,Male,Palestine,Medicine and Surgery,From 30 to 39,61
20266,2016,Male,Saudi Arabia,Technicians and Health Assistants,From 60 to 69,61
20269,2022,Male,Sudan,Pharmacists and Pharmacy Technicians,From 60 to 69,61
20271,2021,Female,Tunisia,Medicine and Surgery,From 30 to 39,61
20273,2018,Female,Syria,Medicine and Surgery,From 40 to 49,61
20276,2022,Male,Lebanon,Nursing and Midwifery,From 20 to 29,61
20277,2019,Female,Jordan,Nursing and Midwifery,From 40 to 49,61
20278,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,From 60 to 69,61
20281,2020,Female,Sudan,Laboratories and Medical Technology,From 20 to 29,60
