,Active_Years,Gender_Name_En,Nationality_En,Medical_Field_En,Profile_Status_En,Number_of_Practitioners
14483,2021,Female,Yemen,Health Administration and Community Health,Clear,59
14617,2020,Female,Nigeria,Medicine and Surgery,Clear,58
14633,2020,Female,Tunisia,Medicine and Surgery,Clear,58
14729,2018,Male,India,Technicians and Health Assistants,Clear,58
15117,2022,Female,New Zealand,Nursing and Midwifery,Clear,58
16286,2022,Male,United Kingdom,Nursing and Midwifery,Clear,58
16510,2021,Female,Scotland,Nursing and Midwifery,Clear,57
16512,2020,Female,Lebanon,Nursing and Midwifery,Clear,57
16514,2021,Male,Palestine,Laboratories and Medical Technology,Clear,57
16518,2018,Female,India,Laboratories and Medical Technology,Blacklisted,57
16520,2017,Female,Pakistan,Pharmacists and Pharmacy Technicians,Clear,57
16522,2016,Female,Syria,Therapy and Rehabilitation,Clear,57
16523,2021,Male,Pakistan,Technicians and Health Assistants,Clear,57
16524,2021,Male,Yemen,Therapy and Rehabilitation,Clear,57
16525,2017,Female,Egypt,Technicians and Health Assistants,Clear,57
16528,2019,Male,Tunisia,Medicine and Surgery,Clear,56
16537,2022,Female,Eritrea,Nursing and Midwifery,Clear,56
16542,2021,Male,Syria,Laboratories and Medical Technology,Clear,56
16668,2016,Male,Philippines,Pharmacists and Pharmacy Technicians,Clear,55
16881,2019,Male,Yemen,Dentistry and Related Specialties,Clear,55
16989,2020,Female,South Korea,Nursing and Midwifery,Clear,55
17225,2019,Female,New Zealand,Nursing and Midwifery,Clear,55
17243,2019,Female,Finland,Nursing and Midwifery,Clear,55
17922,2016,Female,India,Nursing and Midwifery,Temporary Suspended,55
18370,2021,Female,Philippines,Medicine and Surgery,Clear,55
18449,2021,Female,China,Nursing and Midwifery,Clear,55
18474,2022,Female,Immigrant Tribes,Nursing and Midwifery,Clear,55
18499,2022,Male,Immigrant Tribes,Nursing and Midwifery,Clear,55
18577,2017,Male,Philippines,Pharmacists and Pharmacy Technicians,Clear,54
18579,2019,Male,Philippines,Pharmacists and Pharmacy Technicians,Clear,54
18582,2021,Female,Syria,Laboratories and Medical Technology,Clear,54
18583,2018,Male,Yemen,Laboratories and Medical Technology,Clear,54
18589,2021,Female,Yemen,Pharmacists and Pharmacy Technicians,Clear,54
18801,2021,Female,Egypt,Technicians and Health Assistants,Clear,53
18842,2018,Male,Pakistan,Dentistry and Related Specialties,Clear,53
19095,2022,Female,Canada,Medicine and Surgery,Clear,53
19111,2016,Female,Pakistan,Pharmacists and Pharmacy Technicians,Clear,53
19115,2017,Female,Palestine,Therapy and Rehabilitation,Clear,53
19142,2022,Male,Scotland,Medicine and Surgery,Clear,53
19355,2017,Female,Bahrain,Medicine and Surgery,Clear,53
19372,2017,Female,India,Nursing and Midwifery,Temporary Suspended,53
19867,2020,Female,Canada,Nursing and Midwifery,Clear,53
20377,2020,Female,Philippines,Nursing and Midwifery,Temporary Suspended,53
20458,2020,Male,Yemen,Laboratories and Medical Technology,Clear,53
20472,2019,Female,South Korea,Nursing and Midwifery,Clear,53
20628,2018,Female,Egypt,Technicians and Health Assistants,Clear,52
20631,2020,Male,Nigeria,Therapy and Rehabilitation,Clear,52
20634,2021,Female,United Kingdom,Medicine and Surgery,Clear,52
20638,2016,Female,Palestine,Pharmacists and Pharmacy Technicians,Clear,52
20642,2019,Female,Nigeria,Medicine and Surgery,Clear,52
20643,2022,Female,Somalia,Medicine and Surgery,Clear,52
20647,2018,Female,Palestine,Pharmacists and Pharmacy Technicians,Clear,52
20648,2018,Female,Nigeria,Medicine and Surgery,Clear,52
20651,2018,Female,Syria,Therapy and Rehabilitation,Clear,52
20652,2022,Female,Pakistan,Pharmacists and Pharmacy Technicians,Clear,52
20925,2022,Male,Indonesia,Nursing and Midwifery,Clear,51
21127,2022,Female,Pakistan,Laboratories and Medical Technology,Clear,51
21928,2017,Male,Syria,Nursing and Midwifery,Clear,51
22630,2017,Female,Nigeria,Medicine and Surgery,Clear,51
22658,2022,Male,Yemen,Nursing and Midwifery,Clear,51
22946,2019,Male,Philippines,Nursing and Midwifery,Blacklisted,50
23154,2022,Female,Scotland,Nursing and Midwifery,Clear,50
23288,2018,Male,Sudan,Therapy and Rehabilitation,Clear,50
23327,2018,Male,Philippines,Pharmacists and Pharmacy Technicians,Clear,50
23463,2021,Female,Cuba,Medicine and Surgery,Clear,50
24002,2017,Male,Lebanon,Dentistry and Related Specialties,Clear,50
24101,2021,Female,Philippines,Nursing and Midwifery,Temporary Suspended,50
24245,2022,Male,South Africa,Nursing and Midwifery,Clear,50
24305,2021,Female,Syria,Nursing and Midwifery,Clear,50
24419,2017,Male,Sudan,Therapy and Rehabilitation,Clear,50
24528,2020,Male,Sudan,Health Administration and Community Health,Clear,50
24548,2017,Male,United States,Therapy and Rehabilitation,Clear,50
24708,2022,Female,Palestine,Nursing and Midwifery,Clear,49
24713,2021,Female,India,Pharmacists and Pharmacy Technicians,Clear,49
24718,2021,Female,Bangladesh,Medicine and Surgery,Clear,49
24722,2020,Female,India,Nursing and Midwifery,Blacklisted,49
24728,2018,Female,New Zealand,Nursing and Midwifery,Clear,49
24730,2016,Male,Philippines,Medicine and Surgery,Clear,49
24735,2021,Female,Pakistan,Therapy and Rehabilitation,Clear,48
24736,2019,Female,Tunisia,Nursing and Midwifery,Clear,48
24737,2022,Female,Somalia,Laboratories and Medical Technology,Clear,48
24745,2020,Female,New Zealand,Nursing and Midwifery,Clear,48
24746,2022,Male,Philippines,Medicine and Surgery,Clear,48
24747,2017,Female,South Korea,Nursing and Midwifery,Clear,48
24790,2020,Male,Philippines,Pharmacists and Pharmacy Technicians,Clear,47
24972,2020,Male,Pakistan,Dentistry and Related Specialties,Clear,47
24991,2019,Male,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,47
25240,2022,Female,Tunisia,Technicians and Health Assistants,Clear,47
25471,2019,Male,Lebanon,Nursing and Midwifery,Clear,47
25931,2022,Male,Spain,Medicine and Surgery,Clear,47
25962,2021,Male,Palestine,Therapy and Rehabilitation,Clear,47
26040,2017,Male,Jordan,Technicians and Health Assistants,Clear,47
26056,2021,Male,Syria,Nursing and Midwifery,Clear,47
26575,2018,Male,Bahrain,Medicine and Surgery,Clear,47
26793,2020,Male,Pakistan,Therapy and Rehabilitation,Clear,46
26794,2019,Male,Philippines,Technicians and Health Assistants,Clear,46
26796,2016,Male,Jordan,Technicians and Health Assistants,Clear,46
26800,2020,Female,Pakistan,Dentistry and Related Specialties,Clear,46
26801,2018,Male,United Kingdom,Nursing and Midwifery,Clear,46
26802,2022,Female,Sudan,Technicians and Health Assistants,Clear,46
26806,2018,Female,South Korea,Nursing and Midwifery,Clear,46
26809,2020,Male,Bahrain,Medicine and Surgery,Clear,45
26811,2021,Male,France,Medicine and Surgery,Clear,45
26816,2021,Female,Yemen,Technicians and Health Assistants,Clear,45
26818,2020,Male,Canada,Medicine and Surgery,Clear,45
26829,2021,Female,Lebanon,Dentistry and Related Specialties,Clear,45
26831,2019,Male,Pakistan,Dentistry and Related Specialties,Clear,45
26847,2019,Female,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,44
26851,2018,Male,Jordan,Technicians and Health Assistants,Clear,44
26927,2016,Female,United States,Medicine and Surgery,Clear,44
26966,2019,Female,Philippines,Medicine and Surgery,Clear,44
26978,2018,Male,Canada,Medicine and Surgery,Clear,44
27133,2018,Male,United States,Therapy and Rehabilitation,Clear,44
27319,2016,Male,Egypt,Medicine and Surgery,Blacklisted,44
27353,2018,Male,Tunisia,Medicine and Surgery,Clear,44
27500,2018,Female,India,Nursing and Midwifery,Temporary Suspended,44
27636,2021,Male,Scotland,Medicine and Surgery,Clear,44
27712,2021,Male,Indonesia,Nursing and Midwifery,Clear,44
27872,2020,Male,Tunisia,Nursing and Midwifery,Clear,44
27923,2018,Female,Palestine,Therapy and Rehabilitation,Clear,44
28878,2017,Female,United States,Medicine and Surgery,Clear,43
28880,2018,Female,Philippines,Laboratories and Medical Technology,Blacklisted,43
28881,2017,Female,Syria,Laboratories and Medical Technology,Clear,43
28882,2021,Male,South Africa,Nursing and Midwifery,Clear,43
28885,2019,Female,Egypt,Technicians and Health Assistants,Clear,43
28892,2017,Male,Tunisia,Medicine and Surgery,Clear,43
28894,2019,Male,Pakistan,Therapy and Rehabilitation,Clear,43
28898,2021,Male,United Kingdom,Nursing and Midwifery,Clear,43
28899,2017,Male,Canada,Medicine and Surgery,Clear,43
28901,2022,Female,Chad,Nursing and Midwifery,Clear,43
28902,2020,Male,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,43
28906,2018,Male,Philippines,Technicians and Health Assistants,Clear,43
28907,2016,Female,Tunisia,Nursing and Midwifery,Clear,43
28908,2022,Male,Sudan,Health Administration and Community Health,Clear,43
28909,2016,Male,United States,Therapy and Rehabilitation,Clear,43
28912,2021,Female,Tunisia,Dentistry and Related Specialties,Clear,42
28913,2016,Male,Canada,Medicine and Surgery,Clear,42
28914,2017,Male,Bahrain,Medicine and Surgery,Clear,42
28915,2018,Male,Lebanon,Dentistry and Related Specialties,Clear,42
28918,2020,Female,Yemen,Nursing and Midwifery,Clear,42
28923,2020,Female,Nigeria,Nursing and Midwifery,Clear,42
28927,2016,Female,Palestine,Therapy and Rehabilitation,Clear,42
28933,2016,Female,Portugal,Nursing and Midwifery,Clear,42
28935,2022,Female,India,Technicians and Health Assistants,Clear,42
28936,2020,Male,Greece,Medicine and Surgery,Clear,42
28937,2020,Male,Lebanon,Dentistry and Related Specialties,Clear,42
28938,2017,Female,Palestine,Laboratories and Medical Technology,Clear,42
28941,2016,Male,Sudan,Therapy and Rehabilitation,Clear,42
28942,2019,Female,Palestine,Dentistry and Related Specialties,Clear,42
28953,2020,Female,Philippines,Medicine and Surgery,Clear,41
28954,2016,Female,Palestine,Laboratories and Medical Technology,Clear,41
28956,2017,Male,Philippines,Medicine and Surgery,Clear,41
28957,2019,Male,Jordan,Technicians and Health Assistants,Clear,41
28961,2020,Male,Ireland,Medicine and Surgery,Clear,41
28962,2022,Female,Eritrea,Laboratories and Medical Technology,Clear,41
28965,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Temporary Suspended,41
28970,2018,Male,Pakistan,Therapy and Rehabilitation,Clear,41
28971,2018,Male,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,41
28972,2022,Male,Russia,Medicine and Surgery,Clear,41
28973,2017,Female,Tunisia,Nursing and Midwifery,Clear,41
28976,2021,Female,Canada,Medicine and Surgery,Clear,41
28979,2016,Male,Lebanon,Dentistry and Related Specialties,Clear,41
28980,2018,Female,United States,Medicine and Surgery,Clear,41
28981,2018,Female,Palestine,Laboratories and Medical Technology,Clear,40
28988,2017,Male,Syria,Laboratories and Medical Technology,Clear,40
28990,2018,Male,Syria,Nursing and Midwifery,Clear,40
28992,2019,Female,Palestine,Pharmacists and Pharmacy Technicians,Clear,40
28993,2016,Female,Bangladesh,Nursing and Midwifery,Clear,40
28995,2020,Male,Lebanon,Nursing and Midwifery,Clear,40
28998,2020,Female,Yemen,Laboratories and Medical Technology,Clear,40
29002,2020,Female,Palestine,Pharmacists and Pharmacy Technicians,Clear,40
29008,2016,Female,Syria,Laboratories and Medical Technology,Clear,39
29011,2019,Female,Cuba,Medicine and Surgery,Clear,39
29014,2019,Female,India,Laboratories and Medical Technology,Blacklisted,39
29015,2019,Female,United States,Medicine and Surgery,Clear,39
29016,2019,Female,Syria,Therapy and Rehabilitation,Clear,39
29017,2017,Female,India,Pharmacists and Pharmacy Technicians,Clear,39
29023,2020,Female,Egypt,Technicians and Health Assistants,Clear,39
29025,2021,Female,Portugal,Nursing and Midwifery,Clear,39
29026,2019,Male,Sudan,Therapy and Rehabilitation,Clear,39
29027,2022,Female,Portugal,Nursing and Midwifery,Clear,39
29029,2016,Male,Syria,Laboratories and Medical Technology,Clear,39
29030,2020,Male,Cuba,Medicine and Surgery,Clear,39
29031,2016,Male,Sudan,Health Administration and Community Health,Clear,39
29032,2021,Male,Philippines,Medicine and Surgery,Clear,39
29038,2016,Female,United States,Therapy and Rehabilitation,Clear,39
29042,2019,Male,Canada,Medicine and Surgery,Clear,39
29043,2022,Male,Yemen,Technicians and Health Assistants,Clear,38
29045,2022,Female,Lebanon,Therapy and Rehabilitation,Clear,38
29048,2020,Male,Jordan,Technicians and Health Assistants,Clear,38
29051,2022,Female,Eritrea,Dentistry and Related Specialties,Clear,38
29054,2018,Female,Pakistan,Pharmacists and Pharmacy Technicians,Clear,38
29056,2019,Male,Greece,Medicine and Surgery,Clear,38
29063,2020,Female,Finland,Nursing and Midwifery,Clear,38
29065,2018,Female,Syria,Laboratories and Medical Technology,Clear,38
29070,2018,Male,Syria,Laboratories and Medical Technology,Clear,38
29075,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Temporary Suspended,37
29077,2019,Male,Lebanon,Dentistry and Related Specialties,Clear,37
29080,2020,Female,United States,Medicine and Surgery,Clear,37
29085,2018,Female,Tunisia,Nursing and Midwifery,Clear,37
29086,2022,Male,Kuwait,Medicine and Surgery,Clear,37
29088,2018,Female,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,37
29089,2021,Male,Sudan,Health Administration and Community Health,Clear,37
29094,2021,Female,Eritrea,Nursing and Midwifery,Clear,37
29098,2022,Male,Tunisia,Dentistry and Related Specialties,Clear,37
29102,2016,Female,South Korea,Nursing and Midwifery,Clear,37
29104,2018,Female,India,Pharmacists and Pharmacy Technicians,Clear,36
29107,2022,Female,Philippines,Nursing and Midwifery,Temporary Suspended,36
29110,2020,Male,Algeria,Medicine and Surgery,Clear,36
29111,2019,Male,Bahrain,Medicine and Surgery,Clear,36
29115,2019,Male,Yemen,Laboratories and Medical Technology,Clear,36
29122,2019,Male,Saudi Arabia,Health Administration and Community Health,Temporary Suspended,36
29136,2017,Female,Lebanon,Medicine and Surgery,Clear,36
29137,2017,Female,Palestine,Medicine and Surgery,Clear,36
29139,2016,Male,Tunisia,Medicine and Surgery,Clear,36
29140,2017,Female,United States,Therapy and Rehabilitation,Clear,36
29144,2016,Male,Tunisia,Nursing and Midwifery,Clear,35
29146,2017,Female,Lebanon,Dentistry and Related Specialties,Clear,35
29147,2019,Male,United States,Therapy and Rehabilitation,Clear,35
29149,2018,Male,Philippines,Medicine and Surgery,Clear,35
29150,2016,Female,India,Pharmacists and Pharmacy Technicians,Clear,35
29151,2022,Male,Azerbaijan,Medicine and Surgery,Clear,35
29152,2020,Female,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,35
29158,2022,Male,Palestine,Nursing and Midwifery,Clear,35
29160,2016,Male,Syria,Therapy and Rehabilitation,Clear,35
29161,2017,Male,Syria,Therapy and Rehabilitation,Clear,35
29162,2022,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Clear,35
29163,2021,Female,Immigrant Tribes,Nursing and Midwifery,Clear,35
29164,2019,Male,Cuba,Medicine and Surgery,Clear,35
29169,2017,Male,Pakistan,Therapy and Rehabilitation,Clear,35
29173,2022,Male,United States,Therapy and Rehabilitation,Clear,35
29178,2022,Male,Immigrant Tribes,Pharmacists and Pharmacy Technicians,Clear,35
29180,2021,Male,Germany,Medicine and Surgery,Clear,35
29182,2020,Male,Syria,Laboratories and Medical Technology,Clear,35
29186,2018,Female,Cuba,Medicine and Surgery,Clear,34
29191,2021,Female,Tunisia,Therapy and Rehabilitation,Clear,34
29194,2017,Female,Portugal,Nursing and Midwifery,Clear,34
29198,2016,Female,Bahrain,Medicine and Surgery,Clear,34
29201,2022,Male,United States,Dentistry and Related Specialties,Clear,34
29204,2018,Male,Greece,Medicine and Surgery,Clear,34
29206,2021,Male,United States,Therapy and Rehabilitation,Clear,34
29207,2018,Male,India,Laboratories and Medical Technology,Blacklisted,34
29212,2019,Male,Nigeria,Therapy and Rehabilitation,Clear,34
29214,2022,Male,Afghanistan,Medicine and Surgery,Clear,34
29215,2020,Female,Palestine,Therapy and Rehabilitation,Clear,34
29216,2016,Female,South Africa,Laboratories and Medical Technology,Clear,34
29217,2016,Male,Bahrain,Medicine and Surgery,Clear,34
29218,2016,Female,Lebanon,Medicine and Surgery,Clear,34
29219,2017,Female,Bangladesh,Medicine and Surgery,Clear,34
29221,2016,Female,Lebanon,Therapy and Rehabilitation,Clear,34
29222,2019,Male,Syria,Laboratories and Medical Technology,Clear,34
29289,2019,Female,Tunisia,Medicine and Surgery,Clear,33
29540,2017,Female,Eritrea,Laboratories and Medical Technology,Clear,33
29650,2019,Male,Ireland,Medicine and Surgery,Clear,33
29734,2016,Male,Malaysia,Nursing and Midwifery,Clear,33
29823,2017,Male,Philippines,Technicians and Health Assistants,Clear,33
29954,2018,Male,Palestine,Laboratories and Medical Technology,Clear,33
30048,2018,Male,Saudi Arabia,Health Administration and Community Health,Temporary Suspended,33
30130,2017,Male,Greece,Medicine and Surgery,Clear,33
30177,2017,Male,Egypt,Medicine and Surgery,Blacklisted,33
30830,2020,Male,Philippines,Medicine and Surgery,Clear,33
30876,2016,Female,Bangladesh,Medicine and Surgery,Clear,33
31252,2021,Female,Finland,Nursing and Midwifery,Clear,33
31345,2016,Female,Lebanon,Dentistry and Related Specialties,Clear,32
31414,2016,Male,Egypt,Pharmacists and Pharmacy Technicians,Temporary Suspended,32
31608,2017,Female,Czech Republic,Therapy and Rehabilitation,Clear,32
31647,2022,Female,Eritrea,Medicine and Surgery,Clear,32
31671,2022,Female,Finland,Nursing and Midwifery,Clear,32
31692,2022,Male,Iraq,Medicine and Surgery,Clear,32
31714,2022,Male,Immigrant Tribes,Therapy and Rehabilitation,Clear,32
31758,2021,Female,Somalia,Medicine and Surgery,Clear,32
31762,2021,Female,Somalia,Laboratories and Medical Technology,Clear,32
32218,2018,Female,Czech Republic,Therapy and Rehabilitation,Clear,32
32258,2018,Male,Nigeria,Therapy and Rehabilitation,Clear,32
32384,2017,Female,Lebanon,Therapy and Rehabilitation,Clear,32
32388,2017,Female,Nigeria,Nursing and Midwifery,Clear,32
32394,2017,Male,Palestine,Laboratories and Medical Technology,Clear,32
32408,2017,Male,Pakistan,Technicians and Health Assistants,Clear,32
32442,2017,Male,Cuba,Medicine and Surgery,Clear,32
32473,2020,Female,Syria,Therapy and Rehabilitation,Clear,32
32714,2019,Male,Malaysia,Nursing and Midwifery,Clear,32
33447,2017,Male,Malaysia,Nursing and Midwifery,Clear,31
33498,2019,Male,Syria,Nursing and Midwifery,Clear,31
33597,2016,Male,Kuwait,Medicine and Surgery,Clear,31
33632,2016,Male,Ireland,Medicine and Surgery,Clear,31
33643,2019,Male,Philippines,Medicine and Surgery,Clear,31
33760,2018,Female,Lebanon,Dentistry and Related Specialties,Clear,31
33761,2017,Male,Nigeria,Therapy and Rehabilitation,Clear,31
33762,2017,Female,South Africa,Laboratories and Medical Technology,Clear,31
33815,2017,Male,South Africa,Nursing and Midwifery,Clear,31
33856,2018,Male,Pakistan,Technicians and Health Assistants,Clear,31
33900,2018,Male,South Africa,Nursing and Midwifery,Clear,31
33918,2016,Male,United States,Nursing and Midwifery,Clear,31
33981,2018,Female,United States,Therapy and Rehabilitation,Clear,31
34003,2018,Male,Indonesia,Nursing and Midwifery,Clear,31
34017,2018,Male,Cuba,Medicine and Surgery,Clear,31
34521,2020,Male,Pakistan,Technicians and Health Assistants,Clear,31
34531,2020,Male,United States,Therapy and Rehabilitation,Clear,31
34654,2020,Female,Scotland,Nursing and Midwifery,Clear,31
34687,2020,Female,Palestine,Laboratories and Medical Technology,Clear,31
34714,2020,Male,Indonesia,Nursing and Midwifery,Clear,31
35113,2016,Female,Yemen,Pharmacists and Pharmacy Technicians,Clear,31
35334,2016,Female,Czech Republic,Therapy and Rehabilitation,Clear,31
35369,2019,Female,Nigeria,Nursing and Midwifery,Clear,30
35371,2020,Male,Malaysia,Nursing and Midwifery,Clear,30
35374,2017,Female,Pakistan,Therapy and Rehabilitation,Clear,30
35375,2019,Female,India,Nursing and Midwifery,Temporary Suspended,30
35378,2020,Female,Saudi Arabia,Laboratories and Medical Technology,Temporary Suspended,30
35381,2018,Male,Syria,Therapy and Rehabilitation,Clear,30
35384,2020,Male,Palestine,Laboratories and Medical Technology,Clear,30
35385,2016,Female,Palestine,Medicine and Surgery,Clear,30
35386,2016,Male,South Africa,Nursing and Midwifery,Clear,30
35387,2022,Male,Somalia,Medicine and Surgery,Clear,30
35389,2019,Female,Palestine,Therapy and Rehabilitation,Clear,30
35391,2019,Male,United Kingdom,Nursing and Midwifery,Clear,30
35392,2016,Male,Palestine,Laboratories and Medical Technology,Clear,30
35394,2021,Female,Pakistan,Laboratories and Medical Technology,Clear,30
35397,2016,Male,United States,Laboratories and Medical Technology,Clear,30
35398,2019,Male,Palestine,Laboratories and Medical Technology,Clear,30
35399,2022,Female,Cuba,Nursing and Midwifery,Clear,30
35451,2022,Female,Slovakia,Nursing and Midwifery,Clear,29
35653,2022,Male,Italy,Medicine and Surgery,Clear,29
35787,2016,Female,Nigeria,Medicine and Surgery,Clear,29
35849,2020,Male,United Kingdom,Nursing and Midwifery,Clear,29
35962,2016,Female,Eritrea,Laboratories and Medical Technology,Clear,29
36045,2021,Female,Eritrea,Dentistry and Related Specialties,Clear,29
36120,2018,Male,Kuwait,Medicine and Surgery,Clear,29
36125,2021,Female,Lebanon,Therapy and Rehabilitation,Clear,29
36164,2018,Female,Pakistan,Laboratories and Medical Technology,Clear,29
36193,2018,Female,Palestine,Medicine and Surgery,Clear,29
36338,2021,Male,Spain,Medicine and Surgery,Clear,29
36369,2018,Female,Tunisia,Medicine and Surgery,Clear,29
36678,2017,Female,Bangladesh,Nursing and Midwifery,Clear,29
36718,2022,Male,Syria,Technicians and Health Assistants,Clear,29
36830,2019,Male,Indonesia,Nursing and Midwifery,Clear,29
37029,2016,Male,Pakistan,Therapy and Rehabilitation,Clear,29
37146,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Temporary Suspended,29
37157,2019,Female,Portugal,Nursing and Midwifery,Clear,29
37346,2020,Female,India,Pharmacists and Pharmacy Technicians,Clear,29
37464,2018,Female,Bangladesh,Medicine and Surgery,Clear,28
37465,2019,Female,Yemen,Nursing and Midwifery,Clear,28
37467,2021,Female,Tunisia,Technicians and Health Assistants,Clear,28
37468,2022,Male,United States,Laboratories and Medical Technology,Clear,28
37471,2016,Male,Pakistan,Technicians and Health Assistants,Clear,28
37472,2017,Male,Tunisia,Nursing and Midwifery,Clear,28
37475,2017,Female,Philippines,Therapy and Rehabilitation,Blacklisted,28
37476,2017,Male,Ireland,Medicine and Surgery,Clear,28
37480,2017,Female,Cuba,Medicine and Surgery,Clear,28
37482,2016,Female,Philippines,Therapy and Rehabilitation,Blacklisted,28
37485,2022,Female,Tunisia,Laboratories and Medical Technology,Clear,28
37491,2016,Male,Egypt,Medicine and Surgery,Temporary Suspended,28
37493,2022,Female,Eritrea,Therapy and Rehabilitation,Clear,28
37494,2018,Female,Yemen,Nursing and Midwifery,Clear,28
37496,2016,Female,Slovakia,Nursing and Midwifery,Clear,28
37497,2017,Male,Indonesia,Nursing and Midwifery,Clear,28
37501,2022,Male,Tunisia,Therapy and Rehabilitation,Clear,28
37503,2018,Female,Lebanon,Medicine and Surgery,Clear,28
37504,2022,Female,Sudan,Health Administration and Community Health,Clear,28
37505,2018,Male,Ireland,Medicine and Surgery,Clear,28
37510,2019,Female,United States,Therapy and Rehabilitation,Clear,28
37511,2021,Female,Pakistan,Pharmacists and Pharmacy Technicians,Clear,28
37513,2020,Female,Syria,Nursing and Midwifery,Clear,28
37517,2019,Female,Czech Republic,Therapy and Rehabilitation,Clear,28
37522,2021,Female,South Africa,Laboratories and Medical Technology,Clear,28
37527,2020,Female,Bangladesh,Nursing and Midwifery,Clear,27
37530,2019,Male,Pakistan,Technicians and Health Assistants,Clear,27
37532,2020,Female,Pakistan,Therapy and Rehabilitation,Clear,27
37535,2022,Male,Eritrea,Medicine and Surgery,Clear,27
37536,2017,Female,Yemen,Nursing and Midwifery,Clear,27
37537,2021,Female,United States,Therapy and Rehabilitation,Clear,27
37538,2018,Female,Portugal,Nursing and Midwifery,Clear,27
37540,2017,Male,Kuwait,Medicine and Surgery,Clear,27
37541,2017,Female,Yemen,Pharmacists and Pharmacy Technicians,Clear,27
37542,2017,Female,Slovakia,Nursing and Midwifery,Clear,27
37543,2020,Female,Cuba,Medicine and Surgery,Clear,27
37544,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Temporary Suspended,27
37545,2016,Female,Syria,Nursing and Midwifery,Clear,27
37546,2017,Female,Yemen,Health Administration and Community Health,Clear,27
37547,2016,Male,India,Nursing and Midwifery,Blacklisted,27
37549,2020,Female,Palestine,Medicine and Surgery,Clear,27
37562,2022,Female,Serbia,Nursing and Midwifery,Clear,27
37569,2017,Male,Saudi Arabia,Therapy and Rehabilitation,Temporary Suspended,27
37573,2017,Male,United States,Nursing and Midwifery,Clear,27
37575,2017,Female,Syria,Nursing and Midwifery,Clear,27
37578,2019,Male,South Africa,Nursing and Midwifery,Clear,27
37584,2021,Female,India,Nursing and Midwifery,Blacklisted,27
37586,2018,Male,Malaysia,Nursing and Midwifery,Clear,27
37656,2019,Male,Tunisia,Nursing and Midwifery,Clear,26
37753,2020,Male,Syria,Nursing and Midwifery,Clear,26
37809,2020,Male,South Africa,Nursing and Midwifery,Clear,26
37813,2020,Female,United Kingdom,Medicine and Surgery,Clear,26
38405,2021,Male,Kuwait,Medicine and Surgery,Clear,26
38417,2021,Male,Immigrant Tribes,Nursing and Midwifery,Clear,26
38539,2021,Female,Palestine,Nursing and Midwifery,Clear,26
38566,2021,Female,India,Technicians and Health Assistants,Clear,26
38616,2021,Female,Slovakia,Nursing and Midwifery,Clear,26
38829,2022,Female,South Africa,Laboratories and Medical Technology,Clear,26
38920,2016,Female,Nigeria,Nursing and Midwifery,Clear,26
38991,2017,Male,United States,Laboratories and Medical Technology,Clear,26
39080,2019,Female,Philippines,Laboratories and Medical Technology,Blacklisted,26
39093,2019,Female,India,Pharmacists and Pharmacy Technicians,Clear,26
39249,2018,Female,Syria,Nursing and Midwifery,Clear,26
39514,2019,Female,Syria,Nursing and Midwifery,Clear,26
39620,2017,Female,Tunisia,Medicine and Surgery,Clear,26
39650,2018,Female,Eritrea,Laboratories and Medical Technology,Clear,25
39651,2020,Male,Sudan,Technicians and Health Assistants,Clear,25
39653,2021,Female,Eritrea,Laboratories and Medical Technology,Clear,25
39654,2019,Female,Yemen,Health Administration and Community Health,Clear,25
39661,2022,Male,Turkey,Medicine and Surgery,Clear,25
39663,2017,Female,Pakistan,Laboratories and Medical Technology,Clear,25
39666,2019,Female,Syria,Laboratories and Medical Technology,Clear,25
39685,2021,Male,Bangladesh,Pharmacists and Pharmacy Technicians,Clear,25
39689,2018,Female,Slovakia,Nursing and Midwifery,Clear,25
39692,2020,Female,South Africa,Laboratories and Medical Technology,Clear,24
39693,2016,Female,Philippines,Dentistry and Related Specialties,Blacklisted,24
39694,2019,Female,Lebanon,Dentistry and Related Specialties,Clear,24
39697,2021,Male,Azerbaijan,Medicine and Surgery,Clear,24
39698,2016,Male,Greece,Medicine and Surgery,Clear,24
39699,2020,Male,Syria,Therapy and Rehabilitation,Clear,24
39702,2022,Male,United Kingdom,Laboratories and Medical Technology,Clear,24
39703,2018,Female,Nigeria,Nursing and Midwifery,Clear,24
39709,2016,Male,Philippines,Technicians and Health Assistants,Clear,24
39713,2020,Female,Portugal,Nursing and Midwifery,Clear,24
39716,2020,Male,Saudi Arabia,Health Administration and Community Health,Temporary Suspended,24
39718,2017,Male,Saudi Arabia,Health Administration and Community Health,Temporary Suspended,24
39719,2022,Female,Poland,Nursing and Midwifery,Clear,24
39722,2022,Female,Palestine,Health Administration and Community Health,Clear,24
39723,2021,Female,Sudan,Technicians and Health Assistants,Clear,24
