,Academic_Year,Current_Medical_Field_En,Current_Speciality_Name_En,Number_of_Trainees
982,2020,Medicine and Surgery,Pediatrics Respiratory Medicine,21
984,2021,Laboratories and Medical Technology,Blood Banking And Transfusion,21
985,2017,Unknown,Nuclear Medicine,21
987,2021,Medicine and Surgery,Pediatric Nephrology,21
988,2017,Medicine and Surgery,Pediatric Radiology,21
990,2019,Medicine and Surgery,Oral Medicine & Pathology,20
994,2019,Nursing and Midwifery,Neonatal Intensive Care Nursing,20
997,2017,Medicine and Surgery,Reproductive Medicine & Surgery,20
1002,2017,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,19
1007,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,19
1009,2016,Medicine and Surgery,Glaucoma,19
1011,2017,Dentistry and Related Specialties,Implant Dentistry,19
1013,2019,Dentistry and Related Specialties,Family Dentistry,19
1014,2018,Unknown,Nuclear Medicine,19
1015,2022,Medicine and Surgery,Cornea/ External Disease,19
1016,2022,Medicine and Surgery,Maternal-Fetal Medicine,19
1017,2018,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,19
1020,2018,Medicine and Surgery,Musculoskeletal Radiology,19
1021,2018,Medicine and Surgery,Glaucoma,19
1031,2019,Nursing and Midwifery,Midwifery Nursing,19
1033,2020,Medicine and Surgery,Adult Echocardiography,18
1035,2020,Medicine and Surgery,Adult Interventional Cardiology,18
1037,2022,Medicine and Surgery,Pediatric Surgery,18
1038,2022,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,18
1044,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,18
1046,2018,Medicine and Surgery,Pediatric Radiology,18
1047,2018,Medicine and Surgery,Pediatric Rheumatology,18
1049,2021,Medicine and Surgery,Cornea/ External Disease,18
1050,2022,Medicine and Surgery,Pediatrics Respiratory Medicine,18
1052,2020,Medicine and Surgery,Epilepsy & Electroencephalography,17
1053,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,17
1054,2017,Medicine and Surgery,Vascular Neurology (Stroke),17
1055,2019,Medicine and Surgery,Pediatric Anesthesia,17
1058,2017,Medicine and Surgery,Colorectal Surgery,17
1059,2016,Medicine and Surgery,Pediatric Radiology,17
1063,2022,Medicine and Surgery,Pediatric Allergy And Immunology,17
1067,2019,Medicine and Surgery,Pediatric Radiology,17
1068,2018,Medicine and Surgery,Adult Allergy & Immunology,17
1073,2016,Medicine and Surgery,Cardiothoracic Radiology,17
1074,2016,Medicine and Surgery,Vascular Neurology (Stroke),17
1075,2016,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,17
1076,2017,Medicine and Surgery,Adult Allergy & Immunology,17
1078,2016,Medicine and Surgery,Pediatrics Urology,17
1079,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,17
1081,2021,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,16
1088,2019,Medicine and Surgery,Musculoskeletal Radiology,16
1090,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,16
1092,2018,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,16
1096,2018,Medicine and Surgery,Cardiothoracic Radiology,16
1098,2019,Medicine and Surgery,Glaucoma,16
1099,2016,Medicine and Surgery,Adult Allergy & Immunology,16
1100,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,16
1101,2019,Medicine and Surgery,Cardiac Anesthesia,16
1107,2021,Medicine and Surgery,Radiation Oncology,16
1112,2016,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,16
1113,2022,Medicine and Surgery,Retina Surgery,15
1114,2020,Medicine and Surgery,Pediatric Radiology,15
1115,2016,Medicine and Surgery,Breast and Endocrine Surgical Oncology,15
1116,2018,Medicine and Surgery,Colorectal Surgery,15
1118,2020,Medicine and Surgery,Retina Surgery,15
1126,2021,Medicine and Surgery,Pediatric Anesthesia,15
1127,2016,Medicine and Surgery,Vascular Surgery,15
1128,2019,Unknown,Nuclear Medicine,15
1130,2021,Medicine and Surgery,Diagnostic Neuroradiology,15
1134,2020,Medicine and Surgery,Cardiac Anesthesia,15
1135,2017,Medicine and Surgery,Vascular Surgery,15
1141,2021,Laboratories and Medical Technology,Medical Microbiology,15
1142,2018,Dentistry and Related Specialties,Implant Dentistry,15
1144,2022,Medicine and Surgery,Epilepsy & Electroencephalography,15
1145,2017,Medicine and Surgery,Cardiothoracic Radiology,15
1152,2021,Medicine and Surgery,Pediatrics Respiratory Medicine,14
1153,2019,Medicine and Surgery,Pediatric Rheumatology,14
1156,2020,Unknown,Nuclear Medicine,14
1157,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,14
1158,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,14
1159,2020,Medicine and Surgery,Musculoskeletal Radiology,14
1160,2019,Dentistry and Related Specialties,Implant Dentistry,14
1162,2020,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,14
1163,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,14
1164,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,14
1165,2019,Medicine and Surgery,Vascular Neurology (Stroke),14
1166,2018,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,14
1167,2018,Medicine and Surgery,Oral Medicine & Pathology,14
1169,2017,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,14
1170,2018,Medicine and Surgery,Vascular Neurology (Stroke),14
1172,2019,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,14
1173,2022,Medicine and Surgery,Pediatric Anesthesia,14
1174,2017,Dentistry and Related Specialties,Advanced Education In General Dentistry,14
1176,2019,Laboratories and Medical Technology,Medical Microbiology,13
1177,2020,Medicine and Surgery,Pediatric Allergy And Immunology,13
1178,2022,Medicine and Surgery,Pain Medicine,13
1179,2020,Medicine and Surgery,Adult Allergy & Immunology,13
1180,2022,Medicine and Surgery,Pediatric Radiology,13
1181,2019,Medicine and Surgery,Cardiothoracic Radiology,13
1183,2019,Medicine and Surgery,Colorectal Surgery,13
1188,2022,Medicine and Surgery,Vascular Surgery,13
1189,2019,Medicine and Surgery,Reproductive Medicine & Surgery,13
1190,2018,Medicine and Surgery,Pediatrics Urology,13
1191,2019,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,13
1192,2018,Medicine and Surgery,Reproductive Medicine & Surgery,13
1195,2020,Medicine and Surgery,Pediatric Anesthesia,13
1198,2019,Medicine and Surgery,Medical Retina & Uveitis,13
1202,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,13
1204,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,13
1205,2021,Medicine and Surgery,Retina Surgery,13
1208,2017,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,13
1213,2019,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,12
1214,2016,Medicine and Surgery,Medical Retina & Uveitis,12
1215,2019,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,12
1216,2020,Medicine and Surgery,Colorectal Surgery,12
1219,2022,Medicine and Surgery,Pediatric Rheumatology,12
1221,2022,Medicine and Surgery,Cardiac Anesthesia,12
1223,2022,Medicine and Surgery,Adult Echocardiography,12
1228,2021,Medicine and Surgery,Pediatric Allergy And Immunology,12
1229,2021,Medicine and Surgery,Pain Medicine,12
1230,2021,Medicine and Surgery,Cardiac Anesthesia,12
1234,2016,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,12
1236,2016,Medicine and Surgery,Adult Psychosomatic Medicine,12
1238,2018,Medicine and Surgery,Adult Psychosomatic Medicine,12
1241,2019,Medicine and Surgery,Child And Adolescent Psychiatry,12
1243,2017,Medicine and Surgery,Pediatrics Urology,12
1245,2017,Medicine and Surgery,Pediatric Orthopedic Surgery,12
1247,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,12
1248,2016,Medicine and Surgery,Women Imaging,12
1250,2016,Medicine and Surgery,Gynecologic Oncology,12
1251,2016,Medicine and Surgery,Renal Transplant Surgery,12
1252,2016,Medicine and Surgery,Pediatric Orthopedic Surgery,12
1256,2019,Medicine and Surgery,Adult Allergy & Immunology,12
1257,2019,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,12
1258,2019,Laboratories and Medical Technology,Blood Banking And Transfusion,12
1260,2020,Laboratories and Medical Technology,Medical Microbiology,11
1263,2018,Medicine and Surgery,Child And Adolescent Psychiatry,11
1267,2017,Medicine and Surgery,Medical Retina & Uveitis,11
1272,2017,Medicine and Surgery,Adult Psychosomatic Medicine,11
1274,2021,Medicine and Surgery,Epilepsy & Electroencephalography,11
1276,2022,Medicine and Surgery,Musculoskeletal Radiology,11
1278,2016,Medicine and Surgery,Women's Health,11
1281,2022,Medicine and Surgery,Vascular Neurology (Stroke),11
1286,2017,Medicine and Surgery,Women's Health,11
1287,2020,Laboratories and Medical Technology,Clinical Audiology,11
1288,2020,Medicine and Surgery,Cardiothoracic Radiology,11
1289,2020,Medicine and Surgery,Child And Adolescent Psychiatry,11
1291,2020,Medicine and Surgery,Glaucoma,11
1292,2018,Medicine and Surgery,Medical Retina & Uveitis,11
1295,2020,Medicine and Surgery,Pediatric Rheumatology,11
1297,2020,Medicine and Surgery,Reproductive Medicine & Surgery,11
1299,2021,Medicine and Surgery,Colorectal Surgery,11
1301,2016,Laboratories and Medical Technology,Medical Microbiology,11
1303,2018,Medicine and Surgery,Women's Health,11
1305,2021,Laboratories and Medical Technology,Clinical Biochemistry,11
1306,2021,Medicine and Surgery,Adult Echocardiography,11
1308,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,10
1309,2018,Medicine and Surgery,Vascular Surgery,10
1310,2022,Medicine and Surgery,Reproductive Medicine & Surgery,10
1311,2021,Medicine and Surgery,Pediatric Radiology,10
1312,2021,Medicine and Surgery,Pediatric Rheumatology,10
1313,2017,Medicine and Surgery,Renal Transplant Surgery,10
1314,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,10
1315,2020,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,10
1316,2017,Medicine and Surgery,Breast and Endocrine Surgical Oncology,10
1317,2020,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,10
1318,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,10
1319,2021,Medicine and Surgery,Vascular Surgery,10
1320,2022,Medicine and Surgery,Cardiothoracic Radiology,10
1321,2021,Laboratories and Medical Technology,Clinical Audiology,10
1322,2017,Medicine and Surgery,Child And Adolescent Psychiatry,10
1323,2021,Medicine and Surgery,Adult Interventional Cardiology,10
1324,2022,Unknown,Nuclear Medicine,10
1342,2018,Unknown,Cardiac Electrophysiology & Pacing,9
1345,2020,Laboratories and Medical Technology,Clinical Biochemistry,9
1346,2018,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,9
1348,2017,Laboratories and Medical Technology,Medical Microbiology,9
1349,2018,Medicine and Surgery,Renal Transplant Surgery,9
1350,2021,Nursing and Midwifery,Home Healthcare Nursing,9
1352,2016,Medicine and Surgery,Orthopedic Trauma Surgery,9
1354,2021,Medicine and Surgery,Glaucoma,9
1355,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,9
1356,2021,Medicine and Surgery,Adult Allergy & Immunology,9
1357,2020,Medicine and Surgery,Gynecologic Oncology,9
1358,2020,Medicine and Surgery,Radiation Oncology,9
1360,2020,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,9
1361,2016,Medicine and Surgery,Musculoskeletal Surgical Oncology,9
1363,2020,Medicine and Surgery,Vascular Neurology (Stroke),9
1365,2016,Medicine and Surgery,Infertility-Andrology,9
1368,2019,Unknown,Cardiac Electrophysiology & Pacing,9
1369,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,9
1370,2021,Medicine and Surgery,Cardiothoracic Radiology,9
1371,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,9
1373,2019,Medicine and Surgery,Vascular Surgery,9
1375,2018,Medicine and Surgery,Pediatric Orthopedic Surgery,9
1378,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,9
1380,2016,Dentistry and Related Specialties,Advanced Education In General Dentistry,9
1381,2018,Laboratories and Medical Technology,Medical Microbiology,9
1385,2017,Medicine and Surgery,Women Imaging,9
1388,2018,Medicine and Surgery,Adult Stem Cell Transplantation,9
1390,2022,Medicine and Surgery,Glaucoma,9
1391,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,9
1398,2017,Medicine and Surgery,Oral Medicine & Pathology,9
1399,2022,Medicine and Surgery,Child And Adolescent Psychiatry,9
1401,2022,Medicine and Surgery,Renal Transplant Surgery,9
1403,2021,Unknown,Nuclear Medicine,9
1407,2017,Medicine and Surgery,Pediatric Otolaryngology,8
1408,2016,Medicine and Surgery,Pediatric Otolaryngology,8
1410,2016,Medicine and Surgery,Pediatric Neurosurgery,8
1412,2017,Medicine and Surgery,Orthopedic Trauma Surgery,8
1413,2016,Medicine and Surgery,Pediatric Echocardiography,8
1415,2020,Medicine and Surgery,Medical Retina & Uveitis,8
1417,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,8
1418,2017,Medicine and Surgery,Renal Transplant,8
1420,2018,Medicine and Surgery,Pediatric Otolaryngology,8
1424,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,8
1428,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,8
1432,2019,Medicine and Surgery,Renal Transplant,8
1433,2018,Medicine and Surgery,Obstetric Anesthesiology,8
1436,2021,Medicine and Surgery,Reproductive Medicine & Surgery,8
1437,2022,Medicine and Surgery,Adult Allergy & Immunology,8
1439,2022,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,8
1441,2022,Medicine and Surgery,Medical Retina & Uveitis,8
1442,2021,Medicine and Surgery,Gynecologic Oncology,8
1445,2021,Medicine and Surgery,Musculoskeletal Radiology,8
1451,2021,Medicine and Surgery,Vascular Neurology (Stroke),8
1454,2022,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,8
1456,2021,Medicine and Surgery,Pediatric Ophthalmology And Strabismus,8
1462,2020,Medicine and Surgery,Vascular Surgery,8
1465,2020,Unknown,Cardiac Electrophysiology & Pacing,8
1466,2022,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,8
1467,2018,Medicine and Surgery,Infertility-Andrology,7
1468,2022,Medicine and Surgery,Adult Interventional Cardiology,7
1469,2017,Medicine and Surgery,Adult Stem Cell Transplantation,7
1471,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,7
1473,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,7
1474,2022,Medicine and Surgery,Adult Psychosomatic Medicine,7
1476,2017,Medicine and Surgery,Obstetric Anesthesiology,7
1477,2022,Medicine and Surgery,Women's Health,7
1478,2018,Nursing and Midwifery,Neonatal Intensive Care Nursing,7
1479,2017,Medicine and Surgery,Pediatric Echocardiography,7
1483,2018,Medicine and Surgery,Gynecologic Oncology,7
1484,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,7
1485,2022,Medicine and Surgery,Pediatrics Urology,7
1487,2017,Medicine and Surgery,Gynecologic Oncology,7
1491,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,7
1492,2017,Unknown,Cardiac Electrophysiology & Pacing,7
1496,2022,Medicine and Surgery,Gynecologic Oncology,7
1499,2018,Medicine and Surgery,Breast and Endocrine Surgical Oncology,7
1500,2017,Medicine and Surgery,Infertility-Andrology,7
1503,2019,Medicine and Surgery,Pediatrics Urology,7
1509,2016,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,7
1511,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,7
1519,2019,Medicine and Surgery,Gynecologic Oncology,7
1520,2019,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,7
1521,2020,Medicine and Surgery,Renal Transplant,7
1523,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,7
1527,2016,Unknown,Cardiac Electrophysiology & Pacing,7
1529,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,6
1530,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,6
1531,2022,Medicine and Surgery,Orthopedic Trauma Surgery,6
1532,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,6
1533,2021,Medicine and Surgery,Child And Adolescent Psychiatry,6
1534,2019,Medicine and Surgery,Women's Health,6
1535,2019,Medicine and Surgery,Women Imaging,6
1536,2021,Medicine and Surgery,Breast and Endocrine Surgical Oncology,6
1537,2020,Medicine and Surgery,Breast and Endocrine Surgical Oncology,6
1541,2021,Medicine and Surgery,Adult Psychosomatic Medicine,6
1545,2017,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,6
1546,2022,Medicine and Surgery,Obstetric Anesthesiology,6
1549,2017,Medicine and Surgery,Thoracic Surgery,6
1553,2018,Medicine and Surgery,Women Imaging,6
1555,2021,Medicine and Surgery,Oculoplatic And Reconstructive Surgery,6
1559,2021,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,6
1562,2019,Medicine and Surgery,Adult Stem Cell Transplantation,6
1564,2019,Medicine and Surgery,Adult Psychosomatic Medicine,6
1565,2021,Medicine and Surgery,Renal Transplant Surgery,6
1566,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,6
1568,2018,Medicine and Surgery,Orthopedic Trauma Surgery,6
1569,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,6
1570,2019,Medicine and Surgery,Renal Transplant Surgery,6
1576,2022,Medicine and Surgery,Breast and Endocrine Surgical Oncology,6
1579,2021,Unknown,Cardiac Electrophysiology & Pacing,6
1582,2019,Medicine and Surgery,Pediatric Orthopedic Surgery,6
1583,2019,Medicine and Surgery,Pediatric Echocardiography,6
1585,2021,Medicine and Surgery,Medical Retina & Uveitis,6
1587,2019,Medicine and Surgery,Breast and Endocrine Surgical Oncology,6
1589,2016,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,6
1590,2016,Medicine and Surgery,Obstetric Anesthesiology,6
1592,2017,Medicine and Surgery,Musculoskeletal Surgical Oncology,6
1593,2016,Medicine and Surgery,Thoracic Surgery,6
1597,2016,Medicine and Surgery,Renal Transplant,6
1600,2016,Medicine and Surgery,Child And Adolescent Psychiatry,6
1612,2017,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,6
1614,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,5
1619,2018,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,5
1623,2022,Medicine and Surgery,Advanced General Pediatric,5
1624,2021,Medicine and Surgery,Renal Transplant,5
1628,2016,Medicine and Surgery,Adult Stem Cell Transplantation,5
1629,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,5
1630,2018,Medicine and Surgery,Musculoskeletal Surgical Oncology,5
1632,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,5
1640,2018,Medicine and Surgery,Pediatric Echocardiography,5
1641,2018,Medicine and Surgery,Pediatric Neurosurgery,5
1644,2018,Nursing and Midwifery,Midwifery Nursing,5
1645,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,5
1650,2020,Medicine and Surgery,Renal Transplant Surgery,5
1652,2020,Medicine and Surgery,Pediatric Orthopedic Surgery,5
1654,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,5
1655,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,5
1656,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,5
1659,2020,Medicine and Surgery,Movement Disorder,5
1660,2020,Medicine and Surgery,Infertility-Andrology,5
1663,2020,Medicine and Surgery,Adult Psychosomatic Medicine,5
1665,2019,Medicine and Surgery,Pediatric Otolaryngology,5
1671,2019,Laboratories and Medical Technology,Clinical Audiology,5
1672,2017,Medicine and Surgery,Clinical Neurophysiology,5
1676,2016,Medicine and Surgery,Movement Disorder,5
1679,2019,Medicine and Surgery,Musculoskeletal Surgical Oncology,5
1681,2019,Medicine and Surgery,Orthopedic Trauma Surgery,5
1683,2019,Medicine and Surgery,Pediatric Neurosurgery,5
1684,2019,Laboratories and Medical Technology,Clinical Biochemistry,5
1687,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,5
1688,2022,Medicine and Surgery,Pediatric Otolaryngology,5
1690,2022,Medicine and Surgery,Pediatric Orthopedic Surgery,5
1691,2022,Medicine and Surgery,Pediatric Neurosurgery,5
1692,2022,Medicine and Surgery,Thoracic Surgery,5
1693,2017,Medicine and Surgery,Pediatric Neurosurgery,5
1694,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,5
1698,2017,Medicine and Surgery,Diploma Family Medicine,5
1699,2017,Medicine and Surgery,Movement Disorder,5
1701,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,5
1703,2022,Medicine and Surgery,Musculoskeletal Surgical Oncology,5
1704,2017,Medicine and Surgery,Pediatric Stem Cell Transplantation,5
1716,2021,Medicine and Surgery,Infertility-Andrology,4
1718,2016,Medicine and Surgery,Military Field Medicine,4
1719,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,4
1721,2021,Medicine and Surgery,Pediatrics Urology,4
1724,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Hematology Oncology,4
1725,2018,Medicine and Surgery,Renal Transplant,4
1729,2016,Medicine and Surgery,Breast And Gynecologic Pathology,4
1732,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Cardiology,4
1733,2019,Medicine and Surgery,Neuro-Ophthalmology,4
1735,2016,Medicine and Surgery,Clinical Neurophysiology,4
1738,2017,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,4
1739,2019,Medicine and Surgery,Infertility-Andrology,4
1741,2021,Medicine and Surgery,Pediatric Echocardiography,4
1742,2019,Medicine and Surgery,Obstetric Anesthesiology,4
1744,2021,Medicine and Surgery,Obstetric Anesthesiology,4
1745,2018,Medicine and Surgery,Pediatric Stem Cell Transplantation,4
1746,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,4
1748,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,4
1753,2021,Medicine and Surgery,Pediatric Orthopedic Surgery,4
1754,2021,Medicine and Surgery,Pediatric Otolaryngology,4
1755,2021,Medicine and Surgery,Movement Disorder,4
1756,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,4
1759,2018,Laboratories and Medical Technology,Blood Banking And Transfusion,4
1761,2022,Medicine and Surgery,Infertility-Andrology,4
1763,2020,Medicine and Surgery,Pediatric Neurosurgery,4
1764,2020,Medicine and Surgery,Pediatric Echocardiography,4
1765,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,4
1768,2017,Medicine and Surgery,Advanced General Pediatric,4
1770,2020,Medicine and Surgery,Orthopedic Trauma Surgery,4
1773,2020,Medicine and Surgery,Musculoskeletal Surgical Oncology,4
1783,2018,Medicine and Surgery,Advanced General Pediatric,4
1785,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,4
1787,2020,Medicine and Surgery,Pediatrics Urology,4
1791,2016,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,4
1792,2020,Medicine and Surgery,Pediatric Otolaryngology,4
1796,2016,Nursing and Midwifery,Cardiac Care Nursing,3
1797,2016,Medicine and Surgery,Pediatric Stem Cell Transplantation,3
1799,2019,Medicine and Surgery,Movement Disorder,3
1802,2019,Medicine and Surgery,Breast Imaging,3
1804,2019,Medicine and Surgery,Interventional Nephrology,3
1805,2017,Medicine and Surgery,Neuro-Ophthalmology,3
1811,2019,Medicine and Surgery,Radiation Oncology,3
1812,2022,Medicine and Surgery,Renal Transplant,3
1813,2020,Medicine and Surgery,Community Medicine (Health Informatics),3
1814,2021,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,3
1816,2020,Medicine and Surgery,Adult Stem Cell Transplantation,3
1819,2016,Medicine and Surgery,Skull Base Neurosurgery,3
1820,2022,Unknown,Cardiac Electrophysiology & Pacing,3
1823,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,3
1824,2016,Medicine and Surgery,Reconstructive Surgery,3
1826,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Infectious Diseases,3
1828,2017,Medicine and Surgery,Reconstructive Surgery,3
1832,2020,Medicine and Surgery,Pediatric Stem Cell Transplantation,3
1835,2019,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,3
1837,2020,Medicine and Surgery,Obstetric Anesthesiology,3
1839,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,3
1840,2019,Medicine and Surgery,Pediatric Stem Cell Transplantation,3
1841,2020,Medicine and Surgery,Urogynecology And Pelvic Reconstructive Surgery,3
1843,2020,Medicine and Surgery,Women Imaging,3
1852,2021,Medicine and Surgery,Women's Health,3
1853,2022,Medicine and Surgery,Movement Disorder,3
1854,2021,Medicine and Surgery,Women Imaging,3
1856,2021,Medicine and Surgery,Ultrasound In Obstetrics & Gynecology,3
1857,2021,Medicine and Surgery,Thoracic Surgery,3
1859,2018,Medicine and Surgery,Reconstructive Surgery,3
1861,2018,Medicine and Surgery,Thoracic Surgery,3
1865,2020,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,3
1868,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,3
1871,2018,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,3
1872,2022,Medicine and Surgery,Breast Imaging,3
1873,2018,Medicine and Surgery,Breast And Gynecologic Pathology,3
1874,2018,Medicine and Surgery,Breast Imaging,3
1875,2022,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,3
1877,2018,Medicine and Surgery,Clinical Neurophysiology,3
1878,2017,Medicine and Surgery,Breast Imaging,3
1879,2017,Medicine and Surgery,Breast And Gynecologic Pathology,3
1885,2022,Medicine and Surgery,Colorectal Surgery,3
1887,2018,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,3
1893,2019,Medicine and Surgery,Arthroscopy And Orthopedic Sport Injuries,3
1896,2019,Medicine and Surgery,Advanced General Pediatric,3
1898,2017,Dentistry and Related Specialties,Family Dentistry,3
1903,2021,Medicine and Surgery,Musculoskeletal Surgical Oncology,3
1904,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Pediatric,3
1906,2022,Medicine and Surgery,Geriatric Medicine,2
1912,2021,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2
1913,2020,Medicine and Surgery,Neuro-Ophthalmology,2
1914,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Solid Organ Transplant,2
1916,2022,Medicine and Surgery,Addiction Psychiatry,2
1917,2016,Medicine and Surgery,Interventional Nephrology,2
1919,2021,Medicine and Surgery,Addiction Psychiatry,2
1921,2022,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Medication Safety,2
1922,2022,Medicine and Surgery,Pediatric Echocardiography,2
1923,2020,Medicine and Surgery,Interventional Nephrology,2
