,Academic_Year,Current_Medical_Field_En,Current_Program_Name_En,Total_Trainees,Graduated_Trainees,Success_Rate
831,2020,Medicine and Surgery,Adult Cardiology,40,31,0.78
833,2017,Medicine and Surgery,Pediatric Endocrinology,40,31,0.78
834,2017,Medicine and Surgery,Perinatal Neonatal Medicine,58,45,0.78
837,2021,Medicine and Surgery,Pediatrics Intensive Care - 3 Years Track,13,10,0.77
848,2017,Medicine and Surgery,Cardiac Anesthesia,22,17,0.77
849,2017,Medicine and Surgery,Adult Cardiology,74,57,0.77
854,2017,Medicine and Surgery,Orthopedic Surgery,238,183,0.77
856,2017,Nursing and Midwifery,Cardiac Care Nursing Diploma,45,34,0.76
863,2017,Medicine and Surgery,General Surgery,591,451,0.76
866,2019,Medicine and Surgery,Pediatrics Nephrology,17,13,0.76
878,2017,Nursing and Midwifery,Emergency Nursing Diploma,34,26,0.76
879,2017,Medicine and Surgery,Family Medicine,1368,1038,0.76
883,2018,Medicine and Surgery,Pediatric Endocrinology,36,27,0.75
884,2020,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,32,24,0.75
886,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,4,3,0.75
889,2018,Laboratories and Medical Technology,Saudi Diploma In Blood Banking And Transfusion,4,3,0.75
893,2018,Medicine and Surgery,Pain Medicine,16,12,0.75
895,2021,Medicine and Surgery,Pediatric Radiology,4,3,0.75
897,2017,Medicine and Surgery,Vascular Neurology (Stroke),8,6,0.75
898,2017,Medicine and Surgery,Neurology,61,46,0.75
899,2016,Medicine and Surgery,Pediatric Endocrinology,51,38,0.75
901,2020,Medicine and Surgery,Adult Echocardiography,12,9,0.75
903,2016,Medicine and Surgery,Pediatrics Emergency Medicine,95,71,0.75
904,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,4,3,0.75
907,2019,Medicine and Surgery,Musculoskeletal Imaging,8,6,0.75
910,2020,Unknown,Cardiac Electrophysiology & Pacing,4,3,0.75
911,2016,Medicine and Surgery,Dermatology,111,83,0.75
913,2019,Medicine and Surgery,Diagnostic Neuroradiology,12,9,0.75
915,2018,Medicine and Surgery,Musculoskeletal Imaging,12,9,0.75
921,2019,Medicine and Surgery,Emergency Medicine,165,123,0.75
924,2018,Medicine and Surgery,General Surgery,505,378,0.75
927,2016,Medicine and Surgery,Palliative Medicine,28,21,0.75
928,2016,Medicine and Surgery,Urology,161,120,0.75
939,2016,Medicine and Surgery,Adult Hematology,87,64,0.74
943,2018,Medicine and Surgery,Pediatrics Infectious Diseases,27,20,0.74
950,2019,Nursing and Midwifery,Cardiac Care Nursing Diploma,58,43,0.74
951,2018,Medicine and Surgery,Family Medicine,1217,891,0.73
952,2018,Medicine and Surgery,Orthopedic Surgery,193,141,0.73
953,2017,Medicine and Surgery,Pediatric Hematology And Oncology,45,33,0.73
958,2016,Medicine and Surgery,Anatomic Pathology,62,45,0.73
961,2019,Medicine and Surgery,Colon And Rectal Surgery,11,8,0.73
963,2018,Dentistry and Related Specialties,Endodontics - 3 Years Track,26,19,0.73
964,2020,Dentistry and Related Specialties,Endodontics - 3 Years Track,26,19,0.73
965,2020,Medicine and Surgery,Respiratory Medicine,11,8,0.73
966,2019,Medicine and Surgery,Adults Respiratory Medicine,11,8,0.73
967,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology,11,8,0.73
969,2019,Dentistry and Related Specialties,Endodontics - 3 Years Track,26,19,0.73
971,2019,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,113,82,0.73
975,2017,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,40,29,0.72
977,2016,Medicine and Surgery,Ophthalmology,32,23,0.72
982,2019,Medicine and Surgery,Anatomic Pathology,36,26,0.72
985,2019,Medicine and Surgery,General Surgery,354,255,0.72
988,2017,Medicine and Surgery,Urology,142,102,0.72
989,2019,Medicine and Surgery,Orthopedic Surgery,141,101,0.72
992,2016,Medicine and Surgery,Adult Cardiology,82,59,0.72
997,2017,Medicine and Surgery,Psychiatry,151,107,0.71
998,2017,Medicine and Surgery,Renal Transplant,7,5,0.71
1000,2018,Medicine and Surgery,Anatomic Pathology,52,37,0.71
1004,2021,Medicine and Surgery,Adult Interventional Cardiology,7,5,0.71
1005,2018,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,90,64,0.71
1007,2019,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,59,42,0.71
1008,2020,Medicine and Surgery,Rheumatology,35,25,0.71
1009,2020,Medicine and Surgery,Pediatrics Nephrology,17,12,0.71
1010,2016,Medicine and Surgery,Pediatrics Respiratory Medicine,21,15,0.71
1012,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Oncology,7,5,0.71
1014,2020,Nursing and Midwifery,Midwifery Nursing Diploma,14,10,0.71
1016,2018,Nursing and Midwifery,Advanced Nursing Practice Diploma In Neonatal Intensive Care,7,5,0.71
1018,2019,Medicine and Surgery,Plastic And Reconstrucrive Surgery,17,12,0.71
1024,2018,Medicine and Surgery,Pediatrics Respiratory Medicine,14,10,0.71
1027,2016,Medicine and Surgery,Pediatrics Intensive Care,23,16,0.7
1030,2019,Medicine and Surgery,Pediatrics Infectious Diseases,23,16,0.7
1031,2019,Medicine and Surgery,Cardiac Anesthesia,10,7,0.7
1034,2017,Medicine and Surgery,Physical Medicine And Rehabilitation,40,28,0.7
1036,2017,Medicine and Surgery,Adult Allergy & Immunology,10,7,0.7
1038,2020,Dentistry and Related Specialties,Periodontics,20,14,0.7
1040,2018,Medicine and Surgery,Urology,126,88,0.7
1044,2016,Medicine and Surgery,Diploma Family Medicine,30,21,0.7
1045,2016,Medicine and Surgery,Adult Allergy & Immunology,10,7,0.7
1055,2018,Medicine and Surgery,Diagnostic Neuroradiology,13,9,0.69
1056,2017,Medicine and Surgery,Pediatrics Respiratory Medicine,16,11,0.69
1057,2018,Medicine and Surgery,Cardiac Surgery,16,11,0.69
1061,2017,Medicine and Surgery,Cardiac Surgery,16,11,0.69
1066,2016,Medicine and Surgery,Anesthesia,180,125,0.69
1068,2020,Medicine and Surgery,Diagnostic Neuroradiology,16,11,0.69
1069,2017,Medicine and Surgery,Anesthesia,156,107,0.69
1070,2020,Medicine and Surgery,General Surgery,186,128,0.69
1071,2017,Medicine and Surgery,Adults Respiratory Medicine,26,18,0.69
1074,2016,Medicine and Surgery,Obstetrics & Gynecology,569,389,0.68
1076,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,19,13,0.68
1077,2017,Medicine and Surgery,Anatomic Pathology,60,41,0.68
1081,2019,Medicine and Surgery,Urology,93,63,0.68
1085,2016,Medicine and Surgery,Adults Respiratory Medicine,31,21,0.68
1088,2017,Medicine and Surgery,Preventive Medicine,34,23,0.68
1089,2018,Medicine and Surgery,Preventive Medicine,34,23,0.68
1090,2018,Medicine and Surgery,Neurology,34,23,0.68
1091,2018,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,34,23,0.68
1092,2016,Dentistry and Related Specialties,Orthodontics And Dentofacial Orthopedics - 5 Years Track,28,19,0.68
1094,2019,Medicine and Surgery,Preventive Medicine,34,23,0.68
1095,2020,Medicine and Surgery,Preventive Medicine,34,23,0.68
1096,2016,Medicine and Surgery,Adult Critical Care Medicine - Residency,87,59,0.68
1100,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,6,4,0.67
1101,2020,Medicine and Surgery,Nephrology,46,31,0.67
1104,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy In Infectious Diseases,9,6,0.67
1105,2020,Medicine and Surgery,Pediatric Rheumatology,9,6,0.67
1107,2021,Medicine and Surgery,Pediatrics Emergency Medicine,39,26,0.67
1110,2017,Medicine and Surgery,Pediatric Radiology,9,6,0.67
1111,2019,Medicine and Surgery,Family Medicine,905,610,0.67
1113,2016,Medicine and Surgery,Pain Medicine,24,16,0.67
1114,2020,Dentistry and Related Specialties,Prosthodontics,21,14,0.67
1117,2017,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,9,6,0.67
1120,2019,Medicine and Surgery,Pediatric Radiology,6,4,0.67
1121,2021,Medicine and Surgery,Pediatric Surgery - Fellowship,6,4,0.67
1122,2021,Medicine and Surgery,Diagnostic Neuroradiology,6,4,0.67
1126,2017,Medicine and Surgery,Clinical Neurophysiology,3,2,0.67
1130,2020,Nursing and Midwifery,Cardiac Care Nursing Diploma,36,24,0.67
1131,2016,Nursing and Midwifery,Cardiac Care Nursing Diploma,3,2,0.67
1133,2016,Medicine and Surgery,Renal Transplant Surgery,3,2,0.67
1136,2016,Medicine and Surgery,Pediatric Neurosurgery,3,2,0.67
1139,2020,Medicine and Surgery,Community Medicine,3,2,0.67
1140,2020,Medicine and Surgery,Maternal Fetal Medicine,12,8,0.67
1146,2017,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,122,82,0.67
1149,2019,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,3,2,0.67
1157,2018,Nursing and Midwifery,Emergency Nursing Diploma,69,46,0.67
1158,2016,Unknown,Nuclear Medicine,15,10,0.67
1159,2019,Medicine and Surgery,Infertility-Andrology,3,2,0.67
1161,2018,Medicine and Surgery,Pediatric Stem Cell Transplantation,3,2,0.67
1162,2020,Medicine and Surgery,Women Image,3,2,0.67
1164,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,3,2,0.67
1165,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Parental Nutrition,3,2,0.67
1169,2017,Medicine and Surgery,Obstetrics & Gynecology,487,320,0.66
1170,2020,Medicine and Surgery,Otorhinolaryngology Head And Neck Surgery,58,38,0.66
1177,2016,Medicine and Surgery,Cardiac Anesthesia,17,11,0.65
1178,2020,Medicine and Surgery,Adults Respiratory Medicine,34,22,0.65
1179,2020,Medicine and Surgery,Pain Medicine,17,11,0.65
1180,2016,Medicine and Surgery,Forensic Medicine,51,33,0.65
1181,2020,Medicine and Surgery,Emergency Medicine,103,67,0.65
1185,2017,Medicine and Surgery,Pediatrics Infectious Diseases,34,22,0.65
1186,2017,Medicine and Surgery,Diagnostic Neuroradiology,20,13,0.65
1190,2016,Medicine and Surgery,Pediatric Anesthesia,20,13,0.65
1191,2016,Medicine and Surgery,Cardiac Surgery,17,11,0.65
1194,2019,Medicine and Surgery,Maternal Fetal Medicine,20,13,0.65
1195,2016,Medicine and Surgery,Pediatric Medicine,488,317,0.65
1197,2018,Medicine and Surgery,Psychiatry,122,78,0.64
1198,2019,Medicine and Surgery,Anesthesia,105,67,0.64
1199,2020,Medicine and Surgery,Pediatric Endocrinology,33,21,0.64
1200,2020,Medicine and Surgery,Perinatal Neonatal Medicine,47,30,0.64
1206,2019,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,28,18,0.64
1207,2020,Medicine and Surgery,Pediatric Allergy And Immunology,11,7,0.64
1210,2020,Medicine and Surgery,Pediatric Anesthesia,11,7,0.64
1213,2017,Medicine and Surgery,Diagnostic Radiology,283,181,0.64
1214,2021,Medicine and Surgery,Pediatric Hematology And Oncology,11,7,0.64
1215,2018,Medicine and Surgery,Anesthesia,140,89,0.64
1223,2021,Medicine and Surgery,Oncology,19,12,0.63
1225,2021,Medicine and Surgery,Nephrology,27,17,0.63
1227,2020,Medicine and Surgery,Anatomic Pathology,19,12,0.63
1228,2019,Medicine and Surgery,Pediatrics Respiratory Medicine,13,8,0.62
1231,2016,Medicine and Surgery,Vascular Neurology (Stroke),8,5,0.62
1233,2020,Medicine and Surgery,Colon And Rectal Surgery,8,5,0.62
1238,2016,Medicine and Surgery,Perinatal Neonatal Medicine,66,41,0.62
1239,2016,Medicine and Surgery,Diagnostic Radiology,248,154,0.62
1241,2019,Medicine and Surgery,Psychiatry,95,59,0.62
1245,2019,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,8,5,0.62
1246,2018,Medicine and Surgery,Physical Medicine And Rehabilitation,32,20,0.62
1248,2020,Medicine and Surgery,Orthopedic Surgery,77,48,0.62
1251,2016,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,111,68,0.61
1255,2020,Medicine and Surgery,Adult Hematology,51,31,0.61
1257,2017,Medicine and Surgery,Pediatric Medicine,647,394,0.61
1258,2018,Medicine and Surgery,Obstetrics & Gynecology,400,243,0.61
1263,2020,Medicine and Surgery,Urology,51,31,0.61
1269,2020,Medicine and Surgery,Pediatric Neurology,18,11,0.61
1270,2017,Medicine and Surgery,Epilepsy & Electroencephalography,23,14,0.61
1274,2018,Medicine and Surgery,Forensic Medicine,33,20,0.61
1275,2016,Medicine and Surgery,Renal Transplant,5,3,0.6
1277,2016,Medicine and Surgery,Breast And Endocrine Surgical Oncology,10,6,0.6
1279,2018,Unknown,Nuclear Medicine,10,6,0.6
1280,2018,Medicine and Surgery,Adults Respiratory Medicine,10,6,0.6
1287,2016,Medicine and Surgery,Musculoskeletal Oncology Fellowship,5,3,0.6
1289,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,5,3,0.6
1291,2020,Medicine and Surgery,Infertility-Andrology,5,3,0.6
1292,2019,Medicine and Surgery,Adult Stem Cell Transplantation,5,3,0.6
1295,2020,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,80,48,0.6
1297,2019,Medicine and Surgery,Adult Echocardiography,15,9,0.6
1298,2017,Medicine and Surgery,Pain Medicine,20,12,0.6
1305,2018,Medicine and Surgery,Diagnostic Radiology,228,135,0.59
1311,2017,Medicine and Surgery,Ophthalmology,44,26,0.59
1312,2020,Medicine and Surgery,Anesthesia,66,39,0.59
1314,2019,Medicine and Surgery,Obstetrics & Gynecology,280,163,0.58
1315,2018,Medicine and Surgery,Pediatric Medicine,569,331,0.58
1316,2016,Laboratories and Medical Technology,Medical Microbiology,12,7,0.58
1324,2017,Medicine and Surgery,Adult Critical Care Medicine - Residency,62,36,0.58
1325,2019,Medicine and Surgery,Diagnostic Radiology,173,101,0.58
1326,2017,Medicine and Surgery,Adult Echocardiography,31,18,0.58
1327,2019,Medicine and Surgery,Cardiac Surgery,12,7,0.58
1329,2021,Medicine and Surgery,Cardiac Anesthesia,7,4,0.57
1330,2021,Medicine and Surgery,Adults Respiratory Medicine,30,17,0.57
1333,2019,Unknown,Nuclear Medicine,7,4,0.57
1334,2016,Medicine and Surgery,Clinical Neurosurgery,54,31,0.57
1335,2020,Medicine and Surgery,Plastic And Reconstrucrive Surgery,7,4,0.57
1336,2017,Medicine and Surgery,Forensic Medicine,47,27,0.57
1341,2018,Medicine and Surgery,Adult & Pediatric Orthopedic Spinal Surgery,7,4,0.57
1342,2019,Medicine and Surgery,Renal Transplant,7,4,0.57
1344,2016,Medicine and Surgery,Adult Psychosomatic Medicine,7,4,0.57
1345,2019,Medicine and Surgery,Adult Allergy & Immunology,7,4,0.57
1350,2021,Medicine and Surgery,Pediatric Anesthesia,7,4,0.57
1351,2017,Medicine and Surgery,Pediatric Orthopedic Surgery,7,4,0.57
1355,2021,Medicine and Surgery,Pediatrics Nephrology,7,4,0.57
1356,2021,Medicine and Surgery,Rheumatology,18,10,0.56
1357,2019,Medicine and Surgery,Adult Critical Care Medicine - Residency,57,32,0.56
1358,2016,Medicine and Surgery,Cardiothoracic Radiology,9,5,0.56
1360,2019,Medicine and Surgery,Physical Medicine And Rehabilitation,27,15,0.56
1361,2020,Dentistry and Related Specialties,Oral Maxillofacial Surgery,9,5,0.56
1362,2021,Medicine and Surgery,Pediatric Endocrinology,18,10,0.56
1363,2016,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,18,10,0.56
1365,2021,Medicine and Surgery,Saudi Postgraduate Diploma In Paediatrics,27,15,0.56
1366,2017,Laboratories and Medical Technology,Medical Microbiology,9,5,0.56
1367,2021,Medicine and Surgery,Adult Echocardiography,9,5,0.56
1369,2016,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Internal Medicine,9,5,0.56
1375,2020,Medicine and Surgery,Family Medicine,524,294,0.56
1376,2021,Medicine and Surgery,Adult Hematology,25,14,0.56
1379,2019,Medicine and Surgery,Adult Interventional Cardiology,20,11,0.55
1383,2018,Medicine and Surgery,Adult Critical Care Medicine - Residency,58,32,0.55
1385,2020,Medicine and Surgery,Cardiac Anesthesia,11,6,0.55
1386,2017,Medicine and Surgery,Clinical Neurosurgery,48,26,0.54
1389,2018,Medicine and Surgery,Ophthalmology,37,20,0.54
1392,2019,Medicine and Surgery,Pediatric Medicine,463,250,0.54
1400,2020,Medicine and Surgery,Pediatrics Respiratory Medicine,13,7,0.54
1410,2017,Medicine and Surgery,Internal Medicine,758,400,0.53
1412,2020,Medicine and Surgery,Physical Medicine And Rehabilitation,17,9,0.53
1416,2020,Medicine and Surgery,Psychiatry,52,27,0.52
1418,2019,Medicine and Surgery,Ophthalmology,29,15,0.52
1419,2016,Nursing and Midwifery,Oncology Nursing Diploma,23,12,0.52
1421,2016,Medicine and Surgery,Diagnostic Neuroradiology,25,13,0.52
1423,2017,Nursing and Midwifery,Adult Critical Care Nursing Diploma,58,30,0.52
1425,2019,Medicine and Surgery,Internal Medicine,539,273,0.51
1426,2020,Medicine and Surgery,Obstetrics & Gynecology,192,98,0.51
1428,2020,Medicine and Surgery,Adult Critical Care Medicine - Residency,39,20,0.51
1434,2019,Medicine and Surgery,Pediatric Orthopedic Surgery,4,2,0.5
1436,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Critical Care,4,2,0.5
1437,2016,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,4,2,0.5
1439,2016,Medicine and Surgery,Infertility-Andrology,4,2,0.5
1447,2019,Medicine and Surgery,Pediatric Echocardioghraphy,4,2,0.5
1453,2021,Medicine and Surgery,Colon And Rectal Surgery,4,2,0.5
1456,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Drug Information,2,1,0.5
1457,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Ambulatory Care,2,1,0.5
1458,2017,Medicine and Surgery,Cardiothoracic Radiology,4,2,0.5
1459,2019,Medicine and Surgery,Clinical Neurophysiology,2,1,0.5
1461,2016,Medicine and Surgery,Pediatric Rheumatology,12,6,0.5
1463,2020,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2,1,0.5
1465,2020,Laboratories and Medical Technology,Radiology Technology & Medical Imaging,10,5,0.5
1466,2021,Medicine and Surgery,Pediatric Echocardioghraphy,2,1,0.5
1468,2019,Medicine and Surgery,Pediatric Stem Cell Transplantation,2,1,0.5
1469,2021,Medicine and Surgery,Gynecology Oncology,4,2,0.5
1470,2018,Medicine and Surgery,Pediatric Echocardioghraphy,4,2,0.5
1472,2019,Medicine and Surgery,Gynecology Oncology,4,2,0.5
1474,2019,Medicine and Surgery,Pediatric Rheumatology,8,4,0.5
1477,2021,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,2,1,0.5
1483,2016,Medicine and Surgery,Adult Stem Cell Transplantation,4,2,0.5
1487,2017,Medicine and Surgery,Pediatric Stem Cell Transplantation,4,2,0.5
1488,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy - Nephrology,4,2,0.5
1489,2019,Medicine and Surgery,Thoracic Surgery,2,1,0.5
1490,2021,Medicine and Surgery,Infertility-Andrology,2,1,0.5
1493,2020,Medicine and Surgery,Interventional Nephrology,2,1,0.5
1494,2021,Medicine and Surgery,Vascular Neurology (Stroke),4,2,0.5
1496,2021,Medicine and Surgery,Pediatric Rheumatology,4,2,0.5
1499,2018,Medicine and Surgery,Vascular Surgery,4,2,0.5
1500,2019,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,58,29,0.5
1501,2019,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,2,1,0.5
1503,2018,Laboratories and Medical Technology,Saudi Diploma In Audiology,2,1,0.5
1506,2017,Medicine and Surgery,Breast And Gynecologic Pathology,2,1,0.5
1512,2018,Medicine and Surgery,Adult Stem Cell Transplantation,6,3,0.5
1520,2019,Medicine and Surgery,Breast And Endocrine Surgical Oncology,6,3,0.5
1522,2021,Medicine and Surgery,Pediatrics Respiratory Medicine,6,3,0.5
1523,2021,Medicine and Surgery,Pain Medicine,8,4,0.5
1526,2019,Medicine and Surgery,Forensic Medicine,22,11,0.5
1527,2018,Medicine and Surgery,Adult Interventional Cardiology,22,11,0.5
1530,2016,Medicine and Surgery,Internal Medicine,602,304,0.5
1531,2018,Medicine and Surgery,Internal Medicine,697,348,0.5
1533,2020,Medicine and Surgery,Diagnostic Radiology,115,57,0.5
1536,2016,Nursing and Midwifery,Adult Critical Care Nursing Diploma,2,1,0.5
1540,2018,Medicine and Surgery,Breast And Gynecologic Pathology,2,1,0.5
1541,2019,Medicine and Surgery,Emergency Medicine Diploma,14,7,0.5
1546,2016,Medicine and Surgery,Interventional Nephrology,2,1,0.5
1547,2016,Medicine and Surgery,Neurosurgery Skull-Base,2,1,0.5
1548,2017,Nursing and Midwifery,Oncology Nursing Diploma,43,21,0.49
1549,2018,Medicine and Surgery,Clinical Neurosurgery,43,21,0.49
1551,2016,Medicine and Surgery,Pediatrics Infectious Diseases,39,19,0.49
1554,2020,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,40,19,0.48
1556,2018,Medicine and Surgery,Adult Echocardiography,23,11,0.48
1558,2016,Medicine and Surgery,Pediatric Allergy And Immunology,17,8,0.47
1560,2018,Nursing and Midwifery,Adult Critical Care Nursing Diploma,97,46,0.47
1562,2017,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,17,8,0.47
1563,2020,Medicine and Surgery,Internal Medicine,334,158,0.47
1568,2017,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,17,8,0.47
1571,2020,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,41,19,0.46
1575,2021,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,28,13,0.46
1576,2019,Medicine and Surgery,Saudi Postgraduate Diploma In Emergency Medicine,13,6,0.46
1581,2017,Medicine and Surgery,Pediatric Rheumatology,11,5,0.45
1583,2016,Medicine and Surgery,Pediatric Surgery - Residency,11,5,0.45
1585,2018,Medicine and Surgery,Clinical Genetics & Metabolic Disorders,11,5,0.45
1586,2020,Medicine and Surgery,Pediatric Medicine,292,132,0.45
1588,2018,Pharmacists and Pharmacy Technicians,Clinical Pharmacy,29,13,0.45
1589,2019,Nursing and Midwifery,Emergency Nursing Diploma,97,44,0.45
1590,2019,Nursing and Midwifery,Advanced Nursing Practice Diploma In Neonatal Intensive Care,20,9,0.45
1593,2016,Medicine and Surgery,Neurology - 5 Years Track,36,16,0.44
1595,2016,Medicine and Surgery,Preventive Medicine,9,4,0.44
1596,2019,Medicine and Surgery,Clinical Neurosurgery,32,14,0.44
1598,2017,Medicine and Surgery,Adult Interventional Cardiology,16,7,0.44
1599,2021,Medicine and Surgery,Adult Critical Care Medicine - Fellowship,53,23,0.43
1601,2018,Medicine and Surgery,Pediatric Allergy And Immunology,14,6,0.43
1602,2020,Medicine and Surgery,Cardiac Surgery,7,3,0.43
1607,2021,Medicine and Surgery,Maternal Fetal Medicine,7,3,0.43
1608,2021,Medicine and Surgery,Perinatal Neonatal Medicine,24,10,0.42
1609,2020,Dentistry and Related Specialties,Saudi Postgraduate Diploma In Family Dental Medicine,60,25,0.42
1611,2019,Medicine and Surgery,Neurology,12,5,0.42
1612,2019,Medicine and Surgery,Neurology - 5 Years Track,38,16,0.42
1616,2021,Dentistry and Related Specialties,Saudi Postgraduate Diploma In Family Dental Medicine,60,25,0.42
1618,2020,Medicine and Surgery,Pediatrics Infectious Diseases,29,12,0.41
1619,2017,Medicine and Surgery,Neurology - 5 Years Track,39,16,0.41
1621,2021,Medicine and Surgery,Pediatric Allergy And Immunology,5,2,0.4
1623,2016,Medicine and Surgery,Adult Echocardiography,30,12,0.4
1629,2017,Medicine and Surgery,Adult Psychosomatic Medicine,5,2,0.4
1630,2020,Medicine and Surgery,Ophthalmology,15,6,0.4
1633,2020,Medicine and Surgery,Gynecology Oncology,5,2,0.4
1638,2018,Medicine and Surgery,Neurology - 5 Years Track,41,16,0.39
1639,2017,Medicine and Surgery,Pediatric Allergy And Immunology,16,6,0.38
1642,2020,Medicine and Surgery,Clinical Neurosurgery,21,8,0.38
1643,2019,Medicine and Surgery,Oral Medicine And Pathology,8,3,0.38
1645,2019,Medicine and Surgery,Vascular Neurology (Stroke),8,3,0.38
1649,2020,Medicine and Surgery,Oral Medicine And Pathology,8,3,0.38
1650,2017,Medicine and Surgery,Oral Medicine And Pathology,8,3,0.38
1651,2017,Medicine and Surgery,Women Image,8,3,0.38
1652,2018,Medicine and Surgery,Oral Medicine And Pathology,8,3,0.38
1660,2020,Medicine and Surgery,Neurology - 5 Years Track,44,16,0.36
1661,2020,Medicine and Surgery,Forensic Medicine,14,5,0.36
1664,2018,Nursing and Midwifery,Oncology Nursing Diploma,37,13,0.35
1665,2020,Nursing and Midwifery,Emergency Nursing Diploma,64,22,0.34
1670,2016,Medicine and Surgery,Thoracic Surgery,3,1,0.33
1673,2016,Medicine and Surgery,Pediatric Stem Cell Transplantation,3,1,0.33
1676,2017,Medicine and Surgery,Musculoskeletal Oncology Fellowship,3,1,0.33
1679,2017,Medicine and Surgery,Vascular Surgery,3,1,0.33
1680,2017,Medicine and Surgery,Thoracic Surgery,3,1,0.33
1683,2017,Medicine and Surgery,Renal Transplant Surgery,3,1,0.33
1695,2018,Medicine and Surgery,Pediatric Surgery - Residency,3,1,0.33
1698,2018,Medicine and Surgery,Infertility-Andrology,3,1,0.33
1700,2018,Medicine and Surgery,Pediatric Orthopedic Surgery,6,2,0.33
1705,2019,Medicine and Surgery,Musculoskeletal Oncology Fellowship,3,1,0.33
1706,2016,Medicine and Surgery,Vascular Surgery,3,1,0.33
1708,2018,Medicine and Surgery,Adult Psychosomatic Medicine,6,2,0.33
1710,2019,Medicine and Surgery,Interventional Nephrology,3,1,0.33
1712,2017,Medicine and Surgery,Hepatobiliary-Pancreatic Surgery,3,1,0.33
1713,2017,Medicine and Surgery,Infertility-Andrology,3,1,0.33
1716,2019,Medicine and Surgery,Cardiothoracic Radiology,6,2,0.33
1719,2020,Nursing and Midwifery,Advanced Nursing Practice Diploma In Neonatal Intensive Care,13,4,0.31
1725,2018,Medicine and Surgery,Adult Allergy & Immunology,10,3,0.3
1729,2017,Medicine and Surgery,Breast And Endocrine Surgical Oncology,7,2,0.29
1732,2016,Medicine and Surgery,Women Image,11,3,0.27
1734,2016,Medicine and Surgery,Adult Interventional Cardiology,15,4,0.27
1737,2018,Medicine and Surgery,Epilepsy & Electroencephalography,11,3,0.27
1738,2019,Nursing and Midwifery,Oncology Nursing Diploma,50,13,0.26
1741,2017,Medicine and Surgery,Pediatric Echocardioghraphy,4,1,0.25
1745,2016,Medicine and Surgery,Military Field Medicine,4,1,0.25
1746,2016,Medicine and Surgery,Women's Health,4,1,0.25
1748,2020,Medicine and Surgery,Pediatric Surgery - Residency,4,1,0.25
1751,2017,Medicine and Surgery,Adult Stem Cell Transplantation,4,1,0.25
1752,2019,Medicine and Surgery,Pediatric Surgery - Residency,4,1,0.25
1760,2021,Medicine and Surgery,Pediatrics Infectious Diseases,16,4,0.25
1763,2020,Nursing and Midwifery,Oncology Nursing Diploma,39,9,0.23
1765,2019,Nursing and Midwifery,Adult Critical Care Nursing Diploma,114,25,0.22
1770,2018,Medicine and Surgery,Emergency Medicine Diploma,15,3,0.2
1775,2017,Medicine and Surgery,Women's Health,5,1,0.2
1778,2018,Medicine and Surgery,Cardiothoracic Radiology,5,1,0.2
1790,2018,Medicine and Surgery,Vascular Neurology (Stroke),6,1,0.17
1791,2017,Medicine and Surgery,Arthroscopy And Orthopaedic Sport Injuries,6,1,0.17
