,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,Region_Name_En,Number_of_Trainees
830,2020,Female,Saudi Arabia,Medicine and Surgery,Al Jawf,11
831,2019,Female,Sudan,Medicine and Surgery,Makkah,11
837,2020,Male,Saudi Arabia,Unknown,Riyadh,11
840,2016,Female,Sudan,Medicine and Surgery,Asir,11
841,2016,Female,Saudi Arabia,Unknown,Riyadh,11
842,2018,Male,Kuwait,Medicine and Surgery,Riyadh,11
844,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,11
845,2016,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,11
847,2019,Male,Saudi Arabia,Unknown,Riyadh,11
848,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,11
849,2022,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,11
853,2017,Male,Bahrain,Medicine and Surgery,Outside KSA,11
855,2021,Female,Egypt,Medicine and Surgery,Riyadh,11
857,2020,Male,Kuwait,Medicine and Surgery,Riyadh,11
862,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,11
863,2021,Male,Saudi Arabia,Nursing and Midwifery,Al-Qassim,11
864,2021,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,11
867,2019,Female,Saudi Arabia,Nursing and Midwifery,Al Madinah,11
868,2016,Male,Yemen,Medicine and Surgery,Eastern Province,11
869,2017,Female,Jordan,Medicine and Surgery,Riyadh,11
870,2018,Female,Pakistan,Medicine and Surgery,Outside KSA,11
872,2021,Female,Bahrain,Medicine and Surgery,Eastern Province,10
873,2016,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,10
875,2019,Male,Saudi Arabia,Nursing and Midwifery,Najran,10
876,2016,Female,India,Medicine and Surgery,Riyadh,10
877,2018,Female,Saudi Arabia,Laboratories and Medical Technology,Makkah,10
879,2016,Female,Pakistan,Medicine and Surgery,Riyadh,10
880,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,10
882,2016,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,10
885,2017,Female,Saudi Arabia,Unknown,Riyadh,10
886,2022,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Riyadh,10
887,2016,Male,Saudi Arabia,Medicine and Surgery,Hail,10
890,2018,Female,Jordan,Medicine and Surgery,Riyadh,10
893,2017,Female,Pakistan,Medicine and Surgery,Outside KSA,10
894,2019,Female,Bahrain,Medicine and Surgery,Riyadh,10
895,2019,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,10
896,2021,Female,Egypt,Medicine and Surgery,Makkah,10
897,2019,Male,Jordan,Medicine and Surgery,Riyadh,10
899,2018,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,10
900,2022,Female,Sudan,Medicine and Surgery,Riyadh,10
902,2018,Male,Saudi Arabia,Nursing and Midwifery,Al-Qassim,10
904,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,10
909,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,10
910,2018,Male,Yemen,Medicine and Surgery,Eastern Province,10
912,2019,Female,Saudi Arabia,Nursing and Midwifery,Al-Qassim,10
917,2019,Female,Jordan,Medicine and Surgery,Riyadh,10
919,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,10
920,2017,Male,Sudan,Medicine and Surgery,Makkah,10
925,2021,Male,Syria,Medicine and Surgery,Riyadh,9
927,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,9
930,2017,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,9
931,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Najran,9
935,2019,Female,Pakistan,Medicine and Surgery,Outside KSA,9
940,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Eastern Province,9
945,2017,Female,Saudi Arabia,Medicine and Surgery,Outside KSA,9
947,2017,Female,Sudan,Medicine and Surgery,Asir,9
953,2016,Female,Syria,Medicine and Surgery,Riyadh,9
954,2020,Female,Bahrain,Medicine and Surgery,Eastern Province,9
957,2021,Male,Egypt,Medicine and Surgery,Riyadh,9
958,2022,Female,Saudi Arabia,Medicine and Surgery,Asir,9
959,2018,Female,Syria,Medicine and Surgery,Riyadh,9
961,2018,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,9
963,2016,Female,Jordan,Medicine and Surgery,Riyadh,9
971,2022,Male,Egypt,Medicine and Surgery,Riyadh,9
975,2016,Male,Sudan,Medicine and Surgery,Makkah,9
976,2019,Female,Syria,Medicine and Surgery,Riyadh,9
980,2021,Male,Kuwait,Medicine and Surgery,Riyadh,9
981,2018,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,9
984,2021,Female,Saudi Arabia,Nursing and Midwifery,Jizan,9
987,2021,Female,Saudi Arabia,Nursing and Midwifery,Najran,9
989,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Al-Qassim,9
990,2020,Female,Bahrain,Medicine and Surgery,Riyadh,9
994,2017,Male,Sudan,Medicine and Surgery,Asir,9
995,2021,Female,Bahrain,Medicine and Surgery,Riyadh,9
996,2017,Male,Saudi Arabia,Nursing and Midwifery,Al-Qassim,9
998,2020,Male,Syria,Medicine and Surgery,Makkah,9
1000,2018,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,8
1001,2017,Female,Pakistan,Medicine and Surgery,Riyadh,8
1003,2021,Male,Jordan,Medicine and Surgery,Riyadh,8
1006,2022,Female,Egypt,Medicine and Surgery,Riyadh,8
1009,2016,Female,Sudan,Medicine and Surgery,Tabuk,8
1011,2021,Female,India,Medicine and Surgery,Outside KSA,8
1013,2018,Male,Saudi Arabia,Nursing and Midwifery,Jizan,8
1015,2018,Female,Sudan,Medicine and Surgery,Al-Qassim,8
1016,2020,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,8
1017,2022,Female,Yemen,Medicine and Surgery,Riyadh,8
1018,2016,Female,Saudi Arabia,Nursing and Midwifery,Riyadh,8
1019,2017,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,8
1022,2019,Male,Pakistan,Medicine and Surgery,Makkah,8
1027,2017,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,8
1028,2021,Female,Yemen,Medicine and Surgery,Riyadh,8
1031,2019,Male,Saudi Arabia,Nursing and Midwifery,Jizan,8
1032,2017,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,8
1034,2020,Male,United Arab Emirates,Medicine and Surgery,Outside KSA,8
1036,2018,Female,India,Medicine and Surgery,Makkah,8
1037,2016,Female,Pakistan,Medicine and Surgery,Outside KSA,8
1039,2018,Male,Pakistan,Medicine and Surgery,Riyadh,8
1041,2016,Female,Yemen,Medicine and Surgery,Eastern Province,8
1043,2019,Female,India,Medicine and Surgery,Makkah,8
1046,2016,Male,Yemen,Medicine and Surgery,Najran,8
1047,2018,Female,Bahrain,Medicine and Surgery,Riyadh,8
1048,2021,Male,Syria,Medicine and Surgery,Makkah,8
1049,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,8
1052,2020,Male,Pakistan,Medicine and Surgery,Makkah,8
1055,2020,Female,Palestine,Medicine and Surgery,Makkah,8
1056,2021,Male,Saudi Arabia,Nursing and Midwifery,Al Bahah,8
1057,2018,Male,Sudan,Medicine and Surgery,Makkah,8
1058,2020,Female,Jordan,Medicine and Surgery,Riyadh,8
1059,2021,Male,Pakistan,Medicine and Surgery,Makkah,8
1061,2018,Female,Saudi Arabia,Medicine and Surgery,Najran,8
1062,2019,Female,Bahrain,Medicine and Surgery,Eastern Province,8
1063,2022,Male,Kuwait,Medicine and Surgery,Riyadh,8
1064,2017,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,7
1065,2019,Male,Palestine,Medicine and Surgery,Makkah,7
1070,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,7
1071,2016,Male,Yemen,Medicine and Surgery,Asir,7
1073,2019,Male,Saudi Arabia,Nursing and Midwifery,Al-Qassim,7
1074,2022,Male,Saudi Arabia,Dentistry and Related Specialties,Makkah,7
1082,2020,Female,Saudi Arabia,Nursing and Midwifery,Jizan,7
1084,2017,Male,Yemen,Medicine and Surgery,Asir,7
1087,2017,Female,India,Medicine and Surgery,Makkah,7
1089,2017,Male,Jordan,Medicine and Surgery,Makkah,7
1090,2018,Female,Saudi Arabia,Unknown,Riyadh,7
1092,2020,Female,Syria,Medicine and Surgery,Riyadh,7
1093,2021,Female,Saudi Arabia,Unknown,Riyadh,7
1096,2018,Female,Kuwait,Medicine and Surgery,Riyadh,7
1098,2016,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,7
1099,2020,Female,Pakistan,Medicine and Surgery,Outside KSA,7
1101,2017,Male,Yemen,Medicine and Surgery,Najran,7
1102,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,7
1104,2016,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,7
1105,2021,Female,Jordan,Medicine and Surgery,Riyadh,7
1107,2016,Male,Saudi Arabia,Medicine and Surgery,Najran,7
1108,2016,Female,Sudan,Medicine and Surgery,Eastern Province,7
1120,2021,Male,Palestine,Medicine and Surgery,Makkah,7
1123,2017,Male,India,Medicine and Surgery,Riyadh,7
1125,2019,Male,Immigrant Tribes,Medicine and Surgery,Riyadh,7
1127,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Al-Qassim,7
1129,2020,Male,Jordan,Medicine and Surgery,Riyadh,7
1136,2017,Male,Saudi Arabia,Nursing and Midwifery,Al Madinah,7
1138,2017,Female,Syria,Medicine and Surgery,Riyadh,7
1139,2017,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,7
1140,2017,Female,Yemen,Medicine and Surgery,Eastern Province,7
1144,2019,Female,Saudi Arabia,Medicine and Surgery,Al Bahah,7
1145,2022,Female,Saudi Arabia,Dentistry and Related Specialties,Riyadh,7
1148,2019,Female,India,Medicine and Surgery,Outside KSA,7
1150,2018,Male,Jordan,Medicine and Surgery,Makkah,7
1151,2022,Female,Saudi Arabia,Medicine and Surgery,Unknown,7
1152,2020,Male,Immigrant Tribes,Medicine and Surgery,Riyadh,7
1154,2019,Female,Kuwait,Medicine and Surgery,Riyadh,7
1156,2018,Male,Sudan,Medicine and Surgery,Asir,7
1159,2018,Male,Yemen,Medicine and Surgery,Asir,6
1161,2016,Male,Kuwait,Medicine and Surgery,Eastern Province,6
1162,2017,Male,Pakistan,Medicine and Surgery,Makkah,6
1164,2019,Female,Jordan,Medicine and Surgery,Outside KSA,6
1167,2018,Female,Saudi Arabia,Nursing and Midwifery,Al Madinah,6
1171,2020,Female,Jordan,Medicine and Surgery,Outside KSA,6
1173,2016,Male,Sudan,Medicine and Surgery,Al-Qassim,6
1182,2019,Female,Saudi Arabia,Laboratories and Medical Technology,Riyadh,6
1183,2020,Female,India,Medicine and Surgery,Makkah,6
1184,2022,Male,Palestine,Medicine and Surgery,Riyadh,6
1185,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Tabuk,6
1186,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Hail,6
1189,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Northern Borders,6
1192,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Hail,6
1197,2020,Female,Saudi Arabia,Nursing and Midwifery,Asir,6
1198,2016,Male,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,6
1199,2021,Female,Saudi Arabia,Nursing and Midwifery,Asir,6
1201,2021,Male,Yemen,Medicine and Surgery,Eastern Province,6
1202,2019,Female,Saudi Arabia,Nursing and Midwifery,Asir,6
1205,2016,Female,Palestine,Medicine and Surgery,Riyadh,6
1206,2019,Male,Sudan,Medicine and Surgery,Makkah,6
1208,2016,Female,Pakistan,Medicine and Surgery,Makkah,6
1210,2018,Female,Yemen,Medicine and Surgery,Eastern Province,6
1212,2020,Male,Yemen,Medicine and Surgery,Eastern Province,6
1222,2022,Female,Saudi Arabia,Unknown,Riyadh,6
1227,2019,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,6
1228,2018,Male,India,Medicine and Surgery,Riyadh,6
1230,2021,Female,Syria,Medicine and Surgery,Makkah,6
1231,2018,Male,Pakistan,Medicine and Surgery,Makkah,6
1236,2018,Male,Saudi Arabia,Nursing and Midwifery,Najran,6
1239,2019,Female,Sudan,Medicine and Surgery,Al-Qassim,6
1240,2019,Female,Sudan,Medicine and Surgery,Outside KSA,6
1241,2018,Female,Sudan,Medicine and Surgery,Asir,6
1244,2020,Male,Saudi Arabia,Nursing and Midwifery,Jizan,6
1246,2022,Female,Bahrain,Medicine and Surgery,Riyadh,6
1256,2017,Male,Saudi Arabia,Medicine and Surgery,Al Jawf,6
1261,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Northern Borders,6
1263,2020,Male,Palestine,Medicine and Surgery,Makkah,6
1268,2017,Female,Palestine,Medicine and Surgery,Riyadh,6
1269,2018,Female,Saudi Arabia,Dentistry and Related Specialties,Al Madinah,6
1274,2021,Female,Pakistan,Medicine and Surgery,Outside KSA,6
1275,2021,Female,Jordan,Medicine and Surgery,Outside KSA,6
1276,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Asir,6
1277,2018,Female,Pakistan,Medicine and Surgery,Makkah,6
1281,2020,Male,Federated States Of Micronesia,Medicine and Surgery,Riyadh,6
1285,2017,Female,Bahrain,Medicine and Surgery,Riyadh,6
1287,2017,Female,Pakistan,Medicine and Surgery,Makkah,6
1288,2018,Female,India,Medicine and Surgery,Outside KSA,6
1291,2022,Male,Saudi Arabia,Medicine and Surgery,Unknown,6
1294,2021,Female,Pakistan,Medicine and Surgery,Makkah,5
1295,2016,Male,Jordan,Medicine and Surgery,Makkah,5
1296,2016,Male,India,Medicine and Surgery,Riyadh,5
1297,2016,Male,Jordan,Medicine and Surgery,Eastern Province,5
1299,2022,Male,Saudi Arabia,Unknown,Riyadh,5
1300,2016,Male,India,Medicine and Surgery,Makkah,5
1302,2019,Female,Saudi Arabia,Unknown,Riyadh,5
1308,2022,Female,Saudi Arabia,Medicine and Surgery,Tabuk,5
1315,2019,Female,Pakistan,Medicine and Surgery,Makkah,5
1317,2020,Female,Syria,Medicine and Surgery,Makkah,5
1322,2018,Female,Pakistan,Medicine and Surgery,Riyadh,5
1323,2022,Male,Saudi Arabia,Medicine and Surgery,Tabuk,5
1326,2017,Male,Kuwait,Dentistry and Related Specialties,Riyadh,5
1327,2021,Male,United Arab Emirates,Medicine and Surgery,Outside KSA,5
1331,2019,Male,United Arab Emirates,Medicine and Surgery,Outside KSA,5
1335,2017,Female,Kuwait,Medicine and Surgery,Riyadh,5
1340,2018,Male,Sudan,Medicine and Surgery,Jizan,5
1342,2019,Male,Yemen,Medicine and Surgery,Eastern Province,5
1344,2022,Male,Egypt,Medicine and Surgery,Makkah,5
1345,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Najran,5
1346,2018,Female,Syria,Medicine and Surgery,Makkah,5
1347,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Eastern Province,5
1348,2019,Female,Palestine,Medicine and Surgery,Riyadh,5
1349,2020,Female,India,Medicine and Surgery,Outside KSA,5
1351,2022,Female,Yemen,Medicine and Surgery,Makkah,5
1354,2021,Male,Immigrant Tribes,Medicine and Surgery,Riyadh,5
1357,2021,Female,Sudan,Medicine and Surgery,Makkah,5
1362,2016,Male,Egypt,Medicine and Surgery,Eastern Province,5
1364,2016,Male,Egypt,Medicine and Surgery,Asir,5
1366,2018,Male,United Arab Emirates,Medicine and Surgery,Outside KSA,5
1372,2018,Female,Sudan,Medicine and Surgery,Outside KSA,5
1377,2016,Female,Kuwait,Medicine and Surgery,Riyadh,5
1381,2020,Male,Sudan,Medicine and Surgery,Al Madinah,5
1383,2022,Male,Saudi Arabia,Medicine and Surgery,Jizan,5
1388,2016,Male,Saudi Arabia,Medicine and Surgery,Outside KSA,5
1389,2016,Male,Saudi Arabia,Medicine and Surgery,Northern Borders,5
1390,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Al-Qassim,5
1393,2018,Male,Yemen,Medicine and Surgery,Najran,5
1395,2016,Male,Sudan,Medicine and Surgery,Jizan,5
1401,2022,Female,Saudi Arabia,Medicine and Surgery,Al-Qassim,5
1403,2018,Female,Palestine,Medicine and Surgery,Riyadh,5
1404,2018,Female,Saudi Arabia,Medicine and Surgery,Al Jawf,5
1407,2017,Male,Sudan,Medicine and Surgery,Jizan,5
1408,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,5
1411,2019,Male,Sudan,Medicine and Surgery,Al Madinah,5
1412,2016,Male,Saudi Arabia,Laboratories and Medical Technology,Al Madinah,5
1413,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Al-Qassim,5
1414,2020,Female,Sudan,Medicine and Surgery,Makkah,5
1415,2017,Female,Sudan,Medicine and Surgery,Tabuk,5
1422,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Hail,5
1424,2020,Female,Palestine,Medicine and Surgery,Riyadh,5
1426,2022,Male,Syria,Medicine and Surgery,Riyadh,5
1434,2021,Male,Federated States Of Micronesia,Medicine and Surgery,Riyadh,5
1436,2020,Male,Sudan,Medicine and Surgery,Asir,5
1437,2017,Male,Kuwait,Medicine and Surgery,Eastern Province,5
1441,2017,Female,Saudi Arabia,Medicine and Surgery,Al Bahah,4
1444,2017,Male,Palestine,Medicine and Surgery,Najran,4
1448,2018,Male,India,Medicine and Surgery,Makkah,4
1451,2016,Female,India,Medicine and Surgery,Makkah,4
1452,2018,Male,Immigrant Tribes,Nursing and Midwifery,Riyadh,4
1454,2019,Male,Saudi Arabia,Dentistry and Related Specialties,Najran,4
1455,2019,Male,Bahrain,Medicine and Surgery,Eastern Province,4
1456,2017,Female,Saudi Arabia,Medicine and Surgery,Najran,4
1458,2019,Female,Saudi Arabia,Nursing and Midwifery,Jizan,4
1459,2021,Male,Egypt,Medicine and Surgery,Asir,4
1461,2018,Female,Syria,Medicine and Surgery,Eastern Province,4
1464,2019,Male,Yemen,Medicine and Surgery,Najran,4
1467,2019,Female,Syria,Medicine and Surgery,Eastern Province,4
1470,2019,Male,Syria,Medicine and Surgery,Al-Qassim,4
1473,2019,Male,Sudan,Unknown,Riyadh,4
1474,2017,Male,Saudi Arabia,Nursing and Midwifery,Jizan,4
1478,2021,Female,Canada,Medicine and Surgery,Outside KSA,4
1481,2017,Male,India,Medicine and Surgery,Makkah,4
1483,2018,Female,United Arab Emirates,Medicine and Surgery,Riyadh,4
1485,2017,Male,Saudi Arabia,Nursing and Midwifery,Eastern Province,4
1486,2018,Female,Bahrain,Medicine and Surgery,Eastern Province,4
1487,2019,Male,Sudan,Medicine and Surgery,Asir,4
1488,2019,Female,Syria,Medicine and Surgery,Makkah,4
1490,2017,Female,Syria,Medicine and Surgery,Makkah,4
1494,2021,Female,Syria,Medicine and Surgery,Riyadh,4
1495,2020,Male,Kuwait,Medicine and Surgery,Eastern Province,4
1500,2016,Female,Iraq,Medicine and Surgery,Riyadh,4
1506,2016,Female,Jordan,Medicine and Surgery,Makkah,4
1507,2016,Female,Saudi Arabia,Medicine and Surgery,Hail,4
1508,2017,Female,Syria,Medicine and Surgery,Eastern Province,4
1512,2022,Female,United Arab Emirates,Medicine and Surgery,Outside KSA,4
1514,2019,Female,United Arab Emirates,Medicine and Surgery,Riyadh,4
1517,2017,Male,Egypt,Medicine and Surgery,Asir,4
1518,2020,Female,Bahrain,Medicine and Surgery,Makkah,4
1522,2017,Male,Iraq,Medicine and Surgery,Riyadh,4
1524,2021,Female,Bahrain,Medicine and Surgery,Makkah,4
1529,2022,Female,Saudi Arabia,Medicine and Surgery,Northern Borders,4
1537,2017,Male,Egypt,Medicine and Surgery,Tabuk,4
1541,2020,Female,Pakistan,Medicine and Surgery,Riyadh,4
1543,2019,Male,India,Medicine and Surgery,Riyadh,4
1548,2016,Male,Palestine,Medicine and Surgery,Najran,4
1550,2020,Female,Sudan,Medicine and Surgery,Outside KSA,4
1552,2016,Male,Saudi Arabia,Nursing and Midwifery,Makkah,4
1553,2017,Male,Yemen,Medicine and Surgery,Al Madinah,4
1554,2016,Male,Pakistan,Medicine and Surgery,Makkah,4
1557,2021,Female,Palestine,Medicine and Surgery,Makkah,4
1559,2016,Male,Syria,Medicine and Surgery,Al-Qassim,4
1561,2016,Male,Syria,Medicine and Surgery,Asir,4
1562,2016,Male,Syria,Medicine and Surgery,Eastern Province,4
1563,2016,Male,Sudan,Medicine and Surgery,Tabuk,4
1570,2021,Female,Palestine,Medicine and Surgery,Riyadh,4
1571,2018,Female,Saudi Arabia,Medicine and Surgery,Al Bahah,4
1573,2016,Male,Yemen,Medicine and Surgery,Al Madinah,4
1574,2016,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Makkah,4
1576,2018,Male,Kuwait,Medicine and Surgery,Eastern Province,4
1577,2016,Male,Sudan,Medicine and Surgery,Al Bahah,4
1580,2021,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Eastern Province,4
1582,2016,Male,Sudan,Medicine and Surgery,Eastern Province,4
1584,2021,Male,Saudi Arabia,Unknown,Riyadh,4
1585,2020,Female,Saudi Arabia,Unknown,Riyadh,4
1589,2021,Male,Saudi Arabia,Nursing and Midwifery,Jizan,4
1594,2017,Female,India,Medicine and Surgery,Riyadh,4
1595,2016,Male,Egypt,Medicine and Surgery,Al Madinah,4
1596,2017,Female,Iraq,Medicine and Surgery,Riyadh,4
1597,2017,Female,Sudan,Medicine and Surgery,Eastern Province,4
1599,2017,Male,Egypt,Medicine and Surgery,Al Madinah,4
1602,2020,Male,Saudi Arabia,Nursing and Midwifery,Al Bahah,4
1604,2018,Male,Sudan,Unknown,Riyadh,4
1608,2017,Female,Jordan,Medicine and Surgery,Makkah,4
1610,2021,Male,Syria,Medicine and Surgery,Outside KSA,4
1613,2019,Male,Jordan,Medicine and Surgery,Makkah,4
1620,2020,Female,Kuwait,Medicine and Surgery,Riyadh,4
1626,2016,Female,Syria,Medicine and Surgery,Eastern Province,4
1628,2016,Male,Kuwait,Dentistry and Related Specialties,Riyadh,4
1629,2017,Male,Sudan,Medicine and Surgery,Al Bahah,4
1632,2017,Male,Syria,Medicine and Surgery,Al-Qassim,4
1634,2017,Female,Saudi Arabia,Nursing and Midwifery,Al Madinah,4
1636,2016,Male,Egypt,Medicine and Surgery,Tabuk,4
1639,2017,Male,Bahrain,Medicine and Surgery,Riyadh,4
1649,2017,Female,Sudan,Medicine and Surgery,Jizan,3
1652,2019,Male,India,Medicine and Surgery,Makkah,3
1653,2017,Female,Sudan,Medicine and Surgery,Al Bahah,3
1654,2017,Female,Sudan,Medicine and Surgery,Outside KSA,3
1655,2018,Male,Palestine,Medicine and Surgery,Najran,3
1659,2022,Male,Sudan,Medicine and Surgery,Al-Qassim,3
1660,2019,Male,Kuwait,Medicine and Surgery,Eastern Province,3
1667,2020,Male,Jordan,Medicine and Surgery,Outside KSA,3
1668,2019,Male,Jordan,Medicine and Surgery,Outside KSA,3
1670,2018,Male,Saudi Arabia,Dentistry and Related Specialties,Al-Qassim,3
1671,2018,Male,Lebanon,Medicine and Surgery,Riyadh,3
1672,2021,Male,India,Medicine and Surgery,Makkah,3
1673,2019,Male,Egypt,Medicine and Surgery,Eastern Province,3
1674,2020,Male,Jordan,Medicine and Surgery,Makkah,3
1675,2018,Male,Palestine,Medicine and Surgery,Eastern Province,3
1677,2019,Male,Egypt,Medicine and Surgery,Al Madinah,3
1683,2021,Male,Saudi Arabia,Nursing and Midwifery,Najran,3
1685,2017,Male,Sudan,Medicine and Surgery,Eastern Province,3
1688,2017,Male,Sudan,Medicine and Surgery,Al-Qassim,3
1689,2018,Male,Yemen,Medicine and Surgery,Al Madinah,3
1693,2019,Female,Pakistan,Medicine and Surgery,Riyadh,3
1694,2020,Male,Sudan,Unknown,Riyadh,3
1697,2019,Female,Saudi Arabia,Dentistry and Related Specialties,Hail,3
1702,2020,Male,Syria,Medicine and Surgery,Al-Qassim,3
1704,2018,Male,Syria,Medicine and Surgery,Al-Qassim,3
1706,2017,Male,Eritrea,Medicine and Surgery,Riyadh,3
1711,2019,Female,Bahrain,Medicine and Surgery,Makkah,3
1712,2020,Male,Saudi Arabia,Dentistry and Related Specialties,Jizan,3
1722,2017,Male,Immigrant Tribes,Nursing and Midwifery,Riyadh,3
1723,2019,Female,India,Medicine and Surgery,Riyadh,3
1726,2019,Female,Iraq,Medicine and Surgery,Riyadh,3
1727,2021,Male,Sudan,Medicine and Surgery,Al-Qassim,3
1728,2019,Female,Jordan,Medicine and Surgery,Eastern Province,3
1729,2021,Male,Sudan,Medicine and Surgery,Najran,3
1734,2021,Female,Egypt,Medicine and Surgery,Outside KSA,3
1738,2017,Female,United Arab Emirates,Medicine and Surgery,Riyadh,3
1739,2019,Female,Sudan,Medicine and Surgery,Asir,3
1742,2021,Male,Yemen,Medicine and Surgery,Najran,3
1749,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Al Jawf,3
1752,2022,Female,Egypt,Medicine and Surgery,Makkah,3
1753,2017,Female,Syria,Medicine and Surgery,Al Madinah,3
1756,2021,Male,Jordan,Medicine and Surgery,Outside KSA,3
1761,2019,Female,Sudan,Medicine and Surgery,Al Bahah,3
1762,2017,Female,United States,Medicine and Surgery,Makkah,3
1767,2018,Female,Bahrain,Medicine and Surgery,Makkah,3
1768,2021,Male,Palestine,Medicine and Surgery,Najran,3
1769,2018,Male,Sudan,Medicine and Surgery,Outside KSA,3
1770,2017,Male,Bahrain,Medicine and Surgery,Eastern Province,3
1772,2021,Male,Pakistan,Medicine and Surgery,Riyadh,3
1776,2018,Male,Sudan,Medicine and Surgery,Al Madinah,3
1777,2018,Male,Sudan,Medicine and Surgery,Al Bahah,3
1786,2017,Male,Syria,Medicine and Surgery,Eastern Province,3
1790,2022,Male,Egypt,Medicine and Surgery,Asir,3
1791,2018,Female,Jordan,Medicine and Surgery,Eastern Province,3
1794,2019,Male,Yemen,Medicine and Surgery,Asir,3
1795,2016,Female,Sudan,Medicine and Surgery,Jizan,3
1796,2020,Female,United States,Medicine and Surgery,Makkah,3
1797,2016,Female,Sudan,Medicine and Surgery,Outside KSA,3
1799,2021,Female,Sudan,Medicine and Surgery,Al Madinah,3
1800,2016,Female,Syria,Medicine and Surgery,Al Madinah,3
1802,2016,Female,Syria,Medicine and Surgery,Makkah,3
1803,2018,Female,Jordan,Medicine and Surgery,Outside KSA,3
1804,2017,Female,Oman,Medicine and Surgery,Riyadh,3
1806,2016,Female,United States,Medicine and Surgery,Makkah,3
1807,2020,Female,Egypt,Medicine and Surgery,Asir,3
1808,2020,Female,Egypt,Medicine and Surgery,Outside KSA,3
1810,2018,Female,Sudan,Medicine and Surgery,Al Bahah,3
1811,2016,Male,Bahrain,Medicine and Surgery,Outside KSA,3
1814,2016,Male,Bahrain,Medicine and Surgery,Riyadh,3
1816,2017,Female,India,Medicine and Surgery,Outside KSA,3
1817,2017,Male,United Arab Emirates,Medicine and Surgery,Outside KSA,3
1821,2018,Male,Bahrain,Medicine and Surgery,Eastern Province,3
1822,2016,Female,Sudan,Medicine and Surgery,Al Bahah,3
1824,2020,Male,Saudi Arabia,Pharmacists and Pharmacy Technicians,Eastern Province,3
1825,2020,Male,Yemen,Medicine and Surgery,Najran,3
1827,2020,Male,Bahrain,Medicine and Surgery,Eastern Province,3
1829,2019,Male,Sudan,Medicine and Surgery,Al Bahah,3
1830,2016,Female,Oman,Medicine and Surgery,Riyadh,3
1835,2021,Female,Egypt,Medicine and Surgery,Asir,3
1839,2016,Female,Saudi Arabia,Dentistry and Related Specialties,Asir,3
1840,2021,Female,Syria,Medicine and Surgery,Outside KSA,3
