,Academic_Year,Gender_En,Nationality_Name_En,Current_Medical_Field_En,University_Name,Current_Training_Center_Name_En,Number_of_Trainees,University_Longitude,University_Latitude,Training_Center_Longitude,Training_Center_Latitude
1279,2019,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Hera General Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1280,2022,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,Prince Sultan Military Medical City in Riyadh,13,46.6218429,24.7131974,46.6375541,24.7414432
1281,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Aseer Region,13,,,42.5238139,18.2024106
1282,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Mansour Military Hospital for Community Medicine in Taif,13,,,40.412451,21.2401719
1283,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,13,,,46.6375541,24.7414432
1284,2017,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Medical City of National Guard in Alahsa,13,,,49.5142036,25.332395
1285,2021,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Jeddah,13,39.2391473,21.4932675,39.362754,21.4222327
1286,2019,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Security Forces Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1287,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Maternity and Children Hospital in Medina,13,,,38.194309,24.0204254
1288,2019,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Faisal Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1289,2018,Female,Saudi Arabia,Dentistry and Related Specialties,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,13,39.2391473,21.4932675,39.362754,21.4222327
1290,2020,Male,Saudi Arabia,Medicine and Surgery,Imam Abdulrahman Bin Faisal University,Dammam Medical Complex,13,50.1925873,26.3928001,50.1506389,26.2846113
1291,2021,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Fahd Hospital of Armed Forces in Jeddah,13,39.2391473,21.4932675,39.362754,21.4222327
1292,2021,Male,Saudi Arabia,Medicine and Surgery,King Saud University,Security Forces Hospital in Riyadh,13,46.6236596,24.7252026,46.6375541,24.7414432
1293,2019,Male,Saudi Arabia,Medicine and Surgery,Albaha University,General Directorate of Health Affairs in Al-Baha Region,13,41.47095909999999,20.0153175,41.5057266,20.0583716
1294,2017,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Fahad Medical City in Riyadh,13,39.2391473,21.4932675,46.6375541,24.7414432
1295,2017,Female,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Faisal Specialist Hospital and Research Center in Riyadh,13,46.852742,24.754344,46.6375541,24.7414432
1296,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Uhud General Hospital in Medina,13,,,38.194309,24.0204254
1297,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,Security Forces Hospital in Dammam,13,,,50.1506389,26.2846113
1298,2016,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Maternity and Children Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1299,2018,Male,Saudi Arabia,Medicine and Surgery,Albaha University,General Directorate of Health Affairs in Al-Baha Region,13,41.47095909999999,20.0153175,41.5057266,20.0583716
1300,2020,Female,Saudi Arabia,Medicine and Surgery,Taibah University,King Fahad Medical City in Riyadh,13,39.5421798,24.4860782,46.6375541,24.7414432
1301,2022,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Abdullah Medical City in the Holy Capital,13,39.952206,21.3299695,39.94124,21.331945
1302,2020,Female,Saudi Arabia,Medicine and Surgery,Taibah University,King Fahd Hospital in Medina,13,39.5421798,24.4860782,38.194309,24.0204254
1303,2017,Female,Saudi Arabia,Medicine and Surgery,Qassim University,King Abdulaziz Medical City for National Guard in Riyadh,13,43.7668031,26.3488806,46.6375541,24.7414432
1304,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,13,,,46.6375541,24.7414432
1305,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,King Faisal Specialist Hospital and Research Center in Riyadh,13,,,46.6375541,24.7414432
1306,2021,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Alnoor Specialist Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1307,2016,Male,Saudi Arabia,Medicine and Surgery,King Faisal University,King Fahad Medical City in Riyadh,13,46.67701100000001,24.6645919,46.6375541,24.7414432
1308,2017,Female,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Fahad Medical City in Riyadh,13,46.852742,24.754344,46.6375541,24.7414432
1309,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Al-Baha Region,13,,,41.5057266,20.0583716
1310,2016,Female,Saudi Arabia,Medicine and Surgery,Imam Abdulrahman Bin Faisal University,AlQatif Central Hospital,13,50.1925873,26.3928001,50.1506389,26.2846113
1311,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,Maternity and Children Hospital in Mecca,13,,,39.94124,21.331945
1312,2017,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Prince Sultan Military Medical City in Riyadh,13,39.952206,21.3299695,46.6375541,24.7414432
1313,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Imam Abdulrahman Al Faisal Hospital in Dammam,13,,,50.1506389,26.2846113
1314,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Khalid University Hospital in Riyadh,13,,,46.6375541,24.7414432
1315,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Family Medicine Postgraduate Program in Hail,13,,,41.6967663,27.5085257
1316,2019,Male,Saudi Arabia,Medicine and Surgery,Imam Abdulrahman Bin Faisal University,AlQatif Central Hospital,13,50.1925873,26.3928001,50.1506389,26.2846113
1317,2017,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,King Abdulaziz University Hospital in Jeddah,13,46.6218429,24.7131974,39.362754,21.4222327
1318,2019,Male,Saudi Arabia,Medicine and Surgery,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,King Fahd General Hospital in Jeddah,13,39.208402,21.4460742,39.362754,21.4222327
1319,2016,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Prince Sultan Military Medical City in Riyadh,13,39.952206,21.3299695,46.6375541,24.7414432
1320,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,"Joint training program in the central region, Riyadh",13,,,46.6375541,24.7414432
1321,2021,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Abdulaziz Medical City for National Guard in Jeddah,13,39.952206,21.3299695,39.362754,21.4222327
1322,2018,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Maternity and Children Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1323,2017,Male,Saudi Arabia,Medicine and Surgery,Albaha University,General Directorate of Health Affairs in Al-Baha Region,13,41.47095909999999,20.0153175,41.5057266,20.0583716
1324,2022,Female,Saudi Arabia,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,13,,,46.6375541,24.7414432
1325,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,Dr. Sulaiman AlHabib Medical Group in Riyadh,13,,,46.6375541,24.7414432
1326,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Hospital in Hofuf,13,,,49.5142036,25.332395
1327,2019,Female,Saudi Arabia,Medicine and Surgery,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,East Jeddah Hospital in Jeddah,13,39.208402,21.4460742,39.362754,21.4222327
1328,2018,Female,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Faisal Specialist Hospital and Research Center in Riyadh,13,46.852742,24.754344,46.6375541,24.7414432
1329,2016,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,Prince Sultan Military Medical City in Riyadh,13,39.2391473,21.4932675,46.6375541,24.7414432
1330,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Hera General Hospital in Mecca,13,,,39.94124,21.331945
1331,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital in Medina,13,,,38.194309,24.0204254
1332,2016,Female,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Fahad Medical City in Riyadh,13,46.852742,24.754344,46.6375541,24.7414432
1333,2018,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Riyadh,13,39.2391473,21.4932675,46.6375541,24.7414432
1334,2017,Male,Saudi Arabia,Dentistry and Related Specialties,King Khalid University,The Medical City at King Khalid University,13,46.6218429,24.7131974,42.5238139,18.2024106
1335,2018,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Security Forces Hospital in Mecca,13,39.952206,21.3299695,39.94124,21.331945
1336,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Directorate of Health Affairs in Bisha Governorate,13,,,42.5238139,18.2024106
1337,2016,Female,Saudi Arabia,Medicine and Surgery,Taibah University,Joint Family Medicine Program - Medina,13,39.5421798,24.4860782,38.194309,24.0204254
1338,2016,Female,Sudan,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,13,,,46.6375541,24.7414432
1339,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,Specialized Dental Healthcare Center in Eastern Riyadh,13,,,46.6375541,24.7414432
1340,2021,Male,Saudi Arabia,Nursing and Midwifery,Unknown,King Faisal Medical Complex in Taif,13,,,40.412451,21.2401719
1341,2017,Male,Saudi Arabia,Dentistry and Related Specialties,King Abdulaziz University,King Abdulaziz University Hospital in Jeddah,13,39.2391473,21.4932675,39.362754,21.4222327
1342,2018,Male,Saudi Arabia,Dentistry and Related Specialties,King Khalid University,The Medical City at King Khalid University,13,46.6218429,24.7131974,42.5238139,18.2024106
1343,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Salman Hospital for North West Armed Forces in Tabuk,13,,,36.5957527,28.3494438
1344,2019,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Saud Medical City in Riyadh,13,46.852742,24.754344,46.6375541,24.7414432
1345,2020,Male,Saudi Arabia,Nursing and Midwifery,Unknown,Prince Sultan Military Medical City in Riyadh,13,,,46.6375541,24.7414432
1346,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Almousa Specialist Hospital in Alahsa,13,,,49.5142036,25.332395
1347,2020,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Saud Medical City in Riyadh,13,46.6236596,24.7252026,46.6375541,24.7414432
1348,2019,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,Prince Sultan Military Medical City in Riyadh,13,39.2391473,21.4932675,46.6375541,24.7414432
1349,2020,Male,Saudi Arabia,Medicine and Surgery,King Faisal University,King Abdulaziz Medical City of National Guard in Alahsa,13,46.67701100000001,24.6645919,49.5142036,25.332395
1350,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,13,,,46.6375541,24.7414432
1351,2016,Female,Saudi Arabia,Medicine and Surgery,King Saud University,King Khalid Eye Specialist Hospital in Riyadh,13,46.6236596,24.7252026,46.6375541,24.7414432
1352,2018,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Fahd General Hospital in Jeddah,13,39.952206,21.3299695,39.362754,21.4222327
1353,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Unknown,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,13,,,39.362754,21.4222327
1354,2019,Male,Saudi Arabia,Nursing and Midwifery,Unknown,King Fahad Medical City in Riyadh,13,,,46.6375541,24.7414432
1355,2021,Male,Bahrain,Medicine and Surgery,Unknown,King Hamad University Hospital in Kingdom of Bahrain,13,,,50.6009673773893,26.2626018575654
1356,2019,Male,Saudi Arabia,Medicine and Surgery,Qassim University,King Faisal Specialist Hospital and Research Center in Riyadh,13,43.7668031,26.3488806,46.6375541,24.7414432
1357,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Family Medicine Postgraduate Program in Hail,13,,,41.6967663,27.5085257
1358,2019,Male,Saudi Arabia,Medicine and Surgery,University Of Imam Muhammad Bin Saud Islamic University,Security Forces Hospital in Riyadh,12,46.7012672,24.8113861,46.6375541,24.7414432
1359,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Mohammed bin Abdulaziz Hospital in Riyadh,12,,,46.6375541,24.7414432
1360,2018,Female,Saudi Arabia,Medicine and Surgery,Unknown,The program of the Ministry of Health in Taif ,12,,,40.412451,21.2401719
1361,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,King Saud Medical City in Riyadh,12,,,46.6375541,24.7414432
1362,2020,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.952206,21.3299695,46.6375541,24.7414432
1363,2018,Female,Saudi Arabia,Medicine and Surgery,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,East Jeddah Hospital in Jeddah,12,39.208402,21.4460742,39.362754,21.4222327
1364,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,"Joint training program in the Western Region, Taif",12,,,40.412451,21.2401719
1365,2021,Female,Saudi Arabia,Nursing and Midwifery,Unknown,King Fahd Hospital of Armed Forces in Jeddah,12,,,39.362754,21.4222327
1366,2021,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Fahd Hospital of Armed Forces in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1367,2018,Female,Saudi Arabia,Medicine and Surgery,King Faisal University,King Faisal Specialist Hospital and Research Center in Riyadh,12,46.67701100000001,24.6645919,46.6375541,24.7414432
1368,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,Azizia Maternity and Pediatric Hospital in Jeddah,12,,,39.362754,21.4222327
1369,2018,Male,Saudi Arabia,Medicine and Surgery,Qassim University,The program of the Ministry of Health in Al-Qassim,12,43.7668031,26.3488806,43.4838773,25.8827324
1370,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Hospital in Mecca,12,,,39.94124,21.331945
1371,2018,Female,Saudi Arabia,Medicine and Surgery,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,12,39.208402,21.4460742,39.362754,21.4222327
1372,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Hospital in Hofuf,12,,,49.5142036,25.332395
1373,2022,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.952206,21.3299695,46.6375541,24.7414432
1374,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,AlYamamah Hospital in Riyadh,12,,,46.6375541,24.7414432
1375,2017,Male,Saudi Arabia,Medicine and Surgery,Imam Abdulrahman Bin Faisal University,King Faisal Specialist Hospital and Research Center in Riyadh,12,50.1925873,26.3928001,46.6375541,24.7414432
1376,2020,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Hospital in Mecca,12,,,39.94124,21.331945
1377,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,General Directorate of Health Affairs in Al-Baha Region,12,,,41.5057266,20.0583716
1378,2016,Female,Saudi Arabia,Medicine and Surgery,University Of Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,12,36.4767731,28.3941074,36.5957527,28.3494438
1379,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Uhud General Hospital in Medina,12,,,38.194309,24.0204254
1380,2020,Male,Saudi Arabia,Medicine and Surgery,Taibah University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.5421798,24.4860782,46.6375541,24.7414432
1381,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Unknown,King Saud Medical City in Riyadh,12,,,46.6375541,24.7414432
1382,2022,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1383,2021,Male,Saudi Arabia,Dentistry and Related Specialties,Unknown,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,12,,,46.6375541,24.7414432
1384,2020,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,King Abdulaziz Medical City for National Guard in Riyadh,12,,,46.6375541,24.7414432
1385,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,Hera General Hospital in Mecca,12,,,39.94124,21.331945
1386,2022,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1387,2018,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Al-Baha Region,12,46.6218429,24.7131974,41.5057266,20.0583716
1388,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,Joint Training Program in the Central Region,12,,,46.6375541,24.7414432
1389,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Faisal Medical Complex in Taif,12,,,40.412451,21.2401719
1390,2016,Female,Saudi Arabia,Medicine and Surgery,Ibn Sina College Of Eligibility For Medical Sciences In Jeddah,King Abdulaziz Hospital in Jeddah,12,39.208402,21.4460742,39.362754,21.4222327
1391,2017,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdulaziz Medical City for National Guard in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1392,2019,Male,Saudi Arabia,Nursing and Midwifery,Unknown,King Fahd Specialist Hospital in Dammam,12,,,50.1506389,26.2846113
1393,2016,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdullah Medical City in the Holy Capital,12,39.2391473,21.4932675,39.94124,21.331945
1394,2021,Female,Saudi Arabia,Medicine and Surgery,Unknown,Directorate of Health Affairs in Taif Governorate,12,,,40.412451,21.2401719
1395,2019,Female,Saudi Arabia,Medicine and Surgery,King Khalid University,King Abdulaziz Medical City for National Guard in Riyadh,12,46.6218429,24.7131974,46.6375541,24.7414432
1396,2021,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.952206,21.3299695,46.6375541,24.7414432
1397,2016,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,Maternity and Children Hospital in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1398,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Khalid Hospital in Hail,12,,,41.6967663,27.5085257
1399,2019,Female,Bahrain,Medicine and Surgery,Unknown,King Hamad University Hospital in Kingdom of Bahrain,12,,,50.6009673773893,26.2626018575654
1400,2017,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,Maternity and Children Hospital in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1401,2019,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,Medical City of King Saud University in Riyadh,12,,,46.6375541,24.7414432
1402,2016,Female,Saudi Arabia,Medicine and Surgery,King Faisal University,King Fahd University Hospital in Khobar,12,46.67701100000001,24.6645919,50.1506389,26.2846113
1403,2019,Male,Saudi Arabia,Medicine and Surgery,Unknown,Dr. Soliman Fakeeh Hospital in Jeddah,12,,,39.362754,21.4222327
1404,2021,Male,Saudi Arabia,Medicine and Surgery,King Saud Bin Abdulaziz University For Health Scinces,King Fahad Medical City in Riyadh,12,46.852742,24.754344,46.6375541,24.7414432
1405,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,King Abdulaziz Medical City for National Guard in Jeddah,12,,,39.362754,21.4222327
1406,2020,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,King Fahd General Hospital in Jeddah,12,,,39.362754,21.4222327
1407,2018,Male,Saudi Arabia,Medicine and Surgery,Unknown,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,12,,,38.194309,24.0204254
1408,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,AlQatif Central Hospital,12,,,50.1506389,26.2846113
1409,2017,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,East Jeddah Hospital in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1410,2016,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Jazan Region,12,46.6218429,24.7131974,42.5471234,16.978015
1411,2019,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Armed Forces Hospital in Al-Hada in Taif,12,39.952206,21.3299695,40.412451,21.2401719
1412,2019,Female,Saudi Arabia,Medicine and Surgery,Unknown,The program of the Ministry of Health in Al-Qassim,12,,,43.4838773,25.8827324
1413,2020,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Abdulaziz Air Base Hospital in Dhahran,12,,,50.1506389,26.2846113
1414,2020,Male,Saudi Arabia,Medicine and Surgery,Taibah University,King Abdulaziz Medical City for National Guard in Riyadh,12,39.5421798,24.4860782,46.6375541,24.7414432
1415,2021,Male,Saudi Arabia,Medicine and Surgery,Taibah University,King Fahad Medical City in Riyadh,12,39.5421798,24.4860782,46.6375541,24.7414432
1416,2021,Male,Saudi Arabia,Laboratories and Medical Technology,Unknown,Medical City of King Saud University in Riyadh,12,,,46.6375541,24.7414432
1417,2021,Male,Saudi Arabia,Medicine and Surgery,Taif University,Armed Forces Hospital in Al-Hada in Taif,12,40.4969016,21.4322895,40.412451,21.2401719
1418,2018,Female,Saudi Arabia,Medicine and Surgery,Qassim University,King Abdulaziz Medical City for National Guard in Riyadh,12,43.7668031,26.3488806,46.6375541,24.7414432
1419,2020,Male,Saudi Arabia,Medicine and Surgery,Qassim University,King Faisal Specialist Hospital and Research Center in Riyadh,12,43.7668031,26.3488806,46.6375541,24.7414432
1420,2017,Male,Saudi Arabia,Medicine and Surgery,Qassim University,The program of the Ministry of Health in Al-Qassim,12,43.7668031,26.3488806,43.4838773,25.8827324
1421,2016,Female,Saudi Arabia,Medicine and Surgery,King Khalid University,King Abdulaziz Medical City for National Guard in Riyadh,12,46.6218429,24.7131974,46.6375541,24.7414432
1422,2020,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Fahd Hospital of Armed Forces in Jeddah,12,39.952206,21.3299695,39.362754,21.4222327
1423,2021,Male,Saudi Arabia,Medicine and Surgery,King Faisal University,King Fahad Hospital in Hofuf,12,46.67701100000001,24.6645919,49.5142036,25.332395
1424,2019,Male,Saudi Arabia,Medicine and Surgery,King Faisal University,King Fahd University Hospital in Khobar,12,46.67701100000001,24.6645919,50.1506389,26.2846113
1425,2018,Male,Saudi Arabia,Medicine and Surgery,Taibah University,Prince Sultan Military Medical City in Riyadh,12,39.5421798,24.4860782,46.6375541,24.7414432
1426,2018,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Fahad Medical City in Riyadh,12,39.952206,21.3299695,46.6375541,24.7414432
1427,2018,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Prince Sultan Military Medical City in Riyadh,12,39.952206,21.3299695,46.6375541,24.7414432
1428,2017,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Fahd Hospital of the Armed Forces in the south,12,,,42.5238139,18.2024106
1429,2017,Female,Saudi Arabia,Medicine and Surgery,King Faisal University,King Fahad Hospital in Hofuf,12,46.67701100000001,24.6645919,49.5142036,25.332395
1430,2019,Female,Saudi Arabia,Medicine and Surgery,Taibah University,Maternity and Children Hospital in Medina,12,39.5421798,24.4860782,38.194309,24.0204254
1431,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Salman Hospital for North West Armed Forces in Tabuk,12,,,36.5957527,28.3494438
1432,2020,Female,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,King Abdulaziz Hospital in Mecca,12,39.952206,21.3299695,39.94124,21.331945
1433,2020,Female,Saudi Arabia,Medicine and Surgery,Northern Borders University,The program of the Ministry of Health in Arar,12,41.0793054,30.9159766,41.0526463,30.9374302
1434,2021,Female,Saudi Arabia,Pharmacists and Pharmacy Technicians,Unknown,Medical City of King Saud University in Riyadh,12,,,46.6375541,24.7414432
1435,2016,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Khalid University Hospital in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1436,2020,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdullah Medical City in the Holy Capital,12,39.2391473,21.4932675,39.94124,21.331945
1437,2018,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,East Jeddah Hospital in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1438,2020,Female,Saudi Arabia,Medicine and Surgery,Taibah University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.5421798,24.4860782,46.6375541,24.7414432
1439,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Salmaniya Medical Complex in Manama,12,,,50.5726712439459,26.2167630367071
1440,2021,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Abdullah Medical City in the Holy Capital,12,39.2391473,21.4932675,39.94124,21.331945
1441,2016,Male,Saudi Arabia,Medicine and Surgery,Unknown,Medical City of King Saud University in Riyadh,12,,,46.6375541,24.7414432
1442,2020,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,King Faisal Specialist Hospital and Research Center in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1443,2020,Male,Saudi Arabia,Medicine and Surgery,Albaha University,General Directorate of Health Affairs in Al-Baha Region,12,41.47095909999999,20.0153175,41.5057266,20.0583716
1444,2021,Female,Saudi Arabia,Laboratories and Medical Technology,Unknown,King Fahad Medical City in Riyadh,12,,,46.6375541,24.7414432
1445,2019,Male,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,JointProgram for Family Medicine in Jeddah,12,39.2391473,21.4932675,39.362754,21.4222327
1446,2017,Female,Saudi Arabia,Medicine and Surgery,King Faisal University,King Abdulaziz Medical City for National Guard in Riyadh,12,46.67701100000001,24.6645919,46.6375541,24.7414432
1447,2021,Female,Saudi Arabia,Dentistry and Related Specialties,Unknown,Prince Sultan Military Medical City in Riyadh,12,,,46.6375541,24.7414432
1448,2018,Male,Saudi Arabia,Medicine and Surgery,Taibah University,Uhud General Hospital in Medina,12,39.5421798,24.4860782,38.194309,24.0204254
1449,2022,Female,Saudi Arabia,Medicine and Surgery,Unknown,King Fahad Medical City in Riyadh,12,,,46.6375541,24.7414432
1450,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,Directorate of Health Affairs in Taif Governorate,12,,,40.412451,21.2401719
1451,2017,Female,Saudi Arabia,Medicine and Surgery,King Abdulaziz University,Prince Sultan Military Medical City in Riyadh,12,39.2391473,21.4932675,46.6375541,24.7414432
1452,2016,Male,Saudi Arabia,Medicine and Surgery,Umm Al Qura University,Joint Program for Family and Community Medicine - Jeddah,12,39.952206,21.3299695,39.362754,21.4222327
1453,2017,Male,Saudi Arabia,Medicine and Surgery,King Khalid University,General Directorate of Health Affairs in Al-Baha Region,12,46.6218429,24.7131974,41.5057266,20.0583716
1454,2021,Male,Saudi Arabia,Medicine and Surgery,Unknown,King Saud Hospital in Unaizah,12,,,43.4838773,25.8827324
1455,2017,Male,Saudi Arabia,Medicine and Surgery,Taif University,King Abdulaziz Specialist Hospital in Taif,12,40.4969016,21.4322895,40.412451,21.2401719
1456,2016,Male,Sudan,Medicine and Surgery,Unknown,Prince Sultan Military Medical City in Riyadh,12,,,46.6375541,24.7414432
