,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Current_Speciality_Name_En,Number_of_Trainees
4098,2017,From 40 to 49,Female,Saudi Arabia,Pediatric Hematology & Oncology,4
4099,2017,From 40 to 49,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,4
4102,2017,From 40 to 49,Female,Saudi Arabia,Obstetrics & Gynecology,4
4103,2017,From 30 to 39,Female,Saudi Arabia,Adult Nephrology,4
4104,2019,Unknown,Male,Saudi Arabia,Pediatric Otolaryngology,4
4105,2018,Unknown,Female,Saudi Arabia,Interventional Neuro-Radiology,4
4107,2018,Unknown,Female,Saudi Arabia,Glaucoma,4
4108,2017,From 40 to 49,Female,Saudi Arabia,Clinical Genetics & Metabolic Disorders,4
4109,2016,Unknown,Male,Saudi Arabia,Vascular Surgery,4
4111,2018,From 30 to 39,Male,Syria,General Surgery,4
4113,2019,From 20 to 29,Female,Saudi Arabia,Cardiac Surgery,4
4115,2019,Unknown,Female,Saudi Arabia,Women's Health,4
4116,2017,Unknown,Male,Palestine,General Surgery,4
4117,2019,From 20 to 29,Female,Saudi Arabia,Adult Rheumatology,4
4120,2018,From 30 to 39,Male,Saudi Arabia,Adult Interventional Cardiology,4
4121,2019,From 20 to 29,Female,Egypt,Internal Medicine,4
4122,2019,From 20 to 29,Female,Bahrain,Obstetrics & Gynecology,4
4123,2018,From 30 to 39,Male,Saudi Arabia,Blood Banking And Transfusion,4
4124,2019,From 20 to 29,Female,Bahrain,Diagnostic Radiology,4
4125,2018,From 30 to 39,Male,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,4
4126,2016,From 40 to 49,Male,Saudi Arabia,Psychiatry,4
4127,2017,From 30 to 39,Male,Saudi Arabia,Pediatric Anesthesia,4
4128,2016,Unknown,Female,Jordan,Obstetrics & Gynecology,4
4130,2018,From 30 to 39,Male,Saudi Arabia,Colorectal Surgery,4
4132,2019,Unknown,Female,Syria,Obstetrics & Gynecology,4
4134,2017,Unknown,Male,Jordan,Internal Medicine,4
4135,2018,From 30 to 39,Male,Saudi Arabia,Diagnostic Neuroradiology,4
4137,2018,Unknown,Male,Syria,Internal Medicine,4
4138,2016,Unknown,Female,Saudi Arabia,Breast And Gynecologic Pathology,4
4139,2019,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy - Infectious Diseases,4
4140,2019,From 20 to 29,Female,Saudi Arabia,Forensic Medicine,4
4141,2020,From 20 to 29,Female,Yemen,Pediatrics,4
4143,2020,From 20 to 29,Male,Saudi Arabia,Radiology Technology & Medical Imaging,4
4145,2019,From 20 to 29,Male,Saudi Arabia,Adult Hematology,4
4146,2016,From 40 to 49,Female,Saudi Arabia,Anatomic Pathology,4
4147,2019,From 20 to 29,Male,Bahrain,Pediatrics,4
4153,2016,From 40 to 49,Female,Saudi Arabia,Pediatric Nephrology,4
4154,2016,From 40 to 49,Female,Saudi Arabia,Pediatric Neurology,4
4155,2019,From 20 to 29,Female,Saudi Arabia,Pediatric Endocrinology And Metabolism,4
4156,2019,Unknown,Female,Saudi Arabia,Reproductive Medicine & Surgery,4
4158,2016,From 40 to 49,Male,Saudi Arabia,Adult Critical Care Medicine,4
4159,2017,Unknown,Male,Saudi Arabia,Obstetric Anesthesiology,4
4160,2016,From 40 to 49,Male,Saudi Arabia,Adult Nephrology,4
4161,2017,Unknown,Male,Saudi Arabia,Musculoskeletal Surgical Oncology,4
4162,2016,From 40 to 49,Male,Saudi Arabia,Adults Endocrinology & Metabolism,4
4163,2016,From 40 to 49,Male,Saudi Arabia,Anesthesia,4
4164,2016,From 40 to 49,Male,Saudi Arabia,Emergency Medicine,4
4165,2016,From 40 to 49,Male,Saudi Arabia,Forensic Medicine,4
4166,2017,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,4
4167,2017,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Critical Care,4
4169,2017,Unknown,Male,Egypt,Perinatal Neonatal Medicine,4
4170,2016,Unknown,Female,Saudi Arabia,Clinical Pharmacy - Solid Organ Transplant,4
4173,2018,Unknown,Male,Saudi Arabia,Medical Microbiology,4
4174,2016,Unknown,Male,Jordan,Obstetrics & Gynecology,4
4176,2016,Unknown,Male,Pakistan,Adult Critical Care Medicine,4
4177,2017,Unknown,Female,Saudi Arabia,Pain Medicine,4
4180,2016,Unknown,Male,Pakistan,Adult Echocardiography,4
4181,2019,Unknown,Male,Egypt,Obstetrics & Gynecology,4
4182,2018,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,4
4183,2019,Unknown,Male,Palestine,General Surgery,4
4184,2018,Unknown,Male,Saudi Arabia,Clinical Genetics & Metabolic Disorders,4
4186,2016,Unknown,Female,Saudi Arabia,Glaucoma,4
4187,2020,From 20 to 29,Male,Bahrain,Pediatrics,4
4189,2017,Unknown,Female,Saudi Arabia,Colorectal Surgery,4
4190,2018,From 30 to 39,Male,Sudan,Internal Medicine,4
4192,2017,Unknown,Female,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,4
4194,2017,Unknown,Female,Saudi Arabia,Clinical Pharmacy - Cardiology,4
4198,2019,Unknown,Male,Saudi Arabia,Cardiac Anesthesia,4
4200,2018,From 30 to 39,Male,Sudan,Adult Cardiology,4
4202,2017,Unknown,Female,Saudi Arabia,Radiology Technology & Medical Imaging,4
4203,2018,From 30 to 39,Male,Saudi Arabia,Interventional Neuro-Radiology,4
4204,2016,Unknown,Female,Saudi Arabia,Interventional Neuro-Radiology,4
4205,2018,From 30 to 39,Male,Saudi Arabia,Medical Microbiology,4
4207,2018,Unknown,Male,Sudan,Obstetrics & Gynecology,4
4208,2016,Unknown,Female,Saudi Arabia,Oculoplatic And Reconstructive Surgery,4
4209,2018,Unknown,Male,Sudan,Internal Medicine,4
4210,2016,Unknown,Female,Saudi Arabia,Pain Medicine,4
4211,2017,Unknown,Female,Yemen,Pediatrics,4
4212,2018,From 30 to 39,Male,Saudi Arabia,Pain Medicine,4
4213,2016,Unknown,Female,Saudi Arabia,Pediatric Surgery,4
4214,2018,Unknown,Male,Sudan,Adult Echocardiography,4
4215,2018,Unknown,Male,Sudan,Adult Cardiology,4
4216,2016,Unknown,Female,Saudi Arabia,Urogynecology And Pelvic Reconstructive Surgery,4
4218,2016,Unknown,Female,Sudan,Adult Cardiology,4
4219,2018,From 30 to 39,Male,Saudi Arabia,Pediatrics Infectious Diseases,4
4220,2016,Unknown,Female,Sudan,Pediatric Hematology & Oncology,4
4222,2017,Unknown,Female,Sudan,Pediatrics,4
4223,2018,From 30 to 39,Male,Saudi Arabia,Radiology Technology & Medical Imaging,4
4224,2018,Unknown,Male,Saudi Arabia,Pediatric Rheumatology,4
4225,2017,Unknown,Female,Sudan,Adult Cardiology,4
4226,2018,Unknown,Male,Saudi Arabia,Pediatric Ophthalmology And Strabismus,4
4227,2017,Unknown,Female,Saudi Arabia,Ultrasound In Obstetrics & Gynecology,4
4228,2019,Unknown,Male,Saudi Arabia,Infertility-Andrology,4
4229,2016,From 40 to 49,Female,Saudi Arabia,Otorhinolaryngology Head And Neck Surgery,4
4232,2021,From 30 to 39,Male,Saudi Arabia,Clinical Audiology,4
4234,2021,From 20 to 29,Female,Pakistan,Pediatrics,4
4239,2021,From 20 to 29,Female,Saudi Arabia,Advanced Education In General Dentistry,4
4240,2022,From 40 to 49,Male,Egypt,Perinatal Neonatal Medicine,4
4241,2020,Unknown,Female,Saudi Arabia,Reproductive Medicine & Surgery,4
4244,2020,Unknown,Female,Saudi Arabia,Plastic Surgery,4
4247,2020,From 40 to 49,Female,Saudi Arabia,Pediatric Hematology & Oncology,4
4255,2021,Unknown,Male,Yemen,Adult Nephrology,4
4261,2021,Unknown,Male,Syria,Adult Cardiology,4
4262,2020,Unknown,Male,Egypt,Internal Medicine,4
4265,2020,Unknown,Female,Saudi Arabia,Pediatric Radiology,4
4272,2021,Unknown,Female,Sudan,Obstetrics & Gynecology,4
4274,2020,From 30 to 39,Male,Saudi Arabia,Pediatrics Intensive Care,4
4276,2020,From 30 to 39,Male,Saudi Arabia,Physical Medicine And Rehabilitation,4
4284,2022,From 20 to 29,Female,Saudi Arabia,Adults Endocrinology & Metabolism,4
4285,2021,Unknown,Female,Bahrain,Obstetrics & Gynecology,4
4289,2021,From 20 to 29,Female,India,Internal Medicine,4
4290,2020,From 40 to 49,Male,Yemen,Adult Cardiology,4
4300,2021,Unknown,Male,Saudi Arabia,Oral And Maxillofacial Surgery,4
4301,2022,Unknown,Female,Saudi Arabia,Oculoplatic And Reconstructive Surgery,4
4305,2022,Unknown,Female,Saudi Arabia,Breast and Endocrine Surgical Oncology,4
4308,2021,From 20 to 29,Female,Saudi Arabia,Clinical Audiology,4
4315,2021,From 20 to 29,Female,Syria,Internal Medicine,4
4316,2022,Unknown,Female,Saudi Arabia,Nuclear Medicine,4
4320,2020,Unknown,Male,Saudi Arabia,Glaucoma,4
4323,2021,Unknown,Male,Saudi Arabia,Gynecologic Oncology,4
4327,2022,Unknown,Female,Saudi Arabia,Musculoskeletal Radiology,4
4337,2021,From 40 to 49,Male,Saudi Arabia,Radiology Technology & Medical Imaging,4
4339,2021,From 40 to 49,Male,Saudi Arabia,Pediatrics,4
4344,2021,From 40 to 49,Male,Saudi Arabia,Diagnostic Radiology,4
4347,2020,From 40 to 49,Female,Saudi Arabia,Internal Medicine,4
4348,2020,Unknown,Male,Palestine,Adult Critical Care Medicine,4
4349,2021,From 20 to 29,Female,Yemen,Internal Medicine,4
4353,2021,Unknown,Male,Saudi Arabia,Pediatric Otolaryngology,4
4358,2020,Unknown,Male,Saudi Arabia,Adult Psychosomatic Medicine,4
4362,2021,From 40 to 49,Female,Saudi Arabia,Family Medicine,4
4364,2020,Unknown,Male,Saudi Arabia,Orthopedic Trauma Surgery,4
4369,2022,From 30 to 39,Male,Saudi Arabia,Vascular Surgery,4
4375,2022,From 30 to 39,Male,Saudi Arabia,Pediatric Hematology & Oncology,4
4381,2020,Unknown,Female,Saudi Arabia,Cardiothoracic Radiology,4
4382,2021,Unknown,Female,Saudi Arabia,Reproductive Medicine & Surgery,4
4385,2021,Unknown,Female,Saudi Arabia,Oral And Maxillofacial Surgery,4
4386,2020,Unknown,Female,Bahrain,Obstetrics & Gynecology,4
4388,2021,From 30 to 39,Female,Saudi Arabia,Medical Microbiology,4
4389,2022,Unknown,Male,Saudi Arabia,Orthopedic Trauma Surgery,4
4402,2020,Unknown,Female,Saudi Arabia,Glaucoma,4
4403,2020,Unknown,Female,Saudi Arabia,Forensic Medicine,4
4409,2020,From 40 to 49,Male,Saudi Arabia,Diagnostic Radiology,4
4412,2020,Unknown,Male,Yemen,Adult Critical Care Medicine,4
4414,2020,Unknown,Female,Saudi Arabia,Interventional Neuro-Radiology,4
4416,2022,From 30 to 39,Female,Saudi Arabia,Adult Cardiology,4
4417,2022,Unknown,Male,Saudi Arabia,Pediatric Orthopedic Surgery,4
4420,2022,From 30 to 39,Male,Sudan,Adult Cardiology,4
4422,2022,Unknown,Male,Sudan,Adult Cardiology,4
4423,2022,Unknown,Male,Saudi Arabia,Obstetric Anesthesiology,4
4425,2020,From 30 to 39,Male,Saudi Arabia,Oral Medicine & Pathology,4
4426,2022,From 30 to 39,Female,Saudi Arabia,Perinatal Neonatal Medicine,4
4427,2022,Unknown,Male,Yemen,Adult Critical Care Medicine,4
4432,2021,From 20 to 29,Female,Bahrain,General Surgery,4
4442,2021,Unknown,Female,Saudi Arabia,Pediatric Nephrology,4
4445,2021,From 20 to 29,Male,Jordan,Internal Medicine,4
4448,2022,From 20 to 29,Female,Saudi Arabia,Pediatric Endocrinology And Metabolism,4
4449,2020,From 30 to 39,Male,Saudi Arabia,Pediatric Dentistry,4
4452,2022,Unknown,Male,Saudi Arabia,Epilepsy & Electroencephalography,4
4453,2022,From 20 to 29,Male,Saudi Arabia,Adult Hematology,4
4455,2022,From 30 to 39,Male,Saudi Arabia,Perinatal Neonatal Medicine,4
4458,2020,From 30 to 39,Male,Saudi Arabia,Dermatology,4
4460,2022,From 20 to 29,Male,Saudi Arabia,Adult Nephrology,4
4465,2021,From 30 to 39,Female,Egypt,Perinatal Neonatal Medicine,4
4467,2022,From 30 to 39,Female,Saudi Arabia,Pediatric Hematology & Oncology,4
4470,2021,From 30 to 39,Female,Saudi Arabia,Prosthodontics,4
4471,2021,From 30 to 39,Female,Bahrain,Pediatrics,4
4472,2020,Unknown,Male,Saudi Arabia,Vascular Neurology (Stroke),4
4476,2021,From 30 to 39,Female,Saudi Arabia,Clinical Biochemistry,4
4477,2016,Unknown,Male,Saudi Arabia,Hepatobiliary-Pancreatic Surgery,3
4478,2021,Unknown,Male,Saudi Arabia,Adult Echocardiography,3
4479,2021,Unknown,Male,Saudi Arabia,Adult Psychosomatic Medicine,3
4483,2020,Unknown,Male,Saudi Arabia,Musculoskeletal Surgical Oncology,3
4484,2016,Unknown,Female,Sudan,Diploma Family Medicine,3
4486,2016,Unknown,Male,Saudi Arabia,Medical Retina & Uveitis,3
4490,2020,Unknown,Male,Yemen,Adult Echocardiography,3
4491,2021,Unknown,Female,Saudi Arabia,Pediatric Ophthalmology And Strabismus,3
4492,2021,Unknown,Female,Saudi Arabia,Periodontics,3
4493,2016,Unknown,Male,Saudi Arabia,Maternal-Fetal Medicine,3
4496,2019,Unknown,Male,Saudi Arabia,Adult Allergy & Immunology,3
4497,2016,Unknown,Female,Sudan,General Surgery,3
4501,2016,Unknown,Female,Syria,Pediatrics,3
4502,2019,Unknown,Male,Palestine,Adult Critical Care Medicine,3
4505,2020,Unknown,Male,Saudi Arabia,Pediatric Ophthalmology And Strabismus,3
4506,2016,Unknown,Male,Jordan,Adult Critical Care Medicine,3
4508,2020,Unknown,Male,Saudi Arabia,Pediatric Otolaryngology,3
4510,2021,Unknown,Female,United Arab Emirates,Internal Medicine,3
4513,2020,Unknown,Male,Saudi Arabia,Pediatrics Urology,3
4518,2016,Unknown,Male,Egypt,Anesthesia,3
4520,2018,Unknown,Male,Saudi Arabia,Pediatric Neurosurgery,3
4522,2016,Unknown,Male,Egypt,Adult Echocardiography,3
4523,2020,Unknown,Male,Saudi Arabia,Prosthodontics,3
4525,2016,Unknown,Female,Yemen,Pediatrics,3
4526,2021,Unknown,Female,Sudan,Adult Cardiology,3
4531,2018,Unknown,Male,Saudi Arabia,Pediatric Echocardiography,3
4532,2016,Unknown,Female,Yemen,Adults Endocrinology & Metabolism,3
4533,2019,Unknown,Male,Bahrain,Internal Medicine,3
4535,2016,Unknown,Male,Palestine,Pediatrics,3
4536,2019,Unknown,Male,Palestine,Adult Cardiology,3
4538,2018,Unknown,Male,Saudi Arabia,Adult Stem Cell Transplantation,3
4539,2016,Unknown,Male,Saudi Arabia,Clinical Pharmacy,3
4540,2021,Unknown,Male,Palestine,Adult Critical Care Medicine,3
4541,2016,Unknown,Male,Saudi Arabia,Child And Adolescent Psychiatry,3
4543,2021,Unknown,Male,Palestine,Adult Cardiology,3
4544,2020,Unknown,Male,Saudi Arabia,Pediatric Echocardiography,3
4545,2019,Unknown,Male,Jordan,Internal Medicine,3
4548,2016,Unknown,Male,Saudi Arabia,Adult Allergy & Immunology,3
4549,2016,Unknown,Male,Palestine,Obstetrics & Gynecology,3
4551,2016,Unknown,Male,Palestine,General Surgery,3
4555,2021,Unknown,Female,Saudi Arabia,Renal Transplant Surgery,3
4556,2016,Unknown,Male,Palestine,Adult Critical Care Medicine,3
4557,2018,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Cardiology,3
4558,2018,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Critical Care,3
4560,2016,Unknown,Male,Pakistan,Adult Hematology,3
4562,2016,Unknown,Female,Yemen,Adult Cardiology,3
4563,2020,Unknown,Male,Sudan,Adult Hematology,3
4565,2020,From 20 to 29,Female,Saudi Arabia,Ultrasound In Obstetrics & Gynecology,3
4566,2016,Unknown,Male,Saudi Arabia,Obstetric Anesthesiology,3
4568,2018,Unknown,Female,Saudi Arabia,Obstetric Anesthesiology,3
4569,2017,From 30 to 39,Female,Palestine,Pediatrics,3
4570,2019,Unknown,Male,Syria,Internal Medicine,3
4571,2017,From 30 to 39,Female,Saudi Arabia,Breast and Endocrine Surgical Oncology,3
4572,2017,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Cardiology,3
4573,2017,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Critical Care,3
4574,2017,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,3
4575,2017,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Internal Medicine,3
4580,2019,Unknown,Male,Yemen,General Surgery,3
4581,2019,Unknown,Male,Yemen,Internal Medicine,3
4583,2022,From 20 to 29,Male,Saudi Arabia,Adult Critical Care Medicine,3
4584,2017,From 30 to 39,Female,Saudi Arabia,Forensic Medicine,3
4585,2022,From 20 to 29,Male,Saudi Arabia,Adult Infectious Diseases,3
4588,2022,From 20 to 29,Female,Saudi Arabia,Diabetes​,3
4589,2022,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy - Pediatric,3
4591,2019,Unknown,Male,Saudi Arabia,Pediatric Rheumatology,3
4592,2018,Unknown,Female,Saudi Arabia,Urology,3
4593,2018,Unknown,Female,Saudi Arabia,Urogynecology And Pelvic Reconstructive Surgery,3
4595,2019,Unknown,Male,Saudi Arabia,Renal Transplant,3
4596,2022,From 20 to 29,Female,Saudi Arabia,Adult Infectious Diseases,3
4599,2017,From 30 to 39,Female,Bahrain,Orthopedic Surgery,3
4600,2018,Unknown,Female,Saudi Arabia,Pain Medicine,3
4603,2019,Unknown,Male,Saudi Arabia,Vascular Surgery,3
4604,2022,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy - Cardiology,3
4605,2022,From 20 to 29,Female,Saudi Arabia,Clinical Pharmacy - Critical Care,3
4607,2017,From 30 to 39,Female,Egypt,Pediatrics,3
4608,2019,Unknown,Male,Sudan,Internal Medicine,3
4609,2020,Unknown,Female,Saudi Arabia,Nuclear Medicine,3
4610,2017,From 30 to 39,Female,Saudi Arabia,Medical Microbiology,3
4611,2022,From 20 to 29,Male,Saudi Arabia,Adults Endocrinology & Metabolism,3
4612,2020,From 20 to 29,Female,Palestine,Internal Medicine,3
4613,2017,From 30 to 39,Female,Saudi Arabia,Renal Transplant Surgery,3
4614,2017,From 30 to 39,Female,Saudi Arabia,Ultrasound In Obstetrics & Gynecology,3
4616,2020,Unknown,Female,Saudi Arabia,Cornea/ External Disease,3
4619,2020,From 20 to 29,Female,Pakistan,Internal Medicine,3
4620,2018,Unknown,Female,Saudi Arabia,Clinical Pharmacy - Pediatric,3
4622,2017,From 30 to 39,Female,Saudi Arabia,Prosthodontics,3
4623,2017,From 30 to 39,Female,Yemen,Anesthesia,3
4625,2018,Unknown,Female,Saudi Arabia,Clinical Pharmacy,3
4627,2020,From 20 to 29,Female,Saudi Arabia,Adults Endocrinology & Metabolism,3
4629,2018,Unknown,Female,Saudi Arabia,Child And Adolescent Psychiatry,3
4632,2017,From 30 to 39,Female,Saudi Arabia,Preventive Medicine,3
4635,2020,Unknown,Female,Saudi Arabia,Musculoskeletal Radiology,3
4637,2020,Unknown,Female,Saudi Arabia,Movement Disorder,3
4639,2017,From 30 to 39,Female,Saudi Arabia,Nuclear Medicine,3
4641,2020,From 20 to 29,Female,Bahrain,General Surgery,3
4644,2022,From 20 to 29,Male,Saudi Arabia,General Medical Oncology,3
4649,2022,From 20 to 29,Male,Saudi Arabia,Diabetes​,3
4651,2022,From 20 to 29,Male,Saudi Arabia,Gastroenterology,3
4652,2017,From 30 to 39,Female,Saudi Arabia,Pediatric Rheumatology,3
4653,2020,Unknown,Female,Saudi Arabia,Radiology Technology & Medical Imaging,3
4654,2020,Unknown,Female,Saudi Arabia,Renal Transplant,3
4655,2018,Unknown,Female,Saudi Arabia,Vascular Surgery,3
4656,2021,Unknown,Male,Saudi Arabia,Pediatrics Respiratory Medicine,3
4657,2020,Unknown,Male,Saudi Arabia,Breast and Endocrine Surgical Oncology,3
4658,2021,Unknown,Male,Saudi Arabia,Pediatric Echocardiography,3
4660,2016,Unknown,Male,Saudi Arabia,Reconstructive Surgery,3
4662,2021,Unknown,Male,Saudi Arabia,Pediatric Orthopedic Surgery,3
4665,2021,Unknown,Male,Saudi Arabia,Pediatrics Urology,3
4666,2020,Unknown,Male,Saudi Arabia,Cardiac Electrophysiology & Pacing,3
4671,2016,Unknown,Male,Sudan,Adult Hematology,3
4672,2016,Unknown,Male,Sudan,General Surgery,3
4673,2021,Unknown,Male,Saudi Arabia,Renal Transplant Surgery,3
4674,2016,Unknown,Male,Syria,Adult Hematology,3
4678,2021,Unknown,Male,Saudi Arabia,Musculoskeletal Surgical Oncology,3
4680,2021,Unknown,Male,Saudi Arabia,Epilepsy & Electroencephalography,3
4682,2019,Unknown,Male,Saudi Arabia,Breast and Endocrine Surgical Oncology,3
4683,2021,Unknown,Male,Saudi Arabia,Infertility-Andrology,3
4685,2016,Unknown,Male,Saudi Arabia,Pediatric Neurosurgery,3
4686,2016,Unknown,Male,Saudi Arabia,Pediatric Ophthalmology And Strabismus,3
4687,2019,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Cardiology,3
4689,2021,Unknown,Male,Saudi Arabia,Nuclear Medicine,3
4690,2019,Unknown,Male,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,3
4691,2021,Unknown,Male,Saudi Arabia,Oculoplatic And Reconstructive Surgery,3
4693,2021,Unknown,Male,Saudi Arabia,Pediatric Allergy And Immunology,3
4695,2019,Unknown,Male,Saudi Arabia,Colorectal Surgery,3
4699,2018,Unknown,Female,Saudi Arabia,Women Imaging,3
4700,2017,From 20 to 29,Male,Saudi Arabia,Diabetes​,3
4703,2018,Unknown,Female,Yemen,Adult Cardiology,3
4705,2017,From 20 to 29,Male,Saudi Arabia,Adults Endocrinology & Metabolism,3
4708,2018,Unknown,Female,Sudan,General Surgery,3
4709,2017,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,3
4710,2018,Unknown,Female,Yemen,Pediatrics,3
4712,2017,From 20 to 29,Male,Saudi Arabia,General Medical Oncology,3
4714,2020,Unknown,Female,Saudi Arabia,Urogynecology And Pelvic Reconstructive Surgery,3
4715,2020,Unknown,Female,Saudi Arabia,Ultrasound In Obstetrics & Gynecology,3
4716,2018,Unknown,Female,Sudan,Adults Endocrinology & Metabolism,3
4717,2017,From 20 to 29,Male,Saudi Arabia,Neurology,3
4718,2017,From 20 to 29,Male,Saudi Arabia,Oral Medicine & Pathology,3
4720,2020,Unknown,Male,Bahrain,Internal Medicine,3
4721,2016,Unknown,Male,Syria,Pediatric Cardiology,3
4722,2019,Unknown,Male,Saudi Arabia,Obstetric Anesthesiology,3
4724,2021,Unknown,Male,Saudi Arabia,Vascular Surgery,3
4725,2016,Unknown,Male,Yemen,Anesthesia,3
4728,2018,Unknown,Male,Immigrant Tribes,Adult Critical Care Nursing,3
4729,2016,Unknown,Male,Yemen,Pediatrics,3
4730,2021,From 30 to 39,Female,Bahrain,Obstetrics & Gynecology,3
4731,2017,From 20 to 29,Female,Bahrain,Internal Medicine,3
4733,2018,Unknown,Male,Egypt,Adult Echocardiography,3
4734,2018,Unknown,Male,Bahrain,Orthopedic Surgery,3
4735,2017,From 20 to 29,Female,Saudi Arabia,Adult Infectious Diseases,3
4736,2017,From 20 to 29,Female,Saudi Arabia,Adult Rheumatology,3
4740,2017,From 20 to 29,Female,Saudi Arabia,Diabetes​,3
4742,2018,Unknown,Male,Yemen,Adult Nephrology,3
4743,2016,Unknown,Female,Sudan,Adults Endocrinology & Metabolism,3
4744,2019,From 30 to 39,Female,Saudi Arabia,Oral Medicine & Pathology,3
4746,2016,From 20 to 29,Male,Saudi Arabia,Adult Infectious Diseases,3
4747,2016,From 20 to 29,Male,Saudi Arabia,Adults Endocrinology & Metabolism,3
4748,2019,From 40 to 49,Male,Egypt,Cardiac Anesthesia,3
4749,2019,From 40 to 49,Male,Egypt,Pediatric Cardiology,3
4752,2019,From 30 to 39,Female,Saudi Arabia,Medical Microbiology,3
4753,2016,From 20 to 29,Male,Saudi Arabia,Diabetes​,3
4754,2016,From 20 to 29,Male,Saudi Arabia,Emergency Medicine,3
4755,2016,From 20 to 29,Male,Saudi Arabia,Gastroenterology,3
4757,2019,From 40 to 49,Male,Saudi Arabia,Adult Critical Care Medicine,3
4758,2019,From 40 to 49,Male,Saudi Arabia,Adult Infectious Diseases,3
4760,2019,From 40 to 49,Male,Saudi Arabia,Adult Nephrology,3
4762,2019,From 40 to 49,Male,Saudi Arabia,Adults Endocrinology & Metabolism,3
4763,2019,From 30 to 39,Female,Saudi Arabia,Epilepsy & Electroencephalography,3
4764,2019,From 30 to 39,Female,Saudi Arabia,Ophthalmology,3
4767,2019,From 30 to 39,Female,Saudi Arabia,Pain Medicine,3
4768,2021,From 30 to 39,Male,Bahrain,Internal Medicine,3
4769,2019,From 30 to 39,Female,Saudi Arabia,Renal Transplant Surgery,3
4770,2016,From 20 to 29,Female,Saudi Arabia,Adult Infectious Diseases,3
4771,2019,From 40 to 49,Female,Saudi Arabia,Maternal-Fetal Medicine,3
4772,2016,From 20 to 29,Female,Saudi Arabia,Clinical Neurosurgery,3
4773,2019,From 40 to 49,Female,Saudi Arabia,Oncology Nursing,3
4774,2019,From 40 to 49,Female,Saudi Arabia,Pediatric Allergy And Immunology,3
4775,2019,From 30 to 39,Female,Saudi Arabia,Pediatrics Intensive Care,3
4776,2019,From 40 to 49,Female,Saudi Arabia,Pediatric Hematology & Oncology,3
4779,2016,From 20 to 29,Female,Saudi Arabia,Dermatology,3
4780,2016,From 20 to 29,Female,Saudi Arabia,Diagnostic Radiology,3
4784,2016,From 20 to 29,Female,Saudi Arabia,Pediatric Surgery,3
4785,2019,From 30 to 39,Female,Saudi Arabia,Pediatric Allergy And Immunology,3
4787,2019,From 40 to 49,Male,Saudi Arabia,Anesthesia,3
4789,2021,From 30 to 39,Male,Saudi Arabia,Adult Nephrology,3
4791,2019,From 40 to 49,Male,Saudi Arabia,Orthodontic and Dentofacial Orthopedics,3
4792,2016,From 30 to 39,Female,Palestine,Pediatrics,3
4794,2016,From 30 to 39,Female,Saudi Arabia,Adult Cardiology,3
4795,2021,From 30 to 39,Male,Saudi Arabia,Interventional Neuro-Radiology,3
4796,2016,From 30 to 39,Female,Saudi Arabia,Adult Nephrology,3
4799,2021,From 30 to 39,Male,Saudi Arabia,Oral Medicine & Pathology,3
4803,2016,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy,3
4805,2016,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Cardiology,3
4806,2016,From 30 to 39,Female,Saudi Arabia,Clinical Pharmacy - Critical Care,3
4807,2021,From 30 to 39,Male,Saudi Arabia,Pediatric Dentistry,3
4808,2021,From 20 to 29,Male,Bahrain,Diagnostic Radiology,3
4809,2021,From 30 to 39,Male,Saudi Arabia,Pediatric Neurology,3
4810,2019,From 40 to 49,Male,Saudi Arabia,Interventional Neuro-Radiology,3
4811,2019,From 30 to 39,Female,Saudi Arabia,Adult Cardiology,3
4813,2019,From 40 to 49,Male,Saudi Arabia,Gastroenterology,3
4816,2021,From 30 to 39,Male,Saudi Arabia,Adult Rheumatology,3
4818,2021,From 20 to 29,Male,Egypt,Internal Medicine,3
4820,2021,From 30 to 39,Male,Saudi Arabia,Clinical Pharmacy - Hematology Oncology,3
4821,2019,From 30 to 39,Female,Saudi Arabia,Cardiac Surgery,3
4825,2019,From 30 to 39,Female,Saudi Arabia,Adult Nephrology,3
4827,2021,From 30 to 39,Male,Saudi Arabia,Family Dentistry,3
4831,2016,From 30 to 39,Female,Egypt,Pediatrics,3
