,Academic_Year,Age_Group_En,Gender_En,Nationality_Name_En,Work_Name_En,Number_of_Trainees
2094,2021,Unknown,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",5
2096,2016,Unknown,Male,Yemen,King Fahad National Guard Hospital,5
2097,2018,From 30 to 39,Male,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",5
2099,2018,From 30 to 39,Male,Saudi Arabia,Armed Forces Medical Services,5
2100,2016,From 30 to 39,Male,Syria,Ministry of Health,5
2104,2016,From 30 to 39,Male,Sudan,Ministry of Health,5
2105,2022,From 40 to 49,Female,Sudan,Personal Contract,5
2108,2020,Unknown,Male,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,5
2109,2022,Unknown,Male,Sudan,Personal Contract,5
2114,2022,From 40 to 49,Male,Sudan,Personal Contract,5
2115,2016,Unknown,Female,Sudan,Unknown,5
2117,2017,From 30 to 39,Male,Sudan,Personal Contract,5
2119,2021,From 20 to 29,Female,Bahrain,وزارة الدفاع - البحرين,5
2120,2021,From 20 to 29,Female,Bahrain,Bahrain Ministry of Health,5
2123,2017,From 30 to 39,Male,Sudan,Ministry of Health,5
2125,2016,Unknown,Male,Saudi Arabia,Taif University,5
2126,2017,From 30 to 39,Male,Saudi Arabia,Unknown,5
2127,2017,From 30 to 39,Male,Saudi Arabia,University of Bisha ,5
2128,2017,From 30 to 39,Male,Saudi Arabia,Taibah University,5
2129,2018,From 30 to 39,Female,Saudi Arabia,Ministry of Interior,5
2130,2020,Unknown,Male,Saudi Arabia,Taif University,5
2133,2016,Unknown,Female,Syria,Personal Contract,5
2135,2016,Unknown,Female,Saudi Arabia,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,5
2137,2018,From 20 to 29,Male,Saudi Arabia,King Fahad Medical City in Riyadh,5
2141,2017,Unknown,Male,Saudi Arabia,Ministry of Defense / Land Forces,5
2142,2017,Unknown,Female,Saudi Arabia,King Faisal University,5
2143,2016,Unknown,Female,Saudi Arabia,King Saud Medical City in Riyadh,5
2147,2021,From 30 to 39,Male,Saudi Arabia,Qassim University,5
2151,2017,Unknown,Male,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,5
2153,2017,Unknown,Female,Palestine,Personal Contract,5
2154,2017,Unknown,Female,Jordan,Personal Contract,5
2156,2021,Unknown,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,5
2158,2021,From 20 to 29,Male,Yemen,Dr. Soliman Fakeeh Hospital,5
2161,2016,From 40 to 49,Male,Saudi Arabia,Ministry of National Guard,5
2162,2017,From 30 to 39,Male,Saudi Arabia,Al Jouf University,5
2163,2017,Unknown,Female,Saudi Arabia,Majmaah University,5
2165,2021,From 30 to 39,Female,Saudi Arabia,Ministry of Interior,5
2167,2022,Unknown,Female,Saudi Arabia,Ministry of Defense,5
2169,2017,Unknown,Male,Bahrain,King Hamad University Hospita,5
2170,2016,Unknown,Female,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",5
2171,2016,Unknown,Female,Jordan,Personal Contract,5
2173,2017,Unknown,Female,Saudi Arabia,university of tabuk,5
2174,2022,Unknown,Female,Saudi Arabia,King Saud University,5
2178,2017,From 30 to 39,Male,Palestine,Ministry of Health,5
2181,2017,Unknown,Male,Saudi Arabia,Imam Abdulrahman Bin Faisal University,5
2189,2022,From 30 to 39,Male,Egypt,Personal Contract,5
2190,2021,From 30 to 39,Male,Saudi Arabia,King Faisal Medical City for Southern Regions,5
2192,2022,Unknown,Female,Saudi Arabia,Unknown,5
2193,2021,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,5
2194,2018,From 20 to 29,Female,Saudi Arabia,Ministry of Interior,5
2195,2017,From 40 to 49,Male,Saudi Arabia,Ministry of Defense / Personal Contract,5
2196,2016,Unknown,Male,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,5
2197,2021,From 20 to 29,Female,Yemen,Unknown,5
2198,2021,From 20 to 29,Female,Yemen,Ministry of Health,5
2199,2021,From 20 to 29,Female,United Arab Emirates,Unknown,5
2201,2018,From 20 to 29,Female,Saudi Arabia,Ministry of Defense,5
2203,2016,From 30 to 39,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,5
2205,2017,From 20 to 29,Male,Saudi Arabia,King Saud University,5
2206,2022,From 20 to 29,Female,Saudi Arabia,Ministry of National Guard,5
2207,2017,From 30 to 39,Female,Kuwait,Kuwait Ministry of Health,5
2209,2018,From 20 to 29,Female,Saudi Arabia,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",5
2210,2017,From 40 to 49,Male,Saudi Arabia,King Fahad National Guard Hospital,5
2213,2017,From 40 to 49,Male,Egypt,Ministry of Health,5
2218,2016,From 40 to 49,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",5
2219,2021,From 20 to 29,Male,Jordan,Unknown,5
2220,2016,Unknown,Female,Saudi Arabia,University of Hail,5
2221,2017,Unknown,Male,Yemen,King Saud University,5
2223,2016,From 40 to 49,Male,Saudi Arabia,King Fahad National Guard Hospital,5
2225,2017,From 30 to 39,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,5
2234,2017,From 30 to 39,Male,Saudi Arabia,King Abdullah Medical City in Mecca,5
2236,2021,Unknown,Male,Saudi Arabia,King Khaled Eye Specialist Hospital,5
2239,2016,Unknown,Male,Jordan,King Fahad Medical City in Riyadh,5
2248,2016,From 30 to 39,Male,Saudi Arabia,University of Bisha ,5
2249,2020,From 20 to 29,Male,Saudi Arabia,King Abdullah Medical City in Mecca,5
2250,2020,From 20 to 29,Female,Saudi Arabia,King Fahad Medical City in Riyadh,5
2251,2019,From 30 to 39,Female,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,5
2254,2019,Unknown,Male,Syria,Ministry of Health,5
2256,2019,From 30 to 39,Female,Saudi Arabia,Taibah University,5
2258,2019,From 30 to 39,Female,Saudi Arabia,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",5
2259,2019,From 20 to 29,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",5
2263,2019,Unknown,Female,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,5
2264,2019,From 20 to 29,Female,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",5
2265,2019,From 20 to 29,Female,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,5
2267,2019,From 30 to 39,Female,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,5
2268,2019,Unknown,Male,Egypt,Personal Contract,5
2269,2019,Unknown,Female,Jordan,Personal Contract,5
2270,2019,From 30 to 39,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",5
2271,2018,From 40 to 49,Female,Saudi Arabia,Unknown,5
2274,2018,From 40 to 49,Female,Sudan,Ministry of Health,5
2277,2019,From 30 to 39,Male,Saudi Arabia,Security Forces Hospital - Riyadh,5
2278,2019,From 30 to 39,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",5
2279,2019,Unknown,Female,Palestine,Personal Contract,5
2281,2020,Unknown,Female,Yemen,Ministry of Health,5
2286,2018,Unknown,Female,Palestine,Personal Contract,5
2288,2018,Unknown,Female,Jordan,Personal Contract,5
2289,2020,Unknown,Female,Saudi Arabia,Security Forces Hospital - Riyadh,5
2291,2020,From 20 to 29,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,5
2292,2019,Unknown,Female,Saudi Arabia,King Abdullah Medical City in Mecca,5
2293,2018,Unknown,Male,Sudan,Personal Contract,5
2294,2019,Unknown,Male,Yemen,King Saud University,5
2295,2018,Unknown,Male,Saudi Arabia,University of Jeddah ,5
2296,2018,Unknown,Male,Saudi Arabia,Taif University,5
2297,2020,From 20 to 29,Male,Jordan,Unknown,5
2300,2020,From 20 to 29,Female,Jordan,Unknown,5
2303,2019,From 30 to 39,Male,Saudi Arabia,Armed Forces Medical Services,5
2306,2019,From 30 to 39,Male,Saudi Arabia,King Fahad Medical City in Riyadh,5
2308,2020,From 30 to 39,Male,Saudi Arabia,King Faisal Medical City for Southern Regions,5
2309,2019,From 30 to 39,Male,Saudi Arabia,King Faisal Medical City for Southern Regions,5
2310,2020,From 30 to 39,Male,Saudi Arabia,"king AbdulAziz Specialist Hospital, Taif",5
2312,2020,Unknown,Female,Saudi Arabia,King Faisal University,5
2313,2019,From 20 to 29,Female,Bahrain,King Hamad University Hospita,5
2316,2020,Unknown,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",5
2321,2020,From 40 to 49,Male,Sudan,Ministry of Health,5
2325,2019,From 20 to 29,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,5
2329,2020,From 30 to 39,Female,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",5
2332,2020,From 30 to 39,Female,Saudi Arabia,"King Fahad Specialist Hospital, Damam",5
2334,2020,From 30 to 39,Female,Saudi Arabia,King Fahad Medical City in Riyadh,5
2335,2020,Unknown,Male,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",5
2336,2018,From 30 to 39,Male,Sudan,Personal Contract,5
2338,2020,From 30 to 39,Female,Bahrain,King Hamad University Hospita,5
2339,2019,From 20 to 29,Male,Saudi Arabia,Majmaah University,5
2341,2019,Unknown,Male,Saudi Arabia,University of Bisha ,5
2344,2018,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Land Forces,5
2345,2018,Unknown,Male,Bahrain,King Hamad University Hospita,5
2346,2018,Unknown,Male,Kuwait,Kuwait Ministry of Health,5
2347,2018,Unknown,Male,Palestine,Personal Contract,5
2348,2019,From 20 to 29,Male,Saudi Arabia,King Abdullah Medical City in Mecca,5
2352,2019,From 20 to 29,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,5
2353,2019,From 30 to 39,Female,Kuwait,Kuwait Ministry of Health,5
2355,2019,From 30 to 39,Male,Sudan,Ministry of Health,5
2365,2020,From 20 to 29,Female,Saudi Arabia,"Royal Commission Medical Center, Yanbu",4
2366,2018,Unknown,Male,Saudi Arabia,Ministry of Defense / Land Forces,4
2368,2017,Unknown,Female,Bahrain,Personal Contract,4
2370,2017,Unknown,Female,Bahrain,وزارة الدفاع - البحرين,4
2371,2022,From 30 to 39,Female,Yemen,Personal Contract,4
2372,2019,From 30 to 39,Male,Yemen,Ministry of Health,4
2373,2019,From 40 to 49,Male,Kuwait,Kuwait Ministry of Health,4
2378,2019,From 30 to 39,Male,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2380,2022,From 20 to 29,Male,Saudi Arabia,Unknown,4
2381,2022,From 30 to 39,Female,Bahrain,Personal Contract,4
2383,2018,Unknown,Male,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,4
2385,2016,From 20 to 29,Female,Saudi Arabia,King Khalid National Guard Hospital,4
2391,2019,From 30 to 39,Male,Egypt,Ministry of Defense / Personal Contract,4
2392,2020,From 20 to 29,Male,Egypt,Dr. Soliman Fakeeh Hospital,4
2398,2021,From 40 to 49,Female,Saudi Arabia,Unknown,4
2399,2020,From 30 to 39,Male,Saudi Arabia,"Royal Commission Medical Center, Yanbu",4
2401,2020,From 40 to 49,Male,Saudi Arabia,Ministry of Interior,4
2404,2020,From 30 to 39,Male,Sudan,Ministry of Health,4
2405,2016,Unknown,Male,Egypt,Ministry of Defense / Personal Contract,4
2408,2021,From 30 to 39,Male,Saudi Arabia,King Fahad Medical City in Riyadh,4
2410,2016,Unknown,Male,Bahrain,King Hamad University Hospita,4
2412,2021,From 30 to 39,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,4
2414,2020,From 40 to 49,Female,Saudi Arabia,Unknown,4
2415,2020,From 40 to 49,Male,Egypt,King Faisal Specialist Hospital & Research Centre,4
2421,2021,From 30 to 39,Female,Yemen,Personal Contract,4
2422,2017,Unknown,Female,Saudi Arabia,University of Hail,4
2424,2021,From 30 to 39,Male,Bahrain,King Hamad University Hospita,4
2425,2017,Unknown,Female,Sudan,Dallah Hospitals,4
2426,2019,From 30 to 39,Male,Saudi Arabia,Taibah University,4
2427,2019,From 30 to 39,Male,Saudi Arabia,University of Bisha ,4
2429,2021,From 30 to 39,Male,Kuwait,Kuwait Ministry of Health,4
2433,2016,Unknown,Female,Yemen,King Fahad Medical City in Riyadh,4
2434,2017,Unknown,Female,Saudi Arabia,King Faisal Medical City for Southern Regions,4
2435,2020,From 20 to 29,Female,Yemen,Ministry of Health,4
2437,2020,From 40 to 49,Male,Saudi Arabia,Ministry of Defense Medical Services,4
2438,2016,Unknown,Male,Saudi Arabia,"Al Noor Specialist Hospital, Mecca",4
2439,2020,From 30 to 39,Male,Sudan,Personal Contract,4
2440,2018,Unknown,Male,Immigrant Tribes,Ministry of Health,4
2442,2017,Unknown,Male,Immigrant Tribes,Ministry of Health,4
2444,2016,Unknown,Male,Palestine,King Fahad Medical City in Riyadh,4
2447,2019,From 30 to 39,Male,Saudi Arabia,Ministry of Defense,4
2448,2022,From 30 to 39,Male,Saudi Arabia,Ministry of Defense / Personal Contract,4
2449,2016,Unknown,Male,Egypt,Ministry of Defense Medical Services,4
2450,2016,Unknown,Male,Jordan,Ministry of Health,4
2454,2018,Unknown,Male,India,Ministry of Health,4
2455,2021,From 30 to 39,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,4
2458,2017,From 30 to 39,Female,Saudi Arabia,King Fahad Medical City in Riyadh,4
2467,2021,Unknown,Female,Saudi Arabia,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,4
2471,2021,Unknown,Female,Sudan,Ministry of Health,4
2474,2021,Unknown,Female,United Arab Emirates,Dubai Health Authority,4
2478,2020,From 30 to 39,Female,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,4
2479,2021,Unknown,Female,Yemen,Personal Contract,4
2480,2021,Unknown,Female,Saudi Arabia,Qassim University,4
2483,2019,From 30 to 39,Female,Saudi Arabia,King Fahad Medical City in Riyadh,4
2485,2021,Unknown,Male,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,4
2486,2020,From 30 to 39,Female,United Arab Emirates,Dubai Health Authority,4
2487,2019,From 30 to 39,Female,Saudi Arabia,King Faisal Medical City for Southern Regions,4
2488,2020,From 20 to 29,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,4
2489,2020,From 20 to 29,Male,Saudi Arabia,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",4
2490,2021,Unknown,Female,Saudi Arabia,King Saud Medical City in Riyadh,4
2491,2019,From 20 to 29,Female,United Arab Emirates,Dubai Health Authority,4
2492,2019,From 20 to 29,Female,Syria,Unknown,4
2493,2019,From 30 to 39,Female,Saudi Arabia,Ministry of Defense,4
2494,2020,From 20 to 29,Male,Saudi Arabia,Majmaah University,4
2498,2017,From 30 to 39,Female,Bahrain,Bahrain Ministry of Health,4
2500,2017,From 30 to 39,Female,Saudi Arabia,Ministry of Interior,4
2504,2020,From 30 to 39,Female,Bahrain,Bahrain Ministry of Health,4
2505,2019,From 30 to 39,Female,Bahrain,Bahrain Ministry of Health,4
2507,2019,From 20 to 29,Male,Saudi Arabia,"king AbdulAziz Specialist Hospital, Taif",4
2508,2020,From 30 to 39,Female,Saudi Arabia,Ministry of Defense,4
2511,2021,Unknown,Male,Saudi Arabia,King Abdullah Medical City in Mecca,4
2513,2020,From 20 to 29,Male,United Arab Emirates,Dubai Health Authority,4
2514,2021,Unknown,Male,Saudi Arabia,King Faisal Medical City for Southern Regions,4
2516,2020,From 30 to 39,Female,Egypt,Ministry of Health,4
2518,2020,From 30 to 39,Female,Kuwait,Kuwait Ministry of Health,4
2519,2020,From 30 to 39,Female,Pakistan,Dubai Health Authority,4
2522,2021,Unknown,Male,Saudi Arabia,King Khalid National Guard Hospital,4
2524,2019,From 30 to 39,Female,Egypt,Ministry of Health,4
2526,2021,Unknown,Male,Palestine,Personal Contract,4
2528,2020,From 30 to 39,Female,Saudi Arabia,King Faisal Medical City for Southern Regions,4
2529,2017,From 30 to 39,Female,Egypt,Ministry of Health,4
2531,2017,From 30 to 39,Male,Saudi Arabia,Armed Forces Medical Services,4
2534,2017,From 30 to 39,Male,Saudi Arabia,Ministry of Defense,4
2537,2018,Unknown,Male,Yemen,King Fahad Medical City in Riyadh,4
2538,2016,Unknown,Female,Saudi Arabia,Taibah University,4
2539,2018,Unknown,Male,Yemen,King Saud University,4
2541,2017,From 40 to 49,Female,Sudan,Ministry of Defense / Personal Contract,4
2544,2017,From 40 to 49,Female,Saudi Arabia,Unknown,4
2547,2016,From 30 to 39,Female,Saudi Arabia,Qassim University,4
2548,2017,From 40 to 49,Female,Saudi Arabia,Ministry of National Guard,4
2549,2016,Unknown,Male,Yemen,International Medical Center,4
2553,2016,From 20 to 29,Male,Saudi Arabia,King Abdullah Medical City in Mecca,4
2554,2018,Unknown,Male,Yemen,International Medical Center,4
2555,2016,Unknown,Male,Saudi Arabia,university of tabuk,4
2556,2016,Unknown,Male,Saudi Arabia,"king AbdulAziz Specialist Hospital, Taif",4
2558,2018,Unknown,Male,Syria,Ministry of Health,4
2561,2018,Unknown,Male,Sudan,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,4
2563,2018,Unknown,Male,Saudi Arabia,University of Bisha ,4
2566,2018,Unknown,Male,Saudi Arabia,Taibah University,4
2568,2016,From 20 to 29,Male,Saudi Arabia,King Saud University,4
2569,2017,From 40 to 49,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",4
2570,2019,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2574,2017,From 20 to 29,Female,Saudi Arabia,King Khalid National Guard Hospital,4
2575,2021,Unknown,Female,Saudi Arabia,Jazan University,4
2576,2021,Unknown,Male,Saudi Arabia,University of Bisha ,4
2577,2020,From 20 to 29,Male,Saudi Arabia,King Fahad Medical City in Riyadh,4
2578,2021,Unknown,Male,Sudan,Personal Contract,4
2579,2016,Unknown,Male,Yemen,Saudi Bugshan,4
2582,2019,From 20 to 29,Female,Saudi Arabia,King Fahad Medical City in Riyadh,4
2583,2020,From 30 to 39,Male,Saudi Arabia,Armed Forces Medical Services,4
2584,2021,Unknown,Female,Saudi Arabia,Armed Forces Medical Services,4
2586,2017,From 40 to 49,Female,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,4
2587,2020,From 30 to 39,Male,Saudi Arabia,Jazan University,4
2588,2021,Unknown,Male,Syria,Ministry of Health,4
2590,2016,From 30 to 39,Female,Saudi Arabia,Ministry of Interior,4
2595,2017,From 30 to 39,Male,Yemen,Ministry of Health,4
2596,2019,From 20 to 29,Female,Jordan,Unknown,4
2597,2020,From 30 to 39,Male,Saudi Arabia,King Abdullah Medical City in Mecca,4
2600,2017,From 40 to 49,Female,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,4
2602,2017,Unknown,Male,Egypt,Ministry of Defense / Personal Contract,4
2604,2021,From 20 to 29,Female,Saudi Arabia,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,4
2608,2018,From 20 to 29,Female,Saudi Arabia,Prince Sultan Military Medical City,4
2609,2021,From 20 to 29,Female,Saudi Arabia,Security Forces Hospital - Riyadh,4
2611,2016,From 40 to 49,Male,Saudi Arabia,Security Forces Hospital - Riyadh,4
2612,2016,From 40 to 49,Male,Yemen,Ministry of Health,4
2615,2022,Unknown,Female,Saudi Arabia,Qassim University,4
2616,2019,From 40 to 49,Male,Saudi Arabia,King Saud University,4
2618,2016,From 40 to 49,Male,Sudan,Ministry of Health,4
2619,2020,From 20 to 29,Female,Bahrain,Bahrain Ministry of Health,4
2620,2018,From 20 to 29,Female,United Arab Emirates,Dubai Health Authority,4
2622,2019,Unknown,Female,Saudi Arabia,King Saud Medical City in Riyadh,4
2623,2018,From 20 to 29,Male,Saudi Arabia,Imam Abdul Rahman Bin Faisal University,4
2626,2019,Unknown,Female,Saudi Arabia,Ministry of Defense,4
2628,2016,From 40 to 49,Male,Kuwait,Kuwait Ministry of Health,4
2630,2018,From 40 to 49,Male,Yemen,Ministry of National Guard,4
2631,2016,From 40 to 49,Female,Sudan,Ministry of Defense / Personal Contract,4
2632,2022,Unknown,Female,Yemen,Personal Contract,4
2633,2021,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2634,2018,From 40 to 49,Male,Sudan,Ministry of Defense / Personal Contract,4
2635,2022,Unknown,Male,Egypt,Personal Contract,4
2636,2020,Unknown,Female,Saudi Arabia,Qassim University,4
2640,2016,Unknown,Female,Kuwait,Kuwait Ministry of Health,4
2642,2016,Unknown,Female,Pakistan,Ministry of Defense / Personal Contract,4
2644,2016,Unknown,Female,Pakistan,Ministry of Health,4
2646,2016,Unknown,Female,Palestine,Private Sector,4
2649,2020,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2650,2022,Unknown,Female,Saudi Arabia,Ministry of Defense Medical Services,4
2651,2020,Unknown,Female,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2653,2020,Unknown,Female,Saudi Arabia,Jazan University,4
2656,2018,From 20 to 29,Female,Saudi Arabia,"King Abdulaziz Hospital for National Guards, Al Hassa",4
2661,2021,From 20 to 29,Male,Kuwait,Kuwait Ministry of Health,4
2663,2021,From 20 to 29,Male,Immigrant Tribes,Unknown,4
2667,2021,From 20 to 29,Male,Egypt,Dr. Soliman Fakeeh Hospital,4
2669,2016,From 30 to 39,Male,Saudi Arabia,King Faisal University,4
2670,2020,Unknown,Female,Saudi Arabia,Princess Nourah Bint Abdul Rahman University,4
2671,2019,Unknown,Female,Saudi Arabia,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",4
2672,2021,From 20 to 29,Female,Saudi Arabia,Dr. Sulaiman Al Habib Hospital - Takhassusi,4
2673,2022,Unknown,Male,Saudi Arabia,Armed Forces Medical Services,4
2674,2018,From 30 to 39,Female,Saudi Arabia,University of Hail,4
2675,2020,Unknown,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,4
2676,2020,Unknown,Male,Saudi Arabia,Imam Mohammad Ibn Saud Islamic University,4
2677,2018,From 30 to 39,Female,Yemen,Ministry of Health,4
2681,2016,From 40 to 49,Female,Saudi Arabia,King Fahad National Guard Hospital,4
2683,2018,From 30 to 39,Male,Yemen,Ministry of Health,4
2684,2020,Unknown,Male,Saudi Arabia,University of Bisha ,4
2686,2020,Unknown,Male,Egypt,Personal Contract,4
2687,2020,Unknown,Male,Sudan,Ministry of Defense / Personal Contract,4
2689,2019,Unknown,Male,Saudi Arabia,Imam Mohammad Ibn Saud Islamic University,4
2690,2018,From 30 to 39,Male,Saudi Arabia,Taibah University,4
2692,2019,Unknown,Male,Saudi Arabia,University of Hail,4
2693,2018,From 30 to 39,Male,Palestine,Ministry of Health,4
2700,2019,Unknown,Male,Saudi Arabia,King Saud Medical City in Riyadh,4
2701,2018,From 30 to 39,Male,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,4
2704,2018,From 30 to 39,Male,Saudi Arabia,King Abdullah Medical City in Mecca,4
2705,2020,Unknown,Male,Saudi Arabia,Ministry of Education,4
2706,2020,Unknown,Male,Syria,Ministry of Health,4
2713,2020,Unknown,Female,Sudan,Personal Contract,4
2715,2018,From 30 to 39,Female,Bahrain,Bahrain Ministry of Health,4
2716,2019,Unknown,Female,Saudi Arabia,Taibah University,4
2719,2018,From 40 to 49,Male,Kuwait,Kuwait Ministry of Health,4
2721,2019,Unknown,Male,Sudan,Ministry of Defense / Personal Contract,4
2725,2020,Unknown,Male,Syria,Personal Contract,4
2726,2022,Unknown,Male,Saudi Arabia,King Saud University,4
2728,2018,From 30 to 39,Female,Saudi Arabia,King Fahad Medical City in Riyadh,4
2730,2019,Unknown,Female,Yemen,Private Sector,4
2731,2019,Unknown,Male,Bahrain,King Hamad University Hospita,4
2733,2018,From 30 to 39,Female,Saudi Arabia,King Saud Medical City in Riyadh,4
2735,2018,From 30 to 39,Female,Saudi Arabia,Ministry of Defense,4
2736,2020,Unknown,Female,Yemen,Private Sector,4
2738,2018,From 40 to 49,Female,Saudi Arabia,Ministry of Defense Medical Services,4
2743,2018,Unknown,Female,Saudi Arabia,Majmaah University,4
2746,2018,Unknown,Female,Saudi Arabia,King Khaled Eye Specialist Hospital,4
2748,2018,Unknown,Female,Saudi Arabia,university of tabuk,4
2749,2021,From 30 to 39,Female,Egypt,Ministry of Health,4
2750,2017,Unknown,Male,Saudi Arabia,University of Bisha ,4
2751,2019,From 40 to 49,Male,Saudi Arabia,Ministry of National Guard,4
2753,2022,Unknown,Female,Saudi Arabia,King Khalid University,4
2754,2017,Unknown,Male,Saudi Arabia,"king AbdulAziz Specialist Hospital, Taif",4
2755,2021,From 30 to 39,Female,Saudi Arabia,King Fahad Medical City in Riyadh,4
2756,2016,Unknown,Female,Saudi Arabia,King Khaled Eye Specialist Hospital,4
2757,2016,Unknown,Female,Saudi Arabia,King Faisal University,4
2758,2017,Unknown,Male,Yemen,International Medical Center,4
2760,2016,Unknown,Female,Saudi Arabia,"King Abdulaziz Medical City for National Guard, Jeddah",4
2762,2019,From 40 to 49,Male,Yemen,Ministry of National Guard,4
2763,2021,From 20 to 29,Male,Saudi Arabia,Prince Mohammed Bin Abdulaziz Hospital,4
2766,2022,Unknown,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",4
2768,2017,Unknown,Male,Sudan,King Saud University,4
2769,2019,Unknown,Female,Palestine,Private Sector,4
2771,2021,From 20 to 29,Male,Saudi Arabia,"Royal Commission Medical Center, Yanbu",4
2773,2020,Unknown,Female,Egypt,Personal Contract,4
2774,2019,From 40 to 49,Male,Saudi Arabia,Ministry of Interior,4
2775,2017,Unknown,Male,Sudan,Ministry of Defense Medical Services,4
2776,2016,Unknown,Female,Saudi Arabia,Imam Mohammad Ibn Saud Islamic University,4
2779,2021,From 20 to 29,Male,Saudi Arabia,Majmaah University,4
2780,2017,Unknown,Male,Saudi Arabia,"Royal Commission Medical Center, Yanbu",4
2781,2022,Unknown,Female,Saudi Arabia,Ministry of Defense / Personal Contract,4
2782,2021,From 30 to 39,Female,Bahrain,Personal Contract,4
2784,2021,From 30 to 39,Female,Saudi Arabia,Ministry of Defense,4
2785,2017,Unknown,Male,Saudi Arabia,Taibah University,4
2787,2022,Unknown,Female,Saudi Arabia,King Abdulaziz Medical City for National Guard in Riyadh,4
2789,2016,Unknown,Female,Saudi Arabia,Imam Abdulrahman Bin Faisal University,4
2791,2019,From 40 to 49,Male,Saudi Arabia,Ministry of Defense / Personal Contract,4
2792,2017,Unknown,Male,Saudi Arabia,King Faisal University,4
2793,2016,From 30 to 39,Male,Saudi Arabia,Prince Sattam Bin Abdulaziz University,3
2794,2017,From 20 to 29,Female,Saudi Arabia,"King Faisal Specialist Hospital & Research Centre, Jeddah",3
2796,2019,Unknown,Male,India,Ministry of Health,3
2798,2016,Unknown,Female,Syria,Security Forces Hospital - Riyadh,3
2802,2019,Unknown,Male,Sudan,Personal Contract,3
2805,2022,Unknown,Male,Saudi Arabia,"King Fahad Specialist Hospital, Damam",3
2807,2022,Unknown,Male,Saudi Arabia,King Fahad National Guard Hospital,3
2809,2019,Unknown,Female,Syria,Personal Contract,3
2811,2017,From 20 to 29,Female,Saudi Arabia,King Khalid University,3
2813,2020,From 20 to 29,Female,Saudi Arabia,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,3
2816,2022,From 40 to 49,Male,Egypt,Ministry of Health,3
2817,2017,From 20 to 29,Male,Saudi Arabia,King Faisal Specialist Hospital & Research Centre,3
2819,2019,Unknown,Female,Bahrain,Personal Contract,3
