,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Current_Speciality_Name_En,Number_of_Trainees
2772,2018,Riyadh,King Fahad Medical City in Riyadh,Cardiac Care Nursing,13
2773,2017,Taif,King Faisal Medical Complex in Taif,Internal Medicine,13
2774,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Critical Care Medicine,13
2775,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Dermatology,13
2776,2019,Riyadh,Medical City of King Saud University in Riyadh,Adult Critical Care Nursing,13
2777,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics Intensive Care,13
2782,2017,Riyadh,Security Forces Hospital in Riyadh,Emergency Medicine,13
2783,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Oculoplatic And Reconstructive Surgery,13
2784,2019,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Medical Retina & Uveitis,13
2785,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Urology,13
2786,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Neurology,13
2787,2017,Riyadh,Security Forces Hospital in Riyadh,Urology,13
2788,2018,Riyadh,King Fahad Medical City in Riyadh,Adults Endocrinology & Metabolism,13
2791,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Cardiology,13
2794,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,13
2795,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Endocrinology And Metabolism,13
2797,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Genetics & Metabolic Disorders,13
2799,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adults Endocrinology & Metabolism,13
2800,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Nephrology,13
2801,2019,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Orthodontic and Dentofacial Orthopedics,13
2803,2018,Jeddah,International Medical Center in Jeddah,General Surgery,13
2805,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Oculoplatic And Reconstructive Surgery,13
2806,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Diagnostic Radiology,13
2807,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Emergency Nursing,13
2810,2018,Jeddah,East Jeddah Hospital in Jeddah,Obstetrics & Gynecology,13
2811,2018,Madinah,King Fahd Hospital in Medina,Orthopedic Surgery,13
2814,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Diagnostic Radiology,13
2815,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Anesthesia,13
2817,2016,Abha,General Directorate of Health Affairs in Aseer Region,Community Medicine (Health Informatics),13
2824,2019,Hofuf,King Fahad Hospital in Hofuf,Anesthesia,13
2826,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Pediatric Cardiology,13
2827,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Orthodontic and Dentofacial Orthopedics,13
2830,2019,Najran,General Directorate of Health Affairs in Najran Region,General Surgery,13
2831,2019,Makkah,King Abdulaziz Hospital in Mecca,Diagnostic Radiology,13
2835,2018,Alqatif  ,AlQatif Central Hospital,General Surgery,13
2838,2019,Makkah,Security Forces Hospital in Mecca,Pediatrics,13
2840,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Clinical Genetics & Metabolic Disorders,13
2841,2016,Jeddah,East Jeddah Hospital in Jeddah,Pediatrics,13
2842,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Nursing,13
2843,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Cardiology,13
2844,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Dermatology,13
2845,2018,Makkah,Alnoor Specialist Hospital in Mecca,Adult Critical Care Medicine,13
2846,2019,Jouf,Muktt 5 primary health care center in Aljowf,Family Medicine,13
2847,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Body Imaging & Non-Vascular Intervention,13
2850,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Medicine,13
2851,2016,Abha,General Directorate of Health Affairs in Aseer Region,Orthopedic Surgery,13
2852,2018,Dammam,Security Forces Hospital in Dammam,Obstetrics & Gynecology,13
2853,2019,Riyadh,Medical City of King Saud University in Riyadh,Anesthesia,13
2857,2019,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Pediatrics,13
2859,2016,Riyadh,King Fahad Medical City in Riyadh,General Medical Oncology,13
2860,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Infectious Diseases,13
2862,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Gastroenterology,13
2863,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,General Surgery,13
2864,2016,Najran,General Directorate of Health Affairs in Najran Region,General Surgery,13
2865,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Pediatric Dentistry,13
2867,2022,Riyadh,Medical City of King Saud University in Riyadh,Adult Cardiology,13
2868,2017,Makkah,King Abdulaziz Hospital in Mecca,General Surgery,13
2870,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Allergy & Immunology,13
2871,2020,Jeddah,King Abdullah Medical Complex in Jeddah,General Surgery,13
2873,2021,Jeddah,Eradah Complex - Psychological Services in Jeddah,Psychiatry,13
2875,2021,Jeddah,International Medical Center in Jeddah,General Surgery,13
2876,2017,Makkah,King Abdullah Medical City in the Holy Capital,Adult Cardiology,13
2877,2017,Makkah,King Abdullah Medical City in the Holy Capital,Adult Critical Care Medicine,13
2878,2021,Jeddah,International Medical Center in Jeddah,Pediatrics,13
2880,2017,Riyadh,King Fahad Medical City in Riyadh,Pediatric Endocrinology And Metabolism,13
2883,2017,Riyadh,King Fahad Medical City in Riyadh,Otorhinolaryngology Head And Neck Surgery,13
2887,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Pediatric Dentistry,13
2890,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Prosthodontics,13
2891,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Anesthesia,13
2894,2020,Hofuf,King Fahad Hospital in Hofuf,Anesthesia,13
2895,2020,Hofuf,King Fahad Hospital in Hofuf,Diagnostic Radiology,13
2897,2020,Jazan,General Directorate of Health Affairs in Jazan Region,Emergency Nursing,13
2899,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Neurology,13
2901,2021,Dammam,King Fahd Specialist Hospital in Dammam,Neurology,13
2902,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Pediatric Ophthalmology And Strabismus,13
2903,2017,Jeddah,International Medical Center in Jeddah,Obstetrics & Gynecology,13
2905,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Cornea/ External Disease,13
2908,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Cardiology,13
2910,2020,Jeddah,International Medical Center in Jeddah,Pediatrics,13
2911,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Critical Care Medicine,13
2912,2020,Riyadh,King Khalid University Hospital in Riyadh,General Surgery,13
2913,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Hematology,13
2914,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Anesthesia,13
2915,2021,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Emergency Medicine,13
2918,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Hematology & Oncology,13
2919,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Cardiology,13
2920,2017,Jazan,General Directorate of Health Affairs in Jazan Region,General Surgery,13
2922,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Neurology,13
2923,2021,Dammam,Dammam Medical Complex,Anesthesia,13
2925,2020,Khobar,King Fahd University Hospital in Khobar,Diagnostic Radiology,13
2926,2020,Najran,General Directorate of Health Affairs in Najran Region,Diagnostic Radiology,13
2928,2020,Makkah,Security Forces Hospital in Mecca,Pediatrics,13
2932,2020,Makkah,Security Forces Hospital in Mecca,General Surgery,13
2934,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Neurology,13
2935,2020,Makkah,King Faisal Hospital in Mecca,General Surgery,13
2936,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Palliative Care Medicine,13
2938,2020,Madinah,King Fahd Hospital in Medina,Orthopedic Surgery,13
2939,2020,Makkah,King Abdullah Medical City in the Holy Capital,Neurology,13
2941,2017,Abha,General Directorate of Health Affairs in Aseer Region,Community Medicine (Health Informatics),13
2943,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Endocrinology And Metabolism,13
2944,2020,Makkah,King Abdullah Medical City in the Holy Capital,Anesthesia,13
2945,2017,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Neurology,13
2947,2021,Makkah,Alnoor Specialist Hospital in Mecca,Adult Critical Care Medicine,13
2949,2021,Khobar,King Fahd University Hospital in Khobar,Ophthalmology,13
2950,2017,Abha,General Directorate of Health Affairs in Aseer Region,Emergency Medicine,13
2951,2020,Makkah,Alnoor Specialist Hospital in Mecca,Otorhinolaryngology Head And Neck Surgery,13
2952,2021,Madinah,Medina Cardiac Center,Cardiac Care Nursing,13
2957,2017,Riyadh,JointProgram for Forensic Medicine-Riyadh,Forensic Medicine,13
2959,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Urology,13
2963,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Neurology,13
2966,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics,13
2967,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Cardiology,13
2970,2016,Madinah,King Fahd Hospital in Medina,General Surgery,13
2976,2017,Buraidah,Prince Sultan Cardiac Center in Buraidah,Adult Cardiology,13
2977,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Family Medicine,13
2978,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Internal Medicine,13
2984,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Adult Critical Care Medicine,13
2985,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,Internal Medicine,13
2986,2020,Riyadh,Medical City of King Saud University in Riyadh,Anesthesia,13
2987,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Rheumatology,13
2989,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Family Dentistry,13
2990,2016,Jeddah,King Fahd General Hospital in Jeddah,Neurology,13
2991,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Oculoplatic And Reconstructive Surgery,13
2992,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Musculoskeletal Radiology,13
2993,2016,Riyadh,King Fahad Medical City in Riyadh,Adult Respiratory Medicine,13
2994,2020,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Internal Medicine,13
2995,2017,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatrics,13
2999,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Prosthodontics,13
3003,2020,Abha,General Directorate of Health Affairs in Aseer Region,Psychiatry,13
3004,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Endocrinology And Metabolism,13
3005,2016,Riyadh,AlYamamah Hospital in Riyadh,Obstetrics & Gynecology,13
3007,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Colorectal Surgery,13
3014,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Diagnostic Radiology,13
3016,2016,Riyadh,King Fahad Medical City in Riyadh,Adult Cardiology,13
3017,2021,Riyadh,University Dental Hospital at King Saud University in Riyadh,Family Dentistry,13
3018,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Dermatology,13
3019,2016,Jeddah,King Fahd General Hospital in Jeddah,Urology,13
3020,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Endodontics,13
3021,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Urology,13
3022,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Endodontics,13
3023,2020,Yanbu,The program of the Ministry of Health Yanbu,Family Medicine,13
3024,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,Pediatrics,13
3025,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Nursing,13
3030,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Echocardiography,13
3031,2021,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Family Dentistry,13
3037,2016,Riyadh,JointProgram for Forensic Medicine-Riyadh,Forensic Medicine,13
3038,2020,Riyadh,Medical City of King Saud University in Riyadh,Neurology,13
3041,2020,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Endodontics,13
3045,2021,Buraidah,Prince Sultan Cardiac Center in Buraidah,Cardiac Care Nursing,13
3047,2021,Taif,King Faisal Medical Complex in Taif,Adult Critical Care Nursing,13
3049,2020,Riyadh,Medical City of King Saud University in Riyadh,General Surgery,13
3050,2021,Buraidah,King Fahd Specialist Hospital in Buraidah,Diagnostic Radiology,13
3053,2020,Dhahran,Eye Specialist Hospital in Dhahran,Ophthalmology,13
3054,2020,Dammam,Security Forces Hospital in Dammam,Obstetrics & Gynecology,13
3058,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,Pediatrics,12
3059,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Dermatology,12
3060,2020,Riyadh,Joint Training Program in the Central Region,Psychiatry,12
3061,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Urology,12
3062,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Emergency Medicine,12
3063,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Adults Endocrinology & Metabolism,12
3065,2019,Dammam,King Fahd Specialist Hospital in Dammam,Neurology,12
3066,2018,Jeddah,King Abdulaziz University Hospital in Jeddah,Cardiac Care Nursing,12
3067,2020,Riyadh,"Joint training program in the central region, Riyadh",Oral And Maxillofacial Surgery,12
3070,2017,Taif,King Abdulaziz Specialist Hospital in Taif,General Surgery,12
3071,2018,Dammam,King Fahd Specialist Hospital in Dammam,Neurology,12
3072,2018,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Pediatric Hematology & Oncology,12
3074,2019,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,Dermatology,12
3075,2020,Makkah,Alnoor Specialist Hospital in Mecca,Orthopedic Surgery,12
3076,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anatomic Pathology,12
3077,2020,Riyadh,Security Forces Hospital in Riyadh,Anesthesia,12
3078,2019,Jeddah,King Fahd General Hospital in Jeddah,Urology,12
3081,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Allergy & Immunology,12
3082,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Otorhinolaryngology Head And Neck Surgery,12
3084,2016,Riyadh,King Fahad Medical City in Riyadh,Otorhinolaryngology Head And Neck Surgery,12
3085,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Cardiology,12
3087,2021,Madinah,Forensic Medicine Center in Medina,Forensic Medicine,12
3089,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,General Surgery,12
3093,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Internal Medicine,12
3095,2021,Jubail,Royal Commission Medical Center in Jubail,Internal Medicine,12
3096,2016,Riyadh,King Fahad Medical City in Riyadh,Neurology,12
3098,2020,Makkah,King Abdullah Medical City in the Holy Capital,Emergency Medicine,12
3106,2018,Dammam,King Fahd Specialist Hospital in Dammam,Pediatrics,12
3109,2019,Riyadh,King Fahad Medical City in Riyadh,Otorhinolaryngology Head And Neck Surgery,12
3114,2020,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,Physical Medicine And Rehabilitation,12
3116,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Family Medicine,12
3119,2021,Khobar,King Fahd University Hospital in Khobar,Diagnostic Radiology,12
3122,2020,Makkah,King Abdulaziz Hospital in Mecca,Diagnostic Radiology,12
3123,2020,Makkah,King Abdulaziz Hospital in Mecca,Orthopedic Surgery,12
3125,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,General Surgery,12
3126,2020,Riyadh,Al-Iman Hospital in Riyadh,General Surgery,12
3129,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Interventional Neuro-Radiology,12
3131,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Neurology,12
3135,2016,Jazan,General Directorate of Health Affairs in Jazan Region,General Surgery,12
3136,2021,Jubail,Royal Commission Medical Center in Jubail,Emergency Medicine,12
3139,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Dermatology,12
3140,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adult Infectious Diseases,12
3141,2019,Makkah,Security Forces Hospital in Mecca,Obstetrics & Gynecology,12
3142,2019,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Orthopedic Surgery,12
3145,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Urology,12
3149,2016,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatric Hematology & Oncology,12
3150,2019,Manama,Salmaniya Medical Complex in Manama,Diagnostic Radiology,12
3151,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Palliative Care Medicine,12
3154,2021,Hofuf,King Fahad Hospital in Hofuf,Anesthesia,12
3155,2022,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatrics Intensive Care,12
3156,2021,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,General Surgery,12
3157,2019,Riyadh,Al-Iman Hospital in Riyadh,General Surgery,12
3158,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Hematology,12
3160,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatric Neurology,12
3161,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatric Hematology & Oncology,12
3164,2022,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adults Endocrinology & Metabolism,12
3166,2017,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Pediatrics,12
3167,2020,Riyadh,Medical City of King Saud University in Riyadh,Orthopedic Surgery,12
3168,2021,Buraidah,Buraidah Central Hospital in Buraidah,General Surgery,12
3170,2021,Dammam,Dammam Medical Complex,Adult Critical Care Medicine,12
3171,2017,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,General Surgery,12
3173,2017,Jeddah,JointProgram for Orthodontics- Jeddah,Orthodontic and Dentofacial Orthopedics,12
3179,2017,Jeddah,Joint Program for Family and Community Medicine - Jeddah,Family Medicine,12
3180,2020,Riyadh,Medical City of King Saud University in Riyadh,Neonatal Intensive Care Nursing,12
3182,2021,Dammam,King Fahd Specialist Hospital in Dammam,Oncology Nursing,12
3185,2017,Khobar,King Fahd University Hospital in Khobar,Dermatology,12
3186,2016,Jeddah,King Fahd General Hospital in Jeddah,Adult Critical Care Medicine,12
3187,2017,Jeddah,International Medical Center in Jeddah,General Surgery,12
3194,2017,Makkah,Joint Family and Community Medicine Program,Family Medicine,12
3196,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Psychiatry,12
3198,2017,Jeddah,King Abdulaziz University Hospital in Jeddah,Anesthesia,12
3199,2018,Makkah,Security Forces Hospital in Mecca,Pediatrics,12
3201,2019,Khobar,King Fahd University Hospital in Khobar,Anesthesia,12
3202,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,General Surgery,12
3203,2017,Dammam,Eradah Mental Health Hospital in Dammam,Psychiatry,12
3204,2018,Dammam,King Fahd Specialist Hospital in Dammam,Diagnostic Radiology,12
3205,2016,Khobar,King Fahd University Hospital in Khobar,Dermatology,12
3206,2017,Dammam,Dammam Medical Complex,Restorative Dentistry,12
3208,2020,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Pediatrics Intensive Care,12
3210,2019,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anatomic Pathology,12
3212,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,General Surgery,12
3214,2016,Riyadh,King Fahad Medical City in Riyadh,Internal Medicine,12
3216,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Orthopedic Surgery,12
3220,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Ophthalmology,12
3221,2019,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Adult Critical Care Medicine,12
3222,2017,Dammam,King Fahd Specialist Hospital in Dammam,Adult Hematology,12
3223,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Hematology,12
3224,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Cardiology,12
3227,2018,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,Preventive Medicine,12
3229,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,Anatomic Pathology,12
3231,2017,Dammam,Security Forces Hospital in Dammam,Family Medicine,12
3235,2017,Makkah,King Abdullah Medical City in the Holy Capital,Anesthesia,12
3238,2016,Dammam,King Fahd Specialist Hospital in Dammam,Pediatrics,12
3239,2018,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Family Medicine,12
3240,2019,Jazan,General Directorate of Health Affairs in Jazan Region,Emergency Nursing,12
3242,2019,Jeddah,King Abdulaziz University Hospital in Jeddah,Urology,12
3246,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Pediatrics,12
3247,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Infectious Diseases,12
3251,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Dermatology,12
3253,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Emergency Nursing,12
3255,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Urology,12
3257,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Clinical Neurosurgery,12
3258,2018,Riyadh,King Khalid University Hospital in Riyadh,Dermatology,12
3260,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Diabetes​,12
3262,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Clinical Pharmacy,12
3263,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Adult Cardiology,12
3265,2016,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Adults Endocrinology & Metabolism,12
3269,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Psychiatry,12
3270,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Emergency Medicine,12
3271,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Pediatric Neurology,12
3272,2020,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,Pediatrics,12
3273,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Urology,12
3274,2019,Riyadh,Security Forces Hospital in Riyadh,Diagnostic Radiology,12
3278,2016,Riyadh,Security Forces Hospital in Riyadh,Internal Medicine,12
3281,2021,Riyadh,Joint Training Program in the Central Region,Psychiatry,12
3282,2021,Riyadh,"Joint training program in the central region, Riyadh",Oral And Maxillofacial Surgery,12
3284,2021,Yanbu,Royal Commission Medical Center in Yanbu,Pediatrics,12
3287,2021,Riyadh,Prince Sultan Military Medical City in Riyadh,Urology,12
3289,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Obstetrics & Gynecology,12
3291,2017,Riyadh,King Fahad Medical City in Riyadh,General Medical Oncology,12
3292,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Otorhinolaryngology Head And Neck Surgery,12
3293,2019,Riyadh,King Khalid University Hospital in Riyadh,Orthopedic Surgery,12
3296,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adults Endocrinology & Metabolism,12
3299,2018,Najran,General Directorate of Health Affairs in Najran Region,General Surgery,12
3301,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Anatomic Pathology,12
3302,2017,Riyadh,King Fahad Medical City in Riyadh,Pediatrics Intensive Care,12
3306,2021,Riyadh,King Fahad Medical City in Riyadh,Radiology Technology & Medical Imaging,12
3309,2016,Riyadh,King Khalid University Hospital in Riyadh,Pediatrics Emergency Medicine,12
3310,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Family Medicine,12
3311,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Oculoplatic And Reconstructive Surgery,12
3313,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Cardiac Surgery,12
3314,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Nephrology,12
3317,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,General Medical Oncology,12
3318,2018,Makkah,King Abdullah Medical City in the Holy Capital,Cardiac Care Nursing,12
3323,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Musculoskeletal Radiology,12
3325,2016,Riyadh,King Khalid University Hospital in Riyadh,Emergency Medicine,12
3327,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Retina Surgery,12
3328,2019,Riyadh,Prince Sultan Military Medical City in Riyadh,Anatomic Pathology,12
3330,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Oncology Nursing,12
3335,2018,Riyadh,King Khalid University Hospital in Riyadh,Otorhinolaryngology Head And Neck Surgery,12
3338,2018,Riyadh,Prince Sultan Military Medical City in Riyadh,Gastroenterology,12
3339,2016,Riyadh,Medical City of King Saud University in Riyadh,Family Medicine,12
3341,2021,Riyadh,Medical City of King Saud University in Riyadh,Psychiatry,12
3342,2021,Riyadh,Medical City of King Saud University in Riyadh,Pediatric Neurology,12
3343,2016,Riyadh,Medical City of King Saud University in Riyadh,Adult Cardiology,12
3345,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,General Surgery,12
3347,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Adult Nephrology,12
3348,2016,Makkah,King Abdullah Medical City in the Holy Capital,Adult Cardiology,12
3349,2016,Makkah,King Abdulaziz Hospital in Mecca,Internal Medicine,12
3350,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatric Endocrinology And Metabolism,12
3351,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Women Imaging,12
3355,2020,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,Neurology,12
3356,2019,Riyadh,Medical City of King Saud University in Riyadh,Ophthalmology,12
3358,2021,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Adult Cardiology,12
3361,2016,Riyadh,King Fahad Medical City in Riyadh,Pediatric Endocrinology And Metabolism,12
3362,2021,Makkah,Security Forces Hospital in Mecca,General Surgery,12
3365,2020,Khobar,King Fahd University Hospital in Khobar,Anesthesia,12
3366,2022,Riyadh,Prince Sultan Military Medical City in Riyadh,Pediatrics Intensive Care,12
3375,2019,Yanbu,The program of the Ministry of Health Yanbu,Family Medicine,12
3378,2017,Riyadh,King Fahad Medical City in Riyadh,Adult Infectious Diseases,12
3380,2021,Makkah,King Abdulaziz Hospital in Mecca,Orthopedic Surgery,12
3381,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Musculoskeletal Radiology,12
3384,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Obstetrics & Gynecology,12
