,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Work_Name_En,Number_of_Trainees
1690,2016,Riyadh,Security Forces Hospital in Riyadh,Ministry of Interior,17
1694,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,17
1695,2018,Jeddah,Maternity and Children Hospital in Jeddah,Ministry of Health,17
1697,2018,Dammam,Eastern Health Cluster,Ministry of Health,17
1699,2020,Madinah,Joint Family Medicine Program - Medina,Ministry of Health,17
1701,2020,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Unknown,17
1702,2020,Riyadh,Specialized Medical Center Hospital in Riyadh,Unknown,17
1703,2021,Riyadh,Medical City of King Saud University in Riyadh,King Saud Medical City in Riyadh,17
1708,2017,Riyadh,King Saud Medical City in Riyadh,King Saud Medical City in Riyadh,17
1709,2020,Makkah,King Abdullah Medical City in the Holy Capital,King Abdullah Medical City in Mecca,16
1710,2017,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,16
1713,2021,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,16
1714,2022,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Ministry of Health,16
1715,2016,Madinah,JointProgram for Family Medicine in Madinah,Personal Contract,16
1716,2020,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",Ministry of Health,16
1719,2019,Taif,MOH JointProgram for Family Medicine -Taif,Unknown,16
1720,2018,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,16
1724,2018,Jeddah,King Abdulaziz Hospital in Jeddah,Personal Contract,16
1728,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",16
1729,2020,Dammam,Security Forces Hospital in Dammam,Unknown,16
1730,2016,Madinah,Maternity and Children Hospital in Medina,Personal Contract,16
1732,2018,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,Ministry of Health,16
1733,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Unknown,16
1735,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of National Guard,16
1737,2017,Riyadh,JointProgram for Restorative Dentistry- Central,Ministry of Health,16
1738,2018,Madinah,JointProgram for Family Medicine in Madinah,Personal Contract,16
1743,2021,Jeddah,East Jeddah Hospital in Jeddah,Unknown,16
1744,2018,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,16
1745,2016,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,Ministry of Health,16
1746,2021,Riyadh,Joint Training Program in the Central Region,Ministry of Health,16
1747,2019,Madinah,JointProgram for Family Medicine in Madinah,Personal Contract,16
1749,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of National Guard,16
1751,2020,Taif,Pediatric Hospital in Taif,Unknown,16
1753,2021,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of National Guard,16
1757,2017,Abha,The Medical City at King Khalid University,Ministry of Health,16
1760,2016,Jeddah,East Jeddah Hospital in Jeddah,Ministry of Health,16
1761,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Armed Forces Medical Services,16
1762,2020,Makkah,Alnoor Specialist Hospital in Mecca,Personal Contract,16
1764,2020,Riyadh,Security Forces Hospital in Riyadh,Personal Contract,16
1767,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of Health,16
1769,2019,Taif,Armed Forces Hospital in Al-Hada in Taif,Prince Sultan Military Medical City,16
1770,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Personal Contract,16
1774,2020,Manama,King Hamad University Hospital in Kingdom of Bahrain,Ministry of Health,16
1775,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",16
1776,2021,Taif,Pediatric Hospital in Taif,Unknown,16
1777,2018,Abha,General Directorate of Health Affairs in Aseer Region,Personal Contract,16
1779,2020,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Health,16
1780,2017,Madinah,JointProgram for Family Medicine in Madinah,Personal Contract,16
1782,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Qassim University,16
1784,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,15
1789,2019,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,Unknown,15
1790,2018,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,15
1791,2021,Unaizah,King Saud Hospital in Unaizah,Ministry of Health,15
1792,2017,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Ministry of National Guard,15
1795,2021,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense / Personal Contract,15
1797,2021,Makkah,King Abdullah Medical City in the Holy Capital,King Abdullah Medical City in Mecca,15
1799,2016,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,15
1801,2017,Buraidah,Prince Sultan Cardiac Center in Buraidah,Ministry of Health,15
1804,2021,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Unknown,15
1807,2019,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,Ministry of National Guard,15
1808,2020,Madinah,King Fahd Hospital in Medina,Personal Contract,15
1810,2018,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,15
1811,2021,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,15
1813,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Personal Contract,15
1814,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",15
1815,2021,Makkah,Alnoor Specialist Hospital in Mecca,"Al Noor Specialist Hospital, Mecca",15
1816,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,King Hamad University Hospita,15
1821,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Ministry of Health,15
1822,2019,Jeddah,King Abdulaziz Hospital in Jeddah,Personal Contract,15
1823,2018,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,15
1824,2018,Riyadh,Joint Training Program in the Central Region,Ministry of Health,15
1825,2021,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Health,15
1826,2020,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,15
1829,2022,Jeddah,King Fahd General Hospital in Jeddah,Ministry of Health,15
1832,2020,Unaizah,King Saud Hospital in Unaizah,Ministry of Health,15
1833,2021,Dammam,Maternity and Children Hospital in Dammam,Ministry of Health,15
1834,2021,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",Ministry of Health,15
1839,2021,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Unknown,15
1840,2021,Riyadh,Riyadh First Health Cluster,Ministry of Health,15
1842,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,15
1843,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,مركز الأمير سلطان لمعالجة أمراض وجراحة القلب للقوات المسلحة,15
1845,2021,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Health,15
1848,2019,Bisha,Directorate of Health Affairs in Bisha Governorate,Ministry of Health,15
1849,2020,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,Ministry of Health,15
1850,2016,Buraidah,The program of the Ministry of Health in Al-Qassim,Ministry of Health,15
1852,2020,Taif,Armed Forces Hospital in Al-Hada in Taif,Unknown,15
1855,2017,Madinah,Maternity and Children Hospital in Medina,Personal Contract,15
1857,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,15
1860,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Health,15
1862,2020,Jeddah,King Fahd General Hospital in Jeddah,Personal Contract,15
1873,2021,Makkah,General Directorate of Health Affairs in Mecca,Unknown,14
1875,2016,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Personal Contract,14
1876,2021,Jeddah,Dental Clinics and Medical Science Services at Batterjee Medical College in Jeddah,Ministry of Health,14
1877,2021,Riyadh,Dental Healthcare Center in West Riyadh,Ministry of Health,14
1878,2016,Dammam,Forensic Medicine Center in Dammam,Ministry of Health,14
1879,2019,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,14
1880,2019,Jubail,Royal Commission Medical Center in Jubail,Unknown,14
1881,2021,Jeddah,Specialized Dental Center in North Jeddah,Ministry of Health,14
1882,2021,Jeddah,King Fahd General Hospital in Jeddah,Unknown,14
1884,2019,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Unknown,14
1887,2016,Jeddah,JointProgram for Family Medicine in Jeddah,Personal Contract,14
1890,2021,Jeddah,King Abdulaziz University Hospital in Jeddah,Personal Contract,14
1892,2019,Yanbu,Royal Commission Medical Center in Yanbu,Ministry of Health,14
1894,2016,Jeddah,International Medical Center in Jeddah,Personal Contract,14
1895,2019,Manama,King Hamad University Hospital in Kingdom of Bahrain,Ministry of Health,14
1900,2019,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,14
1902,2016,Riyadh,King Saud Medical City in Riyadh,King Saud Medical City in Riyadh,14
1905,2019,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,14
1906,2017,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Armed Forces Medical Services,14
1910,2018,Jeddah,JointProgram for Family Medicine in Jeddah,Personal Contract,14
1911,2020,Riyadh,Joint Training Program in the Central Region,Ministry of Health,14
1913,2016,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",14
1915,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Prince Sultan Military Medical City,14
1917,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Unknown,14
1919,2018,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,Unknown,14
1920,2019,Albahah,General Directorate of Health Affairs in Al-Baha Region,Unknown,14
1921,2021,Riyadh,King Khalid University Hospital in Riyadh,Unknown,14
1922,2021,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,Unknown,14
1924,2018,Dammam,Eastern Health Cluster,Unknown,14
1927,2018,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Ministry of Health,14
1929,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Personal Contract,14
1930,2017,Dammam,Security Forces Hospital in Dammam,Ministry of Health,14
1932,2020,Khobar,King Fahd University Hospital in Khobar,Personal Contract,14
1935,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Health,14
1936,2020,Jeddah,King Abdulaziz University Hospital in Jeddah,Personal Contract,14
1938,2021,Riyadh,King Khalid University Hospital in Riyadh,Personal Contract,14
1940,2018,Yanbu,Royal Commission Medical Center in Yanbu,Ministry of Health,14
1941,2017,Jeddah,JointProgram for Family Medicine in Jeddah,Personal Contract,14
1942,2016,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Health,14
1943,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Personal Contract,14
1944,2018,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Khaled Eye Specialist Hospital,14
1948,2017,Jeddah,International Medical Center in Jeddah,Personal Contract,14
1950,2017,Hail,Family Medicine Postgraduate Program in Hail,Ministry of Health,14
1951,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Health,14
1952,2017,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,14
1956,2020,Riyadh,King Khalid University Hospital in Riyadh,Unknown,13
1958,2020,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Unknown,13
1960,2020,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,13
1961,2019,Unaizah,King Saud Hospital in Unaizah,Ministry of Health,13
1964,2020,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Unknown,13
1969,2022,Jeddah,King Abdulaziz Medical City for National Guard in Jeddah,"King Abdulaziz Medical City for National Guard, Jeddah",13
1970,2017,Riyadh,"Joint training program in the central region, Riyadh",Ministry of Health,13
1971,2018,Riyadh,JointProgram for Restorative Dentistry- Central,Ministry of Health,13
1972,2021,Manama,Salmaniya Medical Complex in Manama,Ministry of Health,13
1973,2017,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,13
1974,2021,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Personal Contract,13
1975,2020,Hail,King Khalid Hospital in Hail,Unknown,13
1976,2019,Madinah,JointProgram for Preventive Medicine in Madinah,Ministry of Health,13
1979,2022,Makkah,Alnoor Specialist Hospital in Mecca,Ministry of Health,13
1980,2021,Riyadh,Dallah Hospital in Riyadh,Unknown,13
1981,2016,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Khaled Eye Specialist Hospital,13
1982,2017,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,13
1984,2016,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Ministry of Health,13
1985,2019,Dammam,Security Forces Hospital in Dammam,Unknown,13
1986,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,King Khaled Eye Specialist Hospital,13
1989,2017,Riyadh,King Khalid Eye Specialist Hospital in Riyadh,Ministry of Health,13
1993,2020,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of Health,13
1996,2020,Jeddah,East Jeddah Hospital in Jeddah,Unknown,13
1999,2022,Madinah,King Fahd Hospital in Medina,Ministry of Health,13
2000,2017,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Ministry of Health,13
2001,2017,Taif,Pediatric Hospital in Taif,Ministry of Health,13
2002,2020,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,13
2003,2021,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,13
2006,2020,Makkah,Maternity and Children Hospital in Mecca,Unknown,13
2007,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Armed Forces Medical Services,13
2009,2021,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,Unknown,13
2010,2018,Bisha,Directorate of Health Affairs in Bisha Governorate,Ministry of Health,13
2011,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,13
2012,2016,Riyadh,Joint Training Program in the Central Region,Ministry of Health,13
2015,2020,Yanbu,Royal Commission Medical Center in Yanbu,Unknown,13
2017,2019,Riyadh,AlYamamah Hospital in Riyadh,Unknown,13
2018,2017,Jeddah,King Abdullah Medical Complex in Jeddah,Ministry of Health,13
2019,2022,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Ministry of Health,13
2024,2020,Buraidah,Buraidah Central Hospital in Buraidah,Ministry of Health,13
2026,2017,Madinah,Joint Family Medicine Program - Medina,Ministry of Health,13
2027,2021,Al-Ahsa,Alahsa Health Cluster,Ministry of Health,13
2030,2018,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Armed Forces Medical Services,13
2031,2017,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,13
2033,2021,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,13
2035,2020,Jeddah,King Fahd General Hospital in Jeddah,Unknown,13
2037,2019,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,13
2038,2016,Makkah,King Abdullah Medical City in the Holy Capital,Personal Contract,13
2040,2018,Makkah,King Abdullah Medical City in the Holy Capital,Personal Contract,13
2041,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Prince Sultan Military Medical City,13
2042,2021,Riyadh,King Fahad Medical City in Riyadh,King Saud Medical City in Riyadh,13
2043,2020,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Health,13
2044,2021,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,King Abdulaziz University,13
2045,2021,Taif,Directorate of Health Affairs in Taif Governorate,Ministry of Health,13
2046,2018,Jubail,Royal Commission Medical Center in Jubail,Ministry of Health,13
2047,2018,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,13
2051,2017,Riyadh,King Saud Medical City in Riyadh,Unknown,13
2054,2019,Jeddah,JointProgram for Family Medicine in Jeddah,Personal Contract,13
2058,2018,Hofuf,King Fahad Hospital in Hofuf,Unknown,13
2059,2021,Yanbu,Royal Commission Medical Center in Yanbu,Unknown,13
2060,2017,Makkah,King Abdullah Medical City in the Holy Capital,Personal Contract,13
2064,2018,Jazan,General Directorate of Health Affairs in Jazan Region,Unknown,13
2065,2018,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Ministry of National Guard,13
2067,2018,Buraidah,Prince Sultan Cardiac Center in Buraidah,Ministry of Health,13
2069,2020,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,13
2071,2017,Jeddah,International Medical Center in Jeddah,Private Sector,12
2072,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,Unknown,12
2075,2016,Hail,King Khalid Hospital in Hail,Ministry of Health,12
2078,2019,Riyadh,JointProgram for Endodontic in Central region,Ministry of Health,12
2079,2017,Jeddah,International Medical Center in Jeddah,Ministry of Health,12
2081,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Dr. Soliman Fakeeh Hospital,12
2084,2020,Abha,The Medical City at King Khalid University,Ministry of Health,12
2085,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense,12
2087,2017,Riyadh,JointProgram for Endodontic in Central region,Ministry of Health,12
2089,2017,Jeddah,Joint Program for Family and Community Medicine - Jeddah,Ministry of Health,12
2090,2017,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of National Guard,12
2091,2020,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Personal Contract,12
2093,2020,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,12
2094,2021,Unaizah,King Saud Hospital in Unaizah,Unknown,12
2095,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,Unknown,12
2097,2022,Dammam,King Fahd Specialist Hospital in Dammam,Ministry of Health,12
2099,2021,Bisha,Directorate of Health Affairs in Bisha Governorate,Unknown,12
2100,2017,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,12
2102,2019,Yanbu,Royal Commission Medical Center in Yanbu,Unknown,12
2103,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",12
2107,2021,Madinah,Forensic Medicine Center in Medina,Ministry of Health,12
2108,2018,Riyadh,Security Forces Hospital in Riyadh,Unknown,12
2111,2019,Riyadh,Joint Training Program in the Central Region,Ministry of Health,12
2112,2021,Madinah,Uhud General Hospital in Medina,Unknown,12
2114,2020,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,Unknown,12
2117,2021,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of National Guard,12
2120,2018,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Unknown,12
2121,2021,Jeddah,Jeddah Medical Specialized Hospital,Ministry of Health,12
2122,2021,Jeddah,Forensic Medicine center in Jeddah,Ministry of Health,12
2124,2016,Jeddah,King Abdulaziz University Hospital in Jeddah,Ministry of Defense Medical Services,12
2129,2016,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,12
2131,2019,Riyadh,King Khalid University Hospital in Riyadh,Personal Contract,12
2140,2019,Madinah,"Joint training program in the Western Region, Madinah",Ministry of Health,12
2143,2018,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,Ministry of Health,12
2144,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Dr. Soliman Fakeeh Hospital,12
2145,2019,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,Ministry of Defense Medical Services,12
2147,2018,Riyadh,JointProgram for Endodontic in Central region,Ministry of Health,12
2150,2018,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,12
2152,2021,Dubai,Al Jalila Pediatric Hospital in Dubai,Unknown,12
2153,2020,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,Unknown,12
2157,2016,Riyadh,JointProgram for Restorative Dentistry- Central,Ministry of Health,12
2159,2021,Riyadh,"Joint training program in the central region, Riyadh",Ministry of Health,12
2160,2016,Riyadh,Dallah Hospital in Riyadh,Dallah Hospitals,12
2161,2020,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,12
2162,2019,Riyadh,Specialized Medical Center Hospital in Riyadh,Unknown,12
2164,2021,Abha,General Directorate of Health Affairs in Aseer Region,King Khalid University,12
2165,2016,Jeddah,International Medical Center in Jeddah,Private Sector,12
2167,2020,Riyadh,Medical City of King Saud University in Riyadh,King Saud Medical City in Riyadh,12
2168,2016,Makkah,Joint Family and Community Medicine Program,Ministry of Health,12
2169,2017,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,"Prince Mohammad Bin Abdulaziz Hospital, Riyadh",12
2170,2018,Madinah,Maternity and Children Hospital in Medina,Personal Contract,12
2172,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,Ministry of Health,12
2174,2019,Dammam,Maternity and Children Hospital in Dammam,Unknown,12
2176,2018,Madinah,JointProgram for Preventive Medicine in Madinah,Ministry of Health,12
2177,2021,Jouf,The program of the Ministry of Health in Al-Jouf,Ministry of Health,12
2178,2019,Jeddah,King Fahd Hospital of Armed Forces in Jeddah,Ministry of Defense,12
2180,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Health,12
2181,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Unknown,12
2185,2019,Madinah,Medina Cardiac Center,Ministry of Health,12
2186,2019,Dammam,King Fahd Specialist Hospital in Dammam,Personal Contract,12
2188,2016,Riyadh,Medical City of King Saud University in Riyadh,Ministry of Health,12
2189,2019,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of Health,12
2190,2020,Jouf,Muktt 5 primary health care center in Aljowf,Ministry of Health,11
2191,2018,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Private Sector,11
2192,2020,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense / Personal Contract,11
2193,2018,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,Ministry of Health,11
2194,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,Ministry of Health,11
2195,2021,Taif,Specislized Dental Center in Taif,Ministry of Health,11
2198,2021,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,Ministry of Defense,11
2199,2018,Makkah,King Abdullah Medical City in the Holy Capital,Unknown,11
2202,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,Personal Contract,11
2205,2021,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,Ministry of Health,11
2207,2019,Riyadh,University Dental Hospital at King Saud University in Riyadh,Ministry of Health,11
2208,2021,Taif,King Abdulaziz Specialist Hospital in Taif,"king AbdulAziz Specialist Hospital, Taif",11
2209,2022,Riyadh,King Khalid University Hospital in Riyadh,Personal Contract,11
2211,2018,Madinah,Medina Cardiac Center,Ministry of Health,11
2212,2020,Jeddah,Specialized Dental Center in North Jeddah,Ministry of Health,11
2213,2018,Jeddah,International Medical Center in Jeddah,Private Sector,11
2220,2017,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense / Personal Contract,11
2221,2018,Riyadh,King Fahad Medical City in Riyadh,Ministry of Defense / Personal Contract,11
2225,2022,Jouf,The program of the Ministry of Health in Al-Jouf,Ministry of Health,11
2226,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Ministry of Defense Medical Services,11
2228,2019,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Kuwait Ministry of Health,11
2231,2021,Khobar,King Fahd University Hospital in Khobar,Personal Contract,11
2233,2017,Riyadh,Prince Sultan Military Medical City in Riyadh,Armed Forces Medical Services,11
2236,2021,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,Ministry of Health,11
2243,2022,Buraidah,Qassim health Cluster,Personal Contract,11
2249,2020,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,Ministry of Health,11
2251,2017,Manama,Salmaniya Medical Complex in Manama,Unknown,11
2259,2020,Riyadh,Prince Sultan Military Medical City in Riyadh,King Saud Medical City in Riyadh,11
2261,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense Medical Services,11
2262,2021,Dhahran,King Fahd Military Medical Complex in Dhahran,Ministry of Defense / Personal Contract,11
2264,2022,Abha,General Directorate of Health Affairs in Aseer Region,Personal Contract,11
2266,2018,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,Unknown,11
2267,2018,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,Unknown,11
2270,2019,Jeddah,King Faisal Specialist Hospital and Research Center in Jeddah,Unknown,11
2271,2021,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,Unknown,11
2275,2021,Makkah,Maternity and Children Hospital in Mecca,Unknown,11
2276,2017,Buraidah,Qassim health Cluster,Personal Contract,11
2277,2016,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,11
2279,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,Personal Contract,11
2281,2016,Riyadh,Prince Sultan Military Medical City in Riyadh,Unknown,11
2283,2016,Madinah,Forensic Medicine Center in Medina,Ministry of Health,11
2286,2021,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Health,11
2291,2019,Al-Ahsa,Almousa Specialist Hospital in Alahsa,Unknown,11
2292,2020,Taif,King Abdulaziz Specialist Hospital in Taif,Ministry of Defense Medical Services,11
2294,2021,Riyadh,King Faisal Specialist Hospital and Research Center in Riyadh,Prince Mohammed Bin Abdulaziz Hospital,11
2296,2021,Riyadh,Security Forces Hospital in Riyadh,Personal Contract,11
2297,2020,Tabuk,"Joint training program in the Western Region, Tabuk",Ministry of Health,11
2298,2016,Riyadh,JointProgram for Endodontic in Central region,Ministry of Health,11
2299,2021,Tabuk,General Directorate of Health Affairs in Tabuk Region,Ministry of Health,11
2300,2019,Jeddah,Eradah Complex - Psychological Services in Jeddah,Ministry of Health,11
2304,2021,Riyadh,Specialized Medical Center Hospital in Riyadh,Ministry of Health,11
2305,2016,Riyadh,King Abdulaziz Medical City for National Guard in Riyadh,Qassim University,11
2307,2019,Abha,General Directorate of Health Affairs in Aseer Region,Personal Contract,11
2308,2021,Abha,General Directorate of Health Affairs in Aseer Region,Ministry of Defense / Personal Contract,11
2309,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Private Sector,11
2312,2016,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,Private Sector,11
2313,2017,Dammam,King Fahd Specialist Hospital in Dammam,Unknown,11
2315,2017,Dammam,Eradah Mental Health Hospital in Dammam,Ministry of Health,11
