,Academic_Year,City_Name_En,Current_Training_Center_Name_En,Number_of_Trainees
453,2018,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,22
455,2016,Taif,Armed Forces Hospital in Al-Hada in Taif,22
456,2017,Jeddah,King Abdulaziz Hospital in Jeddah,22
457,2022,Madinah,King Fahd Hospital in Medina,22
460,2017,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,21
461,2019,Hail,King Khalid Hospital in Hail,21
462,2016,Makkah,Alnoor Specialist Hospital in Mecca,21
463,2019,Riyadh,Joint Training Program in the Central Region,21
464,2020,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,21
465,2018,Makkah,King Faisal Hospital in Mecca,20
466,2020,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",20
468,2022,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,20
469,2018,Riyadh,AlYamamah Hospital in Riyadh,20
470,2017,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,20
471,2018,Arar,The program of the Ministry of Health in Arar,20
472,2017,Jeddah,International Medical Center in Jeddah,20
473,2019,Taif,MOH JointProgram for Family Medicine -Taif,20
474,2017,Makkah,Maternity and Children Hospital in Mecca,20
475,2019,Riyadh,Al-Iman Hospital in Riyadh,20
476,2021,Madinah,Medina Cardiac Center,20
477,2020,Riyadh,Dallah Hospital in Riyadh,19
478,2019,Hail,Family Medicine Postgraduate Program in Hail,19
479,2018,Manama,King Hamad University Hospital in Kingdom of Bahrain,19
480,2017,Jeddah,East Jeddah Hospital in Jeddah,19
481,2022,Makkah,Alnoor Specialist Hospital in Mecca,19
482,2019,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,19
483,2021,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",19
484,2020,Unaizah,King Saud Hospital in Unaizah,19
485,2018,Buraidah,Maternity and Pediatric Hospital in Buraidah,19
486,2021,Abha,The Medical City at King Khalid University,19
487,2021,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,19
489,2018,Madinah,Uhud General Hospital in Medina,18
491,2017,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,18
492,2019,Yanbu,Royal Commission Medical Center in Yanbu,18
493,2019,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,18
494,2017,Taif,King Abdulaziz Specialist Hospital in Taif,18
495,2019,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,18
496,2021,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,18
498,2019,Riyadh,Specialized Medical Center Hospital in Riyadh,18
499,2022,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,18
500,2021,Jeddah,Specialized Dental Center in North Jeddah,18
501,2021,Dammam,Saud AlBabtain Cardiac Center in Dammam,18
502,2017,Albahah,General Directorate of Health Affairs in Al-Baha Region,18
503,2022,Riyadh,King Khalid University Hospital in Riyadh,17
504,2020,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,17
506,2021,Taif,"Joint training program in the Western Region, Taif",17
507,2018,Taif,"Joint training program in the Western Region, Taif",17
508,2019,Taif,"Joint training program in the Western Region, Taif",17
509,2019,Bisha,Directorate of Health Affairs in Bisha Governorate,17
510,2021,Jouf,Muktt 5 primary health care center in Aljowf,17
511,2021,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,17
514,2018,Al-Ahsa,Almousa Specialist Hospital in Alahsa,17
515,2020,Abha,The Medical City at King Khalid University,17
516,2020,Taif,"Joint training program in the Western Region, Taif",17
517,2017,Jeddah,King Abdullah Medical Complex in Jeddah,17
518,2021,Jeddah,Forensic Medicine center in Jeddah,17
519,2018,Makkah,Hera General Hospital in Mecca,16
520,2017,Najran,General Directorate of Health Affairs in Najran Region,16
521,2022,Jeddah,King Fahd General Hospital in Jeddah,16
523,2021,Dhahran,Eye Specialist Hospital in Dhahran,16
525,2018,Jubail,Royal Commission Medical Center in Jubail,16
526,2019,Madinah,"Joint training program in the Western Region, Madinah",16
528,2020,Buraidah,Buraidah Central Hospital in Buraidah,16
530,2020,Yanbu,Family Medicine Combined Training Program - Yanbu,16
531,2022,Taif,Armed Forces Hospital in Al-Hada in Taif,16
532,2021,Tabuk,King Khalid Civil Hospital in Tabuk,16
533,2019,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,16
534,2020,Madinah,Medina Cardiac Center,16
535,2017,Makkah,King Abdulaziz Hospital in Mecca,16
536,2021,Yanbu,Family Medicine Combined Training Program - Yanbu,16
537,2022,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,15
539,2018,Riyadh,"Joint training program in the central region, Riyadh",15
540,2021,Tabuk,King Fahd Specialist Hospital in Tabuk,15
541,2021,Tabuk,General Directorate of Health Affairs in Tabuk Region,15
542,2017,Makkah,Security Forces Hospital in Mecca,15
543,2021,Jeddah,Dental Clinics and Medical Science Services at Batterjee Medical College in Jeddah,15
544,2022,Jazan,General Directorate of Health Affairs in Jazan Region,15
545,2020,Jeddah,Specialized Dental Center in North Jeddah,15
546,2021,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,15
548,2016,Khamis Mushait,King Fahd Hospital of the Armed Forces in the south,15
550,2017,Dammam,Security Forces Hospital in Dammam,14
551,2021,Jeddah,Directorate of Health Affairs in Jeddah Governorate,14
552,2020,Jeddah,Forensic Medicine center in Jeddah,14
553,2021,Jeddah,Eradah Complex - Psychological Services in Jeddah,14
556,2018,Hail,Family Medicine Postgraduate Program in Hail,14
557,2016,Jazan,General Directorate of Health Affairs in Jazan Region,14
558,2020,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,14
559,2021,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,14
560,2018,Dammam,Maternity and Children Hospital in Dammam,14
562,2018,Taif,Pediatric Hospital in Taif,13
564,2017,Al-Ahsa,Maternity and Children Hospital in Mubarraz,13
565,2020,Buraidah,Prince Sultan Cardiac Center in Buraidah,13
566,2019,Riyadh,Dallah Hospital in Riyadh,13
568,2020,Jouf,Muktt 5 primary health care center in Aljowf,13
569,2021,Jeddah,Saudi German Hospital in Jeddah,13
570,2018,Riyadh,Al-Iman Hospital in Riyadh,13
571,2019,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,13
572,2020,Dubai,Al Jalila Pediatric Hospital in Dubai,13
574,2020,Dhahran,Eye Specialist Hospital in Dhahran,13
575,2018,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,13
576,2022,Buraidah,Prince Sultan Cardiac Center in Buraidah,13
577,2018,Hail,King Khalid Hospital in Hail,13
580,2018,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,12
581,2020,Tabuk,King Khalid Civil Hospital in Tabuk,12
582,2019,Unaizah,King Saud Hospital in Unaizah,12
584,2021,Riyadh,Riyadh Care Hospital,12
586,2021,Jeddah,Jeddah Medical Specialized Hospital,12
587,2016,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,12
588,2018,Riyadh,Specialized Medical Center Hospital in Riyadh,12
589,2021,Buraidah,Regional Dental Center in Buraidah,12
590,2019,Jeddah,Forensic Medicine center in Jeddah,12
591,2021,Taif,Eradah Mental Health Complex in Taif,12
592,2016,Makkah,Maternity and Children Hospital in Mecca,12
593,2022,Buraidah,King Fahd Specialist Hospital in Buraidah,12
594,2021,Madinah,University clinics at Taibah University in Medina,12
595,2020,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,12
596,2020,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,12
598,2017,Jeddah,Dr. Soliman Fakeeh Hospital in Jeddah,11
599,2021,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,11
600,2018,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,11
601,2021,Madinah,Forensic Medicine Center in Medina,11
602,2017,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,11
603,2018,Yanbu,Royal Commission Medical Center in Yanbu,11
604,2017,Jeddah,The program of the Ministry of Health in Jeddah,11
605,2019,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,11
606,2021,Jeddah,JointProgram for Family Medicine in Jeddah,11
607,2018,Riyadh,University Hospitals of Riyadh Alam University in Riyadh,11
608,2017,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,11
609,2018,Buraidah,Qassim health Cluster,11
611,2022,Buraidah,Qassim health Cluster,11
612,2019,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,11
613,2017,Buraidah,Qassim health Cluster,11
617,2016,Dammam,Dammam Medical Complex,11
618,2020,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,11
619,2022,Jouf,The program of the Ministry of Health in Al-Jouf,11
621,2020,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,10
623,2017,Buraidah,King Fahd Specialist Hospital in Buraidah,10
624,2019,Dubai,Al Jalila Pediatric Hospital in Dubai,10
625,2020,Dammam,Saud AlBabtain Cardiac Center in Dammam,10
626,2021,Tabuk,Family Medicine Postgraduate Program in Tabuk,10
627,2020,Tabuk,Family Medicine Postgraduate Program in Tabuk,10
629,2022,Najran,General Directorate of Health Affairs in Najran Region,10
630,2017,Dammam,Maternity and Children Hospital in Dammam,10
631,2018,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,10
632,2022,Dubai,Rashed Hospital in Dubai,10
633,2020,Jeddah,Jeddah Medical Specialized Hospital,10
634,2017,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,10
635,2020,Jeddah,JointProgram for Family Medicine in Jeddah,9
636,2020,Jeddah,Saudi German Hospital in Jeddah,9
637,2021,Dammam,Forensic Medicine Center in Dammam,9
638,2016,Dhahran,King Fahd Military Medical Complex in Dhahran,9
639,2020,Jeddah,Vision College of Dentistry and Nursing Clinics in Jeddah,9
641,2021,Riyadh,Regional laboratory and blood bank in Riyadh,9
642,2020,Jeddah,Eradah Complex - Psychological Services in Jeddah,9
643,2016,Jeddah,King Abdulaziz Hospital in Jeddah,9
644,2017,Riyadh,Al-Iman Hospital in Riyadh,9
645,2019,Jouf,Muktt 5 primary health care center in Aljowf,9
647,2018,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,9
648,2016,Riyadh,King Salman bin Abdulaziz Hospital in Riyadh,9
649,2019,Abha,The Medical City at King Khalid University,9
651,2019,Buraidah,Qassim health Cluster,9
652,2018,Jeddah,Forensic Medicine center in Jeddah,9
653,2016,Madinah,Maternity and Children Hospital in Medina,9
655,2022,Makkah,Maternity and Children Hospital in Mecca,9
656,2017,Dubai,Rashed Hospital in Dubai,9
657,2020,Madinah,Forensic Medicine Center in Medina,9
658,2020,Taif,Eradah Mental Health Complex in Taif,9
659,2019,Dhahran,Eye Specialist Hospital in Dhahran,9
661,2019,Al-Ahsa,"Joint training program in the eastern region, Al-Ahsa",9
662,2019,Yanbu,Family Medicine Combined Training Program - Yanbu,9
663,2017,Madinah,Prince Muhammad bin Abdulaziz Hospital for the National Guard in Medina,9
664,2022,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,9
666,2018,Riyadh,Dallah Hospital in Riyadh,8
667,2022,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,8
668,2019,Riyadh,Dental clinics at the Dentistry Coolage at Dar Al Uloom University in Riyadh,8
669,2019,Buraidah,Buraidah Central Hospital in Buraidah,8
670,2022,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,8
671,2019,Riyadh,Prince Sultan Center for Cardiac Diseases and Surgery in Riyadh,8
672,2018,Bisha,Directorate of Health Affairs in Bisha Governorate,8
673,2016,Buraidah,Qassim health Cluster,8
674,2016,Buraidah,Prince Sultan Cardiac Center in Buraidah,8
675,2016,Buraidah,King Fahd Specialist Hospital in Buraidah,8
676,2019,Tabuk,King Khalid Civil Hospital in Tabuk,8
677,2021,Madinah,Eradah Mental Health Complex in Medina,8
678,2018,Dammam,Saud AlBabtain Cardiac Center in Dammam,8
679,2018,Madinah,Medina Cardiac Center,8
681,2022,Alkharj  ,The program of the Ministry of Health in Al-Kharj,8
682,2018,Jeddah,College of Dentistry and University Dental Hospital in King Abdulaziz University in Jeddah,8
683,2021,Yanbu,Yanbu General Hospital,8
684,2021,Riyadh,Dental Healthcare Center in West Riyadh,8
685,2021,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,8
688,2019,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,8
689,2022,Madinah,Maternity and Children Hospital in Medina,8
690,2022,Riyadh,Dental Healthcare Center in West Riyadh,8
691,2017,Riyadh,Dallah Hospital in Riyadh,8
693,2017,Manama,Salmaniya Medical Complex in Manama,8
694,2017,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,8
695,2020,Riyadh,Riyadh Care Hospital,8
698,2019,Dammam,Saud AlBabtain Cardiac Center in Dammam,8
700,2016,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,8
701,2021,Hail,Health Cluster in Hail Region,8
702,2017,Makkah,Hera General Hospital in Mecca,8
703,2019,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,8
704,2017,Madinah,Uhud General Hospital in Medina,8
705,2017,Hail,King Khalid Hospital in Hail,8
706,2022,Riyadh,Al-Iman Hospital in Riyadh,8
707,2019,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,8
708,2017,Buraidah,Prince Sultan Cardiac Center in Buraidah,7
709,2019,Jeddah,Saudi German Hospital in Jeddah,7
711,2018,Dubai,Al Jalila Pediatric Hospital in Dubai,7
713,2019,Riyadh,Riyadh Care Hospital,7
714,2020,Dammam,Forensic Medicine Center in Dammam,7
715,2019,Madinah,Medina Cardiac Center,7
716,2021,Buraidah,Eradah Mental Health Hospital in Buraidah,7
717,2022,Madinah,Medina Cardiac Center,7
718,2017,Madinah,Medina Cardiac Center,7
719,2019,Jeddah,JointProgram for Family Medicine in Jeddah,7
720,2019,Jeddah,Eradah Complex - Psychological Services in Jeddah,7
721,2019,Taif,Eradah Mental Health Complex in Taif,7
722,2017,Makkah,King Faisal Hospital in Mecca,7
723,2017,Dammam,Saud AlBabtain Cardiac Center in Dammam,7
724,2016,Tabuk,King Salman Hospital for North West Armed Forces in Tabuk,7
725,2021,Taif,Specislized Dental Center in Taif,7
726,2019,Makkah,JointProgram for Family Medicine in Makkah,7
727,2020,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,7
729,2020,Makkah,JointProgram for Family Medicine in Makkah,7
731,2016,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,7
732,2021,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,7
734,2021,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,7
735,2019,Jeddah,Specialized Dental Center in North Jeddah,7
736,2021,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,7
737,2020,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,7
738,2021,Makkah,JointProgram for Family Medicine in Makkah,7
739,2021,Jeddah,Ophthalmology Hospital in Jeddah,7
741,2022,Dhahran,King Fahd Military Medical Complex in Dhahran,7
742,2021,Riyadh,Dental University Hospital at Princess Nourah Bint Abdulrahman in Riyadh,7
744,2019,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,7
745,2018,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,7
746,2020,Yanbu,The program of the Ministry of Health Yanbu,6
747,2022,Tabuk,The program of the Ministry of Health in Tabuk,6
748,2020,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,6
749,2022,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,6
750,2020,Buraidah,Qassim health Cluster,6
751,2021,Madinah,Prince Sultan Armed Forces Hospital in Medina,6
752,2018,Madinah,"Joint training program in the Western Region, Madinah",6
753,2021,Madinah,Specialized Dental Center at King Fahd Hospital in Medina,6
754,2022,Riyadh,Prince Mohammed bin Abdulaziz Hospital in Riyadh,6
755,2020,Tabuk,King Fahd Specialist Hospital in Tabuk,6
756,2020,Dammam,"Joint training program in the eastern region, Dammam",6
757,2019,Madinah,Forensic Medicine Center in Medina,6
758,2020,Madinah,Eradah Mental Health Complex in Medina,6
759,2020,Riyadh,JointProgram for Preventive medicine-Riyadh,6
760,2021,Riyadh,JointProgram for Preventive medicine-Riyadh,6
761,2018,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,6
762,2021,Dammam,"Joint training program in the eastern region, Dammam",6
763,2021,Riyadh,JointProgram for Forensic Medicine-Riyadh,6
764,2021,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,6
765,2021,Unknown - Saudi Arabia,The joint program in the Central and Western region,6
766,2021,Dammam,Eradah Mental Health Hospital in Dammam,6
767,2018,Makkah,JointProgram for Family Medicine in Makkah,6
768,2020,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,6
769,2021,Riyadh,Eradah Mental Health Complex in Riyadh,6
770,2019,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,6
771,2021,Yanbu,The program of the Ministry of Health Yanbu,6
772,2018,Unaizah,King Saud Hospital in Unaizah,6
773,2022,Unknown - Saudi Arabia,The joint program in the Central and Western region,6
775,2017,Unknown - Saudi Arabia,The joint program in the Central and Western region,6
777,2016,Dammam,Saud AlBabtain Cardiac Center in Dammam,6
778,2018,Buraidah,Prince Sultan Cardiac Center in Buraidah,6
779,2018,Alquriyat,The program of the Ministry of Health in Al-Qurayyat,6
780,2016,Taif,King Faisal Medical Complex in Taif,6
783,2017,Buraidah,Maternity and Pediatric Hospital in Buraidah,6
784,2017,Yanbu,Royal Commission Medical Center in Yanbu,6
785,2017,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,6
786,2017,Manama,King Hamad University Hospital in Kingdom of Bahrain,6
789,2016,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,6
790,2016,Jeddah,King Abdullah Medical Complex in Jeddah,6
792,2016,Unknown - Saudi Arabia,The joint program in the Central and Western region,6
796,2017,Riyadh,AlYamamah Hospital in Riyadh,6
797,2017,Dhahran,King Abdulaziz Air Base Hospital in Dhahran,6
798,2018,Dhahran,Eye Specialist Hospital in Dhahran,6
799,2016,Jeddah,East Jeddah Hospital in Jeddah,6
800,2016,Najran,General Directorate of Health Affairs in Najran Region,6
801,2016,Dubai,Rashed Hospital in Dubai,6
803,2016,Dhahran,Johns Hopkins Aramco Healthcare Center in Dhahran,6
804,2016,Makkah,Hera General Hospital in Mecca,6
806,2017,Al-Ahsa,Almousa Specialist Hospital in Alahsa,6
807,2016,Al-Ahsa,King Abdulaziz Medical City of National Guard in Alahsa,5
809,2018,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,5
812,2016,Albahah,General Directorate of Health Affairs in Al-Baha Region,5
814,2018,Unknown - Saudi Arabia,The joint program in the Central and Western region,5
818,2018,Riyadh,Riyadh Care Hospital,5
822,2017,Manama,Bahrain Defense Force Hospital in the Kingdom of Bahrain,5
823,2018,Riyadh,University Dental Hospital at King Saud University in Riyadh,5
828,2019,Dammam,"Joint training program in the eastern region, Dammam",5
829,2019,Hafr Albatin,Armed Forces Hospital in the North in Hafar Albatin,5
830,2019,Dammam,Forensic Medicine Center in Dammam,5
831,2019,Yanbu,The program of the Ministry of Health Yanbu,5
832,2018,Yanbu,The program of the Ministry of Health Yanbu,5
833,2017,Dammam,Imam Abdulrahman Al Faisal Hospital in Dammam,5
834,2021,Riyadh,King Abdulaziz University Hospital in Riyadh,5
836,2021,Alkharj  ,The program of the Ministry of Health in Al-Kharj,5
837,2020,Riyadh,JointProgram for Forensic Medicine-Riyadh,5
838,2016,Alqatif  ,AlQatif Central Hospital,5
839,2019,Riyadh,JointProgram for Preventive medicine-Riyadh,5
840,2018,Alkharj  ,The General Organization for Military Industries Hospital in Alkharj,5
841,2018,Buraidah,Buraidah Central Hospital in Buraidah,5
842,2016,Taif,King Abdulaziz Specialist Hospital in Taif,5
844,2022,Jeddah,Directorate of Health Affairs in Jeddah Governorate,5
845,2020,Jeddah,Ophthalmology Hospital in Jeddah,5
848,2018,Madinah,Forensic Medicine Center in Medina,5
849,2016,Dammam,Maternity and Children Hospital in Dammam,5
850,2016,Riyadh,JointProgram for Restorative Dentistry- Central,5
852,2016,Riyadh,"Joint training program in the central region, Riyadh",5
853,2018,Jouf,Muktt 5 primary health care center in Aljowf,5
854,2022,Riyadh,Dr. Sulaiman AlHabib Medical Group in Riyadh,5
855,2020,Jeddah,Dental Clinics and Medical Science Services at Batterjee Medical College in Jeddah,5
856,2018,Jeddah,Saudi German Hospital in Jeddah,5
858,2016,Makkah,The program of the Ministry of Health in Makkah Al-Mukarramah,5
859,2022,Dammam,Saud AlBabtain Cardiac Center in Dammam,5
860,2021,Tabuk,The program of the Ministry of Health in Tabuk,5
861,2016,Buraidah,Maternity and Pediatric Hospital in Buraidah,5
862,2021,Tabuk,Medical Center in College of Medicine in University of Tabuk,5
869,2018,Abha,The Medical City at King Khalid University,5
870,2020,Dammam,Eradah Mental Health Hospital in Dammam,5
872,2019,Jeddah,Directorate of Health Affairs in Jeddah Governorate,4
873,2019,Buraidah,Eradah Mental Health Hospital in Buraidah,4
874,2020,Arar,MOH JointProgram for Family Medicine -Arar,4
875,2021,Arar,General Directorate of Health Affairs in the Northern Borders,4
877,2017,Jeddah,Directorate of Health Affairs in Jeddah Governorate,4
878,2021,Alrass,Al-Rass General Hospital,4
879,2017,Jeddah,Azizia Maternity and Pediatric Hospital in Jeddah,4
880,2016,Riyadh,Dallah Hospital in Riyadh,4
882,2020,Makkah,Teaching Dental Hospital at Dentistry College in Umm Al-Qura University in Mecca,4
883,2020,Madinah,JointProgram for Family Medicine in Madinah,4
884,2021,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,4
885,2017,Alkharj  ,King Khalid Hospital and Prince Sultan Center for Curative Services in Al-Kharj,4
886,2019,Jeddah,Jeddah Medical Specialized Hospital,4
891,2020,Riyadh,National CARE Hospital in Riyadh,4
893,2021,Al-Ahsa,Al Ahsa Specialized Dental Center,4
894,2021,Arar,MOH JointProgram for Family Medicine -Arar,4
895,2020,Buraidah,Eradah Mental Health Hospital in Buraidah,4
898,2018,Jeddah,JointProgram for Family Medicine in Jeddah,4
899,2021,Jouf,The program of the Ministry of Health in Al-Jouf,4
900,2017,Jeddah,Forensic Medicine center in Jeddah,4
901,2022,Dammam,Security Forces Hospital in Dammam,4
904,2021,Riyadh,Medical Center at King Fahd Security College in Riyadh,4
905,2021,Riyadh,National CARE Hospital in Riyadh,4
906,2018,Riyadh,JointProgram for Restorative Dentistry- Central,4
907,2018,Riyadh,JointProgram for Preventive medicine-Riyadh,4
908,2021,Riyadh,Sultan Bin Abdulaziz Humanitarian City in Riyadh,4
909,2016,Jeddah,International Medical Center in Jeddah,4
910,2017,Unknown - Saudi Arabia,Family Medicine Academy in the First Health Cluster,4
911,2018,Riyadh,Dentistry College at King Saud bin Abdulaziz University for Health Sciences in Riyadh,4
912,2022,Arar,The program of the Ministry of Health in Arar,4
913,2018,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,4
914,2022,Dammam,Dammam Medical Complex,4
915,2022,Dubai,Al Jalila Pediatric Hospital in Dubai,4
916,2021,Riyadh,Dental complex in north of Riyadh,4
917,2018,Dammam,"Joint training program in the eastern region, Dammam",4
918,2022,Jeddah,International Medical Center in Jeddah,4
919,2019,Riyadh,National CARE Hospital in Riyadh,4
921,2018,Madinah,JointProgram for Family Medicine in Madinah,4
923,2022,Madinah,Uhud General Hospital in Medina,4
924,2022,Makkah,Hera General Hospital in Mecca,4
925,2022,Riyadh,Dental complex in north of Riyadh,4
926,2018,Jeddah,Dr. Erfan and Bagedo General Hospital in Jeddah,4
927,2018,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,4
928,2022,Riyadh,JointProgram for Restorative Dentistry- Central,4
929,2018,Jeddah,Eradah Complex - Psychological Services in Jeddah,4
931,2021,Riyadh,JointProgram for Restorative Dentistry- Central,4
933,2019,Taif,Rehabilitation Healthcare Center for Armed Forces in Taif,4
934,2019,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,4
936,2020,Al-Ahsa,The program of the Ministry of Health in Al-Ahsa,4
937,2019,Al-Ahsa,Alahsa Health Cluster,4
939,2021,Hofuf,Eradah Mental Health Hospital in Hofuf,4
940,2019,Unknown - Saudi Arabia,The joint program in the Central and Western region,4
941,2021,Madinah,Department of Home Healthcare in Medina,4
943,2017,Riyadh,JointProgram for Oral Maxillofacial Surgery - Riyadh,4
944,2021,Madinah,JointProgram for Family Medicine in Madinah,4
945,2019,Madinah,JointProgram for Family Medicine in Madinah,4
948,2017,Riyadh,Specialized Medical Center Hospital in Riyadh,4
949,2016,Al-Ahsa,Maternity and Children Hospital in Mubarraz,4
950,2018,Tabuk,King Khalid Civil Hospital in Tabuk,4
951,2019,Taif,Prince Mansour Military Hospital for Community Medicine in Taif,4
952,2017,Riyadh,JointProgram for Restorative Dentistry- Central,4
953,2018,Riyadh,Specialized Dental Healthcare Center in Eastern Riyadh,4
954,2020,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,3
955,2016,Hail,King Khalid Hospital in Hail,3
957,2016,Al-Ahsa,MOH Graduate Studies Program for Family Medicine,3
958,2016,Buraidah,The program of the Ministry of Health in Al-Qassim,3
959,2020,Al-Ahsa,Alahsa Health Cluster,3
960,2020,Hofuf,Eradah Mental Health Hospital in Hofuf,3
961,2019,Unknown - Saudi Arabia,The joint program in the Central and Eastern region,3
963,2016,Dammam,Security Forces Hospital in Dammam,3
966,2021,Dammam,Dammam Regional Laboratory and Blood Bank,3
967,2020,Jeddah,Directorate of Health Affairs in Jeddah Governorate,3
969,2021,Madinah,Regional Laboratory and Central Blood Bank in Medina,3
971,2021,Makkah,Armed Forces Center for Family Medicine in Mecca,3
978,2022,Al-Ahsa,Almousa Specialist Hospital in Alahsa,3
979,2022,Buraidah,The program of the Ministry of Health in Al-Qassim,3
980,2022,Hail,King Khalid Hospital in Hail,3
982,2022,Jeddah,East Jeddah Hospital in Jeddah,3
983,2022,Jeddah,King Abdulaziz Hospital in Jeddah,3
984,2022,Jubail,Armed Forces Hospital at King Abdulaziz Base in Jubail,3
986,2022,Riyadh,"Joint training program in the central region, Riyadh",3
988,2021,Madinah,JointProgram for Preventive Medicine in Madinah,3
993,2020,Madinah,General Directorate of Health Affairs in Madinah,3
994,2020,Madinah,JointProgram for Preventive Medicine in Madinah,3
996,2020,Riyadh,King Abdulaziz University Hospital in Riyadh,3
997,2020,Riyadh,Regional laboratory and blood bank in Riyadh,3
1000,2021,Al-Ahsa,Prince Saud bin Jalawi Hospital in Alahsa,3
1001,2021,Jeddah,Eradah Complex - Erada Services in Jeddah,3
1002,2021,Alkharj  ,Saudi Health Center in Al-Kharj,3
1003,2021,Alquriyat,Directorate of Health Affairs in Qurayyat Governorate,3
1004,2016,Jeddah,Directorate of Health Affairs in Jeddah Governorate,3
1007,2021,Hafr Albatin,King Khaled General Hospital in Hafar AlBatin Goverorate,3
1008,2021,Hail,Dental Center in Hail,3
1009,2021,Jeddah,Dental Medicine and Surgery Clinics in Ibn Sina Praivate College in Jeddah,3
1010,2016,Hofuf,King Fahad Hospital in Hofuf,3
1012,2017,Buraidah,Buraidah Central Hospital in Buraidah,3
1013,2018,Riyadh,Prince Abdulrahman bin Abdulaziz Institute for Graduate Studies in Dentistry in Riyadh,3
1014,2018,Riyadh,King Abdullah bin Abdulaziz University Hospital at Princess Nora Bint Abdulrahmsn University in Riyadh,3
